PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-02-20,16:02:38.74,1,1,"Fay, Tyler",823789,Right,ALA_CRI,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.33491,-2.630998,-3.971127,2472.426509,221.830318,1:30,6.10568,2.34117,5.93199,-15.46843,17.84399,14.87804,2.36802,-0.1093,83.23421,-5.60528,-1.307018,0.415408,74.57278,61.421808,-130.18144,4346.1309,,,,,35.48339,,,-8.91953,10.34646,-2.03212,50,5.88638,8.62496,-133.56742,-6.59694,-15.8885,32.51318,-13.74376,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260220-SwellThomasStadium-1,df4b5720-0ea7-11f1-a736-4f54937c0ea2,90.736,55.72583,,9.1007,,,,1.91341,2.59282,0.06397,257f45da-5eee-4f49-9f2d-c505aa7847e6,2026-02-20,22:02:38.74,2026-02-20T16:02:38.7411968-06:00,2026-02-20T22:02:38.7411968Z,,v3,471226,471418,c06b0a8b4d8b43b5b67cebf4a698661e,"Neal, Brady",702272,Right,ALA_CRI,c4f8897b-5277-4e26-9899-a631d4f73c52,54.567,-134.67454,16.25659,6.10305,-6.12894,-6.87188,-2.33503,9.16599,-7.94425,15.456066,1.91341,-33.75614,-3.98621,2.63222,-2.58889,5.26247,-6.70145,4.31973,-1.09599,2.59282,96.04861,-32.80877,4.91119,-2.5981,4.30854,-5.10135,3.03082,-0.68401,0.06396,-39.97178,2.9567,0.74734,-1.47884,3.35658,-4.35525,2.84808,-0.73526,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-20,16:02:55.00,1,2,"Fay, Tyler",823789,Right,ALA_CRI,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.51174,-1.758855,-3.533723,2049.172191,249.455804,2:15,5.99663,2.22999,5.96622,-31.26041,8.78697,20.02139,1.75716,0.61781,76.60266,-7.555897,0.06237,0.455469,,,,,,,,,,,,-11.36079,5.37055,-1.96111,50,5.83935,6.71745,-121.13849,-4.70833,-16.87167,23.79258,-24.19836,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260220-SwellThomasStadium-1,e901c290-0ea7-11f1-a736-4f54937c0ea2,82.75528,,,6.90908,,,,,,,257f45da-5eee-4f49-9f2d-c505aa7847e6,2026-02-20,22:02:55.00,2026-02-20T16:02:55.0082560-06:00,2026-02-20T22:02:55.0082560Z,,v3,471226,471418,c06b0a8b4d8b43b5b67cebf4a698661e,"Neal, Brady",702272,Right,ALA_CRI,fb31001e-e655-4e6f-9757-3a31c6ea701b,54.53586,-122.02612,11.89629,5.99817,-3.80557,-12.09918,-2.22345,7.34688,-8.43583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-20,16:03:15.03,1,3,"Fay, Tyler",823789,Right,ALA_CRI,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.54872,-1.422673,-3.908052,2484.598032,218.149218,1:15,6.19965,2.11352,5.6947,-12.90253,18.41056,13.57591,3.79523,-0.40289,86.06206,-3.920523,-1.48848,0.402749,,,,,,,,,,,,-8.03745,10.07335,-1.79302,50,6.07191,8.78943,-138.24177,-3.80537,-15.3732,34.15786,-12.90682,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260220-SwellThomasStadium-1,f4eb3aa0-0ea7-11f1-a736-4f54937c0ea2,93.58792,,,9.48667,,,,,,,257f45da-5eee-4f49-9f2d-c505aa7847e6,2026-02-20,22:03:15.03,2026-02-20T16:03:15.0316032-06:00,2026-02-20T22:03:15.0316032Z,,v3,471226,471418,c06b0a8b4d8b43b5b67cebf4a698661e,"Neal, Brady",702272,Right,ALA_CRI,bb500e20-1ccc-4c9c-93bf-700702fb416a,54.8017,-139.42316,17.07893,6.1958,-3.35898,-6.45341,-2.1062,9.32114,-7.6866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-20,16:03:27.29,1,4,"Fay, Tyler",823789,Right,ALA_CRI,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.06131,-1.676447,-4.033517,2204.363686,252.860591,2:30,6.05361,2.07127,5.7643,-31.95927,8.39583,22.5119,1.8257,0.18695,76.14686,-7.607743,-0.008078,0.457215,,,,,,,,,,,,-12.66028,5.24213,-1.75033,50,5.89532,7.64547,-121.65835,-4.61965,-18.74047,26.61303,-24.41437,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260220-SwellThomasStadium-1,fc45b4b0-0ea7-11f1-a736-4f54937c0ea2,82.43916,,,7.91445,,,,,,,257f45da-5eee-4f49-9f2d-c505aa7847e6,2026-02-20,22:03:27.29,2026-02-20T16:03:27.2980000-06:00,2026-02-20T22:03:27.2980000Z,,v3,471226,471418,c06b0a8b4d8b43b5b67cebf4a698661e,"Neal, Brady",702272,Right,ALA_CRI,cc6fef09-43db-4e9e-ac56-ec23e1353ace,54.73462,-122.68969,13.30652,6.05602,-3.67352,-12.20719,-2.06069,8.37172,-9.37023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.33253,2.394906,1.068442,1.326465,-0.93568,1.50538,-0.19028,-3.69729,1.97554,3.51044,72.00997,9.44673,-52.80404,-3.66738,61.61303,-3.43624,2.1535,27.48324,-16.55355,3.3505,-49.94062,5.71903,High,High,High,,,High,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-20,16:03:57.54,2,1,"Fay, Tyler",823789,Right,ALA_CRI,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.75325,-2.864326,-3.004669,2333.650025,231.760981,1:45,6.19641,2.19605,5.52854,-20.45954,12.79064,14.78473,1.80783,0.61665,84.343,-6.679199,-0.371268,0.415019,,,,,,,,,,,,-8.33552,7.64189,-1.94477,50,5.93354,6.36228,-134.27237,-7.4471,-15.12418,30.74011,-18.30843,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260220-SwellThomasStadium-1,0e456700-0ea8-11f1-a736-4f54937c0ea2,90.8209,,,8.41025,,,,,,,257f45da-5eee-4f49-9f2d-c505aa7847e6,2026-02-20,22:03:57.54,2026-02-20T16:03:57.5422464-06:00,2026-02-20T22:03:57.5422464Z,,v3,471226,471418,c06b0a8b4d8b43b5b67cebf4a698661e,"Neal, Brady",702272,Right,ALA_CRI,364f1f66-cac3-407a-9c3d-99abf93acaee,54.97016,-135.40545,15.37006,6.1956,-6.77225,-9.15421,-2.18956,6.91976,-7.56209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-20,16:04:11.03,2,2,"Fay, Tyler",823789,Right,ALA_CRI,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.5062,-1.273309,-3.781089,2704.496014,84.298547,8:45,5.82696,2.15499,5.63532,-42.30353,-0.0728,-15.35481,1.11091,-2.65737,75.19441,-8.983816,-6.514559,0.46772,,,,,,,,,,,,6.50886,0.86579,-1.82332,50,5.69192,8.52015,-119.38836,-4.11941,9.23994,26.51053,-30.94497,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260220-SwellThomasStadium-1,165a7e80-0ea8-11f1-a736-4f54937c0ea2,80.58765,,,7.31179,,,,,,,257f45da-5eee-4f49-9f2d-c505aa7847e6,2026-02-20,22:04:11.03,2026-02-20T16:04:11.0349824-06:00,2026-02-20T22:04:11.0349824Z,,v3,471226,471418,c06b0a8b4d8b43b5b67cebf4a698661e,"Neal, Brady",702272,Right,ALA_CRI,9e7e1bcd-4798-44dc-b279-daf898d34426,54.86289,-120.46334,13.25527,5.83351,-2.86461,-15.47249,-2.16121,8.14548,4.61997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-20,16:04:25.18,2,3,"Fay, Tyler",823789,Right,ALA_CRI,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.93451,-3.544191,-4.489742,2358.158487,228.438142,1:30,6.12689,2.08789,5.67851,-19.95918,13.85835,14.30028,1.14524,-0.91444,83.55338,-7.278774,-1.942428,0.418545,,,,,,,,,,,,-8.5443,8.42922,-1.71765,50,5.81449,9.77551,-132.79034,-8.91747,-15.16196,30.07682,-17.21632,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260220-SwellThomasStadium-1,1ebdb600-0ea8-11f1-a736-4f54937c0ea2,90.05582,,,8.38114,,,,,,,257f45da-5eee-4f49-9f2d-c505aa7847e6,2026-02-20,22:04:25.18,2026-02-20T16:04:25.1863552-06:00,2026-02-20T22:04:25.1863552Z,,v3,471226,471418,c06b0a8b4d8b43b5b67cebf4a698661e,"Neal, Brady",702272,Right,ALA_CRI,48bdb21b-624f-423c-be24-8fb28c994ac9,54.8195,-133.87749,15.03841,6.12558,-8.29516,-8.60816,-2.08091,10.32356,-7.58098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-20,16:04:40.22,2,4,"Fay, Tyler",823789,Right,ALA_CRI,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,2,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.76867,-2.274697,-5.454054,2450.680241,235.919411,1:45,6.02563,2.13268,5.96253,-20.81434,11.97418,16.05316,2.17115,-1.60224,84.35846,-6.182984,-2.586513,0.412128,,,,,,,,,,,,-9.76245,7.13079,-1.70739,50,5.83268,12.08715,-134.05815,-6.03374,-17.69728,30.02394,-19.24736,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260220-SwellThomasStadium-1,27b36980-0ea8-11f1-a736-4f54937c0ea2,91.45805,,,8.41021,,,,,,,257f45da-5eee-4f49-9f2d-c505aa7847e6,2026-02-20,22:04:40.22,2026-02-20T16:04:40.2232832-06:00,2026-02-20T22:04:40.2232832Z,,v3,471226,471418,c06b0a8b4d8b43b5b67cebf4a698661e,"Neal, Brady",702272,Right,ALA_CRI,1dbc400f-b933-40e4-a7c0-63ee5f132962,54.53631,-135.07029,15.01197,6.02515,-5.38489,-9.62368,-2.12492,12.68375,-8.84864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-20,16:04:55.96,2,5,"Fay, Tyler",823789,Right,ALA_CRI,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,3,1,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.83244,-1.013067,-3.790835,2362.024422,244.930484,2:15,6.11288,2.08571,5.93974,-23.6171,9.18638,17.15761,3.20285,-0.00625,83.89221,-5.442701,-0.715217,0.412222,,,,,,,,,,,,-9.91225,5.36768,-1.79242,50,6.01878,8.13829,-134.45569,-3.19193,-17.94204,32.2054,-22.45807,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260220-SwellThomasStadium-1,31176f30-0ea8-11f1-a736-4f54937c0ea2,91.43722,,,8.94023,,,,,,,257f45da-5eee-4f49-9f2d-c505aa7847e6,2026-02-20,22:04:55.96,2026-02-20T16:04:55.9605760-06:00,2026-02-20T22:04:55.9605760Z,,v3,471226,471418,c06b0a8b4d8b43b5b67cebf4a698661e,"Neal, Brady",702272,Right,ALA_CRI,476c011b-e5a7-4fdd-9604-5c89e91d73d5,54.5584,-135.54314,16.1027,6.11376,-2.43361,-11.22904,-2.07744,8.74412,-8.97102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-20,16:05:12.00,2,6,"Fay, Tyler",823789,Right,ALA_CRI,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,3,2,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,94.16781,-2.121022,-5.114047,2497.470326,253.335641,2:30,6.04485,2.05734,6.00637,-24.80493,6.98059,19.67229,2.00389,-1.05409,85.54234,-6.743705,-1.590523,0.405776,,,,,,,,,,,,-11.55843,4.55366,-1.66486,50,5.86402,11.30342,-136.17776,-5.93846,-21.56815,31.65905,-23.67684,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260220-SwellThomasStadium-1,3aa5b930-0ea8-11f1-a736-4f54937c0ea2,92.88983,,,8.62547,,,,,,,257f45da-5eee-4f49-9f2d-c505aa7847e6,2026-02-20,22:05:12.00,2026-02-20T16:05:12.0021504-06:00,2026-02-20T22:05:12.0021504Z,,v3,471226,471418,c06b0a8b4d8b43b5b67cebf4a698661e,"Neal, Brady",702272,Right,ALA_CRI,189c78e6-ce2c-4c25-9e2e-00c770f100b2,54.49317,-137.21837,15.82953,6.04642,-5.16022,-11.83842,-2.04804,12.01235,-10.78408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
