PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-04-15,15:03:54.72,1,1,"Kopetski, Josh",10109174,Left,RHO_RAM,"Deshiro, Matthew",10102687,Left,MER_COL1,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,Popup,Out,1,0,,84.46525,-2.01908,1.555519,1705.282218,168.499436,11:30,5.92771,-1.43931,6.21671,-16.5606,23.16635,-4.38799,2.68296,-0.36916,75.29449,-5.272551,0.763543,0.453643,89.29907,50.962496,-4.511958,4376.306471,108.97078,124.4721,-15.01207,254.20477,238.21476,-10.750121,6.042059,2.82217,13.15154,1.32487,50,5.76814,-3.14795,-122.32446,-4.6775,4.15811,30.33525,-12.79692,RHO_RAM,MER_COL1,BillBeckField,D1,A10,20260415-BillBeckField-1,d9894790-38fd-11f1-99a5-075cbfaf9512,83.08835,138.86191,,9.17076,,,,0.87272,2.71834,0.47448,ad382d93-83df-4d0b-937c-6e9df3f5e99c,2026-04-15,19:03:54.72,2026-04-15T15:03:54.7265536-04:00,2026-04-15T19:03:54.7265536Z,FlyBall,v3,471418,merrimack,9a7a926628a749b69cc73edc5b0ac850,"Tolentino, Jayden",10302781,Right,RHO_RAM,99285144-bab8-4409-8746-25e0da27ed03,54.27737,-123.38064,15.16763,5.92324,-4.23195,-6.39846,1.43699,-3.29272,2.07906,,0.87803,82.12447,-20.43678,4.75032,-0.54506,-0.02526,0.01702,-0.00198,8E-05,2.71935,101.7063,-22.69074,1.84442,-0.14441,-0.05851,0.02417,-0.00349,0.00018,0.47421,-6.49025,-1.66151,0.58358,-0.0867,-0.00369,0.00387,-0.00058,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,156.730907,9.846393,1680.162994,0.98527,11:15,-0.159976,0.382964,-0.909805,12.699889,8.569104,-32.81992,168.282109,-1.161745,0.203051,-0.020275,-0.978958,1.186465,-11.715448,0.020275,-0.203051,0.978958,-1.186465,11.715448,-0.020275,0.203051,0.978958,-168.282109,1.161745,-0.203051,0.020275,-0.978958
2,2026-04-15,15:04:25.23,2,1,"Kopetski, Josh",10109174,Left,RHO_RAM,"Craigue, Brooks",10049700,Right,MER_COL1,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.31813,-0.548138,0.960254,1840.696947,136.402751,10:30,5.92525,-1.54668,6.37454,-21.60769,17.26434,-15.17501,3.6202,-1.92768,76.47305,-4.684015,-1.788394,0.448735,,,,,,,,,,,,8.16418,9.55001,1.48383,50,5.87552,-1.4726,-122.47986,-1.73306,12.28093,26.39023,-17.80849,RHO_RAM,MER_COL1,BillBeckField,D1,A10,20260415-BillBeckField-1,ebba6a20-38fd-11f1-99a5-075cbfaf9512,83.99712,,,7.84508,,,,,,,ad382d93-83df-4d0b-937c-6e9df3f5e99c,2026-04-15,19:04:25.23,2026-04-15T15:04:25.2382208-04:00,2026-04-15T19:04:25.2382208Z,,v3,471418,merrimack,9a7a926628a749b69cc73edc5b0ac850,"Tolentino, Jayden",10302781,Right,RHO_RAM,813af00a-9e33-4ad0-aa1d-70b3f9033568,54.12273,-123.36497,13.19512,5.92363,-1.13578,-8.90425,1.54012,-1.88449,6.14046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,150.685337,8.607091,1819.966772,0.988738,11:00,-0.139812,0.482638,-0.864589,8.402988,21.675491,-49.403729,173.910406,-3.678946,0.105865,-0.064166,-0.992308,3.699765,-6.076997,0.064166,-0.105865,0.992308,-3.699765,6.076997,-0.064166,0.105865,0.992308,-173.910406,3.678946,-0.105865,0.064166,-0.992308
3,2026-04-15,15:04:41.20,2,2,"Kopetski, Josh",10109174,Left,RHO_RAM,"Craigue, Brooks",10049700,Right,MER_COL1,Undefined,1,Top,1,1,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.4601,-1.525736,2.481621,1758.340261,147.523912,11:00,5.90937,-1.59539,6.31204,-21.43639,18.56643,-10.90253,2.71591,-0.21655,75.43726,-5.634269,0.511038,0.455215,,,,,,,,,,,,6.44685,10.55272,1.4185,50,5.78722,-4.83245,-121.03927,-3.77581,9.43503,26.59888,-16.73009,RHO_RAM,MER_COL1,BillBeckField,D1,A10,20260415-BillBeckField-1,f5457fd0-38fd-11f1-99a5-075cbfaf9512,82.80139,,,8.02284,,,,,,,ad382d93-83df-4d0b-937c-6e9df3f5e99c,2026-04-15,19:04:41.20,2026-04-15T15:04:41.2091904-04:00,2026-04-15T19:04:41.2091904Z,,v3,471418,merrimack,9a7a926628a749b69cc73edc5b0ac850,"Tolentino, Jayden",10302781,Right,RHO_RAM,5edbb93c-ffde-4b9c-9e27-a7efea501b85,54.18483,-121.95543,13.29944,5.90735,-3.19956,-8.36504,1.59055,-5.15743,4.71751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,149.765865,8.348044,1739.709581,0.989404,11:00,-0.121238,0.494157,-0.860877,21.095027,10.64384,-27.229801,170.258472,-1.771012,0.169123,-0.030905,-0.98511,1.796905,-9.73683,0.030905,-0.169123,0.98511,-1.796905,9.73683,-0.030905,0.169123,0.98511,-170.258472,1.771012,-0.169123,0.030905,-0.98511
4,2026-04-15,15:04:59.19,2,3,"Kopetski, Josh",10109174,Left,RHO_RAM,"Craigue, Brooks",10049700,Right,MER_COL1,Undefined,1,Top,1,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.02175,-0.845684,4.234577,1720.332132,128.516259,10:15,5.59983,-1.85184,6.80959,-34.78144,13.27142,-14.7502,1.92755,0.78995,68.90141,-7.414709,1.548527,0.49892,,,,,,,,,,,,9.03508,7.73276,1.58307,50,5.53201,-7.61151,-108.88315,-2.42879,10.84602,19.12684,-22.89137,RHO_RAM,MER_COL1,BillBeckField,D1,A10,20260415-BillBeckField-1,fffd55b0-38fd-11f1-99a5-075cbfaf9512,75.54804,,,6.12034,,,,,,,ad382d93-83df-4d0b-937c-6e9df3f5e99c,2026-04-15,19:04:59.19,2026-04-15T15:04:59.1993344-04:00,2026-04-15T19:04:59.1993344Z,,v3,471418,merrimack,9a7a926628a749b69cc73edc5b0ac850,"Tolentino, Jayden",10302781,Right,RHO_RAM,e5ef86bc-cc10-40d4-8aa0-fd33c9529b93,53.69043,-109.52951,9.56342,5.60101,-1.65522,-11.44568,1.84648,-7.97804,5.42301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,129.850058,-9.90162,1694.706863,0.985104,10:15,0.206947,0.758744,-0.617641,-8.738892,-65.137115,46.471589,161.838608,-30.197413,0.269397,-0.502981,-0.82124,31.486013,-15.628386,0.502981,-0.269397,0.82124,-31.486013,15.628386,-0.502981,0.269397,0.82124,-161.838608,30.197413,-0.269397,0.502981,-0.82124
5,2026-04-15,15:05:17.99,2,4,"Kopetski, Josh",10109174,Left,RHO_RAM,"Craigue, Brooks",10049700,Right,MER_COL1,Undefined,1,Top,1,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.13266,-0.035303,1.85499,1784.821117,119.488034,10:00,5.57686,-1.93703,6.62637,-39.36565,8.98804,-13.06355,2.26405,-1.3265,68.67002,-7.440479,-0.523817,0.500479,,,,,,,,,,,,7.46985,5.2024,1.81639,50,5.55838,-3.12349,-109.2073,-1.05816,8.9554,20.53773,-25.93701,RHO_RAM,MER_COL1,BillBeckField,D1,A10,20260415-BillBeckField-1,0b3f1c10-38fe-11f1-99a5-075cbfaf9512,75.31268,,,6.46263,,,,,,,ad382d93-83df-4d0b-937c-6e9df3f5e99c,2026-04-15,19:05:17.99,2026-04-15T15:05:17.9909632-04:00,2026-04-15T19:05:17.9909632Z,,v3,471418,merrimack,9a7a926628a749b69cc73edc5b0ac850,"Tolentino, Jayden",10302781,Right,RHO_RAM,8e2c41d2-75ba-43df-be29-ff9317789523,53.87323,-109.93329,10.26887,5.57958,-0.14131,-12.9685,1.9324,-3.44006,4.4777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,121.532315,-15.465253,1720.196925,0.963792,10:00,0.282324,0.821648,-0.495164,25.904198,-64.536003,9.375973,162.58994,-25.604146,0.269826,-0.432151,-0.860488,26.66655,-15.65394,0.432151,-0.269826,0.860488,-26.66655,15.65394,-0.432151,0.269826,0.860488,-162.58994,25.604146,-0.269826,0.432151,-0.860488
6,2026-04-15,15:05:40.44,2,5,"Kopetski, Josh",10109174,Left,RHO_RAM,"Craigue, Brooks",10049700,Right,MER_COL1,Undefined,1,Top,1,1,2,Fastball,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,84.01663,-1.283345,2.338418,1949.844925,140.490692,10:45,5.88266,-1.51107,6.07996,-21.3469,18.56099,-14.09946,2.91521,-0.5213,75.71869,-5.366569,-0.199489,0.454675,102.6709,14.791475,-22.367493,1627.579047,100.27934,21.68228,-45.21106,255.2503,252.52058,-27.424299,2.270291,8.04863,10.4115,1.33777,50,5.77223,-4.42439,-121.81261,-3.30818,11.89701,27.55181,-16.78436,RHO_RAM,MER_COL1,BillBeckField,D1,A10,20260415-BillBeckField-1,18ab1570-38fe-11f1-99a5-075cbfaf9512,82.89978,22.48943,,8.29794,,,,1.7923,2.95409,0.54238,ad382d93-83df-4d0b-937c-6e9df3f5e99c,2026-04-15,19:05:40.44,2026-04-15T15:05:40.4455424-04:00,2026-04-15T19:05:40.4455424Z,LineDrive,v3,471418,merrimack,9a7a926628a749b69cc73edc5b0ac850,"Tolentino, Jayden",10302781,Right,RHO_RAM,acc8aa19-1d4f-4eea-99b1-406789daff47,54.4176,-122.80772,13.77591,5.88076,-2.70197,-8.39218,1.50533,-4.85409,5.94851,103.102386,1.79229,134.64304,-23.73026,5.57738,-1.69452,0.78176,-0.33279,0.08208,-0.00842,2.95409,38.44329,-20.4766,1.70934,-0.11258,-0.14385,0.09677,-0.02672,0.00288,0.54238,-55.40236,-0.30808,1.76171,-1.04858,0.65464,-0.29907,0.07574,-0.0079,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,150.979316,5.219232,1941.760714,0.995854,11:00,-0.066149,0.480955,-0.874246,26.921497,-0.789365,-23.341513,164.733296,1.373518,0.263237,0.02397,-0.964433,1.423741,15.262211,0.02397,0.263237,0.964433,-1.423741,-15.262211,-0.02397,-0.263237,0.964433,-164.733296,-1.373518,-0.263237,-0.02397,-0.964433
7,2026-04-15,15:06:13.64,3,1,"Kopetski, Josh",10109174,Left,RHO_RAM,"Frammartino, Joseph",1000120502,Left,MER_COL1,Undefined,1,Top,1,0,0,Cutter,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.91015,-0.127882,1.619701,1798.676747,203.013348,12:45,5.68069,-1.75427,6.18014,-39.46423,7.34091,2.48299,2.27387,-0.05123,70.53288,-7.46719,2.067934,0.4924,,,,,,,,,,,,-0.82087,4.29276,1.6307,50,5.65111,-3.24612,-111.73081,-1.37177,-1.03435,20.73437,-26.76494,RHO_RAM,MER_COL1,BillBeckField,D1,A10,20260415-BillBeckField-1,2c637440-38fe-11f1-99a5-075cbfaf9512,76.54837,,,6.37727,,,,,,,ad382d93-83df-4d0b-937c-6e9df3f5e99c,2026-04-15,19:06:13.64,2026-04-15T15:06:13.6465920-04:00,2026-04-15T19:06:13.6465920Z,,v3,471418,merrimack,9a7a926628a749b69cc73edc5b0ac850,"Tolentino, Jayden",10302781,Right,RHO_RAM,ba451e0d-539e-4503-b9b0-3a0b5fdb3872,54.31835,-112.52933,10.36718,5.68409,-0.341,-13.38247,1.75494,-3.20629,-0.51718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,185.854475,-65.728421,739.368036,0.411062,12:15,0.922893,-0.039894,-0.382985,-86.283901,39.872525,69.903075,152.560644,3.298815,0.460046,0.057543,-0.886028,3.715873,27.390072,0.057543,0.460046,0.886028,-3.715873,-27.390072,-0.057543,-0.460046,0.886028,-152.560644,-3.298815,-0.460046,-0.057543,-0.886028
8,2026-04-15,15:06:55.64,3,2,"Kopetski, Josh",10109174,Left,RHO_RAM,"Frammartino, Joseph",1000120502,Left,MER_COL1,Undefined,1,Top,1,0,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.22212,-1.931691,1.976019,1883.43824,159.75657,11:15,5.94975,-1.61892,6.34911,-18.22489,20.90076,-7.19961,2.65114,-0.39923,76.2965,-5.451684,0.673485,0.450197,,,,,,,,,,,,4.37555,11.90257,1.47874,50,5.80077,-3.94658,-122.20275,-4.56332,6.54136,26.63694,-14.3799,RHO_RAM,MER_COL1,BillBeckField,D1,A10,20260415-BillBeckField-1,456a0260-38fe-11f1-99a5-075cbfaf9512,83.72438,,,7.92562,,,,,,,ad382d93-83df-4d0b-937c-6e9df3f5e99c,2026-04-15,19:06:55.64,2026-04-15T15:06:55.6495872-04:00,2026-04-15T19:06:55.6495872Z,,v3,471418,merrimack,9a7a926628a749b69cc73edc5b0ac850,"Tolentino, Jayden",10302781,Right,RHO_RAM,6e89e0a8-746b-45b3-8c1b-1d220776bb2e,54.14865,-123.10372,13.31847,5.94689,-4.07694,-7.18995,1.61597,-4.16783,3.27068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,154.609935,10.345879,1852.81645,0.983742,11:15,-0.162947,0.415514,-0.894872,9.798795,10.275015,-34.097535,168.291658,-5.048984,0.202142,-0.088007,-0.975394,5.155696,-11.662272,0.088007,-0.202142,0.975394,-5.155696,11.662272,-0.088007,0.202142,0.975394,-168.291658,5.048984,-0.202142,0.088007,-0.975394
9,2026-04-15,15:07:20.36,3,3,"Kopetski, Josh",10109174,Left,RHO_RAM,"Frammartino, Joseph",1000120502,Left,MER_COL1,Undefined,1,Top,1,0,2,Cutter,Curveball,InPlay,Undefined,GroundBall,Single,0,1,,76.30029,0.547258,2.900696,1749.845565,216.326248,1:15,5.58714,-1.92813,6.16915,-41.449,7.3317,3.99544,2.6392,1.08635,68.38734,-7.221751,3.620134,0.502684,92.52707,-6.311432,10.270349,,,,,28.45987,23.34012,7.266127,0.202914,-1.02988,4.10563,1.7063,50,5.60783,-5.73884,-110.4964,-0.09935,-1.23763,24.82524,-27.24028,RHO_RAM,MER_COL1,BillBeckField,D1,A10,20260415-BillBeckField-1,54478d20-38fe-11f1-99a5-075cbfaf9512,74.98234,2.74567,,7.91295,,,,1.79418,2.74567,-1.07204,ad382d93-83df-4d0b-937c-6e9df3f5e99c,2026-04-15,19:07:20.36,2026-04-15T15:07:20.3697664-04:00,2026-04-15T19:07:20.3697664Z,GroundBall,v3,471418,merrimack,9a7a926628a749b69cc73edc5b0ac850,"Tolentino, Jayden",10302781,Right,RHO_RAM,df0fe565-27a0-45a2-b008-32142e8c901d,54.3273,-111.46438,12.41262,5.59099,0.96279,-13.62014,1.92912,-5.69058,-0.61882,172.299154,1.79452,132.70041,-11.90728,,,,,,,2.74441,-14.83683,6.49468,,,,,,,-1.07175,24.03028,-4.98003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,193.274126,-69.231114,620.493935,0.354599,12:30,0.950466,-0.090347,-0.297408,-102.315792,33.762672,58.67222,148.527047,11.433767,0.511735,0.198235,-0.835961,13.340386,30.77945,0.198235,0.511735,0.835961,-13.340386,-30.77945,-0.198235,-0.511735,0.835961,-148.527047,-11.433767,-0.511735,-0.198235,-0.835961
10,2026-04-15,15:07:56.33,4,1,"Kopetski, Josh",10109174,Left,RHO_RAM,"Cristino, Greg",1000403925,Right,MER_COL1,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,74.69763,-0.255324,2.491608,1563.033048,296.874306,4:00,5.58505,-1.77444,6.05397,-50.02389,0.64571,2.35886,1.17983,0.72997,67.81888,-9.500792,2.916563,0.512325,,,,,,,,,,,,-0.38799,0.86165,1.57936,50,5.53832,-4.79355,-108.31965,-1.9197,-0.45166,22.48632,-31.171,RHO_RAM,MER_COL1,BillBeckField,D1,A10,20260415-BillBeckField-1,698f6590-38fe-11f1-99a5-075cbfaf9512,73.57141,,,6.87876,,,,,,,ad382d93-83df-4d0b-937c-6e9df3f5e99c,2026-04-15,19:07:56.33,2026-04-15T15:07:56.3358208-04:00,2026-04-15T19:07:56.3358208Z,,v3,471418,merrimack,9a7a926628a749b69cc73edc5b0ac850,"Tolentino, Jayden",10302781,Right,RHO_RAM,e2a8212a-30ed-4aeb-b0f9-03afc56aaf66,54.44541,-109.23858,11.24316,5.59074,-0.64586,-15.5855,1.77488,-4.77509,-0.22583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,187.3269,-78.863732,301.889011,0.193143,12:15,0.988671,-0.020259,-0.148726,89.086765,8.613761,74.37292,172.517026,-15.415974,0.125546,-0.265825,-0.955811,15.542015,-7.212289,0.265825,-0.125546,0.955811,-15.542015,7.212289,-0.265825,0.125546,0.955811,-172.517026,15.415974,-0.125546,0.265825,-0.955811
