PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-02-21,14:02:12.88,1,1,"Adams, Zane",806019,Left,ALA_CRI,"Hindle, Will",1000349009,Right,RHO_RAM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.44641,-2.996912,-0.053724,2082.375578,149.155773,11:00,6.82734,-0.80094,5.83544,-16.27965,15.98064,-8.89894,2.68258,-1.59245,85.14406,-6.076343,-1.649872,0.408795,,,,,,,,,,,,4.5065,9.35083,0.81046,50,6.57319,0.52995,-135.50503,-7.60117,8.33874,30.93712,-14.87144,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260221-SwellThomasStadium-1,36c54110-0f60-11f1-b2a0-d3affd503c02,92.20376,,,8.30236,,,,,,,8297402d-2598-478f-a55b-b9de81b52b0d,2026-02-21,20:02:12.88,2026-02-21T14:02:12.8867328-06:00,2026-02-21T20:02:12.8867328Z,,v3,471226,471418,71565b04388e43c7acdc0a20e05d5de8,"Lemm, Johnny",1000221262,Right,ALA_CRI,6f0c34d4-3cb3-4bd8-855a-80d6561ccf5d,54.66236,-136.56535,15.46856,6.82497,-7.09148,-7.43572,0.79719,0.24416,4.16937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-21,14:02:30.43,1,2,"Adams, Zane",806019,Left,ALA_CRI,"Hindle, Will",1000349009,Right,RHO_RAM,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,93.00453,-3.109592,1.215392,2179.260897,161.231707,11:15,6.79166,-0.7283,6.07127,-14.10422,18.26391,-5.82772,2.73531,-0.08909,84.47514,-5.821831,0.165927,0.409478,83.49607,74.225318,-21.382544,,,,,88.97697,88.05157,-19.239089,6.381459,3.37484,10.68646,0.63727,50,6.5431,-2.61073,-134.85699,-7.71618,6.16582,31.49219,-12.64986,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260221-SwellThomasStadium-1,41390910-0f60-11f1-b2a0-d3affd503c02,92.05003,167.99385,,8.52939,,,,1.30068,2.72348,0.08876,8297402d-2598-478f-a55b-b9de81b52b0d,2026-02-21,20:02:30.43,2026-02-21T14:02:30.4379392-06:00,2026-02-21T20:02:30.4379392Z,Popup,v3,471226,471418,71565b04388e43c7acdc0a20e05d5de8,"Lemm, Johnny",1000221262,Right,ALA_CRI,83590bdc-ce81-43d6-b757-862cd00d16f7,54.42746,-135.88697,15.74609,6.7887,-7.30245,-6.32493,0.72595,-2.81239,3.08291,,1.30112,31.00599,-10.29057,2.993,-0.67601,0.14332,-0.02363,0.00224,-9E-05,2.72685,117.80254,-26.80068,3.14204,-0.58528,0.10222,-0.01815,0.00209,-0.0001,0.08831,-12.13983,4.58458,-1.40531,0.33296,-0.07379,0.01258,-0.00123,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-21,14:03:05.54,2,1,"Adams, Zane",806019,Left,ALA_CRI,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,Bunt,Single,0,0,,94.20019,-3.116173,0.892982,2150.161072,143.797995,10:45,6.82115,-0.84416,5.87196,-14.71946,17.33469,-11.82134,2.69687,-0.99976,84.87921,-5.940522,-1.228497,0.407487,52.59014,-50.261162,22.27176,,,,,5.99681,5.99681,18.203962,0.048644,6.37174,10.24524,0.77895,50,6.56049,-1.60005,-136.46185,-7.86529,11.81132,34.77627,-13.18246,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260221-SwellThomasStadium-1,562294e0-0f60-11f1-b2a0-d3affd503c02,92.49975,2.90718,,9.32097,,,,3.46006,2.90718,0.9574,8297402d-2598-478f-a55b-b9de81b52b0d,2026-02-21,20:03:05.54,2026-02-21T14:03:05.5413760-06:00,2026-02-21T20:03:05.5413760Z,GroundBall,v3,471226,471418,71565b04388e43c7acdc0a20e05d5de8,"Lemm, Johnny",1000221262,Right,ALA_CRI,c5d3d1f2-0b4d-48e0-bdd2-338fd071a372,54.62666,-137.63587,17.38813,6.81851,-7.42026,-6.59123,0.8397,-1.99879,5.90566,,3.45734,45.97897,,,,,,,,2.91072,-59.76423,,,,,,,,0.95628,18.83088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-21,14:03:49.92,3,1,"Adams, Zane",806019,Left,ALA_CRI,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.78667,-4.980493,1.272811,2189.769375,153.695225,11:00,6.75369,-0.64052,5.98695,-13.3489,18.67312,-8.68552,1.01236,-0.18443,85.43172,-7.531786,-0.28908,0.407282,,,,,,,,,,,,4.84134,11.3982,0.54487,50,6.3523,-2.63465,-135.68528,-12.19798,8.97301,31.30115,-11.04852,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260221-SwellThomasStadium-1,70984360-0f60-11f1-b2a0-d3affd503c02,92.5462,,,8.35495,,,,,,,8297402d-2598-478f-a55b-b9de81b52b0d,2026-02-21,20:03:49.92,2026-02-21T14:03:49.9295744-06:00,2026-02-21T20:03:49.9295744Z,,v3,471226,471418,71565b04388e43c7acdc0a20e05d5de8,"Lemm, Johnny",1000221262,Right,ALA_CRI,a0d10fd9-d60a-4082-9530-8f5071af388c,54.51204,-136.7222,15.65058,6.75032,-11.83197,-5.52426,0.63707,-2.9319,4.4865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-21,14:04:06.76,3,2,"Adams, Zane",806019,Left,ALA_CRI,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,1,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.74114,-2.177133,0.868985,1490.904308,178.019888,12:00,6.55021,-1.05917,6.23485,-22.64741,17.80682,-0.56913,2.6533,-0.30488,75.55409,-6.468613,0.766143,0.457776,68.86583,18.495765,162.129237,2049.21267,-105.66624,9.37632,30.57111,137.73564,54.953,164.399774,1.685736,0.53866,10.23398,0.99459,50,6.37627,-1.79855,-120.06633,-5.16438,0.78393,23.90788,-17.28037,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260221-SwellThomasStadium-1,7aade5d0-0f60-11f1-b2a0-d3affd503c02,82.33812,14.50556,,7.18705,,,,0.92906,2.50802,0.24693,8297402d-2598-478f-a55b-b9de81b52b0d,2026-02-21,20:04:06.76,2026-02-21T14:04:06.7664896-06:00,2026-02-21T20:04:06.7664896Z,LineDrive,v3,471226,471418,71565b04388e43c7acdc0a20e05d5de8,"Lemm, Johnny",1000221262,Right,ALA_CRI,a5c46db3-01dc-48f8-a632-a84812fd2552,54.25928,-120.91147,11.95394,6.54803,-4.55352,-8.64019,1.05866,-1.82626,0.39197,321.930237,0.92905,-91.16196,9.81442,-1.98804,-0.03201,0.50846,-0.40442,0.14692,-0.02067,2.50798,32.04602,-23.18639,2.97417,-1.35718,1.12921,-0.72486,0.24536,-0.03308,0.24696,29.39095,-6.114,1.09023,0.27975,-0.65287,0.48346,-0.17062,0.02352,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-21,14:04:30.74,3,3,"Adams, Zane",806019,Left,ALA_CRI,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.3098,-2.076214,0.959848,1496.465085,154.710804,11:15,6.48005,-1.09988,6.20455,-26.72466,14.87698,-6.42626,2.33545,-0.74934,74.9184,-7.080422,-0.201326,0.464223,,,,,,,,,,,,3.58579,8.66469,1.03089,50,6.3105,-1.74373,-118.14216,-5.03339,5.08808,21.67175,-19.87924,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260221-SwellThomasStadium-1,88f85850-0f60-11f1-b2a0-d3affd503c02,81.19467,,,6.3914,,,,,,,8297402d-2598-478f-a55b-b9de81b52b0d,2026-02-21,20:04:30.74,2026-02-21T14:04:30.7436544-06:00,2026-02-21T20:04:30.7436544Z,,v3,471226,471418,71565b04388e43c7acdc0a20e05d5de8,"Lemm, Johnny",1000221262,Right,ALA_CRI,b0180b79-1071-4728-a439-2c951a41ce80,54.29466,-118.92735,10.83588,6.47982,-4.31314,-9.93962,1.09741,-1.92808,2.54404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-21,14:04:52.57,3,4,"Adams, Zane",806019,Left,ALA_CRI,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,1,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,95.31507,-2.845633,1.083341,2138.876703,143.549703,10:45,6.78484,-0.77392,6.01162,-15.79792,14.7019,-10.17465,2.82949,-0.61808,87.62602,-5.826471,-0.747563,0.397484,101.91016,-10.038908,13.376943,,,,,16.29064,15.51576,15.386852,0.109332,5.52374,8.60457,0.69443,50,6.55261,-2.16931,-138.40977,-7.38146,10.76889,29.44764,-15.39886,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260221-SwellThomasStadium-1,95f0f670-0f60-11f1-b2a0-d3affd503c02,94.82748,2.75343,,7.68905,,,,0.22636,2.75343,0.63067,8297402d-2598-478f-a55b-b9de81b52b0d,2026-02-21,20:04:52.57,2026-02-21T14:04:52.5741056-06:00,2026-02-21T20:04:52.5741056Z,GroundBall,v3,471226,471418,71565b04388e43c7acdc0a20e05d5de8,"Lemm, Johnny",1000221262,Right,ALA_CRI,7d35c5ee-c4bb-49b9-98e0-9014ab2c359e,54.48868,-139.36149,14.72382,6.78313,-6.88378,-7.69943,0.77016,-2.51735,5.38445,182.354894,0.22645,143.17553,-14.51625,,,,,,,2.75321,-26.02809,7.76476,,,,,,,0.63068,34.04974,-2.58931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-21,14:05:38.95,4,1,"Adams, Zane",806019,Left,ALA_CRI,"Hopko, Jack",1000182865,Left,RHO_RAM,Undefined,1,Top,2,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.69299,-1.094273,2.520813,1886.212442,169.771031,11:45,6.3768,-1.18271,5.75502,-33.88907,4.76496,-0.67177,2.53296,1.10942,78.82838,-7.297748,2.400595,0.447475,,,,,,,,,,,,0.93969,3.02504,0.97389,50,6.26512,-5.39181,-123.08258,-3.5095,1.46249,21.09567,-27.46599,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260221-SwellThomasStadium-1,b19f24f0-0f60-11f1-b2a0-d3affd503c02,84.23359,,,5.86461,,,,,,,8297402d-2598-478f-a55b-b9de81b52b0d,2026-02-21,20:05:38.95,2026-02-21T14:05:38.9568512-06:00,2026-02-21T20:05:38.9568512Z,,v3,471226,471418,71565b04388e43c7acdc0a20e05d5de8,"Lemm, Johnny",1000221262,Right,ALA_CRI,a7586de3-8eeb-48bd-9f19-cb027a61f644,54.7462,-123.89338,10.54784,6.37972,-2.45386,-13.733,1.1822,-5.44802,0.73124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-21,14:05:56.79,4,2,"Adams, Zane",806019,Left,ALA_CRI,"Hopko, Jack",1000182865,Left,RHO_RAM,Undefined,1,Top,2,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.58465,1.814869,0.350001,2406.875117,322.920783,4:45,6.62477,-0.62275,5.22358,-51.2955,-5.17091,4.92666,4.05702,0.11686,72.50905,-7.480231,1.224162,0.488807,,,,,,,,,,,,-2.36536,-2.62721,0.58665,50,6.75354,-0.89596,-114.13543,1.79657,-3.13752,19.91235,-35.6589,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260221-SwellThomasStadium-1,bc4a50a0-0f60-11f1-b2a0-d3affd503c02,77.11104,,,6.0756,,,,,,,8297402d-2598-478f-a55b-b9de81b52b0d,2026-02-21,20:05:56.79,2026-02-21T14:05:56.7901696-06:00,2026-02-21T20:05:56.7901696Z,,v3,471226,471418,71565b04388e43c7acdc0a20e05d5de8,"Lemm, Johnny",1000221262,Right,ALA_CRI,a1cfd8a1-7d2c-439b-8be0-33cbdb49d4aa,55.27844,-115.05263,9.95617,6.63295,3.4391,-17.82945,0.62459,-0.75144,-1.56876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-21,14:06:35.58,4,3,"Adams, Zane",806019,Left,ALA_CRI,"Hopko, Jack",1000182865,Left,RHO_RAM,Undefined,1,Top,2,1,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.65912,-0.204533,1.445771,2068.495562,230.101961,1:45,6.37103,-1.20755,5.5112,-36.5449,4.13327,3.71957,3.1343,0.4547,77.29179,-6.859073,2.10888,0.459042,,,,,,,,,,,,-1.56413,2.46752,1.07888,50,6.32837,-3.1844,-120.25692,-1.70038,-2.33704,18.87945,-28.48721,ALA_CRI,RHO_RAM,SwellThomasStadium,D1,SEC,20260221-SwellThomasStadium-1,d3616ad0-0f60-11f1-b2a0-d3affd503c02,82.11111,,,5.36734,,,,,,,8297402d-2598-478f-a55b-b9de81b52b0d,2026-02-21,20:06:35.58,2026-02-21T14:06:35.5869696-06:00,2026-02-21T20:06:35.5869696Z,,v3,471226,471418,71565b04388e43c7acdc0a20e05d5de8,"Lemm, Johnny",1000221262,Right,ALA_CRI,c1d2b888-4aed-42ee-ba82-51e21a2a781a,54.99067,-121.03789,9.43973,6.37433,-0.52198,-14.24361,1.20861,-3.08772,-1.16852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
