PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-02-27,15:02:05.72,1,1,"Caughey, Ciaran",804083,Right,KS_GF,"Connolly, Brian",815955,Right,RHO_RAM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,90.6843,-3.418773,-1.54358,2266.142823,207.748637,1:00,5.77982,0.51599,6.79591,-13.02686,20.22466,10.01599,1.5691,-0.05851,82.09961,-5.983458,0.284757,0.415028,82.25021,15.811367,-19.010807,1477.461963,102.87718,20.22043,-38.93897,226.31259,226.31259,-22.826863,2.417368,-5.80418,12.15205,-0.41932,50,5.55273,3.16668,-131.56132,-8.12698,-10.04301,31.23285,-11.14726,KS_GF,RHO_RAM,OlgaMuralField,D1,MAC,20260227-OlgaMuralField-2,305ef990-1417-11f1-80c3-f9d8bbcd7feb,90.81907,20.39105,,8.58469,,,,1.6806,1.62004,0.05259,c36da442-21a5-4fad-bfcd-1da0bccb35db,2026-02-27,20:02:05.72,2026-02-27T15:02:05.7210000-05:00,2026-02-27T20:02:05.7210000Z,LineDrive,v3,471330,471418,7430b94f5f7640378d46827839f7fa09,"Williams, Brody",1000438809,Right,KS_GF,1e89af61-7767-4b52-ba90-4388e8178d9b,53.70168,-132.43719,15.61643,5.77626,-7.81438,-5.57363,-0.51207,3.44832,-5.0215,139.95807,1.68054,109.74308,-15.51325,3.49571,-0.86105,0.29883,-0.10497,0.02279,-0.00208,1.62014,32.86148,-14.80823,0.2138,0.35829,-0.31646,0.14217,-0.03198,0.00292,0.05253,-37.80503,0.39048,0.33459,-0.29733,0.19329,-0.07976,0.01766,-0.00161,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-27,15:02:53.03,2,1,"Caughey, Ciaran",804083,Right,KS_GF,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.39152,-1.660711,-1.468554,2605.909755,76.639795,8:30,5.77013,0.79162,6.30563,-45.02684,-3.14169,-18.98344,0.48703,-2.14354,74.76426,-9.943557,-4.909408,0.465802,,,,,,,,,,,,9.43044,-0.69732,-0.67536,50,5.62725,3.71942,-118.23477,-4.81672,13.19395,24.99306,-33.14967,KS_GF,RHO_RAM,OlgaMuralField,D1,MAC,20260227-OlgaMuralField-2,4c94cea0-1417-11f1-80c3-f9d8bbcd7feb,80.91944,,,6.62726,,,,,,,c36da442-21a5-4fad-bfcd-1da0bccb35db,2026-02-27,20:02:53.03,2026-02-27T15:02:53.0300000-05:00,2026-02-27T20:02:53.0300000Z,,v3,471330,471418,7430b94f5f7640378d46827839f7fa09,"Williams, Brody",1000438809,Right,KS_GF,4a0b90fa-dbb6-4d7c-ad11-6f89fea6480a,54.19465,-119.11816,12.49653,5.77679,-3.64503,-16.57484,-0.79859,3.25308,6.59697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-27,15:03:16.21,2,2,"Caughey, Ciaran",804083,Right,KS_GF,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.35074,-4.50047,-1.535405,2342.124773,190.480412,12:15,5.97234,0.26345,6.84871,-9.84839,22.79072,4.00626,1.03829,-0.80297,83.05608,-6.472521,-0.803704,0.411188,,,,,,,,,,,,-2.59772,13.81961,-0.16671,50,5.68017,3.39991,-132.42025,-10.58074,-4.57545,30.39991,-7.83305,KS_GF,RHO_RAM,OlgaMuralField,D1,MAC,20260227-OlgaMuralField-2,5a971490-1417-11f1-80c3-f9d8bbcd7feb,91.66709,,,8.29466,,,,,,,c36da442-21a5-4fad-bfcd-1da0bccb35db,2026-02-27,20:03:16.21,2026-02-27T15:03:16.2110000-05:00,2026-02-27T20:03:16.2110000Z,,v3,471330,471418,7430b94f5f7640378d46827839f7fa09,"Williams, Brody",1000438809,Right,KS_GF,2661e2e7-812d-4698-93a4-8af2afa78a44,53.64952,-133.25544,15.19995,5.96791,-10.36554,-3.91653,-0.26185,3.52561,-2.28772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-27,15:04:11.06,2,3,"Caughey, Ciaran",804083,Right,KS_GF,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.59131,-2.190378,-1.362857,2395.980862,184.875254,12:15,6.02502,0.05157,7.13276,-10.31186,22.47919,1.81965,3.17789,-1.03288,81.97874,-4.279437,-1.028672,0.412144,,,,,,,,,,,,-1.38866,13.01402,0.02833,50,5.89133,3.06281,-131.60756,-5.15669,-2.40801,30.87829,-9.60697,KS_GF,RHO_RAM,OlgaMuralField,D1,MAC,20260227-OlgaMuralField-2,7b1568c0-1417-11f1-80c3-f9d8bbcd7feb,91.45448,,,8.61257,,,,,,,c36da442-21a5-4fad-bfcd-1da0bccb35db,2026-02-27,20:04:11.06,2026-02-27T15:04:11.0660000-05:00,2026-02-27T20:04:11.0660000Z,,v3,471330,471418,7430b94f5f7640378d46827839f7fa09,"Williams, Brody",1000438809,Right,KS_GF,f5e0e915-deea-4cc6-9e8b-5f359192ea37,53.36224,-132.39408,15.43915,6.01956,-4.91199,-4.80348,-0.05046,3.12415,-1.20401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-27,15:04:32.85,2,4,"Caughey, Ciaran",804083,Right,KS_GF,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.42575,-2.664264,-1.94112,2304.992867,203.555737,12:45,6.12474,-0.1358,6.95525,-9.67071,22.81344,9.44233,2.89145,-1.11588,82.62697,-4.629611,-0.213315,0.410211,,,,,,,,,,,,-5.57992,13.25894,0.2539,50,5.95479,4.12923,-132.69768,-6.29037,-9.82937,31.59143,-8.8176,KS_GF,RHO_RAM,OlgaMuralField,D1,MAC,20260227-OlgaMuralField-2,87fa09b0-1417-11f1-80c3-f9d8bbcd7feb,91.88554,,,8.79878,,,,,,,c36da442-21a5-4fad-bfcd-1da0bccb35db,2026-02-27,20:04:32.85,2026-02-27T15:04:32.8550000-05:00,2026-02-27T20:04:32.8550000Z,,v3,471330,471418,7430b94f5f7640378d46827839f7fa09,"Williams, Brody",1000438809,Right,KS_GF,775b2439-7f6b-4858-8ed8-be50e355ce69,53.54005,-133.5378,15.79572,6.11895,-6.05589,-4.4088,0.14061,4.39062,-4.91469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-27,15:04:53.68,2,5,"Caughey, Ciaran",804083,Right,KS_GF,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,0,3,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.22688,-3.695484,-1.078181,2267.783661,208.653234,1:00,6.00688,0.10438,6.93691,-11.91162,20.75666,10.70776,1.64522,0.01518,82.64558,-6.057189,0.882061,0.411372,108.68281,-0.46805,-13.314187,1394.576746,,,,43.21647,40.90575,-13.927457,0.27186,-6.05705,12.57481,-0.04037,50,5.77157,2.09418,-132.3765,-8.76931,-10.61378,31.54893,-10.13923,KS_GF,RHO_RAM,OlgaMuralField,D1,MAC,20260227-OlgaMuralField-2,9461b270-1417-11f1-80c3-f9d8bbcd7feb,91.6262,1.63776,,8.5813,,,,1.54825,1.63776,-0.01152,c36da442-21a5-4fad-bfcd-1da0bccb35db,2026-02-27,20:04:53.68,2026-02-27T15:04:53.6870000-05:00,2026-02-27T20:04:53.6870000Z,GroundBall,v3,471330,471418,7430b94f5f7640378d46827839f7fa09,"Williams, Brody",1000438809,Right,KS_GF,4f4dfda8-7e32-4484-a20a-3fb1be75fda4,53.56097,-133.22247,15.77447,6.00308,-8.49743,-5.06962,-0.10034,2.37879,-5.30689,80.43854,1.5518,154.93783,-23.41639,,,,,,,1.63947,-1.38526,-17.1094,,,,,,,-0.00958,-36.80209,-5.26571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-27,15:05:40.85,3,1,"Caughey, Ciaran",804083,Right,KS_GF,"Hopko, Jack",1000182865,Left,RHO_RAM,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.32796,-1.927667,-0.229614,2306.810467,200.449487,12:45,5.94686,0.64633,6.58156,-13.54387,20.22938,7.09213,3.05094,1.02691,81.5304,-4.592119,1.06005,0.418271,,,,,,,,,,,,-3.77299,11.56599,-0.63314,50,5.80856,0.2407,-131.13413,-4.69898,-6.47608,31.4233,-12.32172,KS_GF,RHO_RAM,OlgaMuralField,D1,MAC,20260227-OlgaMuralField-2,b09dc910-1417-11f1-80c3-f9d8bbcd7feb,90.11488,,,8.79756,,,,,,,c36da442-21a5-4fad-bfcd-1da0bccb35db,2026-02-27,20:05:40.85,2026-02-27T15:05:40.8520000-05:00,2026-02-27T20:05:40.8520000Z,,v3,471330,471418,7430b94f5f7640378d46827839f7fa09,"Williams, Brody",1000438809,Right,KS_GF,b950abf4-ab6a-468d-9255-fdd9566559a5,53.91368,-132.06862,15.71164,5.94285,-4.33255,-6.16086,-0.64316,0.43329,-3.23804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-27,15:06:04.41,3,2,"Caughey, Ciaran",804083,Right,KS_GF,"Hopko, Jack",1000182865,Left,RHO_RAM,Undefined,1,Top,1,1,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.76418,0.023861,-0.887774,2558.69431,95.243595,9:15,5.76571,0.98146,6.01897,-39.99356,2.74347,-15.07808,2.45502,-1.09742,74.01915,-7.368916,-3.602176,0.470515,,,,,,,,,,,,7.52662,1.79917,-0.9037,50,5.74582,2.37978,-117.36331,-1.20062,10.44225,23.31333,-29.67794,KS_GF,RHO_RAM,OlgaMuralField,D1,MAC,20260227-OlgaMuralField-2,beb19b30-1417-11f1-80c3-f9d8bbcd7feb,80.10889,,,6.74504,,,,,,,c36da442-21a5-4fad-bfcd-1da0bccb35db,2026-02-27,20:06:04.41,2026-02-27T15:06:04.4110000-05:00,2026-02-27T20:06:04.4110000Z,,v3,471330,471418,7430b94f5f7640378d46827839f7fa09,"Williams, Brody",1000438809,Right,KS_GF,db6d67b3-a4f5-47d9-a654-4d44e2e02c65,54.48056,-118.24999,11.65667,5.77002,-0.07187,-14.83897,-0.98666,1.98262,5.22112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-27,15:06:54.20,3,3,"Caughey, Ciaran",804083,Right,KS_GF,"Hopko, Jack",1000182865,Left,RHO_RAM,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.43128,-1.7265,0.285786,2331.706339,198.787661,12:45,5.93727,0.75146,6.59082,-13.79414,20.04981,6.39221,3.20531,1.54601,81.23395,-4.447479,1.448268,0.418709,,,,,,,,,,,,-3.24421,11.4532,-0.77329,50,5.81304,-0.9114,-131.24161,-4.247,-5.54747,32.85224,-12.58954,KS_GF,RHO_RAM,OlgaMuralField,D1,MAC,20260227-OlgaMuralField-2,dc5d9580-1417-11f1-80c3-f9d8bbcd7feb,90.02069,,,9.19732,,,,,,,c36da442-21a5-4fad-bfcd-1da0bccb35db,2026-02-27,20:06:54.20,2026-02-27T15:06:54.2040000-05:00,2026-02-27T20:06:54.2040000Z,,v3,471330,471418,7430b94f5f7640378d46827839f7fa09,"Williams, Brody",1000438809,Right,KS_GF,ccde9952-3c0d-452b-88e0-24c8df38d11c,53.90398,-132.21523,16.42612,5.93338,-3.87389,-6.29477,-0.74872,-0.74699,-2.77373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.37429,1.415769,0.64553,0.770239,-0.32567,3.06802,-1.59065,-0.3637,6.05605,-4.34776,65.65556,4.80098,-59.12113,-0.3501,90.36683,-6.1064,6.06114,7.72575,-12.17111,-4.37861,-78.94664,10.31499,High,High,High,,,High,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-27,15:07:22.88,3,4,"Caughey, Ciaran",804083,Right,KS_GF,"Hopko, Jack",1000182865,Left,RHO_RAM,Undefined,1,Top,1,2,1,Curveball,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.53259,0.070618,-0.680387,2570.260736,80.15862,8:45,5.74617,1.14346,6.0843,-46.05758,-1.69197,-18.55517,1.97338,-1.03227,72.41542,-8.438758,-4.027587,0.479396,,,,,,,,,,,,9.42626,-0.51035,-1.08099,50,5.72726,2.043,-115.52233,-1.27614,12.53453,24.73252,-32.85268,KS_GF,RHO_RAM,OlgaMuralField,D1,MAC,20260227-OlgaMuralField-2,ed5af300-1417-11f1-80c3-f9d8bbcd7feb,78.62479,,,7.11717,,,,,,,c36da442-21a5-4fad-bfcd-1da0bccb35db,2026-02-27,20:07:22.88,2026-02-27T15:07:22.8890000-05:00,2026-02-27T20:07:22.8890000Z,,v3,471330,471418,7430b94f5f7640378d46827839f7fa09,"Williams, Brody",1000438809,Right,KS_GF,33bf2174-9c8d-4288-b611-97528b423e44,54.41588,-116.46389,12.36626,5.75204,-0.02544,-16.42634,-1.14969,1.5658,6.26726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
