PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-03-07,11:41:27.38,1,1,"Sabbath, Joe",828746,Right,RHO_RAM,"Luigs, Matt",10118709,Right,BRO_BEA,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.42618,-3.491797,-3.5525,2290.34442,189.668299,12:15,5.85977,1.36797,6.31973,-12.38481,21.21033,3.39969,1.60148,-1.62487,82.33094,-5.927444,-2.939502,0.417167,,,,,,,,,,,,-2.90858,12.48694,-1.10945,50,5.59748,8.06337,-132.20313,-8.34325,-5.06432,32.43639,-10.43213,BRO_BEA,RHO_RAM,MurrayStadium,D1,IVY,20260307-MurrayStadium-2,7cc10980-1a44-11f1-b03f-1f0408ee8956,90.35339,,,9.09524,,,,,,,ea7edf75-5c11-4d05-9274-5d2298c57a13,2026-03-07,16:41:27.38,2026-03-07T11:41:27.3830000-05:00,2026-03-07T16:41:27.3830000Z,,v3,471247,471418,,"Tolentino, Jayden",10302781,Right,RHO_RAM,72955f8e-6b7d-41f2-b9c0-1b3044416ddc,54.17567,-133.2237,16.21819,5.85483,-8.01502,-5.21607,-1.36566,8.22271,-2.53216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-07,11:41:46.91,1,2,"Sabbath, Joe",828746,Right,RHO_RAM,"Luigs, Matt",10118709,Right,BRO_BEA,Undefined,1,Bottom,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.79947,-1.283281,-1.291813,2192.446977,186.909089,12:15,5.87187,1.33965,6.33477,-11.45812,23.59104,2.68599,3.73493,0.37383,79.69396,-3.60541,-0.805957,0.426099,,,,,,,,,,,,-1.84831,13.04406,-1.24664,50,5.77239,2.81799,-130.07784,-3.09455,-3.07265,34.84144,-10.48951,BRO_BEA,RHO_RAM,MurrayStadium,D1,IVY,20260307-MurrayStadium-2,886a6b50-1a44-11f1-b03f-1f0408ee8956,88.45944,,,10.1055,,,,,,,ea7edf75-5c11-4d05-9274-5d2298c57a13,2026-03-07,16:41:46.91,2026-03-07T11:41:46.9130000-05:00,2026-03-07T16:41:46.9130000Z,,v3,471247,471418,,"Tolentino, Jayden",10302781,Right,RHO_RAM,492258a3-90f8-42b9-bf1f-ebc1b7ca5e86,54.1572,-131.18662,17.42072,5.86555,-2.76073,-5.24476,-1.33787,2.91577,-1.53633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-07,11:42:05.96,1,3,"Sabbath, Joe",828746,Right,RHO_RAM,"Luigs, Matt",10118709,Right,BRO_BEA,Undefined,1,Bottom,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.26452,-4.266856,-2.592842,2240.810026,196.788644,12:30,5.8421,1.30689,6.23603,-10.03504,24.07466,6.84709,1.05839,-0.51602,81.47029,-6.29774,-1.358116,0.420349,,,,,,,,,,,,-4.41075,14.27954,-1.11648,50,5.51767,5.6711,-131.82819,-9.99354,-7.57093,34.45148,-7.66365,BRO_BEA,RHO_RAM,MurrayStadium,D1,IVY,20260307-MurrayStadium-2,93b95110-1a44-11f1-b03f-1f0408ee8956,89.66931,,,9.79422,,,,,,,ea7edf75-5c11-4d05-9274-5d2298c57a13,2026-03-07,16:42:05.96,2026-03-07T11:42:05.9600000-05:00,2026-03-07T16:42:05.9600000Z,,v3,471247,471418,,"Tolentino, Jayden",10302781,Right,RHO_RAM,71d43ec1-ac42-4592-987f-3e72eea8bf9d,54.25759,-132.9362,17.22574,5.83512,-9.74706,-3.83182,-1.30278,5.91459,-3.78547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-07,11:42:28.15,1,4,"Sabbath, Joe",828746,Right,RHO_RAM,"Luigs, Matt",10118709,Right,BRO_BEA,Undefined,1,Bottom,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.62315,-1.058856,-2.037417,2191.436352,189.020363,12:15,5.85888,1.48712,6.25608,-12.56552,21.91702,3.25977,3.83462,-0.1208,80.54274,-3.570155,-1.449021,0.42264,,,,,,,,,,,,-2.39717,12.04886,-1.33726,50,5.77366,4.52579,-131.23097,-2.66818,-4.06399,34.97128,-11.7472,BRO_BEA,RHO_RAM,MurrayStadium,D1,IVY,20260307-MurrayStadium-2,a0f16930-1a44-11f1-b03f-1f0408ee8956,89.18323,,,10.08041,,,,,,,ea7edf75-5c11-4d05-9274-5d2298c57a13,2026-03-07,16:42:28.15,2026-03-07T11:42:28.1520000-05:00,2026-03-07T16:42:28.1520000Z,,v3,471247,471418,,"Tolentino, Jayden",10302781,Right,RHO_RAM,0e5a792e-6e3c-4dc1-9e74-5b8a642aba73,54.23593,-132.35497,17.48564,5.85335,-2.29062,-5.8736,-1.48482,4.65641,-2.03199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-07,11:43:04.95,2,1,"Sabbath, Joe",828746,Right,RHO_RAM,"Petersen, Mika",1000139038,Left,BRO_BEA,Undefined,1,Bottom,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.32835,-0.478254,-1.541654,2348.607851,129.319941,10:15,5.73261,1.94099,5.47655,-36.81356,9.02772,-8.98725,2.21712,-0.25089,71.73255,-7.279942,-3.142229,0.487304,,,,,,,,,,,,4.02114,5.19154,-1.79929,50,5.66596,3.45232,-114.93528,-2.15045,5.2858,24.74238,-25.34977,BRO_BEA,RHO_RAM,MurrayStadium,D1,IVY,20260307-MurrayStadium-2,b6ed9d80-1a44-11f1-b03f-1f0408ee8956,77.34897,,,7.5958,,,,,,,ea7edf75-5c11-4d05-9274-5d2298c57a13,2026-03-07,16:43:04.95,2026-03-07T11:43:04.9520000-05:00,2026-03-07T16:43:04.9520000Z,,v3,471247,471418,,"Tolentino, Jayden",10302781,Right,RHO_RAM,2f4109da-5dfd-40cf-b497-80d1eb46e636,55.02002,-116.01092,12.37119,5.73549,-1.04841,-12.67488,-1.94438,3.22253,2.6429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-07,11:43:23.68,2,2,"Sabbath, Joe",828746,Right,RHO_RAM,"Petersen, Mika",1000139038,Left,BRO_BEA,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.01357,-0.80089,-2.550551,2184.29807,198.384309,12:30,5.83969,1.91214,6.16939,-13.09044,20.80257,6.50481,4.00829,0.09684,81.84105,-3.375378,-1.378891,0.419012,,,,,,,,,,,,-4.14551,11.31205,-1.72192,50,5.77199,5.59367,-131.92569,-2.13963,-7.19559,32.0228,-12.53917,BRO_BEA,RHO_RAM,MurrayStadium,D1,IVY,20260307-MurrayStadium-2,c20a4fb0-1a44-11f1-b03f-1f0408ee8956,89.95551,,,9.17253,,,,,,,ea7edf75-5c11-4d05-9274-5d2298c57a13,2026-03-07,16:43:23.68,2026-03-07T11:43:23.6890000-05:00,2026-03-07T16:43:23.6890000Z,,v3,471247,471418,,"Tolentino, Jayden",10302781,Right,RHO_RAM,b7b1c13b-fa42-4688-82fd-281cfe522e02,54.32548,-132.97149,16.0114,5.83518,-1.73013,-6.26958,-1.90843,5.82866,-3.5978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-07,11:43:51.34,2,3,"Sabbath, Joe",828746,Right,RHO_RAM,"Petersen, Mika",1000139038,Left,BRO_BEA,Undefined,1,Bottom,0,1,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.41678,0.141045,-0.703337,2394.429635,118.619655,10:00,5.75086,1.91096,5.41595,-38.43447,7.31867,-10.40209,2.68013,0.3852,71.83164,-6.948247,-2.554793,0.486835,74.04571,79.857092,-35.033503,5641.088176,,,,,16.19263,,,5.02544,4.08977,-1.84085,50,5.73689,1.82746,-115.12407,-0.98139,6.63418,24.63226,-26.77505,BRO_BEA,RHO_RAM,MurrayStadium,D1,IVY,20260307-MurrayStadium-2,d2942ae0-1a44-11f1-b03f-1f0408ee8956,77.42341,84.7285,,7.58514,,,,2.28135,2.78463,-0.42355,ea7edf75-5c11-4d05-9274-5d2298c57a13,2026-03-07,16:43:51.34,2026-03-07T11:43:51.3480000-05:00,2026-03-07T16:43:51.3480000Z,,v3,471247,471418,,"Tolentino, Jayden",10302781,Right,RHO_RAM,4dd5feb4-fcc9-49f6-934d-b73720ea6c94,55.08196,-116.20633,12.31613,5.75416,0.19502,-13.38753,-1.91474,1.53598,3.31709,,2.28134,15.66223,-10.94878,4.29066,-3.43401,5.54278,-5.8139,3.17388,-0.70425,2.78463,106.90285,-28.21736,3.33983,-0.45346,-0.23662,0.38797,-0.24057,0.0576,-0.42356,-10.97785,-2.15259,1.27069,-1.25595,2.10081,-2.21628,1.2135,-0.26987,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-07,11:44:32.87,2,4,"Sabbath, Joe",828746,Right,RHO_RAM,"Petersen, Mika",1000139038,Left,BRO_BEA,Undefined,1,Bottom,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.81428,-1.415924,-0.995826,2134.392617,199.417371,12:45,5.88981,1.48006,6.09024,-16.08965,17.59777,5.81729,3.23877,1.04358,82.786,-4.494884,0.052128,0.417739,,,,,,,,,,,,-3.27075,9.79678,-1.40622,50,5.77198,2.04519,-131.88636,-3.71044,-5.74592,28.72915,-14.96352,BRO_BEA,RHO_RAM,MurrayStadium,D1,IVY,20260307-MurrayStadium-2,eb4964b0-1a44-11f1-b03f-1f0408ee8956,90.22962,,,8.02829,,,,,,,ea7edf75-5c11-4d05-9274-5d2298c57a13,2026-03-07,16:44:32.87,2026-03-07T11:44:32.8770000-05:00,2026-03-07T16:44:32.8770000Z,,v3,471247,471418,,"Tolentino, Jayden",10302781,Right,RHO_RAM,fc289c5e-1a16-4c32-bea4-2e5d67f7a636,54.40746,-132.84297,14.36458,5.88723,-3.21219,-7.48176,-1.47751,2.23652,-2.87296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-07,11:44:56.26,2,5,"Sabbath, Joe",828746,Right,RHO_RAM,"Petersen, Mika",1000139038,Left,BRO_BEA,Undefined,1,Bottom,0,2,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.31082,-2.046601,-3.623516,1753.787866,266.815537,3:00,5.55917,2.00413,6.11444,-35.21927,2.29736,18.73485,0.72733,0.21055,78.87655,-8.556984,-0.246675,0.440842,,,,,,,,,,,,-10.86068,2.1178,-1.73601,50,5.38331,7.20217,-125.1408,-5.6309,-17.09659,26.9763,-28.84029,BRO_BEA,RHO_RAM,MurrayStadium,D1,IVY,20260307-MurrayStadium-2,f93d04a0-1a44-11f1-b03f-1f0408ee8956,85.50092,,,7.43427,,,,,,,ea7edf75-5c11-4d05-9274-5d2298c57a13,2026-03-07,16:44:56.26,2026-03-07T11:44:56.2660000-05:00,2026-03-07T16:44:56.2660000Z,,v3,471247,471418,,"Tolentino, Jayden",10302781,Right,RHO_RAM,d684112a-d0a9-448a-9e24-cc11a7bc0077,54.38745,-126.08304,13.48815,5.5624,-4.62355,-14.42015,-1.998,7.79933,-8.54829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-07,11:45:23.80,2,6,"Sabbath, Joe",828746,Right,RHO_RAM,"Petersen, Mika",1000139038,Left,BRO_BEA,Undefined,1,Bottom,0,2,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,75.22272,1.464939,-0.633536,2326.690186,38.663452,7:15,5.92431,1.41719,5.74333,-60.1031,-9.95654,-9.3202,2.28009,0.0506,68.69173,-9.527749,-2.305319,0.509673,82.47507,-3.321853,27.364733,2096.475244,,,,36.62037,34.62116,25.840388,0.288389,4.58614,-5.15437,-1.35855,50,6.00892,1.54066,-109.21788,0.90598,5.466,21.61907,-38.3173,BRO_BEA,RHO_RAM,MurrayStadium,D1,IVY,20260307-MurrayStadium-2,09b18310-1a45-11f1-b03f-1f0408ee8956,73.9541,2.89503,,6.53099,,,,3.18199,2.89503,0.15847,ea7edf75-5c11-4d05-9274-5d2298c57a13,2026-03-07,16:45:23.80,2026-03-07T11:45:23.8080000-05:00,2026-03-07T16:45:23.8080000Z,GroundBall,v3,471247,471418,,"Tolentino, Jayden",10302781,Right,RHO_RAM,4f28664f-dc7a-413b-b1cb-f233a376c843,54.75931,-110.15593,10.80953,5.93354,2.56856,-19.15865,-1.42025,1.30349,2.733,,3.18446,107.13318,-13.51568,,,,,,,2.89512,-7.01347,-10.49234,,,,,,,0.15865,55.49932,-2.43654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
