PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-03-13,15:04:23.95,1,1,"Haug, Max",835235,Right,GEO_COL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,88.04479,-0.626262,-1.778237,1729.822974,226.528453,1:30,5.52837,1.16036,5.83991,-21.11879,15.12646,14.69576,3.18613,0.73182,80.12282,-4.611025,0.856208,0.433308,,,,,,,,,,,,-7.98481,8.25819,-1.02399,50,5.465,3.33994,-127.79846,-2.05203,-13.14985,27.37445,-18.57401,GEO_COL,RHO_RAM,TuckerFieldatBarcroftPark,D1,A10,20260313-TuckerFieldatBarcroftPark-1,73673470-1f0f-11f1-9564-87d31657a38a,86.9876,,,7.92197,,,,,,,ccd754c6-179e-4428-8506-f8303114916d,2026-03-13,19:04:23.95,2026-03-13T15:04:23.9520768-04:00,2026-03-13T19:04:23.9520768Z,,v3,471301,471418,e909d2f51d674bd3931b5632b2a58cf3,"Lavey, Robbie",835215,Right,GEO_COL,2a8f1b25-382b-4723-9a5a-847c0f3a4a5e,54.65711,-128.79215,13.68722,5.52725,-1.3778,-9.287,-1.1539,3.81727,-6.57492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-13,15:04:37.67,1,2,"Haug, Max",835235,Right,GEO_COL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.38037,-1.865366,-2.478004,1695.963335,214.13925,1:15,5.43945,1.06886,5.88665,-22.80367,13.74721,8.54961,1.8048,-0.5211,80.19882,-6.128191,-0.944638,0.435131,,,,,,,,,,,,-5.03736,7.89083,-0.87383,50,5.27571,5.13381,-126.81064,-4.85403,-8.22732,25.2021,-19.28632,GEO_COL,RHO_RAM,TuckerFieldatBarcroftPark,D1,A10,20260313-TuckerFieldatBarcroftPark-1,7b891d30-1f0f-11f1-9564-87d31657a38a,86.62313,,,7.18155,,,,,,,ccd754c6-179e-4428-8506-f8303114916d,2026-03-13,19:04:37.67,2026-03-13T15:04:37.6744960-04:00,2026-03-13T19:04:37.6744960Z,,v3,471301,471418,e909d2f51d674bd3931b5632b2a58cf3,"Lavey, Robbie",835215,Right,GEO_COL,067635d6-d976-4ee5-8026-b277ac536f45,54.61121,-127.72377,12.60105,5.43892,-4.15524,-9.64316,-1.06524,5.43191,-4.11366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-13,15:04:53.44,1,3,"Haug, Max",835235,Right,GEO_COL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,1,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.74271,-0.37204,-2.097364,1738.451373,225.468475,1:30,5.42054,1.12199,6.03381,-22.63974,11.9932,11.28457,3.18916,0.11934,82.5694,-4.589761,-0.067546,0.423561,,,,,,,,,,,,-6.2865,6.55536,-0.96426,50,5.379,4.27348,-129.13512,-1.5649,-10.82321,21.95585,-20.88792,GEO_COL,RHO_RAM,TuckerFieldatBarcroftPark,D1,A10,20260313-TuckerFieldatBarcroftPark-1,84eea980-1f0f-11f1-9564-87d31657a38a,88.9894,,,6.17331,,,,,,,ccd754c6-179e-4428-8506-f8303114916d,2026-03-13,19:04:53.44,2026-03-13T15:04:53.4418432-04:00,2026-03-13T19:04:53.4418432Z,,v3,471301,471418,e909d2f51d674bd3931b5632b2a58cf3,"Lavey, Robbie",835215,Right,GEO_COL,6f90e763-521e-4d49-9ab3-8269beeb93b9,54.46663,-129.89232,10.97793,5.42054,-0.84452,-10.44396,-1.11807,4.64675,-5.4116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-13,15:05:07.64,1,4,"Haug, Max",835235,Right,GEO_COL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,1,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.49033,-0.259944,-2.390655,1871.194862,235.811512,1:45,5.42817,1.09924,6.10672,-21.62726,11.95796,16.15946,3.38531,0.23387,83.25132,-4.320516,0.519539,0.417105,76.59124,44.164572,-131.392588,4303.665256,,,,,31.26017,,,-8.98611,6.54697,-0.92404,50,5.39672,4.83068,-131.54958,-1.28396,-15.8636,25.96678,-20.61636,GEO_COL,RHO_RAM,TuckerFieldatBarcroftPark,D1,A10,20260313-TuckerFieldatBarcroftPark-1,8d6ae740-1f0f-11f1-9564-87d31657a38a,90.36681,29.89846,,7.23901,,,,0.2154,3.11043,-0.07772,ccd754c6-179e-4428-8506-f8303114916d,2026-03-13,19:05:07.64,2026-03-13T15:05:07.6400640-04:00,2026-03-13T19:05:07.6400640Z,,v3,471301,471418,e909d2f51d674bd3931b5632b2a58cf3,"Lavey, Robbie",835215,Right,GEO_COL,9c0c403b-0563-4f1d-a2fb-626bee690eb5,54.39359,-132.414,12.98339,5.42804,-0.59765,-10.30818,-1.09364,5.35877,-7.9318,38.39227,0.22121,-53.477,-0.21667,,,,,,,3.12543,77.76855,-29.13014,,,,,,,-0.08659,-60.15854,11.04903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-13,15:05:24.17,1,5,"Haug, Max",835235,Right,GEO_COL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.68685,-0.455279,-3.163012,2259.881406,268.787857,3:00,5.13596,1.3548,5.47172,-40.91471,1.79095,19.08844,1.29969,-0.01748,74.79452,-7.935539,0.236795,0.470342,,,,,,,,,,,,-10.55355,1.43193,-1.09012,50,5.06791,5.77347,-118.46557,-2.35998,-14.95123,23.28773,-30.14541,GEO_COL,RHO_RAM,TuckerFieldatBarcroftPark,D1,A10,20260313-TuckerFieldatBarcroftPark-1,974e0800-1f0f-11f1-9564-87d31657a38a,80.13834,,,6.89233,,,,,,,ccd754c6-179e-4428-8506-f8303114916d,2026-03-13,19:05:24.17,2026-03-13T15:05:24.1700000-04:00,2026-03-13T19:05:24.1700000Z,,v3,471301,471418,e909d2f51d674bd3931b5632b2a58cf3,"Lavey, Robbie",835215,Right,GEO_COL,ee9cdaeb-5a34-46d1-9a0d-30efbc0e3a1b,55.02848,-119.44997,11.64386,5.14074,-1.0857,-15.0727,-1.34753,6.40548,-7.47561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.68701,2.60822,1.499187,1.109033,0.32423,1.14576,0.0123,-1.31849,6.2454,-0.3608,70.187,2.03045,-54.59383,-1.29463,68.97303,-4.11027,6.27739,11.73234,-14.08417,-0.41563,-56.16647,6.67663,High,High,High,,,High,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-13,15:05:52.73,2,1,"Haug, Max",835235,Right,GEO_COL,"Botti, Aidan",1000396785,Left,RHO_RAM,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.29097,-0.527885,-1.156379,1985.599632,228.862186,1:45,5.43961,1.20761,6.05712,-21.4467,13.30166,13.99131,3.16366,1.30306,81.71294,-4.568057,1.363014,0.424266,,,,,,,,,,,,-7.50658,7.32713,-1.12507,50,5.38706,2.03674,-129.7666,-1.86092,-12.81079,26.93858,-19.66952,GEO_COL,RHO_RAM,TuckerFieldatBarcroftPark,D1,A10,20260313-TuckerFieldatBarcroftPark-1,a8555090-1f0f-11f1-9564-87d31657a38a,88.84143,,,7.57803,,,,,,,ccd754c6-179e-4428-8506-f8303114916d,2026-03-13,19:05:52.73,2026-03-13T15:05:52.7388672-04:00,2026-03-13T19:05:52.7388672Z,,v3,471301,471418,e909d2f51d674bd3931b5632b2a58cf3,"Lavey, Robbie",835215,Right,GEO_COL,5208cd0b-a4ea-4e32-adde-81bff3d0ddef,54.44105,-130.68528,13.46929,5.43909,-1.19014,-9.83476,-1.20197,2.47362,-6.4054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-13,15:06:07.58,2,2,"Haug, Max",835235,Right,GEO_COL,"Botti, Aidan",1000396785,Left,RHO_RAM,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.3209,-0.180369,-3.565466,2308.340848,265.203578,2:45,5.13093,1.3466,5.82082,-39.39734,2.71768,17.68257,1.6798,-0.49901,75.13656,-7.415334,-0.398718,0.467079,,,,,,,,,,,,-9.96284,1.80776,-1.06531,50,5.09261,6.6793,-118.07303,-1.6594,-14.17396,20.84283,-29.60218,GEO_COL,RHO_RAM,TuckerFieldatBarcroftPark,D1,A10,20260313-TuckerFieldatBarcroftPark-1,b12ef090-1f0f-11f1-9564-87d31657a38a,80.69827,,,6.18434,,,,,,,ccd754c6-179e-4428-8506-f8303114916d,2026-03-13,19:06:07.58,2026-03-13T15:06:07.5808256-04:00,2026-03-13T19:06:07.5808256Z,,v3,471301,471418,e909d2f51d674bd3931b5632b2a58cf3,"Lavey, Robbie",835215,Right,GEO_COL,7cfe7f7b-671b-4fcb-b218-1fb707ca4624,54.68033,-118.89636,10.42142,5.13507,-0.49007,-14.80109,-1.34021,7.2392,-7.08698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-13,15:06:21.72,2,3,"Haug, Max",835235,Right,GEO_COL,"Botti, Aidan",1000396785,Left,RHO_RAM,Undefined,1,Top,1,1,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,89.22776,-0.92288,-2.229405,1894.038924,222.944775,1:30,5.42369,1.08653,6.03338,-21.15064,13.92308,11.87481,2.80582,0.01061,81.17134,-4.920089,-0.093563,0.426248,100.77383,-4.650971,4.784454,,,,,29.44499,28.81812,4.654463,0.194587,-6.80544,7.79004,-0.91894,50,5.34017,4.55642,-129.52791,-2.73867,-11.49541,28.50355,-19.01544,GEO_COL,RHO_RAM,TuckerFieldatBarcroftPark,D1,A10,20260313-TuckerFieldatBarcroftPark-1,b98333f0-1f0f-11f1-9564-87d31657a38a,88.42844,2.87598,,8.05642,,,,1.67372,2.87598,0.03172,ccd754c6-179e-4428-8506-f8303114916d,2026-03-13,19:06:21.72,2026-03-13T15:06:21.7266176-04:00,2026-03-13T19:06:21.7266176Z,GroundBall,v3,471301,471418,e909d2f51d674bd3931b5632b2a58cf3,"Lavey, Robbie",835215,Right,GEO_COL,0b4c3f88-f793-4565-a92d-5e47fa838162,54.46527,-130.50683,14.25178,5.42302,-2.08561,-9.50772,-1.08221,4.95121,-5.74771,296.475705,1.67531,146.69282,-23.06781,,,,,,,2.87645,-12.0165,-14.227,,,,,,,0.03174,12.28561,-0.87226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-13,15:07:11.75,3,1,"Haug, Max",835235,Right,GEO_COL,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.30407,-0.381737,-2.112919,1897.602985,212.08777,1:00,5.39121,1.11853,6.14552,-22.16281,13.108,7.56307,3.19132,-0.20454,81.16434,-4.550543,-0.749931,0.427444,,,,,,,,,,,,-4.44508,7.20056,-0.96136,50,5.35058,4.4276,-128.33371,-1.53101,-7.45973,24.99399,-20.09005,GEO_COL,RHO_RAM,TuckerFieldatBarcroftPark,D1,A10,20260313-TuckerFieldatBarcroftPark-1,d763f9e0-1f0f-11f1-9564-87d31657a38a,88.18102,,,7.13973,,,,,,,ccd754c6-179e-4428-8506-f8303114916d,2026-03-13,19:07:11.75,2026-03-13T15:07:11.7530624-04:00,2026-03-13T19:07:11.7530624Z,,v3,471301,471418,e909d2f51d674bd3931b5632b2a58cf3,"Lavey, Robbie",835215,Right,GEO_COL,08a0ef79-9fe9-4523-8070-cb232a92302d,54.35246,-129.1786,12.497,5.39086,-0.85188,-10.04503,-1.11529,4.67977,-3.72986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-13,15:07:33.33,3,2,"Haug, Max",835235,Right,GEO_COL,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.02519,-2.824071,-4.531322,1955.129414,236.720785,2:00,5.25188,1.04165,5.97415,-22.57611,12.24131,17.18162,0.74217,-1.73605,82.71605,-7.012244,-1.45295,0.424688,,,,,,,,,,,,-9.85776,7.25248,-0.69188,50,5.01488,9.52041,-129.05267,-7.11814,-16.90905,22.54998,-19.73384,GEO_COL,RHO_RAM,TuckerFieldatBarcroftPark,D1,A10,20260313-TuckerFieldatBarcroftPark-1,e4453f70-1f0f-11f1-9564-87d31657a38a,88.7533,,,6.30913,,,,,,,ccd754c6-179e-4428-8506-f8303114916d,2026-03-13,19:07:33.33,2026-03-13T15:07:33.3396480-04:00,2026-03-13T19:07:33.3396480Z,,v3,471301,471418,e909d2f51d674bd3931b5632b2a58cf3,"Lavey, Robbie",835215,Right,GEO_COL,1c8bfaba-1596-4f88-98a9-b6c74308b57f,54.52656,-129.84121,11.27499,5.25173,-6.42807,-9.86692,-1.03513,10.11169,-8.45452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
