PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-03-27,12:06:48.81,1,1,"Topolski, Chase",1000222089,Right,RIC_SPI,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,0,0,FourSeamFastBall,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,91.51996,-2.448957,-3.530879,2348.024665,225.79815,1:30,6.19735,2.00618,6.11657,-19.55139,13.64839,12.93205,2.29814,-0.18485,83.68381,-6.135065,-1.204664,0.414705,99.46162,25.247889,2.06568,3000.397039,109.99193,51.21788,1.32571,350.02279,346.95177,-3.45496,4.996048,-7.7004,8.06367,-1.74205,50,5.99896,7.65224,-132.68575,-6.29172,-13.71905,28.55956,-17.80782,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260327-PittFieldUOR-1,f62305a0-29f6-11f1-b71b-1b27000333c5,90.8898,76.25916,,7.83616,,,,1.50219,2.33649,0.17455,78cd523f-27a9-40b6-9a96-ecfe46442a3f,2026-03-27,16:06:48.81,2026-03-27T12:06:48.8125440-04:00,2026-03-27T16:06:48.8125440Z,FlyBall,v3,471420,471418,3895ed5341e14b2da8faae54efc58c39,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,255235d0-4629-495d-bce0-bd1ccfeccaaa,54.38392,-133.62602,14.27978,6.19645,-5.70543,-8.90391,-2.00142,8.10391,-6.85952,167.667471,1.5019,131.86217,-28.81545,7.02283,-1.60712,0.34879,-0.06006,0.00639,-0.0003,2.33811,62.18535,-12.9077,-0.69597,0.58274,-0.22199,0.048,-0.00532,0.00023,0.17465,4.75413,-4.66081,1.3276,-0.33872,0.07539,-0.01245,0.00125,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-27,12:07:20.22,2,1,"Topolski, Chase",1000222089,Right,RIC_SPI,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.33719,-0.778301,-3.389118,2191.432604,227.03167,1:30,6.13062,1.88647,6.17906,-21.46371,11.66631,11.41422,3.62193,-0.2958,83.57004,-4.819046,-1.333775,0.414269,,,,,,,,,,,,-6.81563,6.5652,-1.63569,50,6.06074,7.37247,-132.56221,-2.47993,-12.14936,27.86792,-20.47116,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260327-PittFieldUOR-1,08df0310-29f7-11f1-b71b-1b27000333c5,90.98549,,,7.76716,,,,,,,78cd523f-27a9-40b6-9a96-ecfe46442a3f,2026-03-27,16:07:20.22,2026-03-27T12:07:20.2238464-04:00,2026-03-27T16:07:20.2238464Z,,v3,471420,471418,3895ed5341e14b2da8faae54efc58c39,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,1a79df30-492b-444e-aabf-9e6b98035377,54.32034,-133.46737,13.93396,6.1305,-1.81502,-10.23558,-1.88156,7.76709,-6.07468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-27,12:07:33.64,2,2,"Topolski, Chase",1000222089,Right,RIC_SPI,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,1,1,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.74286,-1.460288,-4.030083,2347.046924,225.806025,1:30,6.12549,1.91808,6.36487,-18.51718,14.26233,13.56702,3.23495,-0.66612,83.61111,-4.987006,-1.581175,0.412071,,,,,,,,,,,,-8.16319,8.15737,-1.63192,50,6.01079,8.80613,-133.01063,-3.93119,-14.59568,29.04879,-17.58876,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260327-PittFieldUOR-1,10e09290-29f7-11f1-b71b-1b27000333c5,91.47066,,,8.13174,,,,,,,78cd523f-27a9-40b6-9a96-ecfe46442a3f,2026-03-27,16:07:33.64,2026-03-27T12:07:33.6416768-04:00,2026-03-27T16:07:33.6416768Z,,v3,471420,471418,3895ed5341e14b2da8faae54efc58c39,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,4fe8191c-f2c6-4bf8-a207-b1dc06d38a2e,54.13371,-133.91037,14.5244,6.12412,-3.38641,-8.79438,-1.91167,9.25821,-7.29784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-27,12:07:48.86,2,3,"Topolski, Chase",1000222089,Right,RIC_SPI,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,1,1,1,FourSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.02834,-1.619463,-3.997587,2353.540698,226.117088,1:30,6.18102,1.84778,6.15347,-15.84273,17.20288,16.68926,3.36047,-0.46095,83.28769,-4.668391,-0.996642,0.413741,,,,,,,,,,,,-9.8278,9.71394,-1.55185,50,6.04943,8.6068,-133.31824,-4.21796,-17.53313,31.00286,-14.84408,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260327-PittFieldUOR-1,19f36b00-29f7-11f1-b71b-1b27000333c5,91.10158,,,8.74066,,,,,,,78cd523f-27a9-40b6-9a96-ecfe46442a3f,2026-03-27,16:07:48.86,2026-03-27T12:07:48.8610304-04:00,2026-03-27T16:07:48.8610304Z,,v3,471420,471418,3895ed5341e14b2da8faae54efc58c39,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,f1acb118-1272-46b4-8734-2c49d2a1890b,54.34555,-134.32499,15.50143,6.17858,-3.73593,-7.42204,-1.84058,9.17615,-8.76657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-27,12:08:07.14,2,4,"Topolski, Chase",1000222089,Right,RIC_SPI,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,1,1,2,Slider,Curveball,InPlay,Undefined,LineDrive,Double,0,0,,77.63205,0.465703,-0.942306,2130.902176,89.291353,9:00,5.83356,2.09701,5.58096,-45.35522,1.27626,-7.59288,2.48895,0.58416,71.74687,-7.820691,-2.298449,0.491486,91.69712,1.224408,-40.126989,3869.686889,,,,60.60783,57.42375,-42.05456,0.462304,3.62461,0.89268,-2.01079,50,5.8436,2.13836,-112.82979,-0.55057,4.6932,19.67694,-31.01818,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260327-PittFieldUOR-1,24e1e140-29f7-11f1-b71b-1b27000333c5,76.69079,2.875,,5.88518,,,,1.87946,2.77321,-0.8812,78cd523f-27a9-40b6-9a96-ecfe46442a3f,2026-03-27,16:08:07.14,2026-03-27T12:08:07.1470080-04:00,2026-03-27T16:08:07.1470080Z,GroundBall,v3,471420,471418,3895ed5341e14b2da8faae54efc58c39,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,7afc41c0-9913-4f6d-a12e-74c141fb1f37,54.92082,-113.68471,9.83847,5.83824,0.79711,-15.50909,-2.09927,1.93445,2.3466,,1.89352,102.40238,-19.8676,,,,,,,2.78245,2.60619,-18.6975,,,,,,,-0.87577,-86.81503,1.91015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-27,12:08:55.48,3,1,"Topolski, Chase",1000222089,Right,RIC_SPI,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,0,0,FourSeamFastBall,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,91.65458,-2.063948,-2.593831,2197.3011,232.486654,1:45,6.09925,2.00656,6.3632,-20.2197,12.50855,14.92729,2.51211,0.86184,83.81538,-5.888146,0.108031,0.411749,90.29892,9.953874,-7.501792,883.243123,109.55086,7.76483,-9.9272,147.14908,147.14908,-4.268866,1.423704,-8.5478,7.42453,-1.82561,50,5.9402,5.4307,-133.08522,-5.40787,-15.3085,28.94233,-18.87728,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260327-PittFieldUOR-1,41a32d70-29f7-11f1-b71b-1b27000333c5,91.54221,9.78827,,7.8392,,,,0.90125,2.44579,-0.85849,78cd523f-27a9-40b6-9a96-ecfe46442a3f,2026-03-27,16:08:55.48,2026-03-27T12:08:55.4801152-04:00,2026-03-27T16:08:55.4801152Z,LineDrive,v3,471420,471418,3895ed5341e14b2da8faae54efc58c39,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,18c86281-5f4a-405e-8906-2dd3783818b8,54.13751,-133.98199,14.47116,6.0987,-4.82297,-9.43864,-2.00123,5.90503,-7.65425,254.017713,0.90125,129.32814,-25.59061,6.16327,-1.30247,0.24886,-0.04479,0.00643,-0.0005,2.44579,22.89265,-18.21129,0.45186,0.26532,-0.13306,0.0411,-0.00825,0.00088,-0.85849,-17.03048,11.36628,-4.51049,1.40872,-0.38845,0.09538,-0.01776,0.00176,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-27,12:09:55.40,4,1,"Topolski, Chase",1000222089,Right,RIC_SPI,"Hopko, Jack",1000182865,Left,RHO_RAM,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.56231,0.440261,-1.209636,2311.591342,90.057575,9:00,5.9721,2.23041,5.37086,-47.25467,1.6085,-9.91217,2.44709,0.27009,70.08436,-8.183411,-2.972899,0.503109,,,,,,,,,,,,4.60142,1.18693,-2.11478,50,5.97832,2.7326,-111.0788,-0.7129,5.71349,21.04464,-30.70024,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260327-PittFieldUOR-1,656c66e0-29f7-11f1-b71b-1b27000333c5,74.919,,,6.47795,,,,,,,78cd523f-27a9-40b6-9a96-ecfe46442a3f,2026-03-27,16:09:55.40,2026-03-27T12:09:55.4075136-04:00,2026-03-27T16:09:55.4075136Z,,v3,471420,471418,3895ed5341e14b2da8faae54efc58c39,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,119b885b-c0c3-4b32-8e20-e470f5a23597,55.128,-112.04613,10.52232,5.97866,0.69824,-15.35012,-2.23435,2.46998,2.85675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-27,12:10:14.17,4,2,"Topolski, Chase",1000222089,Right,RIC_SPI,"Hopko, Jack",1000182865,Left,RHO_RAM,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.63675,1.769379,-0.70179,2330.779719,91.65896,9:00,5.96152,2.08758,5.47539,-48.66727,1.43201,-4.8176,3.56229,1.02937,69.61262,-7.088872,-1.559931,0.509433,,,,,,,,,,,,2.27024,0.73839,-2.02257,50,6.0835,1.50645,-108.53791,1.79957,2.75593,15.85486,-31.27771,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260327-PittFieldUOR-1,709bddc0-29f7-11f1-b71b-1b27000333c5,73.98899,,,5.02413,,,,,,,78cd523f-27a9-40b6-9a96-ecfe46442a3f,2026-03-27,16:10:14.17,2026-03-27T12:10:14.1792256-04:00,2026-03-27T16:10:14.1792256Z,,v3,471420,471418,3895ed5341e14b2da8faae54efc58c39,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,89b76650-3f75-4029-a479-0399390e5c8a,55.0265,-109.2697,7.92743,5.96713,3.2432,-15.63886,-2.08916,1.37925,1.37796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-27,12:10:46.78,4,3,"Topolski, Chase",1000222089,Right,RIC_SPI,"Hopko, Jack",1000182865,Left,RHO_RAM,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.14362,-0.034485,-2.406099,1913.63346,230.968513,1:45,6.14567,2.00286,6.279,-31.99624,10.54973,11.48028,3.44751,0.74045,73.93985,-6.012104,-0.331725,0.469462,,,,,,,,,,,,-6.57863,5.88347,-1.83051,50,6.1275,4.48481,-116.50789,-0.9806,-9.1115,20.32409,-24.02536,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260327-PittFieldUOR-1,83fef0a0-29f7-11f1-b71b-1b27000333c5,80.28853,,,6.20378,,,,,,,78cd523f-27a9-40b6-9a96-ecfe46442a3f,2026-03-27,16:10:46.78,2026-03-27T12:10:46.7810000-04:00,2026-03-27T16:10:46.7810000Z,,v3,471420,471418,3895ed5341e14b2da8faae54efc58c39,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,b4c5a01e-dea3-4cbb-bc57-bdffd1f3a315,54.22116,-117.24193,10.16204,6.14725,-0.11287,-12.01268,-1.99843,4.81389,-4.55575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.14271,2.013551,0.682496,1.331055,-0.96317,3.19062,-0.72861,-0.74698,5.99537,-0.02336,127.28881,5.21036,-0.24285,-0.51374,112.27444,-12.42055,6.03469,15.91025,-12.45936,-0.08213,-2.98643,2.20342,High,High,High,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-27,12:11:11.08,4,4,"Topolski, Chase",1000222089,Right,RIC_SPI,"Hopko, Jack",1000182865,Left,RHO_RAM,Undefined,1,Top,1,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.71445,-0.716635,-1.889832,1925.200267,239.917833,2:00,6.12113,1.81968,6.32984,-33.03876,10.02788,15.04824,2.7076,1.33281,73.40155,-6.890067,0.834875,0.472326,,,,,,,,,,,,-8.31874,5.83091,-1.68847,50,6.05322,3.28668,-115.88562,-2.38186,-11.3499,20.98499,-24.21851,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260327-PittFieldUOR-1,927f1920-29f7-11f1-b71b-1b27000333c5,79.80173,,,6.3129,,,,,,,78cd523f-27a9-40b6-9a96-ecfe46442a3f,2026-03-27,16:11:11.08,2026-03-27T12:11:11.0808576-04:00,2026-03-27T16:11:11.0808576Z,,v3,471420,471418,3895ed5341e14b2da8faae54efc58c39,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,9ec30756-98bd-41e0-bf2f-725d34f1eee0,54.17,-116.6383,10.49249,6.12307,-1.51321,-12.10926,-1.81366,3.69377,-5.67495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
