,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
0,1,2026-04-14,15:01:55.94,1,1,"Vanesko, Jackson",1000077150,Left,BRY_BUL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.13914,-2.149934,3.424133,2205.697678,153.372129,11:00,6.10116,-1.48972,6.61912,-18.30473,19.26757,-8.92134,2.60245,0.90633,77.06701,-5.718972,1.804741,0.441169,,,,,,,,,,,,5.83524,11.26568,1.26015,50,5.94707,-7.11513,-124.69869,-5.10227,8.96989,30.62366,-14.85652,BRY_BUL,RHO_RAM,BryantUniversity,D1,AMEAST,20260414-BryantUniversity-1,2ef5edc0-3834-11f1-95e8-8d3402b3d4c6,85.43757,,,9.07213,,,,,,,3e4f2fd6-94f3-4522-a965-0125fa904d26,2026-04-14,19:01:55.94,2026-04-14T15:01:55.9478784-04:00,2026-04-14T19:01:55.9478784Z,,v3,471248,471418,,"Durand, Brandyn",1000090563,Right,BRY_BUL,e81bcd72-9b0e-4c2b-a2eb-4900da391cea,53.87422,-125.64652,15.31183,6.09788,-4.64244,-7.42826,1.48467,-7.39276,4.48494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,145.191519,-13.615542,2143.711352,0.971897,10:45,0.261706,0.563234,-0.783759,24.621999,-6.410248,27.350439,156.353656,-0.084464,0.40109,-0.001474,-0.916038,0.092206,-23.646317,0.001474,-0.40109,0.916038,-0.092206,23.646317,-0.001474,0.40109,0.916038,-156.353656,0.084464,-0.40109,0.001474,-0.916038
1,2,2026-04-14,15:02:11.37,1,2,"Vanesko, Jackson",1000077150,Left,BRY_BUL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.88461,-1.658499,1.523207,2172.98888,155.409459,11:15,6.12649,-1.5889,6.39162,-18.23127,19.10218,-8.05028,3.08085,-0.85845,77.33478,-5.21366,0.064896,0.439765,,,,,,,,,,,,4.68618,10.93426,1.4826,50,5.99869,-3.01557,-125.85278,-4.0774,7.30058,32.35878,-15.13957,BRY_BUL,RHO_RAM,BryantUniversity,D1,AMEAST,20260414-BryantUniversity-1,3824b2a0-3834-11f1-95e8-8d3402b3d4c6,85.71048,,,9.54983,,,,,,,3e4f2fd6-94f3-4522-a965-0125fa904d26,2026-04-14,19:02:11.37,2026-04-14T15:02:11.3701376-04:00,2026-04-14T19:02:11.3701376Z,,v3,471248,471418,,"Durand, Brandyn",1000090563,Right,BRY_BUL,1bc9585e-2d78-404e-9ae4-55c9b77c18b7,54.09967,-126.90249,16.17939,6.123,-3.58627,-7.56979,1.58426,-3.2524,3.65029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,145.771053,-5.251218,2163.868807,0.995803,10:45,0.097132,0.562555,-0.821035,19.421903,-3.74964,44.372727,155.908237,1.871435,0.407981,0.032657,-0.912406,2.049859,24.078098,0.032657,0.407981,0.912406,-2.049859,-24.078098,-0.032657,-0.407981,0.912406,-155.908237,-1.871435,-0.407981,-0.032657,-0.912406
2,3,2026-04-14,15:02:31.16,1,3,"Vanesko, Jackson",1000077150,Left,BRY_BUL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.25569,1.988045,1.223758,2614.370904,261.423106,2:45,5.86113,-1.82793,5.79319,-43.61514,3.05571,6.49973,4.07698,-0.14777,69.53547,-6.177636,2.387503,0.491693,,,,,,,,,,,,-2.74213,1.42319,1.72361,50,5.99999,-2.71358,-114.46562,2.57582,-3.47665,29.84646,-30.36966,BRY_BUL,RHO_RAM,BryantUniversity,D1,AMEAST,20260414-BryantUniversity-1,43fc0240-3834-11f1-95e8-8d3402b3d4c6,76.65844,,,9.72022,,,,,,,3e4f2fd6-94f3-4522-a965-0125fa904d26,2026-04-14,19:02:31.16,2026-04-14T15:02:31.1681024-04:00,2026-04-14T19:02:31.1681024Z,,v3,471248,471418,,"Durand, Brandyn",1000090563,Right,BRY_BUL,ef4b0b60-3cf6-45e4-87ed-e6dd5b9802d0,54.69519,-115.6834,14.92323,5.86962,3.81495,-15.18483,1.83143,-2.57172,-1.73832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,242.561764,-86.793881,146.216883,0.055928,2:00,0.996435,-0.084243,-0.004491,-83.039501,34.687693,43.883468,142.131328,-27.398664,0.544995,-0.460179,-0.700868,33.2883,-33.024342,0.460179,-0.544995,0.700868,-33.2883,33.024342,-0.460179,0.544995,0.700868,-142.131328,27.398664,-0.544995,0.460179,-0.700868
3,4,2026-04-14,15:02:49.00,1,4,"Vanesko, Jackson",1000077150,Left,BRY_BUL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.13139,-1.806147,3.795089,2186.339657,147.133402,11:00,6.12298,-1.45639,6.68171,-19.69245,16.89954,-10.00493,2.8257,1.18629,78.04702,-5.623222,1.977798,0.435376,,,,,,,,,,,,6.50949,9.90323,1.2058,50,5.99396,-7.97569,-126.13967,-4.4578,10.25585,30.9515,-16.57126,BRY_BUL,RHO_RAM,BryantUniversity,D1,AMEAST,20260414-BryantUniversity-1,4e921f50-3834-11f1-95e8-8d3402b3d4c6,86.57448,,,9.08436,,,,,,,3e4f2fd6-94f3-4522-a965-0125fa904d26,2026-04-14,19:02:49.00,2026-04-14T15:02:49.0098176-04:00,2026-04-14T19:02:49.0098176Z,,v3,471248,471418,,"Durand, Brandyn",1000090563,Right,BRY_BUL,e7542f7f-6821-4b95-ad4d-d645264adfac,53.81157,-127.07149,15.47575,6.12065,-3.9589,-8.28563,1.45056,-8.28445,5.12792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,146.107805,-11.14526,2145.105901,0.98114,10:45,0.229477,0.552936,-0.801001,29.636769,5.14964,26.578934,148.454592,-1.934198,0.522876,-0.033752,-0.85174,2.269259,-31.52537,0.033752,-0.522876,0.85174,-2.269259,31.52537,-0.033752,0.522876,0.85174,-148.454592,1.934198,-0.522876,0.033752,-0.85174
4,5,2026-04-14,15:03:08.37,1,5,"Vanesko, Jackson",1000077150,Left,BRY_BUL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,87.82643,-1.880124,1.642793,2250.089829,145.073344,10:45,6.16133,-1.55387,6.45718,-18.08092,18.54749,-11.87753,2.92615,-1.03416,77.82194,-5.416474,-0.511629,0.435593,77.58441,-1.032699,36.795365,2887.342104,,,,34.19917,33.28312,36.607065,0.295645,6.84201,10.84028,1.44267,50,6.02032,-3.17847,-127.21453,-4.61315,10.81787,34.64233,-15.0345,BRY_BUL,RHO_RAM,BryantUniversity,D1,AMEAST,20260414-BryantUniversity-1,5a129c60-3834-11f1-95e8-8d3402b3d4c6,86.53141,2.86426,,10.00448,,,,1.4323,2.86426,0.91747,3e4f2fd6-94f3-4522-a965-0125fa904d26,2026-04-14,19:03:08.37,2026-04-14T15:03:08.3761152-04:00,2026-04-14T19:03:08.3761152Z,GroundBall,v3,471248,471418,,"Durand, Brandyn",1000090563,Right,BRY_BUL,43f2442b-c37e-4043-96a5-1f41fd6eb6a4,54.03712,-128.30918,17.32117,6.15859,-4.13808,-7.51725,1.54851,-3.5203,5.40893,,1.4325,91.09722,-10.43399,,,,,,,2.8681,-2.22306,-25.33669,,,,,,,0.91758,68.13962,-7.65478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,148.702418,-7.091623,2232.876641,0.99235,11:00,0.130742,0.519282,-0.844543,22.917095,5.128648,40.6042,149.256389,-1.594221,0.510999,-0.027821,-0.859131,1.854733,-30.730421,0.027821,-0.510999,0.859131,-1.854733,30.730421,-0.027821,0.510999,0.859131,-149.256389,1.594221,-0.510999,0.027821,-0.859131
5,6,2026-04-14,15:03:40.03,2,1,"Vanesko, Jackson",1000077150,Left,BRY_BUL,"King, Ryan",1000121045,Right,RHO_RAM,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.89546,-1.928691,0.957069,2243.498098,162.89261,11:30,6.18809,-1.40017,6.3131,-15.14824,21.35804,-6.12544,3.14825,-1.02896,78.36771,-4.912522,-0.151017,0.434866,,,,,,,,,,,,3.4763,12.12859,1.33263,50,6.03926,-1.87019,-127.33229,-4.61392,5.55738,32.54632,-12.78467,BRY_BUL,RHO_RAM,BryantUniversity,D1,AMEAST,20260414-BryantUniversity-1,6cf42330-3834-11f1-95e8-8d3402b3d4c6,86.67601,,,9.52775,,,,,,,3e4f2fd6-94f3-4522-a965-0125fa904d26,2026-04-14,19:03:40.03,2026-04-14T15:03:40.0385536-04:00,2026-04-14T19:03:40.0385536Z,,v3,471248,471418,,"Durand, Brandyn",1000090563,Right,BRY_BUL,aa955982-344b-4372-9c7e-1686f51687ac,54.1784,-128.39585,16.27316,6.18321,-4.19614,-6.39234,1.39671,-2.05179,2.77869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,148.947795,-5.427374,2233.440246,0.995517,11:00,0.091483,0.516399,-0.851448,16.449102,-0.095547,39.540639,156.471895,4.874548,0.397755,0.084974,-0.913548,5.314116,23.437909,0.084974,0.397755,0.913548,-5.314116,-23.437909,-0.084974,-0.397755,0.913548,-156.471895,-4.874548,-0.397755,-0.084974,-0.913548
6,7,2026-04-14,15:03:55.64,2,2,"Vanesko, Jackson",1000077150,Left,BRY_BUL,"King, Ryan",1000121045,Right,RHO_RAM,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.41896,-3.120952,1.951576,1579.507054,161.761475,11:30,5.74035,-1.90457,6.63089,-24.08442,15.95505,-4.73933,0.87135,-0.512,74.90134,-7.730894,1.088767,0.455424,,,,,,,,,,,,3.2002,9.96024,1.77432,50,5.51909,-3.94886,-120.84881,-7.19438,4.6106,29.20965,-17.82415,BRY_BUL,RHO_RAM,BryantUniversity,D1,AMEAST,20260414-BryantUniversity-1,764452c0-3834-11f1-95e8-8d3402b3d4c6,82.76345,,,8.51761,,,,,,,3e4f2fd6-94f3-4522-a965-0125fa904d26,2026-04-14,19:03:55.64,2026-04-14T15:03:55.6441600-04:00,2026-04-14T19:03:55.6441600Z,,v3,471248,471418,,"Durand, Brandyn",1000090563,Right,BRY_BUL,0047c256-5323-4a33-bc32-03dc1dcf31ef,53.86515,-121.77945,14.60483,5.73926,-6.62649,-8.91208,1.90247,-4.09575,2.3053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,136.691856,0.310223,1579.483902,0.999985,10:30,-0.017945,0.6846,-0.728698,101.004687,-35.983762,40.906817,167.969471,68.528461,0.076295,0.9306,-0.358,68.958376,4.375608,0.9306,0.076295,0.358,-68.958376,-4.375608,-0.9306,-0.076295,0.358,-167.969471,-68.528461,-0.076295,-0.9306,-0.358
7,8,2026-04-14,15:04:14.30,2,3,"Vanesko, Jackson",1000077150,Left,BRY_BUL,"King, Ryan",1000121045,Right,RHO_RAM,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Double,0,0,,87.66504,-2.102253,2.310693,2275.469563,150.910469,11:00,6.10757,-1.47677,6.68258,-17.14324,19.11973,-9.82465,2.75366,-0.18081,78.12313,-5.467239,0.522195,0.433414,87.35801,2.715948,-42.016723,3409.272979,,,,60.2729,57.97596,-42.863563,0.494304,6.00894,11.24694,1.32587,50,5.96001,-4.74917,-127.03168,-5.04725,9.5349,33.0323,-14.32759,BRY_BUL,RHO_RAM,BryantUniversity,D1,AMEAST,20260414-BryantUniversity-1,816a7ad0-3834-11f1-95e8-8d3402b3d4c6,86.96635,3.02933,,9.54191,,,,1.74778,2.65256,0.22624,3e4f2fd6-94f3-4522-a965-0125fa904d26,2026-04-14,19:04:14.30,2026-04-14T15:04:14.3088640-04:00,2026-04-14T19:04:14.3088640Z,GroundBall,v3,471248,471418,,"Durand, Brandyn",1000090563,Right,BRY_BUL,5a4ae8dd-1fe7-4bd3-90a7-15799abc946c,53.81201,-128.01908,16.51615,6.10448,-4.61897,-7.16379,1.4721,-5.03419,4.76745,,1.76309,94.66755,-17.98148,,,,,,,2.67003,5.59614,-22.31648,,,,,,,0.23024,-85.77405,4.7624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,147.587088,-14.028923,2207.600227,0.970173,11:00,0.256013,0.528572,-0.809364,24.819549,7.572884,18.076254,149.22178,3.973789,0.510486,0.0693,-0.857089,4.622607,30.696212,0.0693,0.510486,0.857089,-4.622607,-30.696212,-0.0693,-0.510486,0.857089,-149.22178,-3.973789,-0.510486,-0.0693,-0.857089
8,9,2026-04-14,15:04:56.75,3,1,"Vanesko, Jackson",1000077150,Left,BRY_BUL,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.12787,0.75497,0.832939,2203.591287,184.030497,12:15,6.12109,-1.86719,6.08067,-39.14837,4.95622,0.23169,3.55733,-1.0772,71.93487,-6.568583,0.874695,0.477984,,,,,,,,,,,,0.16839,2.84008,1.80273,50,6.15945,-1.69779,-116.15517,0.33105,0.22491,26.29066,-28.38063,BRY_BUL,RHO_RAM,BryantUniversity,D1,AMEAST,20260414-BryantUniversity-1,9ab31b00-3834-11f1-95e8-8d3402b3d4c6,78.85713,,,8.193,,,,,,,3e4f2fd6-94f3-4522-a965-0125fa904d26,2026-04-14,19:04:56.75,2026-04-14T15:04:56.7580160-04:00,2026-04-14T19:04:56.7580160Z,,v3,471248,471418,,"Durand, Brandyn",1000090563,Right,BRY_BUL,c4740efb-5537-463d-be72-0da05b61bebc,54.41233,-117.1496,13.14533,6.12663,1.40453,-14.19031,1.86711,-1.70629,0.11246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,155.811096,-68.986509,790.180865,0.358588,11:15,0.940007,0.134617,-0.313472,-37.98309,-45.846497,-1.40815,144.747933,42.220102,0.427438,0.67198,-0.604764,48.013659,25.305053,0.67198,0.427438,0.604764,-48.013659,-25.305053,-0.67198,-0.427438,0.604764,-144.747933,-42.220102,-0.427438,-0.67198,-0.604764
9,10,2026-04-14,15:05:15.94,3,2,"Vanesko, Jackson",1000077150,Left,BRY_BUL,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.05828,0.742869,2.830753,2312.254929,238.039431,2:00,6.0591,-1.58691,6.06425,-40.43333,3.48666,3.13028,3.37804,1.29585,72.55497,-6.772646,3.393423,0.476983,,,,,,,,,,,,-0.72098,1.92378,1.36552,50,6.09505,-5.85355,-116.10028,0.28476,-0.96896,24.84769,-29.58853,BRY_BUL,RHO_RAM,BryantUniversity,D1,AMEAST,20260414-BryantUniversity-1,a6231d50-3834-11f1-95e8-8d3402b3d4c6,79.02269,,,7.50331,,,,,,,3e4f2fd6-94f3-4522-a965-0125fa904d26,2026-04-14,19:05:15.94,2026-04-14T15:05:15.9442944-04:00,2026-04-14T19:05:15.9442944Z,,v3,471248,471418,,"Durand, Brandyn",1000090563,Right,BRY_BUL,ce322a59-c1d6-42ea-ac92-fbb5c80eb79b,54.43483,-117.04557,12.42385,6.06281,1.41041,-14.79427,1.58751,-5.81668,-0.48448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,161.86656,-77.214837,511.692698,0.221296,11:30,0.985213,0.056225,-0.161847,-39.896363,-53.621929,-6.011886,142.009188,43.348371,0.447613,0.686433,-0.573108,50.14122,26.590648,0.686433,0.447613,0.573108,-50.14122,-26.590648,-0.686433,-0.447613,0.573108,-142.009188,-43.348371,-0.447613,-0.686433,-0.573108
