PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-04-21,18:01:11.69,1,1,"Hale, Charlie",837529,Right,UCO_HUS,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.45501,1.243158,-3.064486,2175.228864,244.608307,2:15,5.05441,2.739,5.56505,-30.1821,8.06741,14.22595,3.70241,1.059,78.17292,-4.361803,-0.531505,0.445127,,,,,,,,,,,,-8.07044,4.09638,-2.48389,50,5.14223,6.08193,-125.23361,1.6719,-12.70345,27.37883,-25.72607,UCO_HUS,RHO_RAM,DunkinDonuts,D1,BEAST,20260421-DunkinDonuts-1,9c39a6d0-3dcd-11f1-af71-fff32e9c5840,84.67787,,,8.28209,,,,,,,7a8e3aee-dcbf-411a-aea9-4d986783be6c,2026-04-21,22:01:11.69,2026-04-21T18:01:11.6974080-04:00,2026-04-21T22:01:11.6974080Z,,v3,471275,471418,,"Tirado, Gabriel",815559,Right,UCO_HUS,858059a3-1143-4312-af6d-f8dee459b0e1,54.93087,-126.30701,13.68942,5.05691,2.6805,-12.86304,-2.7321,6.57997,-6.35172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-04-21,18:01:21.90,1,2,"Hale, Charlie",837529,Right,UCO_HUS,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.88793,1.171736,-2.652261,2355.505784,248.244913,2:15,5.065,2.69744,5.64559,-30.24368,7.64745,15.77721,3.63898,1.5365,78.25789,-4.460934,0.163149,0.443037,,,,,,,,,,,,-8.75516,3.91795,-2.4822,50,5.14564,5.13469,-125.86332,1.53023,-13.85593,28.74483,-25.97352,UCO_HUS,RHO_RAM,DunkinDonuts,D1,BEAST,20260421-DunkinDonuts-1,a2483ff0-3dcd-11f1-af71-fff32e9c5840,85.0774,,,8.63004,,,,,,,7a8e3aee-dcbf-411a-aea9-4d986783be6c,2026-04-21,22:01:21.90,2026-04-21T18:01:21.9066368-04:00,2026-04-21T22:01:21.9066368Z,,v3,471275,471418,,"Tirado, Gabriel",815559,Right,UCO_HUS,faeb9e38-31f3-407b-b48c-a62bdebea50c,54.84942,-126.96601,14.37242,5.06783,2.5266,-12.98676,-2.68937,5.66622,-6.92796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-04-21,18:01:34.49,1,3,"Hale, Charlie",837529,Right,UCO_HUS,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,2,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.78235,-0.435757,-4.619803,2424.488358,206.567268,1:00,4.90731,2.74648,5.27338,-31.90049,8.63469,3.74095,1.83831,-1.29041,77.49382,-6.252692,-3.95951,0.458234,,,,,,,,,,,,-3.06831,4.73374,-2.32666,50,4.84372,9.66033,-121.40766,-2.0462,-4.6259,21.5212,-25.0373,UCO_HUS,RHO_RAM,DunkinDonuts,D1,BEAST,20260421-DunkinDonuts-1,a9c499e0-3dcd-11f1-af71-fff32e9c5840,82.25586,,,6.28852,,,,,,,7a8e3aee-dcbf-411a-aea9-4d986783be6c,2026-04-21,22:01:34.49,2026-04-21T18:01:34.4982016-04:00,2026-04-21T22:01:34.4982016Z,,v3,471275,471418,,"Tirado, Gabriel",815559,Right,UCO_HUS,256e0e76-437b-4275-9e94-5483bffd9d43,55.22802,-122.33089,10.7606,4.90846,-0.97214,-12.51865,-2.74533,9.85877,-2.31295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-04-21,18:01:47.17,1,4,"Hale, Charlie",837529,Right,UCO_HUS,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,85.95535,0.884828,-2.751002,2241.483363,213.866014,1:15,5.05779,2.64842,5.70967,-23.66596,14.21095,8.788,3.91099,0.81581,78.88813,-3.536663,-1.182019,0.442954,,,,,,,,,,,,-5.15532,7.33867,-2.42338,50,5.11728,5.62624,-124.76949,1.17232,-8.18596,23.38867,-20.52123,UCO_HUS,RHO_RAM,DunkinDonuts,D1,BEAST,20260421-DunkinDonuts-1,b15d0750-3dcd-11f1-af71-fff32e9c5840,85.09335,,,7.06722,,,,,,,7a8e3aee-dcbf-411a-aea9-4d986783be6c,2026-04-21,22:01:47.17,2026-04-21T18:01:47.1779840-04:00,2026-04-21T22:01:47.1779840Z,,v3,471275,471418,,"Tirado, Gabriel",815559,Right,UCO_HUS,116984b3-5c60-4251-b887-e2cb73d29e21,54.78748,-125.66372,11.69434,5.05746,1.95692,-10.26062,-2.64448,5.93922,-4.09298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-04-21,18:02:16.57,2,1,"Hale, Charlie",837529,Right,UCO_HUS,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.88627,0.959983,-3.674534,2491.213532,218.979106,1:15,4.96235,3.04649,5.40246,-32.32951,7.72319,5.35803,3.16968,0.04519,77.59551,-4.959358,-2.724908,0.455499,,,,,,,,,,,,-3.57169,4.00138,-2.72262,50,5.02531,7.59231,-121.70265,0.91044,-5.43186,20.75338,-26.08871,UCO_HUS,RHO_RAM,DunkinDonuts,D1,BEAST,20260421-DunkinDonuts-1,c2e91040-3dcd-11f1-af71-fff32e9c5840,82.74982,,,6.29076,,,,,,,7a8e3aee-dcbf-411a-aea9-4d986783be6c,2026-04-21,22:02:16.57,2026-04-21T18:02:16.5732864-04:00,2026-04-21T22:02:16.5732864Z,,v3,471275,471418,,"Tirado, Gabriel",815559,Right,UCO_HUS,d8c68de7-d252-49b4-9c37-d784b64c34b6,55.0964,-122.56863,10.37669,4.96461,1.99906,-13.04436,-3.04416,7.81897,-2.71593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-04-21,18:02:33.31,2,2,"Hale, Charlie",837529,Right,UCO_HUS,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.51282,0.345104,-4.939755,2533.152934,198.007824,12:30,4.79421,2.96954,5.19666,-32.55431,8.33134,2.33929,2.40718,-1.49341,77.29529,-5.580227,-4.528059,0.460211,,,,,,,,,,,,-2.36398,4.42099,-2.51253,50,4.80164,10.35397,-120.93475,-0.4327,-3.54696,20.68071,-25.54073,UCO_HUS,RHO_RAM,DunkinDonuts,D1,BEAST,20260421-DunkinDonuts-1,ccde5970-3dcd-11f1-af71-fff32e9c5840,81.90253,,,6.21753,,,,,,,7a8e3aee-dcbf-411a-aea9-4d986783be6c,2026-04-21,22:02:33.31,2026-04-21T18:02:33.3125632-04:00,2026-04-21T22:02:33.3125632Z,,v3,471275,471418,,"Tirado, Gabriel",815559,Right,UCO_HUS,702afb23-2403-4d30-a0b9-eee06fe196f9,55.30247,-121.83814,10.34035,4.79617,0.68299,-12.77037,-2.9682,10.50891,-1.77348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-04-21,18:02:51.53,2,3,"Hale, Charlie",837529,Right,UCO_HUS,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,0,1,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.99341,0.217447,-4.234631,2517.636084,167.071712,11:30,4.82037,2.92459,5.13823,-33.87096,7.64347,-1.48496,2.20311,-1.19386,76.73535,-5.940533,-4.496122,0.463736,,,,,,,,,,,,-0.31012,4.11299,-2.52595,50,4.81465,8.96693,-120.25647,-0.7614,-0.45893,21.02329,-26.08769,UCO_HUS,RHO_RAM,DunkinDonuts,D1,BEAST,20260421-DunkinDonuts-1,d7b6afa0-3dcd-11f1-af71-fff32e9c5840,81.27993,,,6.25806,,,,,,,7a8e3aee-dcbf-411a-aea9-4d986783be6c,2026-04-21,22:02:51.53,2026-04-21T18:02:51.5374080-04:00,2026-04-21T22:02:51.5374080Z,,v3,471275,471418,,"Tirado, Gabriel",815559,Right,UCO_HUS,3fff7eee-7fd8-465d-8075-7c6a7d567ed8,55.36042,-121.18996,10.51164,4.82274,0.39696,-13.04384,-2.92456,8.98731,-0.22947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-04-21,18:03:47.12,2,4,"Hale, Charlie",837529,Right,UCO_HUS,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,77.87134,1.747237,-5.034944,1645.582273,265.647364,2:45,4.85218,2.86331,5.06704,-44.81951,2.79516,17.54343,2.77152,-0.43427,71.44245,-6.383402,-1.950469,0.49664,70.13669,-5.422781,3.444875,3724.690078,,,,23.38283,22.39998,3.747932,0.210035,-10.09178,1.31331,-2.39902,50,4.98289,9.22361,-112.64252,1.89439,-13.03639,19.42372,-30.47756,UCO_HUS,RHO_RAM,DunkinDonuts,D1,BEAST,20260421-DunkinDonuts-1,f8e938a0-3dcd-11f1-af71-fff32e9c5840,75.89486,2.99841,,6.42889,,,,2.44856,2.99841,0.2713,7a8e3aee-dcbf-411a-aea9-4d986783be6c,2026-04-21,22:03:47.12,2026-04-21T18:03:47.1250944-04:00,2026-04-21T22:03:47.1250944Z,GroundBall,v3,471275,471418,,"Tirado, Gabriel",815559,Right,UCO_HUS,ec32d737-3c89-4590-9de7-ce20a0c28268,55.43362,-113.57561,9.71186,4.85672,3.35849,-15.23878,-2.85715,9.84986,-6.5182,359.999363,2.44896,102.19642,-13.17714,,,,,,,2.99955,-9.79357,-21.3917,,,,,,,0.27132,6.15191,-0.79315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-04-21,18:04:21.66,3,1,"Hale, Charlie",837529,Right,UCO_HUS,"Thompson, Ryan",10108321,Right,RHO_RAM,Undefined,1,Top,2,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.66172,0.151099,-3.408132,2490.553052,177.242033,12:00,5.07224,2.71641,5.44932,-28.76911,10.53138,-0.44055,2.81653,-0.51474,77.39457,-5.189608,-3.486301,0.451201,,,,,,,,,,,,-0.85256,5.66177,-2.41496,50,5.06622,7.40206,-123.97018,-0.65953,-1.31007,27.69475,-23.4739,UCO_HUS,RHO_RAM,DunkinDonuts,D1,BEAST,20260421-DunkinDonuts-1,0d6c1360-3dce-11f1-af71-fff32e9c5840,83.53798,,,8.26715,,,,,,,7a8e3aee-dcbf-411a-aea9-4d986783be6c,2026-04-21,22:04:21.66,2026-04-21T18:04:21.6647680-04:00,2026-04-21T22:04:21.6647680Z,,v3,471275,471418,,"Tirado, Gabriel",815559,Right,UCO_HUS,2506dc2f-d487-4a9a-8d50-8e57e5ce0ba4,55.04523,-125.0922,13.84738,5.07367,0.29149,-11.73695,-2.71593,7.45514,-0.65504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-04-21,18:04:35.12,3,2,"Hale, Charlie",837529,Right,UCO_HUS,"Thompson, Ryan",10108321,Right,RHO_RAM,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.17712,-0.070801,-5.450066,1564.147326,276.052737,3:15,4.89683,2.59221,5.21782,-48.20719,-0.13283,18.38186,0.8127,-1.01581,70.5177,-8.852933,-2.20606,0.499032,,,,,,,,,,,,-11.04603,0.41705,-2.1024,50,4.85405,10.02773,-112.81182,-1.79306,-13.96694,24.12555,-31.64674,UCO_HUS,RHO_RAM,DunkinDonuts,D1,BEAST,20260421-DunkinDonuts-1,157bfac0-3dce-11f1-af71-fff32e9c5840,75.53115,,,7.65942,,,,,,,7a8e3aee-dcbf-411a-aea9-4d986783be6c,2026-04-21,22:04:35.12,2026-04-21T18:04:35.1289856-04:00,2026-04-21T22:04:35.1289856Z,,v3,471275,471418,,"Tirado, Gabriel",815559,Right,UCO_HUS,262a3541-6da3-468d-bfd7-1d0656d6bca2,55.28061,-113.93552,12.06278,4.90324,-0.31905,-15.82337,-2.58461,10.67826,-6.98347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
