PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-04-26,12:05:50.43,1,1,"Andrunas, Noah",1000153973,Right,SLU_BILL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.15383,2.584679,0.871217,2092.628348,28.319813,7:00,5.53009,1.02476,5.92274,-68.68921,-13.99284,-8.36796,2.2063,1.13593,66.15744,-9.953091,-0.63485,0.532293,,,,,,,,,,,,4.51473,-7.35414,-1.08973,50,5.69796,-1.29448,-103.49312,2.64897,4.92669,16.27806,-40.19924,SLU_BILL,RHO_RAM,StLouisUniversity,D1,A10,20260426-StLouisUniversity-1,2d98b810-4192-11f1-a7de-0b269cb5baea,70.81148,,,4.99639,,,,,,,4a2986d1-530f-44ec-9d96-7ce15f5d484c,2026-04-26,17:05:50.43,2026-04-26T12:05:50.4304640-05:00,2026-04-26T17:05:50.4304640Z,,v3,471427,471418,07d583231a114c6c973c2359b444a6ce,"Deutsch, Matthew",1000231296,Right,SLU_BILL,a0d06f08-185c-47c4-acfa-4d8fff0fd0e9,54.58201,-104.21131,8.13903,5.54197,4.42258,-20.09962,-1.02782,-1.51184,2.46335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,31.645436,29.835756,1815.261219,0.867455,7:00,-0.487659,0.477093,0.731144,-25.986088,-44.58562,-19.453217,170.77875,-4.146752,0.159828,-0.072311,-0.984493,4.200849,-9.1969,0.072311,-0.159828,0.984493,-4.200849,9.1969,-0.072311,0.159828,0.984493,-170.77875,4.146752,-0.159828,0.072311,-0.984493
2,2026-04-26,12:06:06.93,1,2,"Andrunas, Noah",1000153973,Right,SLU_BILL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.92272,2.937017,-0.125211,2123.830475,30.72127,7:00,5.49914,1.25971,5.85665,-65.83578,-13.51406,-8.92186,2.74397,0.39989,67.52918,-9.083566,-1.727719,0.52061,,,,,,,,,,,,4.52047,-7.19453,-1.24435,50,5.69924,0.54136,-106.00678,3.42674,5.16683,17.3638,-40.39732,SLU_BILL,RHO_RAM,StLouisUniversity,D1,A10,20260426-StLouisUniversity-1,376802b0-4192-11f1-a7de-0b269cb5baea,72.40055,,,5.39354,,,,,,,4a2986d1-530f-44ec-9d96-7ce15f5d484c,2026-04-26,17:06:06.93,2026-04-26T12:06:06.9383680-05:00,2026-04-26T17:06:06.9383680Z,,v3,471427,471418,07d583231a114c6c973c2359b444a6ce,"Deutsch, Matthew",1000231296,Right,SLU_BILL,806c26c2-7f3e-49e6-bce4-ec466a915309,54.64738,-106.7653,8.6819,5.511,5.19146,-20.19866,-1.26307,0.31566,2.58342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,31.962265,34.233675,1755.877004,0.82675,7:00,-0.537872,0.465899,0.702589,-27.041578,-48.533918,-25.969481,163.568431,-4.091542,0.282149,-0.07135,-0.956714,4.265133,-16.388508,0.07135,-0.282149,0.956714,-4.265133,16.388508,-0.07135,0.282149,0.956714,-163.568431,4.091542,-0.282149,0.07135,-0.956714
3,2026-04-26,12:06:25.27,1,3,"Andrunas, Noah",1000153973,Right,SLU_BILL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,0,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.7211,-1.220199,-0.410528,1751.717965,211.288783,1:00,5.64601,0.78574,6.30709,-20.4145,14.7595,8.39619,2.82053,1.10723,81.4502,-5.06088,1.10884,0.426857,80.3338,64.16503,-42.166148,4503.992214,,,,,59.93783,,,-4.49536,8.28792,-0.75966,50,5.54655,0.5975,-127.70715,-3.31278,-7.53603,22.57889,-18.28015,SLU_BILL,RHO_RAM,StLouisUniversity,D1,A10,20260426-StLouisUniversity-1,424e3b90-4192-11f1-a7de-0b269cb5baea,88.30233,108.13555,,6.27091,,,,1.1368,2.79568,-1.11267,4a2986d1-530f-44ec-9d96-7ce15f5d484c,2026-04-26,17:06:25.27,2026-04-26T12:06:25.2789248-05:00,2026-04-26T17:06:25.2789248Z,,v3,471427,471418,07d583231a114c6c973c2359b444a6ce,"Deutsch, Matthew",1000231296,Right,SLU_BILL,0b235518-22fd-4a10-8337-70ff9d0c71ae,54.19308,-128.44636,11.28944,5.64521,-2.71431,-9.14007,-0.78325,0.84422,-3.76801,,1.13676,38.06291,-15.03584,4.65547,-1.28068,0.35479,0.05956,-0.11578,0.0309,2.79569,106.04525,-27.16136,3.05982,-0.49106,0.04229,-0.01123,0.01416,-0.0042,-1.11268,-34.46519,1.47458,0.23378,-0.19687,0.08171,0.00943,-0.02671,0.0075,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,,213.807221,5.129927,1744.701456,0.995994,1:15,-0.083521,-0.55595,-0.827009,-32.14646,-38.699388,-27.502194,158.000741,2.648588,0.374194,0.04621,-0.926198,2.856247,21.974533,0.04621,0.374194,0.926198,-2.856247,-21.974533,-0.04621,-0.374194,0.926198,-158.000741,-2.648588,-0.374194,-0.04621,-0.926198
4,2026-04-26,12:06:53.33,1,4,"Andrunas, Noah",1000153973,Right,SLU_BILL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,0,2,Fastball,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,86.42924,-0.190147,-1.417638,1836.005454,209.711051,1:00,5.69545,0.83229,6.22444,-18.77375,17.56036,9.46863,3.95547,0.31307,80.13103,-3.743063,0.291913,0.433839,,,,,,,,,,,,-5.22957,9.46323,-0.73081,50,5.67154,2.7455,-125.78872,-0.9372,-8.51582,21.60858,-16.76409,SLU_BILL,RHO_RAM,StLouisUniversity,D1,A10,20260426-StLouisUniversity-1,53151fc0-4192-11f1-a7de-0b269cb5baea,86.88112,,,6.29821,,,,,,,4a2986d1-530f-44ec-9d96-7ce15f5d484c,2026-04-26,17:06:53.33,2026-04-26T12:06:53.3380000-05:00,2026-04-26T17:06:53.3380000Z,,v3,471427,471418,07d583231a114c6c973c2359b444a6ce,"Deutsch, Matthew",1000231296,Right,SLU_BILL,4f99351d-849e-4dd0-9a03-1c82dfe65c70,54.27438,-126.52086,10.80429,5.69367,-0.3692,-8.38204,-0.82872,3.03403,-4.25791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.52736,2.546246,1.522125,1.024121,-2.42494,3.69418,-0.3368,-1.16325,4.98773,-1.94345,73.35154,7.17808,-51.4329,-1.10409,77.84356,-4.99768,5.05111,16.87254,-14.42048,-2.03357,-54.27802,5.8653,High,High,High,,,High,High,High,214.671567,6.175946,1825.349677,0.994196,1:15,-0.125901,-0.565924,-0.814788,-37.145567,-31.224276,-27.34509,162.784667,-1.192118,0.2959,-0.020805,-0.954992,1.248014,-17.21149,0.020805,-0.2959,0.954992,-1.248014,17.21149,-0.020805,0.2959,0.954992,-162.784667,1.192118,-0.2959,0.020805,-0.954992
5,2026-04-26,12:07:24.81,2,1,"Andrunas, Noah",1000153973,Right,SLU_BILL,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.20552,0.361426,-0.569221,2213.896364,67.246784,8:15,5.38924,1.11928,5.85647,-48.23629,-1.29598,-5.67555,1.70536,0.11744,71.90243,-8.424492,-1.589076,0.493111,,,,,,,,,,,,2.81142,-0.42583,-1.06967,50,5.38973,1.29927,-111.04266,-0.78476,3.59962,15.13671,-32.71927,SLU_BILL,RHO_RAM,StLouisUniversity,D1,A10,20260426-StLouisUniversity-1,65d4edc0-4192-11f1-a7de-0b269cb5baea,76.43809,,,4.30309,,,,,,,4a2986d1-530f-44ec-9d96-7ce15f5d484c,2026-04-26,17:07:24.81,2026-04-26T12:07:24.8189952-05:00,2026-04-26T17:07:24.8189952Z,,v3,471427,471418,07d583231a114c6c973c2359b444a6ce,"Deutsch, Matthew",1000231296,Right,SLU_BILL,985ef0e8-4784-4dd5-9325-009da0dcb78d,54.64621,-111.67421,7.56836,5.39399,0.58038,-16.35964,-1.12075,1.14908,1.79981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,49.479686,70.837795,726.69736,0.328244,7:45,-0.940835,0.255476,0.222623,42.439196,56.876858,64.019661,156.870066,-43.294065,0.28591,-0.685743,-0.669337,45.693643,-16.613244,0.685743,-0.28591,0.669337,-45.693643,16.613244,-0.685743,0.28591,0.669337,-156.870066,43.294065,-0.28591,0.685743,-0.669337
6,2026-04-26,12:07:42.71,2,2,"Andrunas, Noah",1000153973,Right,SLU_BILL,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.94863,-1.646307,0.171863,1636.862851,241.052215,2:00,5.52985,0.66575,6.74008,-30.24183,6.49693,10.08213,1.50511,1.66296,79.56227,-7.281214,2.01335,0.436248,,,,,,,,,,,,-5.30689,4.12134,-0.68052,50,5.40987,-0.71887,-123.77532,-4.4131,-8.39323,20.19199,-25.65585,SLU_BILL,RHO_RAM,StLouisUniversity,D1,A10,20260426-StLouisUniversity-1,707c6ff0-4192-11f1-a7de-0b269cb5baea,86.4014,,,5.38636,,,,,,,4a2986d1-530f-44ec-9d96-7ce15f5d484c,2026-04-26,17:07:42.71,2026-04-26T12:07:42.7134464-05:00,2026-04-26T17:07:42.7134464Z,,v3,471427,471418,07d583231a114c6c973c2359b444a6ce,"Deutsch, Matthew",1000231296,Right,SLU_BILL,4aee9244-bbc8-452f-a90d-038663aae67d,53.76054,-124.38728,10.09599,5.53183,-3.63555,-12.82793,-0.66258,-0.4645,-4.19661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,219.692173,-2.567503,1635.219666,0.998996,1:15,0.065413,-0.636471,-0.768522,57.725131,29.644048,60.749299,157.817251,78.563695,0.074862,0.980146,-0.183603,79.390205,4.293316,0.980146,0.074862,0.183603,-79.390205,-4.293316,-0.980146,-0.074862,0.183603,-157.817251,-78.563695,-0.074862,-0.980146,-0.183603
7,2026-04-26,12:08:00.70,2,3,"Andrunas, Noah",1000153973,Right,SLU_BILL,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,2,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.44514,-1.258512,-0.888277,1710.447361,205.804865,12:45,5.63231,0.68352,6.44542,-20.73186,15.84926,7.23288,2.748,0.47004,79.98883,-5.154758,0.423849,0.435311,,,,,,,,,,,,-3.97213,8.86619,-0.62359,50,5.53337,1.66613,-124.47672,-3.30461,-6.38537,19.22406,-17.92127,SLU_BILL,RHO_RAM,StLouisUniversity,D1,A10,20260426-StLouisUniversity-1,7b3b98d0-4192-11f1-a7de-0b269cb5baea,86.58734,,,5.45631,,,,,,,4a2986d1-530f-44ec-9d96-7ce15f5d484c,2026-04-26,17:08:00.70,2026-04-26T12:08:00.7089664-05:00,2026-04-26T17:08:00.7089664Z,,v3,471427,471418,07d583231a114c6c973c2359b444a6ce,"Deutsch, Matthew",1000231296,Right,SLU_BILL,e85910be-6da3-4a04-b27b-9d4a747207ae,54.05439,-125.10131,9.61203,5.63127,-2.72235,-8.96064,-0.6811,1.87359,-3.19269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,211.060956,4.326255,1705.573733,0.997151,1:00,-0.077352,-0.516012,-0.853081,-24.240576,-37.78599,-39.108666,161.734593,3.78757,0.312735,0.066057,-0.947541,3.9879,18.224108,0.066057,0.312735,0.947541,-3.9879,-18.224108,-0.066057,-0.312735,0.947541,-161.734593,-3.78757,-0.312735,-0.066057,-0.947541
8,2026-04-26,12:08:19.72,2,4,"Andrunas, Noah",1000153973,Right,SLU_BILL,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,2,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.16046,1.143127,-1.711595,2157.372881,46.926137,7:30,5.33803,1.18222,5.90938,-52.06046,-4.91548,-6.47378,2.06129,-0.94637,71.55813,-8.349449,-2.874569,0.494184,,,,,,,,,,,,2.95949,-2.43063,-1.04113,50,5.3996,3.53869,-110.89179,0.60719,3.76139,15.98342,-35.26329,SLU_BILL,RHO_RAM,StLouisUniversity,D1,A10,20260426-StLouisUniversity-1,868f6090-4192-11f1-a7de-0b269cb5baea,76.27201,,,4.60233,,,,,,,4a2986d1-530f-44ec-9d96-7ce15f5d484c,2026-04-26,17:08:19.72,2026-04-26T12:08:19.7233152-05:00,2026-04-26T17:08:19.7233152Z,,v3,471427,471418,07d583231a114c6c973c2359b444a6ce,"Deutsch, Matthew",1000231296,Right,SLU_BILL,53272477-0e3e-4085-87ef-2c86791b77b7,54.59356,-111.55192,7.99171,5.34445,2.06359,-17.63165,-1.18407,3.38334,1.8807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,53.705979,74.553498,574.59146,0.266339,7:45,-0.954268,0.233853,0.186239,46.512576,58.688814,69.159554,162.679647,-41.768654,0.222047,-0.666125,-0.71202,43.0926,-12.829302,0.666125,-0.222047,0.71202,-43.0926,12.829302,-0.666125,0.222047,0.71202,-162.679647,41.768654,-0.222047,0.666125,-0.71202
9,2026-04-26,12:08:40.50,2,5,"Andrunas, Noah",1000153973,Right,SLU_BILL,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,2,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,77.08552,0.357641,-2.103125,2229.881294,78.862206,8:45,5.25509,1.04904,5.92165,-46.22672,-0.1489,-6.54339,1.73496,-1.44872,72.31832,-8.086397,-3.278154,0.488559,58.00351,-55.628726,41.134189,,,,,3.70995,3.70995,37.01096,0.02583,2.92642,0.13433,-0.8768,50,5.25677,4.34544,-112.20183,-0.70982,3.8018,16.66726,-31.99953,SLU_BILL,RHO_RAM,StLouisUniversity,D1,A10,20260426-StLouisUniversity-1,92f24e60-4192-11f1-a7de-0b269cb5baea,77.15018,1.8209,,4.7672,,,,2.02443,1.8209,1.41398,4a2986d1-530f-44ec-9d96-7ce15f5d484c,2026-04-26,17:08:40.50,2026-04-26T12:08:40.5032960-05:00,2026-04-26T17:08:40.5032960Z,GroundBall,v3,471427,471418,07d583231a114c6c973c2359b444a6ce,"Deutsch, Matthew",1000231296,Right,SLU_BILL,d2783151-cd60-45f5-8ee4-88725d4ef24c,54.58071,-112.88023,8.33363,5.25915,0.59264,-15.99976,-1.05052,4.1907,1.9009,,2.02384,36.31538,,,,,,,,1.82205,-70.49442,,,,,,,,1.41346,31.7181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,52.955785,70.723125,736.158387,0.330133,7:45,-0.934338,0.26939,0.233328,36.770957,50.615289,61.281102,151.540685,-48.614146,0.31505,-0.750274,-0.581233,52.235259,-18.363816,0.750274,-0.31505,0.581233,-52.235259,18.363816,-0.750274,0.31505,0.581233,-151.540685,48.614146,-0.31505,0.750274,-0.581233
10,2026-04-26,12:09:12.60,3,1,"Andrunas, Noah",1000153973,Right,SLU_BILL,"Thompson, Ryan",10108321,Right,RHO_RAM,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.25804,3.3064,0.153739,2118.057283,33.329682,7:00,5.41131,1.02573,5.86901,-67.08712,-15.44631,-11.0906,2.89536,0.24432,68.05034,-8.929622,-1.838491,0.517211,,,,,,,,,,,,5.69575,-8.24453,-1.0318,50,5.64029,0.10065,-106.523,4.08589,6.59997,16.84561,-41.72746,SLU_BILL,RHO_RAM,StLouisUniversity,D1,A10,20260426-StLouisUniversity-1,a6128be0-4192-11f1-a7de-0b269cb5baea,72.87629,,,5.20771,,,,,,,4a2986d1-530f-44ec-9d96-7ce15f5d484c,2026-04-26,17:09:12.60,2026-04-26T12:09:12.6074368-05:00,2026-04-26T17:09:12.6074368Z,,v3,471427,471418,07d583231a114c6c973c2359b444a6ce,"Deutsch, Matthew",1000231296,Right,SLU_BILL,53529e4d-4751-4357-8c18-f33cb467d3e1,54.63645,-107.2537,8.4228,5.4238,5.89589,-20.86373,-1.02995,-0.18563,3.29999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,34.566061,31.872292,1798.71173,0.849227,7:15,-0.501234,0.511466,0.697973,-19.859786,-47.006639,-38.931127,164.895888,-1.462496,0.260489,-0.025523,-0.965139,1.514803,-15.099075,0.025523,-0.260489,0.965139,-1.514803,15.099075,-0.025523,0.260489,0.965139,-164.895888,1.462496,-0.260489,0.025523,-0.965139
