PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-05-09,13:32:06.95,1,1,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.83854,-2.699086,0.606858,2170.563579,178.098181,12:00,7.05142,0.19223,5.96153,-14.86489,23.59312,-0.73579,3.30787,0.69367,77.31188,-5.597245,0.474641,0.446339,,,,,,,,,,,,0.57134,13.35001,-0.23999,50,6.82876,-1.28644,-124.35196,-6.20258,0.88025,28.6701,-11.60573,DAV_WIL,RHO_RAM,WilsonField,D1,A10,20260509-WilsonField-1,ffe538e0-4bcc-11f1-a791-1dd9281100c2,84.44801,,,8.52666,,,,,,,1706b035-1cb8-4b00-a71c-0793b1ef7e71,2026-05-09,17:32:06.95,2026-05-09T13:32:06.9510000-04:00,2026-05-09T17:32:06.9510000Z,,v3,471280,471418,fd74ffdd1b734438b2db1c9362339db5,"Torreso, Anthony",811245,Right,DAV_WIL,a9ee506b-c121-4310-b9f3-be3391bc4af4,54.53357,-125.39284,14.33505,7.0463,-5.78123,-5.80286,-0.19271,-1.3184,0.44012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-05-09,13:32:19.96,1,2,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.9348,-3.80958,0.349059,2265.93589,174.434462,11:45,7.08561,0.27521,5.79507,-12.80095,24.99923,-2.29713,2.46993,0.40848,78.33145,-6.3191,-0.062428,0.442505,,,,,,,,,,,,1.27665,14.35217,-0.30256,50,6.76431,-0.66793,-125.78469,-8.65489,2.01322,29.25489,-9.54149,DAV_WIL,RHO_RAM,WilsonField,D1,A10,20260509-WilsonField-1,07a8d500-4bcd-11f1-a791-1dd9281100c2,85.17966,,,8.60335,,,,,,,1706b035-1cb8-4b00-a71c-0793b1ef7e71,2026-05-09,17:32:19.96,2026-05-09T13:32:19.9650000-04:00,2026-05-09T17:32:19.9650000Z,,v3,471280,471418,fd74ffdd1b734438b2db1c9362339db5,"Torreso, Anthony",811245,Right,DAV_WIL,db41993c-b667-45e1-b47b-ca3bc0acf911,54.70062,-126.87325,14.62744,7.07975,-8.29985,-4.77074,-0.27632,-0.74284,1.00661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-05-09,13:32:35.10,1,3,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.18743,-3.019199,0.905739,2242.072205,170.338032,11:45,7.07111,0.43184,5.95026,-13.1415,24.25238,-3.88658,3.17279,0.94809,78.33908,-5.606287,0.207573,0.44012,,,,,,,,,,,,2.2778,13.80044,-0.50179,50,6.82333,-1.83099,-126.24101,-6.9391,3.60861,30.08361,-10.31072,DAV_WIL,RHO_RAM,WilsonField,D1,A10,20260509-WilsonField-1,10a90fd0-4bcd-11f1-a791-1dd9281100c2,85.64119,,,8.84835,,,,,,,1706b035-1cb8-4b00-a71c-0793b1ef7e71,2026-05-09,17:32:35.10,2026-05-09T13:32:35.1020000-04:00,2026-05-09T17:32:35.1020000Z,,v3,471280,471418,fd74ffdd1b734438b2db1c9362339db5,"Torreso, Anthony",811245,Right,DAV_WIL,92c15b34-4494-446d-9837-4a4668a0c00a,54.54497,-127.31948,15.0418,7.06547,-6.56947,-5.15536,-0.43383,-1.96036,1.8043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.34004,3.034625,1.478912,1.555713,-0.89566,2.94285,-0.95585,-3.56471,6.57546,-0.11699,66.88059,10.5596,57.91006,-3.49759,48.90395,-2.35581,6.69922,26.71276,-15.57226,-0.07737,39.79849,-1.62275,High,High,High,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-05-09,13:33:01.56,2,1,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Thompson, Ryan",10108321,Right,RHO_RAM,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.17097,-4.392595,-0.878923,2249.813347,178.553678,12:00,6.95767,0.11151,5.89455,-13.74753,24.6308,-0.58528,1.72524,-0.75337,77.7411,-7.070003,-0.983952,0.445876,,,,,,,,,,,,0.01413,14.44997,-0.0404,50,6.5956,1.93594,-124.61856,-9.88687,0.02189,28.77477,-9.81353,DAV_WIL,RHO_RAM,WilsonField,D1,A10,20260509-WilsonField-1,2072cf50-4bcd-11f1-a791-1dd9281100c2,84.53566,,,8.42987,,,,,,,1706b035-1cb8-4b00-a71c-0793b1ef7e71,2026-05-09,17:33:01.56,2026-05-09T13:33:01.5690000-04:00,2026-05-09T17:33:01.5690000Z,,v3,471280,471418,fd74ffdd1b734438b2db1c9362339db5,"Torreso, Anthony",811245,Right,DAV_WIL,0cafdb96-2a9e-43dc-9db5-e7b9c71c4bd9,54.60232,-125.67676,14.38738,6.95256,-9.52597,-4.90677,-0.11157,1.93513,0.01095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-05-09,13:33:14.65,2,2,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Thompson, Ryan",10108321,Right,RHO_RAM,Undefined,1,Top,1,0,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,85.8643,-1.829885,1.423511,2199.138781,167.704041,11:30,7.00328,0.16724,5.99987,-13.04379,25.52757,-5.23744,4.2196,1.05011,76.79108,-4.426848,0.482166,0.446996,,,,,,,,,,,,3.14339,14.08316,-0.27658,50,6.85189,-2.86924,-124.35839,-4.2209,4.81526,30.00586,-10.60057,DAV_WIL,RHO_RAM,WilsonField,D1,A10,20260509-WilsonField-1,28481eb0-4bcd-11f1-a791-1dd9281100c2,84.32382,,,9.07323,,,,,,,1706b035-1cb8-4b00-a71c-0793b1ef7e71,2026-05-09,17:33:14.65,2026-05-09T13:33:14.6560000-04:00,2026-05-09T17:33:14.6560000Z,,v3,471280,471418,fd74ffdd1b734438b2db1c9362339db5,"Torreso, Anthony",811245,Right,DAV_WIL,c415422b-3ada-4256-bec9-4302afede6fa,54.49381,-125.43799,15.00293,6.99689,-3.83949,-5.30029,-0.17023,-3.0425,2.40763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-05-09,13:33:28.16,2,3,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Thompson, Ryan",10108321,Right,RHO_RAM,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.50101,3.914302,-0.593252,2134.19992,0.588305,6:00,6.99699,-0.17673,5.65469,-67.81299,-10.41729,-0.12685,5.00243,-0.7406,64.14537,-8.496463,-0.615917,0.545269,,,,,,,,,,,,-0.11906,-5.79815,0.22705,50,7.28654,1.06218,-102.14497,4.92553,-0.12446,18.45498,-38.23629,DAV_WIL,RHO_RAM,WilsonField,D1,A10,20260509-WilsonField-1,305c4bd0-4bcd-11f1-a791-1dd9281100c2,69.12627,,,6.35564,,,,,,,1706b035-1cb8-4b00-a71c-0793b1ef7e71,2026-05-09,17:33:28.16,2026-05-09T13:33:28.1610000-04:00,2026-05-09T17:33:28.1610000Z,,v3,471280,471418,fd74ffdd1b734438b2db1c9362339db5,"Torreso, Anthony",811245,Right,DAV_WIL,82fd8599-ae25-4874-afb1-168437569e58,54.84708,-103.01699,9.22749,7.01112,6.73224,-19.11814,0.17673,1.06806,-0.06223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-05-09,13:33:43.15,2,4,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Thompson, Ryan",10108321,Right,RHO_RAM,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.62982,-1.756518,-0.358571,2232.930142,180.850317,12:00,7.05046,0.16142,6.1679,-16.14186,22.94926,0.31969,4.08231,-0.14314,76.40856,-4.899358,-0.300894,0.449998,,,,,,,,,,,,-0.27764,12.79497,-0.13442,50,6.9089,0.75551,-122.76236,-4.13082,-0.418,27.34409,-12.9101,DAV_WIL,RHO_RAM,WilsonField,D1,A10,20260509-WilsonField-1,393b9120-4bcd-11f1-a791-1dd9281100c2,83.7614,,,8.22126,,,,,,,1706b035-1cb8-4b00-a71c-0793b1ef7e71,2026-05-09,17:33:43.15,2026-05-09T13:33:43.1590000-04:00,2026-05-09T17:33:43.1590000Z,,v3,471280,471418,fd74ffdd1b734438b2db1c9362339db5,"Torreso, Anthony",811245,Right,DAV_WIL,5d542d91-feac-4244-9ffc-845a65b07196,54.32767,-123.72255,13.67204,7.046,-3.67748,-6.45505,-0.1612,0.77019,-0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-05-09,13:33:58.30,2,5,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Thompson, Ryan",10108321,Right,RHO_RAM,Undefined,1,Top,1,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.97467,-3.125548,-1.127482,2250.894279,183.757472,12:15,7.02506,0.2377,6.00999,-13.97768,23.44667,1.44787,2.96118,-0.68632,78.34572,-5.858175,-0.867125,0.4403,73.79352,54.682138,143.970945,3756.219122,,,,,59.26485,,,-1.11445,13.48725,-0.14998,50,6.77194,2.42018,-125.97882,-7.20256,-1.76073,29.6254,-10.86521,DAV_WIL,RHO_RAM,WilsonField,D1,A10,20260509-WilsonField-1,4246a160-4bcd-11f1-a791-1dd9281100c2,85.60631,63.62073,,8.62895,,,,1.55012,2.72127,0.57843,1706b035-1cb8-4b00-a71c-0793b1ef7e71,2026-05-09,17:33:58.30,2026-05-09T13:33:58.3090000-04:00,2026-05-09T17:33:58.3090000Z,,v3,471280,471418,fd74ffdd1b734438b2db1c9362339db5,"Torreso, Anthony",811245,Right,DAV_WIL,14adb95c-b16a-49d2-8bef-93f335f85031,54.48725,-127.02966,14.8127,7.02059,-6.81716,-5.43261,-0.23693,2.48264,-0.88036,343.234728,1.55012,-50.60093,-0.07814,0.23281,-0.17737,0.06054,-0.02155,0.00735,-0.00112,2.72127,88.31133,-31.77392,5.0151,-0.97167,0.18804,-0.0285,0.00055,0.00065,0.57843,36.80295,-3.10391,-1.97695,0.72102,-0.21191,0.05743,-0.01153,0.00073,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-05-09,13:34:21.21,2,6,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Thompson, Ryan",10108321,Right,RHO_RAM,Undefined,1,Top,1,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.11966,-2.530908,-1.318053,2165.749798,175.51792,11:45,7.01642,0.11845,6.01432,-17.38052,19.84037,-1.44827,3.22136,-1.22344,78.61635,-5.869397,-1.578508,0.439101,,,,,,,,,,,,0.31524,11.38701,-0.01431,50,6.80828,2.96497,-126.23225,-6.03868,0.501,29.29627,-14.07656,DAV_WIL,RHO_RAM,WilsonField,D1,A10,20260509-WilsonField-1,4febd330-4bcd-11f1-a791-1dd9281100c2,85.83995,,,8.50331,,,,,,,1706b035-1cb8-4b00-a71c-0793b1ef7e71,2026-05-09,17:34:21.21,2026-05-09T13:34:21.2160000-04:00,2026-05-09T17:34:21.2160000Z,,v3,471280,471418,fd74ffdd1b734438b2db1c9362339db5,"Torreso, Anthony",811245,Right,DAV_WIL,240235cf-ba75-4a7b-bff1-f823d74f946c,54.48133,-127.26804,14.64814,7.01298,-5.54099,-7.03828,-0.11883,2.94725,0.2505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-05-09,13:34:52.40,3,1,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,2,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.03065,-2.23216,-0.338455,2171.27127,169.940049,11:45,6.99774,0.35285,6.03537,-16.69528,20.60135,-3.40921,3.53842,-0.24466,78.36541,-5.457915,-0.952044,0.439548,,,,,,,,,,,,1.63244,11.70591,-0.32467,50,6.8144,0.88717,-126.14765,-5.34157,2.58592,29.71734,-13.63097,DAV_WIL,RHO_RAM,WilsonField,D1,A10,20260509-WilsonField-1,627f8820-4bcd-11f1-a791-1dd9281100c2,85.75273,,,8.66524,,,,,,,1706b035-1cb8-4b00-a71c-0793b1ef7e71,2026-05-09,17:34:52.40,2026-05-09T13:34:52.4030000-04:00,2026-05-09T17:34:52.4030000Z,,v3,471280,471418,fd74ffdd1b734438b2db1c9362339db5,"Torreso, Anthony",811245,Right,DAV_WIL,8814cc16-d87c-40ea-a7ed-a9f735db346a,54.46028,-127.19405,14.85867,6.99404,-4.8616,-6.81549,-0.3543,0.79611,1.29296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
