PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-05-16,12:06:29.48,1,1,"Maloney, Evan",813408,Right,RHO_RAM,"Gale, Joe",10139876,Right,STJ_HAW,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.60145,-3.408258,-0.140318,1965.363726,194.664792,12:30,7.26344,-0.15755,4.9904,-16.68284,22.56064,5.51744,2.65124,0.16975,78.05579,-6.569854,0.833685,0.450874,,,,,,,,,,,,-2.76894,12.67402,0.16634,50,6.92242,0.05146,-125.18787,-7.96697,-4.32741,28.85428,-12.3665,RHO_RAM,STJ_HAW,BillBeckField,D1,A10,20260516-BillBeckField-1,3360c4e0-5141-11f1-8515-6b4ca3a7209c,83.59861,,,8.54566,,,,,,,60f54979-4933-42ac-982b-d0f89989af01,2026-05-16,16:06:29.48,2026-05-16T12:06:29.4806528-04:00,2026-05-16T16:06:29.4806528Z,,v3,471418,471426,2a0494cdbe2b4256943ab8dbb642832e,"Toro, Nicholas",1000242929,Right,RHO_RAM,93372bc5-62e3-4501-a54e-4014a52c2cb5,55.50487,-126.45031,14.42714,7.25916,-7.42591,-6.18325,0.15994,0.2408,-2.16371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,207.646246,1.78919,1964.40555,0.999512,1:00,-0.005763,-0.464821,-0.885386,-95.207648,-13.316648,-83.56339,91.806047,14.187344,0.969018,0.245093,-0.030555,82.893782,75.700504,0.245093,0.969018,0.030555,-82.893782,-75.700504,-0.245093,-0.969018,0.030555,-91.806047,-14.187344,-0.969018,-0.245093,-0.030555
2,2026-05-16,12:06:46.07,1,2,"Maloney, Evan",813408,Right,RHO_RAM,"Gale, Joe",10139876,Right,STJ_HAW,Undefined,1,Top,0,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.68159,-1.699243,-0.134897,1574.316195,177.15109,12:00,7.12158,-0.20448,4.96969,-31.77679,19.07548,-0.86197,2.86797,-0.40373,69.04019,-7.54938,-0.287097,0.513247,,,,,,,,,,,,0.38917,10.46304,0.21827,50,6.93211,0.29219,-109.65805,-4.25619,0.47074,20.59441,-19.51846,RHO_RAM,STJ_HAW,BillBeckField,D1,A10,20260516-BillBeckField-1,3d4f7e60-5141-11f1-8515-6b4ca3a7209c,73.43917,,,6.6414,,,,,,,60f54979-4933-42ac-982b-d0f89989af01,2026-05-16,16:06:46.07,2026-05-16T12:06:46.0741632-04:00,2026-05-16T16:06:46.0741632Z,,v3,471418,471426,2a0494cdbe2b4256943ab8dbb642832e,"Toro, Nicholas",1000242929,Right,RHO_RAM,0e9ef4de-164b-41b3-a01f-2cf3f686bf51,55.52756,-110.69129,10.29721,7.12108,-3.27693,-9.75923,0.2042,0.26858,0.23537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,214.011532,26.257925,1411.86496,0.896812,1:15,-0.429092,-0.514539,-0.742381,-62.563124,28.622242,78.389827,132.599223,-77.238156,0.162605,-0.975297,-0.149519,81.284061,-9.358142,0.975297,-0.162605,0.149519,-81.284061,9.358142,-0.975297,0.162605,0.149519,-132.599223,77.238156,-0.162605,0.975297,-0.149519
3,2026-05-16,12:07:10.83,1,3,"Maloney, Evan",813408,Right,RHO_RAM,"Gale, Joe",10139876,Right,STJ_HAW,Undefined,1,Top,0,0,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.2447,-1.354169,-0.830767,2083.42533,6.490031,6:15,7.1396,-0.11285,4.43562,-58.57735,-8.89205,-1.19327,0.96603,-1.00482,71.34242,-11.730298,-1.040335,0.507324,,,,,,,,,,,,0.34232,-3.61173,0.20214,50,6.9381,1.67338,-111.97368,-4.87265,0.43202,21.35337,-36.732,RHO_RAM,STJ_HAW,BillBeckField,D1,A10,20260516-BillBeckField-1,4c156270-5141-11f1-8515-6b4ca3a7209c,74.29659,,,5.90228,,,,,,,60f54979-4933-42ac-982b-d0f89989af01,2026-05-16,16:07:10.83,2026-05-16T12:07:10.8387328-04:00,2026-05-16T16:07:10.8387328Z,,v3,471418,471426,2a0494cdbe2b4256943ab8dbb642832e,"Toro, Nicholas",1000242929,Right,RHO_RAM,f79920fa-ca11-4cf5-89b8-ec89de7f0232,56.06696,-113.12473,10.67669,7.1474,-2.89262,-18.366,0.11256,1.65009,0.21601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,354.684613,61.985676,978.568791,0.469692,5:45,-0.874682,-0.064363,0.480405,40.636659,-18.152878,-86.514106,157.944098,-9.188085,0.370693,-0.159676,-0.914926,9.899738,-21.758366,0.159676,-0.370693,0.914926,-9.899738,21.758366,-0.159676,0.370693,0.914926,-157.944098,9.188085,-0.370693,0.159676,-0.914926
4,2026-05-16,12:07:33.43,1,4,"Maloney, Evan",813408,Right,RHO_RAM,"Gale, Joe",10139876,Right,STJ_HAW,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.57966,-0.894714,-1.678729,2066.737552,204.67025,12:45,7.11541,0.05632,5.23639,-16.18332,22.95206,9.83292,4.92541,-0.70261,77.16741,-4.025344,0.063601,0.450252,,,,,,,,,,,,-5.42571,12.13257,0.09073,50,7.02185,3.21213,-125.21375,-2.39926,-8.41219,30.801,-13.36326,RHO_RAM,STJ_HAW,BillBeckField,D1,A10,20260516-BillBeckField-1,5992e800-5141-11f1-8515-6b4ca3a7209c,83.71401,,,9.41224,,,,,,,60f54979-4933-42ac-982b-d0f89989af01,2026-05-16,16:07:33.43,2026-05-16T12:07:33.4309888-04:00,2026-05-16T16:07:33.4309888Z,,v3,471418,471426,2a0494cdbe2b4256943ab8dbb642832e,"Toro, Nicholas",1000242929,Right,RHO_RAM,ea4d7f56-09ac-4c8c-8079-f0bd254b3414,55.25579,-126.5,15.4005,7.11039,-1.84121,-6.68163,-0.05074,3.56343,-4.2061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,210.033392,12.59813,2016.978536,0.975924,1:00,-0.235118,-0.491801,-0.838362,-34.51001,-10.160511,-39.736253,179.061274,-2.563269,0.016367,-0.044723,-0.998865,2.563612,-0.937787,0.044723,-0.016367,0.998865,-2.563612,0.937787,-0.044723,0.016367,0.998865,-179.061274,2.563269,-0.016367,0.044723,-0.998865
5,2026-05-16,12:07:51.79,1,5,"Maloney, Evan",813408,Right,RHO_RAM,"Gale, Joe",10139876,Right,STJ_HAW,Undefined,1,Top,0,1,2,Curveball,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,74.38924,3.093186,1.270074,2036.917229,22.224968,6:45,6.86374,0.32871,4.68324,-65.90027,-12.25552,-5.78303,4.31288,1.05303,67.41802,-8.752927,0.2542,0.527151,,,,,,,,,,,,3.2324,-6.43681,-0.45225,50,7.11851,-2.14969,-107.63458,3.42892,3.73765,21.18145,-39.61695,RHO_RAM,STJ_HAW,BillBeckField,D1,A10,20260516-BillBeckField-1,647ffeb0-5141-11f1-8515-6b4ca3a7209c,71.50217,,,6.97122,,,,,,,60f54979-4933-42ac-982b-d0f89989af01,2026-05-16,16:07:51.79,2026-05-16T12:07:51.7903872-04:00,2026-05-16T16:07:51.7903872Z,,v3,471418,471426,2a0494cdbe2b4256943ab8dbb642832e,"Toro, Nicholas",1000242929,Right,RHO_RAM,3be73697-2266-4764-a30a-b0630c8f059f,55.81803,-108.77348,10.59073,6.87687,5.55909,-19.80848,-0.33126,-2.35066,1.86883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,9.813711,49.569093,1321.003151,0.648531,6:15,-0.768094,0.151452,0.622169,-1.156352,-60.458279,-51.641678,147.186719,-14.330042,0.525042,-0.247507,-0.814292,16.906851,-31.671092,0.247507,-0.525042,0.814292,-16.906851,31.671092,-0.247507,0.525042,0.814292,-147.186719,14.330042,-0.525042,0.247507,-0.814292
6,2026-05-16,12:08:42.33,2,1,"Maloney, Evan",813408,Right,RHO_RAM,"Kelsey, Alex",827329,Left,STJ_HAW,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.61762,-3.995764,-0.128473,2061.211622,211.454843,1:00,7.28794,0.11706,5.05796,-16.62347,21.89127,12.4619,2.12834,1.03439,78.5942,-7.149184,2.074323,0.446668,,,,,,,,,,,,-6.19355,12.62725,-0.11516,50,6.89517,-0.30021,-126.50797,-9.34207,-9.82367,30.92813,-12.14576,RHO_RAM,STJ_HAW,BillBeckField,D1,A10,20260516-BillBeckField-1,8297da30-5141-11f1-8515-6b4ca3a7209c,84.38576,,,9.02342,,,,,,,60f54979-4933-42ac-982b-d0f89989af01,2026-05-16,16:08:42.33,2026-05-16T12:08:42.3362048-04:00,2026-05-16T16:08:42.3362048Z,,v3,471418,471426,2a0494cdbe2b4256943ab8dbb642832e,"Toro, Nicholas",1000242929,Right,RHO_RAM,b0557049-fe50-4e2d-bab1-2e6e82bb3237,55.43655,-127.83017,15.46407,7.28345,-8.82283,-6.07288,-0.11131,0.11976,-4.91184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,208.988261,3.925369,2056.376156,0.997654,1:00,-0.036556,-0.487088,-0.872587,-94.749477,-23.225668,-68.357915,155.698029,81.662259,0.059677,0.98943,-0.132159,82.392007,3.421297,0.98943,0.059677,0.132159,-82.392007,-3.421297,-0.98943,-0.059677,0.132159,-155.698029,-81.662259,-0.059677,-0.98943,-0.132159
7,2026-05-16,12:09:03.12,2,2,"Maloney, Evan",813408,Right,RHO_RAM,"Kelsey, Alex",827329,Left,STJ_HAW,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.8105,-4.807254,-0.79463,2065.252959,214.793081,1:15,7.2265,-0.02765,5.20543,-20.11139,19.06914,12.15583,1.0184,0.23796,77.88374,-8.57429,1.361413,0.450512,,,,,,,,,,,,-6.38571,11.6582,0.09142,50,6.76641,1.19699,-125.23584,-11.18032,-9.89452,31.03438,-14.10991,RHO_RAM,STJ_HAW,BillBeckField,D1,A10,20260516-BillBeckField-1,8ee7b530-5141-11f1-8515-6b4ca3a7209c,83.66574,,,8.92676,,,,,,,60f54979-4933-42ac-982b-d0f89989af01,2026-05-16,16:09:03.12,2026-05-16T12:09:03.1242240-04:00,2026-05-16T16:09:03.1242240Z,,v3,471418,471426,2a0494cdbe2b4256943ab8dbb642832e,"Toro, Nicholas",1000242929,Right,RHO_RAM,313305f4-5b6d-4cf1-9653-08de235c00d3,55.29121,-126.54025,15.51719,7.22387,-10.58727,-7.05495,0.03237,1.61286,-4.94726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,208.920825,5.183512,2056.806982,0.99591,1:00,-0.061751,-0.4875,-0.870937,-91.315793,-18.08312,-85.065589,113.495855,78.293534,0.186075,0.9792,-0.080892,85.277511,10.723833,0.9792,0.186075,0.080892,-85.277511,-10.723833,-0.9792,-0.186075,0.080892,-113.495855,-78.293534,-0.186075,-0.9792,-0.080892
8,2026-05-16,12:09:24.38,2,3,"Maloney, Evan",813408,Right,RHO_RAM,"Kelsey, Alex",827329,Left,STJ_HAW,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.24322,-4.455354,-0.363434,2088.011393,201.581926,12:45,7.09028,0.05055,5.27585,-13.09713,25.88253,9.57347,1.80566,0.50698,77.38293,-7.029319,1.335038,0.449356,,,,,,,,,,,,-4.91666,15.06162,-0.02473,50,6.67429,0.36232,-125.79724,-10.11333,-7.62221,33.2517,-8.8242,RHO_RAM,STJ_HAW,BillBeckField,D1,A10,20260516-BillBeckField-1,9b9d7df0-5141-11f1-8515-6b4ca3a7209c,83.88106,,,9.86029,,,,,,,60f54979-4933-42ac-982b-d0f89989af01,2026-05-16,16:09:24.38,2026-05-16T12:09:24.3852800-04:00,2026-05-16T16:09:24.3852800Z,,v3,471418,471426,2a0494cdbe2b4256943ab8dbb642832e,"Toro, Nicholas",1000242929,Right,RHO_RAM,2486b045-2dd0-4dcf-a9f4-ad6197230a54,55.21792,-127.169,16.62585,7.084,-9.74929,-4.4121,-0.04617,0.67677,-3.81111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,209.880416,3.448266,2084.231078,0.99819,1:00,-0.026824,-0.500459,-0.865345,-30.457926,-4.989056,-23.175903,174.47979,2.232364,0.096124,0.038952,-0.994607,2.242755,5.516007,0.038952,0.096124,0.994607,-2.242755,-5.516007,-0.038952,-0.096124,0.994607,-174.47979,-2.232364,-0.096124,-0.038952,-0.994607
9,2026-05-16,12:09:46.75,2,4,"Maloney, Evan",813408,Right,RHO_RAM,"Kelsey, Alex",827329,Left,STJ_HAW,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,86.53852,-3.19936,-0.78019,2000.063495,213.316899,1:00,7.04205,0.05683,5.21652,-18.69233,20.26596,12.36237,2.47266,0.35339,78.04265,-6.725663,1.411747,0.449233,101.96072,-0.653705,16.695903,1366.935581,,,,41.30045,39.38598,16.448935,0.275992,-6.44079,11.58134,0.00543,50,6.73313,1.15393,-125.1883,-7.58438,-10.05635,29.07806,-14.0915,RHO_RAM,STJ_HAW,BillBeckField,D1,A10,20260516-BillBeckField-1,a8ebb620-5141-11f1-8515-6b4ca3a7209c,83.90403,2.52168,,8.49587,,,,1.75938,2.52168,-0.3401,60f54979-4933-42ac-982b-d0f89989af01,2026-05-16,16:09:46.75,2026-05-16T12:09:46.7591168-04:00,2026-05-16T16:09:46.7591168Z,GroundBall,v3,471418,471426,2a0494cdbe2b4256943ab8dbb642832e,"Toro, Nicholas",1000242929,Right,RHO_RAM,1c8bea10-a604-4b58-a3b2-e94b113ada2e,55.28034,-126.40885,14.53903,7.03907,-6.9929,-7.04575,-0.05187,1.57605,-5.02817,322.1015,1.76164,143.1202,-21.71089,,,,,,,2.52581,-1.90506,-26.30934,,,,,,,-0.34166,43.03477,2.10798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,213.467416,3.735546,1995.814141,0.997875,1:00,-0.045669,-0.553069,-0.831882,-92.10654,-26.220711,-81.26956,128.419792,81.412601,0.116987,0.988789,-0.092789,84.639011,6.718268,0.988789,0.116987,0.092789,-84.639011,-6.718268,-0.988789,-0.116987,0.092789,-128.419792,-81.412601,-0.116987,-0.988789,-0.092789
10,2026-05-16,12:10:25.87,3,1,"Maloney, Evan",813408,Right,RHO_RAM,"Primrose, Blake",827699,Right,STJ_HAW,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,87.49677,-3.591397,-0.359097,1994.674773,209.70305,1:00,7.35416,-0.04993,5.14007,-18.81363,19.38544,10.25032,2.40016,0.46613,79.04137,-7.121076,1.456015,0.444834,96.69292,62.085868,14.168649,,99.04619,177.53434,47.8521,204.58445,91.40216,30.939142,6.632767,-5.23126,11.21737,0.07521,50,7.00364,0.32806,-126.52996,-8.55403,-8.35581,29.36558,-14.25674,RHO_RAM,STJ_HAW,BillBeckField,D1,A10,20260516-BillBeckField-1,c04c5c70-5141-11f1-8515-6b4ca3a7209c,84.73378,179.53749,,8.4554,,,,1.72316,2.7453,-0.4592,60f54979-4933-42ac-982b-d0f89989af01,2026-05-16,16:10:25.87,2026-05-16T12:10:25.8701824-04:00,2026-05-16T16:10:25.8701824Z,Popup,v3,471418,471426,2a0494cdbe2b4256943ab8dbb642832e,"Toro, Nicholas",1000242929,Right,RHO_RAM,fa6ad465-ef9c-4f31-92fc-b1d64683d20f,55.3568,-127.76714,14.68279,7.35137,-7.95339,-7.12837,0.05397,0.6801,-4.17791,,1.73633,64.11032,-19.33823,4.36135,-0.30468,-0.12016,0.03851,-0.00451,0.00019,2.71552,125.75259,-30.3557,5.24907,-1.61084,0.39215,-0.06012,0.00491,-0.00016,-0.45285,16.17788,1.80754,-1.01763,0.30107,-0.05635,0.00585,-0.00025,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,209.485927,0.354263,1994.636644,0.999981,1:00,0.019205,-0.491621,-0.870597,-88.994313,-23.756893,-77.616621,138.28049,81.986715,0.09277,0.990236,-0.104052,84.001498,5.323004,0.990236,0.09277,0.104052,-84.001498,-5.323004,-0.990236,-0.09277,0.104052,-138.28049,-81.986715,-0.09277,-0.990236,-0.104052
