Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,SB,CS,SB%,SBA
1,1336247552,C. Maloney,Colin Maloney,Maloney,Colin,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,9,68,4,2,66.7%,6
2,1269533184,J. Kopetski,Josh Kopetski,Kopetski,Josh,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,L,9,95,3,1,75.0%,4
3,1310825728,T. Turner,Tommy Turner,Turner,Tommy,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,8,79,5,1,83.3%,6
4,1358089441,J. Cullen,Jake Cullen,Cullen,Jake,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,12,152,8,1,88.9%,9
5,1110853376,J. Sabbath,Joseph Sabbath,Sabbath,Joseph,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,8,179,8,0,100.0%,8
5,1203468032,C. Grotyohann,Connor Grotyohann,Grotyohann,Connor,OF,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,19,50,2,0,100.0%,2
5,1101042688,A. Jones,AJ Jones,Jones,AJ,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,14,77,3,0,100.0%,3
5,1085415168,E. Maloney,Evan Maloney,Maloney,Evan,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,7,86,3,0,100.0%,3
5,1143021056,L. Lavigueur,Luc Lavigueur,Lavigueur,Luc,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,12,74,3,0,100.0%,3
5,1241946624,C. Johnston,Connor Johnston,Johnston,Connor,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,12,161,6,0,100.0%,6
5,1342168540,B. Perry,Braeden Perry,Perry,Braeden,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,2,14,2,0,100.0%,2
5,1299756340,P. Aikens,Parker Aikens,Aikens,Parker,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,L,18,92,4,0,100.0%,4
5,1241946368,D. Asencio,Dorsy Asencio,Asencio,Dorsy,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,9,44,1,0,100.0%,1
5,1487988943,M. Santos,Manny Santos,Santos,Manny,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,12,69,2,0,100.0%,2
5,1299086745,W. Creed,Will Creed,Creed,Will,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,L,6,30,2,0,100.0%,2
5,1194448803,S. Houchens,Sam Houchens,Houchens,Sam,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,L,10,114,3,0,100.0%,3
