PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-09-22,10:20:45.11,1,1,"Liranzo, Jamir",10140782,Right,RHO_RAM,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,0,0,0,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,72.90804,1.873043,-3.625179,1637.672642,225.280449,1:30,5.25047,1.94473,4.8756,-47.12908,6.86725,5.47162,3.09956,-1.03412,67.75383,-6.632099,-2.664887,0.528876,,,,,,,,,,,,-3.57681,3.33,-1.59295,50,5.3947,6.49336,-105.7146,1.90944,-4.11333,15.28163,-28.34454,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260922-BillBeckField-Private-2,cd15cd60-b690-11f1-b621-b785b54817cd,71.269,,,5.15421,,,,,,,7061e396-1219-4d56-bfe3-2a5dfb51a59c,2026-09-22,14:20:45.11,2026-09-22T10:20:45.1123200-04:00,2026-09-22T14:20:45.1123200Z,,v3,471418,471418,,,,Undefined,RHO_RAM,7b80ada1-cec2-47da-abc4-42a7c49ddfa9,55.62632,-106.52481,7.64081,5.25363,3.41222,-14.17227,-1.943,6.71144,-2.05667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,245.417816,62.835117,747.683877,0.456553,2:15,-0.912993,-0.385872,-0.132462,-119.921744,-13.313454,0.134659,112.088095,-6.943454,0.919811,-0.12089,-0.373274,17.945236,-66.898466,0.12089,-0.919811,0.373274,-17.945236,66.898466,-0.12089,0.919811,0.373274,-112.088095,6.943454,-0.919811,0.12089,-0.373274
2,2026-09-22,10:21:16.44,1,2,"Liranzo, Jamir",10140782,Right,RHO_RAM,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,0,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.79834,0.121683,-4.806646,1692.674338,196.907158,12:30,5.16583,2.00643,4.88246,-46.97384,8.22237,1.95697,1.36687,-2.38878,66.84435,-8.370186,-4.463818,0.534719,,,,,,,,,,,,-2.31634,4.56296,-1.53521,50,5.13851,8.77101,-105.20857,-1.31905,-2.59373,18.01068,-27.0647,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260922-BillBeckField-Private-2,dfc520a0-b690-11f1-b621-b785b54817cd,70.49012,,,5.95399,,,,,,,7061e396-1219-4d56-bfe3-2a5dfb51a59c,2026-09-22,14:21:16.44,2026-09-22T10:21:16.4497408-04:00,2026-09-22T14:21:16.4497408Z,,v3,471418,471418,,,,Undefined,RHO_RAM,b8ec8e75-7ecf-4d95-a06c-c85ab6dadc82,55.615,-106.16545,9.00534,5.17039,0.11886,-13.53235,-2.00486,8.90881,-1.29687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,245.690693,69.44848,594.212467,0.351049,2:15,-0.945848,-0.317935,-0.065488,95.949173,14.727969,-72.612899,177.374383,2.101815,0.045779,0.036675,-0.998278,2.104022,2.623849,0.036675,0.045779,0.998278,-2.104022,-2.623849,-0.036675,-0.045779,0.998278,-177.374383,-2.101815,-0.045779,-0.036675,-0.998278
3,2026-09-22,10:21:39.20,1,3,"Liranzo, Jamir",10140782,Right,RHO_RAM,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,0,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.99874,-1.588759,-3.522146,2332.100225,219.216389,1:15,5.30798,1.99442,5.56982,-27.40442,13.43178,10.22997,1.53702,-0.4473,77.54083,-6.590494,-1.700832,0.459933,,,,,,,,,,,,-5.96355,7.40154,-1.69787,50,5.15236,6.96642,-119.27066,-4.21033,-8.88509,15.54657,-21.14647,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260922-BillBeckField-Private-2,ed411f90-b690-11f1-b621-b785b54817cd,81.9521,,,4.45791,,,,,,,7061e396-1219-4d56-bfe3-2a5dfb51a59c,2026-09-22,14:21:39.20,2026-09-22T10:21:39.2016896-04:00,2026-09-22T14:21:39.2016896Z,,v3,471418,471418,,,,Undefined,RHO_RAM,df50f45e-9794-47ee-b0da-427817867af5,54.93492,-119.91219,7.77329,5.30809,-3.33773,-10.57324,-1.9929,7.33306,-4.44255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,230.311932,48.438967,1547.156063,0.663417,1:45,-0.758449,-0.531071,-0.377782,-89.280388,34.991031,-53.064141,168.403091,18.410767,0.190736,0.315827,-0.929448,18.767818,10.995736,0.315827,0.190736,0.929448,-18.767818,-10.995736,-0.315827,-0.190736,0.929448,-168.403091,-18.410767,-0.190736,-0.315827,-0.929448
4,2026-09-22,10:21:57.40,1,4,"Liranzo, Jamir",10140782,Right,RHO_RAM,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,0,3,0,Slider,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,,70.19073,3.167447,-0.138076,2491.390858,104.859326,9:30,5.28027,2.09073,4.70945,-53.56593,6.88012,-17.65651,3.82583,0.4883,63.21841,-6.592177,-3.234344,0.559571,,,,,,,,,,,,8.56563,2.96244,-2.05994,50,5.55401,0.93012,-101.44735,3.88049,8.77295,19.25872,-29.13989,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260922-BillBeckField-Private-2,f8292d30-b690-11f1-b621-b785b54817cd,67.3595,,,6.97232,,,,,,,7061e396-1219-4d56-bfe3-2a5dfb51a59c,2026-09-22,14:21:57.40,2026-09-22T10:21:57.4010880-04:00,2026-09-22T14:21:57.4010880Z,,v3,471418,471418,,,,Undefined,RHO_RAM,ab681bfd-9919-4351-b78c-cc25cfe6149f,55.78696,-102.54006,9.62936,5.28693,5.53384,-14.56994,-2.0986,0.43236,4.38648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,66.031378,62.481738,1151.100593,0.462031,8:15,-0.861726,0.470547,0.189771,3.212265,12.547081,29.155524,91.732689,-33.50832,0.833424,-0.552058,-0.025211,87.385234,-56.452133,0.552058,-0.833424,0.025211,-87.385234,56.452133,-0.552058,0.833424,0.025211,-91.732689,33.50832,-0.833424,0.552058,-0.025211
5,2026-09-22,10:22:16.05,2,1,"Liranzo, Jamir",10140782,Right,RHO_RAM,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.34373,2.10032,1.046725,2723.415787,71.709557,8:30,5.16307,1.9581,4.72295,-60.88936,-2.66051,-12.79812,2.08316,1.88493,65.58435,-8.803818,-1.203292,0.549213,,,,,,,,,,,,6.54351,-1.34098,-2.05169,50,5.32037,-1.38574,-102.16895,1.70684,7.01417,14.60682,-33.6115,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260922-BillBeckField-Private-2,0346a2b0-b691-11f1-b621-b785b54817cd,68.62994,,,4.75939,,,,,,,7061e396-1219-4d56-bfe3-2a5dfb51a59c,2026-09-22,14:22:16.05,2026-09-22T10:22:16.0550400-04:00,2026-09-22T14:22:16.0550400Z,,v3,471418,471418,,,,Undefined,RHO_RAM,a8df955e-2b13-4ea3-bd01-96aca6bc5302,55.78017,-102.99201,7.30341,5.17084,3.60077,-16.80575,-1.96247,-1.78097,3.50708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,59.293865,49.095889,1783.279166,0.654795,8:00,-0.740651,0.590313,0.320885,-7.497927,-7.71699,17.785795,123.735006,-28.488208,0.730919,-0.476978,-0.488108,44.339255,-46.963503,0.476978,-0.730919,0.488108,-44.339255,46.963503,-0.476978,0.730919,0.488108,-123.735006,28.488208,-0.730919,0.476978,-0.488108
6,2026-09-22,10:22:36.99,2,2,"Liranzo, Jamir",10140782,Right,RHO_RAM,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,0,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,69.51363,0.870181,-3.531061,2690.663867,84.156428,8:45,5.11352,1.74493,4.90124,-60.09602,0.73039,-12.82674,0.93014,-2.6678,63.74206,-9.949618,-5.784645,0.561329,,,,,,,,,,,,5.21437,0.74075,-1.38782,50,5.14888,6.68335,-100.5567,-0.39564,5.28184,17.93645,-31.4237,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260922-BillBeckField-Private-2,0fd20010-b691-11f1-b621-b785b54817cd,67.14855,,,5.77157,,,,,,,7061e396-1219-4d56-bfe3-2a5dfb51a59c,2026-09-22,14:22:36.99,2026-09-22T10:22:36.9972736-04:00,2026-09-22T14:22:36.9972736Z,,v3,471418,471418,,,,Undefined,RHO_RAM,c564bc89-b918-4ef3-8499-2266d4947dec,55.59707,-101.55014,8.96823,5.12259,1.34483,-15.71185,-1.74989,6.3908,2.64092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,64.369652,57.408738,1449.305389,0.538642,8:15,-0.819126,0.498381,0.283986,-8.614449,8.993584,35.782063,112.717276,-24.403512,0.840011,-0.41316,-0.351682,49.595583,-57.141282,0.41316,-0.840011,0.351682,-49.595583,57.141282,-0.41316,0.840011,0.351682,-112.717276,24.403512,-0.840011,0.41316,-0.351682
7,2026-09-22,10:23:04.69,2,3,"Liranzo, Jamir",10140782,Right,RHO_RAM,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,0,2,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,69.50599,2.898889,0.439362,2655.022715,76.641033,8:30,5.31539,1.80877,4.63243,-61.56653,-0.78583,-11.37611,2.9426,1.27837,63.76222,-8.178329,-1.555645,0.561118,,,,,,,,,,,,5.6615,-0.59976,-1.84276,50,5.55641,-0.33581,-100.69364,3.04588,5.80926,16.43939,-32.78947,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260922-BillBeckField-Private-2,20504280-b691-11f1-b621-b785b54817cd,67.17382,,,5.74377,,,,,,,7061e396-1219-4d56-bfe3-2a5dfb51a59c,2026-09-22,14:23:04.69,2026-09-22T10:23:04.6948864-04:00,2026-09-22T14:23:04.6948864Z,,v3,471418,471418,,,,Undefined,RHO_RAM,96f82a43-2b94-477a-bedb-1e75389c341f,55.86751,-101.64707,8.2197,5.32461,4.94755,-16.39473,-1.81351,-0.67273,2.90463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,63.115547,60.008549,1327.168271,0.499871,8:00,-0.844152,0.489076,0.219571,-19.145002,7.383989,31.507944,119.572277,-29.2251,0.759024,-0.488242,-0.4307,48.583055,-49.378223,0.488242,-0.759024,0.4307,-48.583055,49.378223,-0.488242,0.759024,0.4307,-119.572277,29.2251,-0.759024,0.488242,-0.4307
8,2026-09-22,10:23:22.77,2,4,"Liranzo, Jamir",10140782,Right,RHO_RAM,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,0,3,0,Slider,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,,70.44659,2.808551,-2.31983,2723.83164,95.681679,9:15,5.37124,1.84589,4.86382,-56.5035,2.90819,-8.53544,3.32503,-1.06216,63.90607,-7.450559,-3.819119,0.554763,,,,,,,,,,,,3.50914,1.0565,-1.60945,50,5.60036,4.44455,-101.88032,3.19195,3.64072,18.7515,-31.07792,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260922-BillBeckField-Private-2,2b1510b0-b691-11f1-b621-b785b54817cd,67.94334,,,6.54052,,,,,,,7061e396-1219-4d56-bfe3-2a5dfb51a59c,2026-09-22,14:23:22.77,2026-09-22T10:23:22.7762176-04:00,2026-09-22T14:23:22.7762176Z,,v3,471418,471418,,,,Undefined,RHO_RAM,17c7c8aa-22cc-4a9b-91ae-f142c03d9f2b,55.63527,-102.91229,9.37575,5.37764,4.90229,-15.53896,-1.84854,4.24418,1.82036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,59.306428,61.302456,1307.945553,0.480186,8:00,-0.845258,0.455401,0.279552,-16.338282,6.905486,34.782975,121.068714,-27.716829,0.758266,-0.465102,-0.456851,45.512772,-49.311574,0.465102,-0.758266,0.456851,-45.512772,49.311574,-0.465102,0.758266,0.456851,-121.068714,27.716829,-0.758266,0.465102,-0.456851
9,2026-09-22,10:23:40.60,3,1,"Liranzo, Jamir",10140782,Right,RHO_RAM,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.83634,1.076017,-2.46747,2426.613192,222.444788,1:30,5.43697,1.83737,5.22872,-24.63049,17.95265,15.25276,4.39701,0.78742,75.00355,-3.505837,0.23262,0.469667,,,,,,,,,,,,-8.25374,9.07012,-1.6218,50,5.51818,4.4763,-118.73034,1.43859,-11.85672,21.38033,-19.14461,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260922-BillBeckField-Private-2,35a624b0-b691-11f1-b621-b785b54817cd,80.25352,,,6.83279,,,,,,,7061e396-1219-4d56-bfe3-2a5dfb51a59c,2026-09-22,14:23:40.60,2026-09-22T10:23:40.6085120-04:00,2026-09-22T14:23:40.6085120Z,,v3,471418,471418,,,,Undefined,RHO_RAM,81bc3289-a56c-4a73-bba3-85e7287181c1,55.27028,-119.67562,10.69017,5.43587,2.28502,-9.57231,-1.8313,5.00052,-5.92836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,226.775554,51.226886,1519.637496,0.626238,1:30,-0.805797,-0.441604,-0.394559,-74.740524,55.262487,-39.999581,172.001803,14.844128,0.134498,0.25619,-0.957223,14.983415,7.729608,0.25619,0.134498,0.957223,-14.983415,-7.729608,-0.25619,-0.134498,0.957223,-172.001803,-14.844128,-0.134498,-0.25619,-0.957223
10,2026-09-22,10:24:33.90,3,2,"Liranzo, Jamir",10140782,Right,RHO_RAM,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.67702,0.717955,-2.474596,2391.828905,213.67366,1:00,5.45307,1.83703,5.20323,-28.77966,14.51513,8.92288,3.73068,0.25178,75.0007,-4.560336,-0.895768,0.473575,,,,,,,,,,,,-5.05174,7.44819,-1.615,50,5.49791,4.70968,-117.23219,0.5049,-7.16784,18.0965,-21.60588,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260922-BillBeckField-Private-2,556c7380-b691-11f1-b621-b785b54817cd,79.59121,,,5.67632,,,,,,,7061e396-1219-4d56-bfe3-2a5dfb51a59c,2026-09-22,14:24:33.90,2026-09-22T10:24:33.9058688-04:00,2026-09-22T14:24:33.9058688Z,,v3,471418,471418,,,,Undefined,RHO_RAM,084d4c49-1a14-4af4-8b50-7557b389fbcf,55.29823,-118.04721,9.04825,5.45326,1.47798,-10.80294,-1.83438,5.0325,-3.58392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,226.843081,51.059682,1503.289682,0.628511,1:30,-0.801316,-0.448706,-0.395671,-77.934949,43.888872,-47.054295,173.054051,13.843825,0.11742,0.239276,-0.963825,13.942202,6.743229,0.239276,0.11742,0.963825,-13.942202,-6.743229,-0.239276,-0.11742,0.963825,-173.054051,-13.843825,-0.11742,-0.239276,-0.963825
