,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
0,1,2026-01-15,10:25:28.50,1,1,"Sabbath, Joe",828746,Right,RHO_RAM,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.88377,-2.057488,-2.253514,2318.56827,184.483683,12:15,5.99622,1.43406,6.43436,-12.95194,20.59749,1.52201,3.02374,-0.5112,82.14175,-4.60186,-1.977921,0.416883,78.08285,11.161585,171.857827,1455.054787,,,,132.59688,37.15226,176.318972,1.420894,-1.48791,11.69123,-1.27437,50,5.84334,5.12256,-131.79458,-5.01106,-2.5866,31.05399,-11.85005,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260115-BillBeckField-Private-1,6c8a08f0-f226-11f0-8b6a-b1ca32f5096f,90.41496,9.61671,,8.74202,,,,3.63011,2.80027,0.27237,3a3e8516-106f-4c8b-b4b4-9ea84ae71936,2026-01-15,15:25:28.50,2026-01-15T10:25:28.5074944-05:00,2026-01-15T15:25:28.5074944Z,LineDrive,v3,471418,471418,,"Botti, Aidan",1000396785,Right,RHO_RAM,364b0d29-c66d-4a21-a7e8-d73e65972878,54.0605,-132.74789,15.527,5.99159,-4.64728,-5.92502,-1.43284,5.20196,-1.2933,272.635113,3.46994,-109.64955,9.97793,,,,,,,2.95543,20.66068,-16.07332,,,,,,,0.45999,14.05064,-5.97848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,196.470967,38.261313,1820.527469,0.785195,12:30,-0.639992,-0.244715,-0.728371,16.747252,42.069523,29.656464,179.155093,10.787442,0.014485,0.187166,-0.982221,10.788588,0.829975,0.187166,0.014485,0.982221,-10.788588,-0.829975,-0.187166,-0.014485,0.982221,-179.155093,-10.787442,-0.014485,-0.187166,-0.982221
1,2,2026-01-15,10:25:55.97,1,2,"Sabbath, Joe",828746,Right,RHO_RAM,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.88209,-1.996236,-2.120483,2232.118203,182.145937,12:00,5.96563,1.44455,6.38069,-14.08414,20.42285,0.71784,2.9535,-0.44727,80.93318,-4.75572,-1.990615,0.42279,,,,,,,,,,,,-1.07181,11.683,-1.29209,50,5.8151,4.79733,-130.34049,-4.87148,-1.81202,31.79704,-12.42219,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260115-BillBeckField-Private-1,7cf51180-f226-11f0-8b6a-b1ca32f5096f,89.1516,,,8.94891,,,,,,,3a3e8516-106f-4c8b-b4b4-9ea84ae71936,2026-01-15,15:25:55.97,2026-01-15T10:25:55.9720960-05:00,2026-01-15T15:25:55.9720960Z,,v3,471418,471418,,"Botti, Aidan",1000396785,Right,RHO_RAM,311018f9-34ee-45cc-abfa-6276babcfb09,54.11654,-131.34089,15.89852,5.96221,-4.48065,-6.2111,-1.44392,4.85434,-0.90601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,194.555818,43.225243,1626.470806,0.728667,12:30,-0.703705,-0.206876,-0.679707,27.628464,42.302804,34.645205,176.563808,14.285032,0.058084,0.246746,-0.967338,14.309705,3.329824,0.246746,0.058084,0.967338,-14.309705,-3.329824,-0.246746,-0.058084,0.967338,-176.563808,-14.285032,-0.058084,-0.246746,-0.967338
2,3,2026-01-15,10:26:25.23,1,3,"Sabbath, Joe",828746,Right,RHO_RAM,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.28652,-1.65415,-3.405657,2283.722039,180.512701,12:00,5.89301,1.47326,6.50294,-13.95131,20.21985,0.16957,3.20908,-1.64208,81.11181,-4.39724,-3.374975,0.420728,,,,,,,,,,,,-1.21563,11.43568,-1.23504,50,5.77045,7.77407,-130.75345,-4.07498,-2.06638,32.22535,-12.73509,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260115-BillBeckField-Private-1,8e4a5300-f226-11f0-8b6a-b1ca32f5096f,89.58866,,,9.17471,,,,,,,3a3e8516-106f-4c8b-b4b4-9ea84ae71936,2026-01-15,15:26:25.23,2026-01-15T10:26:25.2337152-05:00,2026-01-15T15:26:25.2337152Z,,v3,471418,471418,,"Botti, Aidan",1000396785,Right,RHO_RAM,12949b2d-2477-445e-aac0-4ad6b2e6ff5f,53.99049,-131.73327,16.11268,5.88846,-3.68777,-6.36754,-1.47237,7.83689,-1.03319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,200.102664,37.818724,1804.036896,0.789955,12:45,-0.648072,-0.289097,-0.704575,11.044742,43.18068,26.955693,178.013509,8.949725,0.034242,0.155568,-0.987232,8.95502,1.962297,0.155568,0.034242,0.987232,-8.95502,-1.962297,-0.155568,-0.034242,0.987232,-178.013509,-8.949725,-0.034242,-0.155568,-0.987232
3,4,2026-01-15,10:26:45.09,1,4,"Sabbath, Joe",828746,Right,RHO_RAM,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.32022,3.423695,2.096449,2346.287778,80.438381,8:45,5.81814,1.69227,5.47228,-52.37424,-1.7528,-20.6097,4.66352,1.93755,68.24354,-6.182585,-1.569379,0.512081,,,,,,,,,,,,10.90335,-1.33536,-1.86246,50,6.08427,-3.18902,-109.06245,4.81855,13.01278,20.81506,-33.76777,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260115-BillBeckField-Private-1,9a31f650-f226-11f0-8b6a-b1ca32f5096f,73.60639,,,7.07669,,,,,,,3a3e8516-106f-4c8b-b4b4-9ea84ae71936,2026-01-15,15:26:45.09,2026-01-15T10:26:45.0937344-05:00,2026-01-15T15:26:45.0937344Z,,v3,471418,471418,,"Botti, Aidan",1000396785,Right,RHO_RAM,cf9a4640-b7f8-4bd6-a8f9-c173b9f2aa8a,55.02734,-110.01776,10.40753,5.82756,6.36832,-16.88389,-1.7024,-3.78624,6.50639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,69.705032,54.786501,1352.927769,0.576625,8:15,-0.790045,0.588653,0.171218,-121.417217,19.10029,4.090142,155.907312,49.52635,0.264971,0.760705,-0.592553,52.083094,15.365228,0.760705,0.264971,0.592553,-52.083094,-15.365228,-0.760705,-0.264971,0.592553,-155.907312,-49.52635,-0.264971,-0.760705,-0.592553
4,5,2026-01-15,10:27:07.66,1,5,"Sabbath, Joe",828746,Right,RHO_RAM,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.00693,-0.011028,-0.371779,2339.58947,79.667548,8:45,5.71946,1.60684,5.73168,-50.582,-1.43354,-17.06162,1.49403,-0.1612,69.42655,-9.28251,-3.431595,0.504576,,,,,,,,,,,,8.52134,-0.17295,-1.5655,50,5.68793,1.35429,-110.33159,-1.6197,10.3681,21.99725,-32.38449,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260115-BillBeckField-Private-1,a79eda10-f226-11f0-8b6a-b1ca32f5096f,74.70126,,,6.58038,,,,,,,3a3e8516-106f-4c8b-b4b4-9ea84ae71936,2026-01-15,15:27:07.66,2026-01-15T10:27:07.6620000-05:00,2026-01-15T15:27:07.6620000Z,,v3,471418,471418,,"Botti, Aidan",1000396785,Right,RHO_RAM,28de3b14-575c-4178-a3d4-1e6ade2cc647,54.76754,-111.27805,10.99863,5.72765,-0.22631,-16.19224,-1.61418,0.90819,5.18405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.70159,2.812192,1.887949,0.924243,-0.63346,1.15119,0.28627,0.15377,5.90831,-3.42616,71.17412,7.41645,-53.6069,0.171,81.15147,-4.67991,5.95105,15.07664,-14.58832,-3.52538,-63.47565,10.03272,High,High,High,,,High,High,High,68.309955,57.319307,1263.277053,0.539957,8:15,-0.840477,0.501564,0.205018,47.56272,-49.441294,64.827167,162.127279,44.552467,0.218702,0.701562,-0.678218,45.969267,12.632806,0.701562,0.218702,0.678218,-45.969267,-12.632806,-0.701562,-0.218702,0.678218,-162.127279,-44.552467,-0.218702,-0.701562,-0.678218
5,6,2026-01-15,10:27:36.99,2,1,"Sabbath, Joe",828746,Right,RHO_RAM,"King, Ryan",1000121045,Right,RHO_RAM,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.45265,0.889912,-0.534984,2402.217476,72.588723,8:30,5.70114,1.71474,5.7376,-54.15314,-4.16492,-18.79599,2.01715,-0.34978,68.72333,-9.041409,-3.90409,0.508868,,,,,,,,,,,,9.34453,-1.84016,-1.6588,50,5.74253,1.72202,-109.50723,-0.0093,11.16876,22.17227,-34.37346,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260115-BillBeckField-Private-1,b9231ad0-f226-11f0-8b6a-b1ca32f5096f,74.07115,,,6.72932,,,,,,,3a3e8516-106f-4c8b-b4b4-9ea84ae71936,2026-01-15,15:27:36.99,2026-01-15T10:27:36.9917440-05:00,2026-01-15T15:27:36.9917440Z,,v3,471418,471418,,"Botti, Aidan",1000396785,Right,RHO_RAM,2f709510-d466-40a9-b9e7-03ef35d1b5b4,54.76234,-110.46727,11.08614,5.71072,1.47903,-17.18673,-1.72289,1.23842,5.58438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,65.556657,55.998315,1343.361533,0.559217,8:15,-0.818818,0.521909,0.239056,-109.225818,12.217184,10.95456,153.556803,47.676574,0.299834,0.739356,-0.60287,50.806226,17.447638,0.739356,0.299834,0.60287,-50.806226,-17.447638,-0.739356,-0.299834,0.60287,-153.556803,-47.676574,-0.299834,-0.739356,-0.60287
6,7,2026-01-15,10:27:55.20,2,2,"Sabbath, Joe",828746,Right,RHO_RAM,"King, Ryan",1000121045,Right,RHO_RAM,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.38313,-1.921417,-0.96544,2278.32599,171.666521,11:45,5.82648,1.57672,6.53772,-15.40843,19.22292,-2.63103,2.77918,0.47186,80.55934,-4.928397,-1.443354,0.423551,78.15779,53.117993,170.749773,3234.95363,,,,,33.51041,,,1.06658,11.08733,-1.50878,50,5.68649,2.28869,-129.73102,-4.71311,1.7867,31.45491,-13.60074,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260115-BillBeckField-Private-1,c4002bf0-f226-11f0-8b6a-b1ca32f5096f,88.99143,42.96418,,8.82379,,,,2.26973,2.57511,-0.52674,3a3e8516-106f-4c8b-b4b4-9ea84ae71936,2026-01-15,15:27:55.20,2026-01-15T10:27:55.2034816-05:00,2026-01-15T15:27:55.2034816Z,,v3,471418,471418,,"Botti, Aidan",1000396785,Right,RHO_RAM,c8cc2920-0e09-49ef-8ea1-1cdfc264f3e1,53.95946,-130.68751,15.72746,5.82352,-4.29953,-6.80037,-1.57755,2.23436,0.89335,354.326693,2.26973,-67.90345,4.48531,-1.15263,0.26797,-0.06659,0.01839,-0.00609,0.00164,2.57511,91.69045,-33.53684,5.42102,-1.30917,0.31784,-0.08341,0.02231,-0.00454,-0.52674,11.05906,-1.86215,0.35345,-0.07225,0.01861,-0.00511,0.00144,-0.00031,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,195.277987,39.091071,1768.310602,0.776145,12:30,-0.63587,-0.225543,-0.738106,6.729154,40.898642,17.045427,178.48411,8.409363,0.02617,0.146245,-0.988902,8.412265,1.499588,0.146245,0.02617,0.988902,-8.412265,-1.499588,-0.146245,-0.02617,0.988902,-178.48411,-8.409363,-0.02617,-0.146245,-0.988902
7,8,2026-01-15,10:28:25.19,2,3,"Sabbath, Joe",828746,Right,RHO_RAM,"King, Ryan",1000121045,Right,RHO_RAM,Undefined,1,Top,1,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.26032,2.380888,-1.105341,2381.856449,63.698944,8:00,5.87778,1.45939,6.10568,-56.83495,-7.60107,-18.56336,3.34496,-1.10986,68.90151,-8.094463,-4.450325,0.505014,,,,,,,,,,,,9.18552,-4.08658,-1.36529,50,6.03179,2.76626,-109.31104,2.83366,11.02292,20.74319,-37.07806,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260115-BillBeckField-Private-1,d5d28cb0-f226-11f0-8b6a-b1ca32f5096f,74.6364,,,6.35881,,,,,,,3a3e8516-106f-4c8b-b4b4-9ea84ae71936,2026-01-15,15:28:25.19,2026-01-15T10:28:25.1959296-05:00,2026-01-15T15:28:25.1959296Z,,v3,471418,471418,,"Botti, Aidan",1000396785,Right,RHO_RAM,fd713b14-81a6-4554-b319-555f0fa69018,54.39639,-110.14216,10.37159,5.8885,4.31926,-18.53903,-1.46728,2.32461,5.51146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,47.067029,51.612904,1479.064421,0.620971,7:30,-0.755968,0.486815,0.437634,100.709565,-16.805308,36.78957,169.330187,-20.145509,0.173822,-0.344405,-0.922589,20.470763,-10.010094,0.344405,-0.173822,0.922589,-20.470763,10.010094,-0.344405,0.173822,0.922589,-169.330187,20.145509,-0.173822,0.344405,-0.922589
8,9,2026-01-15,10:28:44.94,2,4,"Sabbath, Joe",828746,Right,RHO_RAM,"King, Ryan",1000121045,Right,RHO_RAM,Undefined,1,Top,1,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.97988,0.887384,-0.177342,2377.434613,92.099122,9:00,5.77832,1.57651,5.62313,-46.71577,2.2963,-20.16462,2.7135,-0.26937,69.67762,-7.682951,-3.780997,0.503875,51.87929,-63.840569,-83.442629,,,,,2.69448,2.67997,-26.005698,0.041377,10.25067,1.31815,-1.54783,50,5.82375,1.07765,-110.3673,0.2484,12.57867,20.5858,-30.55653,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260115-BillBeckField-Private-1,e1b9bad0-f226-11f0-8b6a-b1ca32f5096f,74.80511,2.84761,,6.30226,,,,2.26193,2.84761,0.20812,3a3e8516-106f-4c8b-b4b4-9ea84ae71936,2026-01-15,15:28:44.94,2026-01-15T10:28:44.9466368-05:00,2026-01-15T15:28:44.9466368Z,GroundBall,v3,471418,471418,,"Botti, Aidan",1000396785,Right,RHO_RAM,74e5bab5-e370-4821-968d-c640db95475d,54.8784,-111.2735,10.2929,5.78321,1.59352,-15.27826,-1.58308,0.52393,6.28934,180.0,2.26174,3.86035,,,,,,,,2.85111,-68.8217,,,,,,,,0.20983,-33.58282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,67.750658,55.023927,1362.827088,0.573234,8:15,-0.810401,0.54318,0.219558,-114.460143,19.280302,10.455744,157.493622,47.021485,0.260955,0.731609,-0.629802,49.276668,15.126713,0.731609,0.260955,0.629802,-49.276668,-15.126713,-0.731609,-0.260955,0.629802,-157.493622,-47.021485,-0.260955,-0.731609,-0.629802
9,10,2026-01-15,10:29:20.07,2,5,"Sabbath, Joe",828746,Right,RHO_RAM,"King, Ryan",1000121045,Right,RHO_RAM,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.04203,-2.400182,-2.637968,2291.407443,173.751088,11:45,5.88666,1.47217,6.53692,-13.70579,19.43477,-2.00658,2.53936,-1.11638,82.84173,-5.065378,-3.001751,0.414335,59.34862,-1.584082,53.520667,3305.07772,,,,26.72566,23.94921,52.05483,0.3014,0.27118,11.26619,-1.28844,50,5.71394,6.16473,-132.10617,-5.86465,0.47592,29.96074,-12.40213,RHO_RAM,RHO_RAM,BillBeckField,TeamExclusive,Team,20260115-BillBeckField-Private-1,f6993480-f226-11f0-8b6a-b1ca32f5096f,90.97094,2.49617,,8.2003,,,,1.51332,2.49617,1.07373,3a3e8516-106f-4c8b-b4b4-9ea84ae71936,2026-01-15,15:29:20.07,2026-01-15T10:29:20.0736768-05:00,2026-01-15T15:29:20.0736768Z,GroundBall,v3,471418,471418,,"Botti, Aidan",1000396785,Right,RHO_RAM,c3ab56fb-77c5-40df-9842-c43c0242ee86,53.96192,-133.00167,14.98037,5.88369,-5.49396,-6.20107,-1.47248,6.15051,0.23796,,1.51452,51.67782,-7.23836,,,,,,,2.49967,-2.56098,-19.05728,,,,,,,1.07608,69.85893,-11.64595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,191.480552,43.163428,1671.365022,0.729405,12:30,-0.709583,-0.173699,-0.682877,20.180102,43.653265,34.829349,178.759072,4.94938,0.021576,0.086276,-0.996038,4.950535,1.236301,0.086276,0.021576,0.996038,-4.950535,-1.236301,-0.086276,-0.021576,0.996038,-178.759072,-4.94938,-0.021576,-0.086276,-0.996038
