,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,batterHand,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2024,730327808,EVAN,D1 Missouri Valley Conference,730270720,ECU,5336585,2024-06-03 13:00:00,1,0,0,0,1144635904,N. Smith,R,FA,L,-1.55843,2.44629,16.24084,5.5728,7.03891,B,IP_OUT,-2.34303,5.17631,89.11895,2445.706507,200.129,0.13
1,2024,730327808,EVAN,D1 Missouri Valley Conference,730270720,ECU,5336585,2024-06-03 13:00:00,1,1,0,0,1144635904,N. Smith,R,FA,L,-1.12634,2.80535,15.74292,4.77114,6.68495,B,IP_OUT,-2.26966,5.13841,88.07376,2448.439108,197.992378,0.13
2,2024,730327808,EVAN,D1 Missouri Valley Conference,730270720,ECU,5336585,2024-06-03 13:00:00,1,0,0,1,1144635904,N. Smith,R,FA,L,0.4292,2.70913,11.78957,0.96169,6.80949,SL,K,-2.00919,5.20911,89.20565,2463.581452,185.112312,-0.15
3,2024,730327808,EVAN,D1 Missouri Valley Conference,730270720,ECU,5336585,2024-06-03 13:00:00,1,0,1,1,1144635904,N. Smith,R,CH,L,-1.89588,2.80261,9.10032,15.13906,6.49061,B,K,-2.55677,5.14431,83.3462,1897.382297,242.715831,0.13
4,2024,730327808,EVAN,D1 Missouri Valley Conference,730270720,ECU,5336585,2024-06-03 13:00:00,1,1,1,1,1144635904,N. Smith,R,FA,L,-1.49334,2.87789,18.57761,2.56146,6.70969,B,K,-2.23554,5.23997,88.91885,2500.694723,188.295558,0.13
5,2024,730327808,EVAN,D1 Missouri Valley Conference,730270720,ECU,5336585,2024-06-03 13:00:00,1,2,1,1,1144635904,N. Smith,R,FA,L,0.34224,2.66945,15.3519,3.71977,6.84367,SL,K,-2.09289,5.12229,88.42871,2482.560468,194.46375,-0.15
6,2024,730327808,EVAN,D1 Missouri Valley Conference,730270720,ECU,5336585,2024-06-03 13:00:00,1,2,2,1,1144635904,N. Smith,R,FA,L,-0.05953,3.07809,17.80497,1.83831,6.70702,SS,K,-2.02002,5.11552,89.58976,2515.086873,186.225639,-0.15
7,2024,730327808,EVAN,D1 Missouri Valley Conference,730270720,ECU,5336585,2024-06-03 13:00:00,1,0,0,2,1144635904,N. Smith,R,CH,L,0.62593,2.86378,5.31067,15.93288,6.98576,SL,S,-2.21568,5.35222,82.92822,1787.733435,255.893665,-0.15
8,2024,730327808,EVAN,D1 Missouri Valley Conference,730270720,ECU,5336585,2024-06-03 13:00:00,1,0,1,2,1144635904,N. Smith,R,CH,L,-0.54704,1.8776,8.71292,13.91249,6.23623,F,S,-2.39512,5.21205,85.34756,1914.241109,241.297434,-0.15
9,2024,730327808,EVAN,D1 Missouri Valley Conference,730270720,ECU,5336585,2024-06-03 13:00:00,1,0,2,2,1144635904,N. Smith,R,CH,L,-1.15772,0.34159,7.75414,12.90536,6.48699,B,S,-2.35579,5.1734,83.94441,1801.838266,242.905772,0.13
