,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,batterHand,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,1,0,0,0,1612434914,I. Buxton,R,FA,L,-0.77985,1.92129,12.64764,16.74505,5.93439,F,K,-2.49698,5.02729,92.69992,1931.614132,235.500406,-0.15
1,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,1,0,1,0,1612434914,I. Buxton,R,FA,L,0.96726,2.25447,13.06556,14.4069,6.19611,SL,K,-2.56862,4.95179,94.44981,2129.735995,230.22536,-0.15
2,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,1,0,2,0,1612434914,I. Buxton,R,FA,L,0.86025,1.47524,14.2769,14.15851,6.25107,SL,K,-2.59419,5.03974,94.97554,2200.881522,226.730587,-0.15
3,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,1,0,0,1,1612434914,I. Buxton,R,FA,R,-1.0672,2.13477,7.2628,16.17009,6.19619,SS,IP_OUT,-2.54576,4.96646,93.70183,2035.261157,248.816598,-0.15
4,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,1,0,1,1,1612434914,I. Buxton,R,FA,R,-0.19541,0.99089,5.40922,17.48367,5.93541,B,IP_OUT,-2.6923,5.00463,93.43094,2218.120172,255.841051,0.13
5,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,1,1,1,1,1612434914,I. Buxton,R,FA,R,0.37999,1.35566,7.18811,17.7143,6.06891,SL,IP_OUT,-2.574,4.9465,94.68876,2226.513563,250.624093,-0.15
6,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,1,0,0,2,1612434914,I. Buxton,R,FA,R,-1.05387,2.35058,7.78528,17.42954,5.98846,SS,K,-2.72125,5.00228,92.89333,2101.043163,248.759565,-0.15
7,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,1,0,1,2,1612434914,I. Buxton,R,FA,R,0.27167,1.58476,7.41729,17.12481,6.16037,SL,K,-2.58154,4.9757,94.10409,2095.056124,249.370764,-0.15
8,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,1,0,2,2,1612434914,I. Buxton,R,FA,R,0.57924,1.53177,7.39343,19.52568,6.06107,SL,K,-2.65157,4.97889,94.51148,2256.642556,251.896323,-0.15
9,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,2,0,0,0,1612434914,I. Buxton,R,FA,L,0.81952,3.47686,13.94591,12.68442,6.47413,B,IP_OUT,-2.52779,5.17982,93.51002,2006.240927,224.22616,0.13
10,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,2,1,0,0,1612434914,I. Buxton,R,FA,L,0.3487,0.13699,10.69001,15.35367,6.01382,B,IP_OUT,-2.4244,4.98769,92.67692,2102.837807,237.653078,0.13
11,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,2,0,0,1,1612434914,I. Buxton,R,FA,R,0.45975,1.8074,5.73681,16.10662,6.02402,SL,K,-2.57198,5.05694,91.17768,2074.922004,253.725453,-0.15
12,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,2,0,1,1,1612434914,I. Buxton,R,FA,R,0.37741,2.38087,11.10225,13.58513,5.91046,F,K,-2.55403,5.10361,91.99177,2071.858225,233.375548,-0.15
13,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,2,0,2,1,1612434914,I. Buxton,R,FA,R,0.96335,1.8155,6.59252,11.6517,5.80332,SL,K,-2.49722,5.06297,92.5955,2038.222102,243.921488,-0.15
14,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,3,0,0,0,1612434914,I. Buxton,R,FA,L,0.31808,1.38221,11.05008,18.08092,5.9962,B,BB,-2.82873,5.0699,90.09066,2017.582631,241.609012,0.13
15,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,3,1,0,0,1612434914,I. Buxton,R,FA,L,0.33278,1.54257,11.02292,17.66036,6.16873,F,BB,-2.66251,5.1039,92.37787,2046.176152,241.059496,-0.15
16,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,3,1,1,0,1612434914,I. Buxton,R,FA,L,1.40094,1.44935,15.48017,16.89316,6.10595,B,BB,-2.59301,5.08215,92.57145,2265.75768,229.840538,0.13
17,2022,730307072,LIP,D1 Atlantic Sun Conference,730167552,BU,253477040,2022-05-08 13:00:00,3,2,1,0,1612434914,I. Buxton,R,CH,L,-1.95381,2.16704,7.28591,17.04261,6.02136,B,BB,-2.81154,4.97112,82.53174,2137.344212,250.94,0.13
