,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,batterHand,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,1,0,0,0,1150347776,C. Allen,R,FA,L,-0.42853,0.74548,8.53004,19.12647,6.08035,B,IP_OUT,-1.81775,5.39797,92.3843,1801.689374,248.633349,0.13
1,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,1,0,0,2,1150347776,C. Allen,R,FA,L,-0.71586,2.12921,10.6191,16.76686,5.90301,SL,K,-1.73005,5.44432,92.31204,1799.09487,240.034921,-0.15
2,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,1,0,1,2,1150347776,C. Allen,R,CH,L,0.00546,2.55333,3.03917,-1.21614,5.52585,F,K,-1.6244,5.56602,86.19614,2433.334667,147.670653,-0.15
3,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,1,0,2,2,1150347776,C. Allen,R,CH,L,1.32664,1.45142,3.9978,2.1098,5.59056,B,K,-1.22305,5.6995,86.53954,2512.28769,216.93993,0.13
4,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,1,1,2,2,1150347776,C. Allen,R,FA,L,1.34091,1.77687,12.95013,15.63733,5.69777,B,K,-1.5264,5.48714,93.00065,1925.636673,232.721356,0.13
5,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,1,2,2,2,1150347776,C. Allen,R,SL,L,0.69752,1.45449,1.34079,-2.27886,5.48189,F,K,-1.54046,5.56632,85.953,2499.103572,95.977477,0.0
6,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,1,2,2,2,1150347776,C. Allen,R,SL,L,1.00891,1.02943,1.28276,-3.9761,5.7331,SS,K,-1.32831,5.6257,85.78311,2457.600669,92.85277,-0.15
7,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,2,0,0,0,1150347776,C. Allen,R,FA,R,-1.68477,1.42627,9.64536,15.42572,6.07297,B,IP_OUT,-1.75206,5.35903,90.98657,1617.943364,240.724106,0.13
8,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,2,0,0,1,1150347776,C. Allen,R,SL,R,0.88963,0.79342,3.17658,0.02819,5.99673,B,HBP,-1.68505,5.47102,86.79035,2295.577712,180.745718,0.13
9,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,2,1,0,1,1150347776,C. Allen,R,FA,R,-2.14078,1.49287,7.14552,18.53521,6.04457,HBP,HBP,-1.64876,5.42287,91.96586,1814.713962,251.432923,0.8
10,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,2,0,0,1,1150347776,C. Allen,R,FA,L,-0.63994,1.3308,11.64383,14.25871,5.72582,B,BB,-1.74827,5.33843,92.83782,1834.281623,233.202914,0.13
11,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,2,1,0,1,1150347776,C. Allen,R,FA,L,-1.10477,1.71059,9.57642,17.29918,5.67218,B,BB,-1.70231,5.43309,93.26442,1899.442059,243.509919,0.13
12,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,2,2,0,1,1150347776,C. Allen,R,FA,L,-1.89169,1.17148,5.97158,18.81662,5.77938,B,BB,-1.78333,5.3113,92.66921,1900.306985,255.227963,0.13
13,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,2,3,0,1,1150347776,C. Allen,R,FA,L,0.16515,0.99967,11.17422,18.19525,6.01767,B,BB,-1.64456,5.44206,92.64542,1966.189913,240.794104,0.8
14,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,2,0,0,1,1150347776,C. Allen,R,SL,L,-0.07583,1.89948,1.97063,2.64563,5.85496,SL,K,-1.73404,5.51957,87.02773,2307.232339,254.015268,-0.15
15,2024,730246656,USM,D1 Sun Belt Conference,4866,IND,5336432,2024-06-02 13:00:00,2,0,1,1,1150347776,C. Allen,R,SL,L,1.31321,0.94103,-0.55433,0.49382,5.67761,B,K,-1.71565,5.4286,86.61401,2460.900124,343.936911,0.13
