,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,batterHand,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,1,0,0,1,1297477626,J. Campbell,R,FA,R,0.66552,1.5659,21.55623,8.59193,5.6352,SL,K,-0.55829,6.22949,91.83402,2509.584461,202.904363,-0.15
1,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,1,0,1,1,1297477626,J. Campbell,R,SL,R,0.80985,1.35383,-2.39331,-6.31292,5.03975,B,K,-0.84573,6.18524,82.8626,2580.254284,60.839783,0.13
2,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,1,1,1,1,1297477626,J. Campbell,R,FA,R,-0.29071,2.98194,23.24249,12.02394,5.56469,SS,K,-0.65791,6.22366,91.85594,2496.989252,208.631113,-0.15
3,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,1,1,2,1,1297477626,J. Campbell,R,FA,R,0.80665,2.51351,21.51513,13.19076,5.62261,SL,K,-0.62427,6.21033,94.61461,2520.03435,212.934251,-0.15
4,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,1,0,0,2,1297477626,J. Campbell,R,FA,L,-1.22069,1.43171,21.04509,13.7756,5.7784,B,IP_OUT,-0.78727,6.13324,92.20275,2512.320104,214.738251,0.13
5,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,1,1,0,2,1297477626,J. Campbell,R,FA,L,-0.16873,2.42068,22.46387,11.90757,5.60687,F,IP_OUT,-0.88932,6.25364,92.93856,2529.677419,209.205939,-0.15
6,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,2,0,0,0,1297477626,J. Campbell,R,SL,R,2.60974,1.21761,1.79469,-11.04658,4.8681,B,IP_OUT,-0.84618,6.23447,79.45285,2530.782562,92.55313,0.13
7,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,2,1,0,0,1297477626,J. Campbell,R,FA,R,0.74554,2.38315,21.74336,14.84087,5.59906,F,IP_OUT,-0.75637,6.27769,91.01738,2586.415747,215.934633,-0.15
8,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,2,1,1,0,1297477626,J. Campbell,R,FA,R,0.66516,3.65622,22.61545,10.94548,5.67643,F,IP_OUT,-0.64573,6.26354,91.30556,2431.702725,207.071879,-0.15
9,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,2,1,2,0,1297477626,J. Campbell,R,FA,R,0.40955,3.81877,23.85041,12.83036,5.57041,F,IP_OUT,-0.70767,6.3347,91.47543,2426.966488,209.659636,0.0
10,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,2,1,2,0,1297477626,J. Campbell,R,CH,R,1.05777,2.37859,13.88308,18.81253,6.00847,F,IP_OUT,-0.75768,6.11601,80.16381,2593.351508,236.710769,0.0
11,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,2,0,0,1,1297477626,J. Campbell,R,FA,L,-1.64301,1.95249,22.71375,13.49111,5.4708,B,K,-0.81246,6.21181,92.58533,2499.193555,212.05497,0.13
12,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,2,1,0,1,1297477626,J. Campbell,R,CH,L,-0.11229,1.96548,10.9219,20.98076,5.76763,SS,K,-1.0128,6.16252,79.39991,2555.482414,245.890535,-0.15
13,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,2,1,1,1,1297477626,J. Campbell,R,FA,L,0.09517,3.10708,22.18143,13.53564,5.72327,SS,K,-0.63127,6.08653,91.82575,2509.478197,212.783692,-0.15
14,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,2,1,2,1,1297477626,J. Campbell,R,CH,L,-0.18943,2.22013,15.51725,18.77454,5.80187,SS,K,-0.87494,5.99996,80.23686,2616.194334,233.261507,-0.15
15,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,2,0,0,2,1297477626,J. Campbell,R,FA,L,0.89025,3.18311,21.52068,14.83465,5.72249,B,K,-0.61736,6.18646,91.5841,2477.359254,216.140093,0.13
16,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,2,1,0,2,1297477626,J. Campbell,R,FA,L,0.14927,2.56482,21.65481,15.42328,5.65331,SS,K,-0.61454,6.15031,92.36874,2493.812692,216.976223,-0.15
17,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,2,1,1,2,1297477626,J. Campbell,R,CH,L,0.01506,2.96829,16.21749,18.85139,5.81884,SL,K,-1.12591,6.07246,81.15961,2530.886053,231.99081,-0.15
18,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,2,1,2,2,1297477626,J. Campbell,R,FA,L,-0.28539,2.72905,22.38863,13.45056,5.67861,SS,K,-0.59898,6.16563,94.86726,2575.084332,212.311911,-0.15
19,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,0,0,0,1297477626,J. Campbell,R,FA,R,1.07329,1.03121,20.52643,11.55623,5.68953,B,IP_OUT,-0.86118,6.1986,89.87874,2336.983381,210.95084,0.13
20,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,1,0,0,1297477626,J. Campbell,R,FA,R,0.87928,1.81445,20.53938,12.77209,5.49299,SL,IP_OUT,-0.64321,6.23885,90.78161,2340.847295,213.496467,-0.15
21,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,0,0,1,1297477626,J. Campbell,R,FA,L,-0.12196,2.31486,23.46293,10.94457,5.60319,SL,S,-0.74119,6.11108,90.13249,2341.455556,206.228797,-0.15
22,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,0,1,1,1297477626,J. Campbell,R,FA,L,0.50617,2.60008,23.05674,11.55741,5.5849,SL,S,-0.87648,6.22177,90.55351,2292.271915,207.889864,-0.15
23,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,0,2,1,1297477626,J. Campbell,R,CH,L,-1.86365,1.61386,7.2587,19.45722,5.75172,B,S,-0.92802,6.09677,79.34204,2563.215446,253.852518,0.13
24,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,1,2,1,1297477626,J. Campbell,R,CH,L,-0.53813,1.04782,9.79583,18.34962,5.53858,IP,S,-0.82715,6.11158,79.98184,2607.121792,245.839412,1.0
25,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,0,0,1,1297477626,J. Campbell,R,CU,R,0.75562,1.81157,-18.44808,-7.695,5.10814,SL,IP_OUT,-0.53615,6.23526,75.76425,2497.223643,20.879481,-0.15
26,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,0,1,1,1297477626,J. Campbell,R,SL,R,1.12494,2.19602,-4.19977,-5.73012,4.81223,SL,IP_OUT,-0.81553,6.14727,81.21017,2507.140121,44.629848,-0.15
27,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,0,2,1,1297477626,J. Campbell,R,FA,R,0.90504,3.34366,23.00493,9.15359,5.76512,F,IP_OUT,-0.71707,6.11168,90.92187,2424.896793,202.774708,0.0
28,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,0,2,1,1297477626,J. Campbell,R,FA,R,1.65124,1.45081,21.04151,14.21371,5.75412,B,IP_OUT,-0.53448,6.11873,94.40097,2512.212066,215.662069,0.13
29,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,1,2,1,1297477626,J. Campbell,R,CU,R,1.00699,0.23754,-20.30375,-4.51044,5.2733,B,IP_OUT,-0.56564,6.22066,78.81792,2589.207713,11.588321,0.13
30,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,0,0,2,1297477626,J. Campbell,R,CU,L,0.98822,1.50981,-21.03875,-7.43071,4.90023,SS,K,-0.84537,6.24111,76.98732,2545.766221,18.048255,-0.15
31,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,0,1,2,1297477626,J. Campbell,R,FA,L,0.25385,2.16044,22.07395,12.80977,5.71826,SL,K,-0.66213,6.07897,93.35806,2453.107012,211.589483,-0.15
32,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,0,2,2,1297477626,J. Campbell,R,CU,L,0.41116,1.07992,-21.48737,-4.92051,5.20211,F,K,-0.69834,6.24427,78.19467,2622.280166,11.975686,0.0
33,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,0,2,2,1297477626,J. Campbell,R,FA,L,-0.77126,5.18776,22.67048,11.55942,5.27613,B,K,-0.79419,6.23407,92.90708,2441.475715,208.179174,0.13
34,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,3,1,2,2,1297477626,J. Campbell,R,FA,L,0.38993,3.69163,22.09946,12.18044,5.64997,SL,K,-0.86323,6.14557,92.72995,2438.410068,210.08028,-0.15
35,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,4,0,0,0,1297477626,J. Campbell,R,CU,R,1.20728,2.55818,-17.77111,-8.05559,4.94288,SL,IP_OUT,-0.70239,6.41143,74.02173,2402.07126,22.354446,-0.15
36,2022,4245,OKST,D1 Big 12 Conference,3033,BAY,435358434,2022-05-26 13:00:00,4,0,0,1,1297477626,J. Campbell,R,CU,L,0.97849,2.34496,-20.59021,-4.55516,4.97301,B,K,-0.72904,6.37283,74.28514,2429.105821,11.47958,0.13
