,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,batterHand,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2025,730366720,CIT,D1 Southern Conference,730194432,CHSO,496091866,2025-05-13 17:00:00,1,0,0,0,1249661184,C. Cummiskey,R,FA,L,-1.65384,3.09373,12.68548,9.89237,4.59582,B,BB,-1.72763,5.63878,90.49392,2223.945086,220.781462,0.13
1,2025,730366720,CIT,D1 Southern Conference,730194432,CHSO,496091866,2025-05-13 17:00:00,1,1,0,0,1249661184,C. Cummiskey,R,FA,L,1.47947,1.27318,17.06784,9.4204,4.88805,B,BB,-1.59379,5.62654,91.26098,2319.048909,210.658089,0.13
2,2025,730366720,CIT,D1 Southern Conference,730194432,CHSO,496091866,2025-05-13 17:00:00,1,2,0,0,1249661184,C. Cummiskey,R,FA,L,-0.96154,2.98059,15.09064,13.89249,4.50598,B,BB,-1.94176,5.71762,91.08135,2291.528909,225.169064,0.13
3,2025,730366720,CIT,D1 Southern Conference,730194432,CHSO,496091866,2025-05-13 17:00:00,1,3,0,0,1249661184,C. Cummiskey,R,FA,L,0.41177,2.86064,13.91579,9.81067,4.3768,SL,BB,-1.87928,5.77583,89.84349,2253.759719,218.061535,-0.15
4,2025,730366720,CIT,D1 Southern Conference,730194432,CHSO,496091866,2025-05-13 17:00:00,1,3,1,0,1249661184,C. Cummiskey,R,FA,L,-1.02793,2.69942,16.08021,10.80371,4.30191,SL,BB,-1.91873,5.74519,90.14914,2217.484564,216.140412,-0.15
5,2025,730366720,CIT,D1 Southern Conference,730194432,CHSO,496091866,2025-05-13 17:00:00,1,3,2,0,1249661184,C. Cummiskey,R,FA,L,-1.97506,2.99245,17.80481,12.13949,4.03109,B,BB,-1.91591,5.85947,89.39574,2224.966728,216.425588,0.8
6,2025,730366720,CIT,D1 Southern Conference,730194432,CHSO,496091866,2025-05-13 17:00:00,1,0,0,0,1249661184,C. Cummiskey,R,FA,L,0.7639,3.82767,14.18099,12.14812,4.69325,B,IP_OUT,-1.99592,5.68578,90.93836,2359.485526,223.234329,0.13
7,2025,730366720,CIT,D1 Southern Conference,730194432,CHSO,496091866,2025-05-13 17:00:00,1,1,0,1,1249661184,C. Cummiskey,R,FC,L,-0.05082,2.94124,5.1137,-2.12181,4.24095,SL,IP_OUT,-1.95616,5.56289,85.32364,2519.218315,148.968045,-0.15
8,2025,730366720,CIT,D1 Southern Conference,730194432,CHSO,496091866,2025-05-13 17:00:00,1,1,1,1,1249661184,C. Cummiskey,R,FC,L,-0.26347,2.04223,2.23646,-2.69677,3.9577,F,IP_OUT,-1.85878,5.70625,84.75077,2580.731359,105.034066,-0.15
9,2025,730366720,CIT,D1 Southern Conference,730194432,CHSO,496091866,2025-05-13 17:00:00,1,0,0,2,1249661184,C. Cummiskey,R,FC,L,0.72912,0.78827,2.09823,-1.00469,4.29232,B,BB,-1.91065,5.52128,85.56733,2507.370735,111.29833,0.13
