,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,batterHand,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2024,232,ARIZ,D1 Pacific-12 Conference,730198016,DBU,5336473,2024-06-01 13:00:00,1,0,0,0,1282376448,C. Walty,R,FA,R,0.022,2.72403,16.92525,9.0941,5.64687,SL,IP_OUT,-2.46406,5.54988,91.16421,2337.83205,209.82498,-0.15
1,2024,232,ARIZ,D1 Pacific-12 Conference,730198016,DBU,5336473,2024-06-01 13:00:00,1,0,1,0,1282376448,C. Walty,R,CU,R,2.06927,2.3121,0.20685,-11.50851,5.32901,B,IP_OUT,-2.42777,5.31657,81.79036,2428.379442,85.130653,0.13
2,2024,232,ARIZ,D1 Pacific-12 Conference,730198016,DBU,5336473,2024-06-01 13:00:00,1,0,0,1,1282376448,C. Walty,R,CU,R,0.41561,3.43415,-2.7898,-9.70938,5.63695,B,BB,-2.40622,5.28131,80.07671,2387.922356,67.737147,0.13
3,2024,232,ARIZ,D1 Pacific-12 Conference,730198016,DBU,5336473,2024-06-01 13:00:00,1,1,0,1,1282376448,C. Walty,R,FC,R,0.53554,3.29279,6.73996,0.35346,5.96376,F,BB,-2.23131,5.46256,87.16323,2271.599488,183.478499,-0.15
4,2024,232,ARIZ,D1 Pacific-12 Conference,730198016,DBU,5336473,2024-06-01 13:00:00,1,1,1,1,1282376448,C. Walty,R,FA,R,0.6412,2.23209,11.83642,7.37918,5.79934,SL,BB,-2.14263,5.50202,91.91365,2332.660715,213.871594,-0.15
5,2024,232,ARIZ,D1 Pacific-12 Conference,730198016,DBU,5336473,2024-06-01 13:00:00,1,1,2,1,1282376448,C. Walty,R,FC,R,1.78805,1.84852,4.21626,-3.40666,5.54808,B,BB,-2.24906,5.17059,86.58829,2310.968649,133.880519,0.13
6,2024,232,ARIZ,D1 Pacific-12 Conference,730198016,DBU,5336473,2024-06-01 13:00:00,1,2,2,1,1282376448,C. Walty,R,FA,R,0.03095,2.86907,13.68997,11.95249,5.94913,F,BB,-2.02501,5.49917,92.59383,2466.406076,223.146167,0.0
7,2024,232,ARIZ,D1 Pacific-12 Conference,730198016,DBU,5336473,2024-06-01 13:00:00,1,2,2,1,1282376448,C. Walty,R,CU,R,1.12345,0.63044,-4.22181,-6.08843,5.50736,B,BB,-2.25768,5.24818,82.44495,2415.367365,48.964998,0.13
8,2024,232,ARIZ,D1 Pacific-12 Conference,730198016,DBU,5336473,2024-06-01 13:00:00,1,3,2,1,1282376448,C. Walty,R,FA,R,-0.28856,2.58036,18.45954,9.65508,5.54607,F,BB,-2.25287,5.47572,91.34412,2278.738467,209.08778,0.0
9,2024,232,ARIZ,D1 Pacific-12 Conference,730198016,DBU,5336473,2024-06-01 13:00:00,1,3,2,1,1282376448,C. Walty,R,FC,R,0.79079,0.83757,9.27252,-2.4254,5.91019,B,BB,-2.37947,5.25685,86.1224,2305.306134,163.814554,0.8
