,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,batterHand,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,1,0,0,0,1011930018,H. Phipps,R,FA,R,-1.69516,1.19664,17.85647,2.29414,5.52414,B,K,-1.21756,6.49423,92.66995,2309.743564,187.860705,0.13
1,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,1,1,0,0,1011930018,H. Phipps,R,FA,R,-1.73519,2.92963,18.42426,5.52693,5.60202,B,K,-1.30412,6.57074,91.25369,2340.124028,197.911734,0.13
2,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,1,2,0,0,1011930018,H. Phipps,R,SL,R,0.30557,1.80105,3.34567,-6.77914,5.13433,SS,K,-0.91528,6.41496,82.82441,2284.508866,103.215476,-0.15
3,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,1,2,1,0,1011930018,H. Phipps,R,SL,R,0.39037,2.77957,-4.42697,-11.58871,4.98909,SL,K,-0.99518,6.47691,80.40473,2348.29664,62.135958,-0.15
4,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,1,2,2,0,1011930018,H. Phipps,R,SL,R,0.52278,0.12749,-2.13276,-12.68264,5.08679,SS,K,-0.86236,6.46143,81.07884,2389.296467,73.322341,-0.15
5,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,1,0,0,1,1011930018,H. Phipps,R,SL,R,1.1499,1.19026,-2.32221,-12.02162,5.11502,B,IP_OUT,-1.13585,6.48076,83.11688,2383.933211,71.201256,0.13
6,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,1,1,0,1,1011930018,H. Phipps,R,FA,R,0.38605,0.98348,20.39517,3.34563,5.72596,B,IP_OUT,-0.84552,6.49271,92.5599,2298.543333,189.851593,0.13
7,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,1,2,0,1,1011930018,H. Phipps,R,SL,R,-0.60795,2.27939,2.13658,-4.55327,5.32336,SL,IP_OUT,-1.13485,6.44333,81.61135,2277.859948,96.965774,-0.15
8,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,1,0,0,2,1011930018,H. Phipps,R,FA,R,0.61362,2.00426,20.0219,5.12496,5.70902,SL,K,-0.72804,6.58033,93.48327,2202.792272,195.165503,-0.15
9,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,1,0,1,2,1011930018,H. Phipps,R,FA,R,0.42321,1.39279,15.77851,-0.68925,5.57601,F,K,-0.62105,6.48777,92.55242,2395.466064,177.308441,-0.15
10,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,1,0,2,2,1011930018,H. Phipps,R,FA,R,2.18427,2.335,17.48969,3.61835,5.66489,B,K,-0.68689,6.47707,92.20626,2439.821612,192.586068,0.13
11,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,1,1,2,2,1011930018,H. Phipps,R,SL,R,-0.40958,0.21136,-4.87173,-2.67351,5.0092,SS,K,-0.84081,6.52175,83.02853,2545.804211,22.421408,-0.15
12,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,2,0,0,0,1011930018,H. Phipps,R,SL,L,-0.47011,1.25829,-1.33717,-3.30142,5.11735,SS,K,-1.08865,6.37589,81.44277,2462.878826,51.00666,-0.15
13,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,2,0,1,0,1011930018,H. Phipps,R,SL,L,1.03905,1.37016,-7.64339,-14.44544,4.96162,B,K,-0.72021,6.61049,80.19186,2382.152137,57.543558,0.13
14,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,2,1,1,0,1011930018,H. Phipps,R,FA,L,-0.11769,2.96331,17.09552,0.16535,5.517,F,K,-0.81158,6.60505,91.50959,2355.528826,180.596219,-0.15
15,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,2,1,2,0,1011930018,H. Phipps,R,CU,L,-0.56294,3.4964,1.40949,-8.53402,4.70357,B,K,-0.96107,6.50696,82.15712,2460.998658,89.330168,0.13
16,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,2,2,2,0,1011930018,H. Phipps,R,CU,L,-0.10089,1.81577,-5.175,-11.93823,4.85267,F,K,-0.89408,6.49701,81.23049,2434.448448,59.832105,0.0
17,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,2,2,2,0,1011930018,H. Phipps,R,CU,L,-0.5518,1.32285,4.14122,-11.3878,4.91344,F,K,-0.84285,6.55511,81.23747,2379.815317,100.95093,0.0
18,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,2,2,2,0,1011930018,H. Phipps,R,FA,L,0.37992,2.82684,18.33139,-2.16177,5.7929,F,K,-0.87256,6.62299,92.35282,2355.804353,172.773062,0.0
19,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,2,2,2,0,1011930018,H. Phipps,R,CU,L,-0.19264,0.74638,-8.14056,-11.09682,5.01909,F,K,-1.03227,6.38491,81.67358,2438.648425,48.797337,0.0
20,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,2,2,2,0,1011930018,H. Phipps,R,CU,L,0.06717,0.56586,-4.61362,-13.67225,5.08426,B,K,-0.9535,6.43778,81.00726,2451.089778,65.220526,0.13
21,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,2,3,2,0,1011930018,H. Phipps,R,CU,L,0.14954,1.65559,-5.09677,-10.33087,5.0742,SS,K,-0.94743,6.53209,82.34148,2404.531424,56.507222,-0.15
22,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,2,0,0,1,1011930018,H. Phipps,R,CU,R,0.0799,2.01565,-4.54311,-9.09398,4.87276,SL,IP_OUT,-0.92327,6.53134,81.14777,2431.814958,56.199987,-0.15
23,2025,730177792,COFC,D1 Coastal Athletic Association,730187776,CAMP,246922948,2025-05-23 15:00:00,2,0,1,1,1011930018,H. Phipps,R,FA,R,2.6627,2.53206,17.92466,-2.34394,5.59803,B,IP_OUT,-0.96673,6.53673,91.78689,2435.422283,172.008893,0.13
