,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,batterHand,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,1,0,0,0,1854410800,S. Johnsen,L,FA,L,-0.88964,2.45912,16.89694,-7.67028,6.27785,SL,S,2.08798,5.57847,86.77546,2002.079326,154.083447,-0.15
1,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,1,0,1,0,1854410800,S. Johnsen,L,FA,L,1.36782,2.95632,19.43525,-9.53402,6.15974,B,S,2.1908,5.60316,88.07414,2000.852247,152.480336,0.13
2,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,1,1,1,0,1854410800,S. Johnsen,L,SI,L,-0.07857,1.97838,17.82761,-14.55509,6.01884,IP,S,2.19722,5.56631,88.20611,2023.720168,138.878315,1.0
3,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,1,0,0,0,1854410800,S. Johnsen,L,CH,R,1.39175,2.09,6.24024,-14.31489,5.68318,SS,K,2.29821,5.40961,83.43752,1344.808513,109.125402,-0.15
4,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,1,0,1,0,1854410800,S. Johnsen,L,CH,R,-0.14919,1.06816,3.73284,-11.81367,5.88331,SS,K,2.32779,5.34563,83.96693,1318.780865,101.75209,-0.15
5,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,1,0,2,0,1854410800,S. Johnsen,L,CH,R,-0.36928,-0.19763,7.19449,-10.0191,5.95943,B,K,2.3411,5.34323,84.34209,1287.948268,120.745624,0.13
6,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,1,1,2,0,1854410800,S. Johnsen,L,SL,R,0.27246,2.19561,-3.58106,2.39961,5.48574,SS,K,2.05592,5.4812,78.12764,1972.711977,334.085599,-0.15
7,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,1,0,0,1,1854410800,S. Johnsen,L,SI,L,0.41113,1.41984,20.58682,-13.20658,5.88961,B,IP_OUT,2.15049,5.51856,88.71733,2019.855053,145.796455,0.13
8,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,1,0,0,2,1854410800,S. Johnsen,L,CH,R,0.26711,1.56605,10.82379,-13.55249,5.9021,IP,S,2.25848,5.30207,84.42997,1383.302286,125.101982,1.0
9,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,2,0,0,0,1854410800,S. Johnsen,L,FA,L,-0.61512,3.7561,18.65737,-5.64087,6.20521,F,IP_OUT,2.00263,5.57306,86.66834,1906.63243,162.110359,-0.15
10,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,2,0,0,1,1854410800,S. Johnsen,L,FA,L,1.27297,2.99407,18.45938,-7.0087,5.93897,B,S,2.08373,5.50419,87.52356,2064.782033,157.75402,0.13
11,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,2,1,0,1,1854410800,S. Johnsen,L,FA,L,0.61862,2.3399,18.31143,-8.13646,5.9487,IP,S,2.11101,5.46509,87.94393,2021.668141,154.472144,1.0
12,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,2,0,0,1,1854410800,S. Johnsen,L,SL,L,-1.09654,1.8045,3.01075,5.22862,5.47469,SS,BB,2.36801,5.19142,80.88417,1914.837354,251.881243,-0.15
13,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,2,0,1,1,1854410800,S. Johnsen,L,SL,L,0.92773,1.76475,0.98772,3.85449,5.06356,B,BB,2.38805,5.13158,78.38404,2015.074443,277.902305,0.13
14,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,2,1,1,1,1854410800,S. Johnsen,L,SL,L,-0.13948,2.96219,2.06406,1.24784,5.36878,SL,BB,2.51754,5.10902,79.77047,2028.690442,241.162464,-0.15
15,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,2,1,2,1,1854410800,S. Johnsen,L,FA,L,-0.55658,1.04604,17.2608,-11.8156,6.13558,B,BB,2.14842,5.37072,89.5783,2073.660163,143.612565,0.13
16,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,2,2,2,1,1854410800,S. Johnsen,L,SL,L,-1.69387,1.39477,-0.18657,-0.53929,5.42315,B,BB,2.08066,5.39505,79.69973,2067.800561,17.511104,0.13
17,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,2,3,2,1,1854410800,S. Johnsen,L,FA,L,-0.32935,2.21635,15.73725,-9.53796,6.12693,F,BB,2.31735,5.28629,89.33399,2006.659164,146.774195,0.0
18,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,2,3,2,1,1854410800,S. Johnsen,L,FA,L,-0.66199,2.17261,18.33021,-8.9563,6.09126,F,BB,2.14222,5.42923,88.51226,1989.690216,152.32932,0.0
19,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,2,3,2,1,1854410800,S. Johnsen,L,FA,L,0.97121,3.29408,17.00154,-11.3791,6.06883,B,BB,2.26525,5.32773,89.33469,2075.76394,144.317114,0.8
20,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,2,0,0,1,1854410800,S. Johnsen,L,CU,L,-0.56215,4.14331,-1.74268,3.8613,5.42798,B,IP_OUT,2.47872,5.06257,80.84911,1863.622813,309.354297,0.13
21,2026,730350080,INST,D1 Missouri Valley Conference,730190336,BEL,385580663,2026-05-16 14:04:00,2,0,0,2,1854410800,S. Johnsen,L,CH,R,1.08628,1.60259,10.32705,-13.06556,5.74265,B,BB,2.46572,5.24325,84.7046,1265.43114,124.652581,0.13
