,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,batterHand,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,0,0,1,1257460992,T. Grenn,R,FA,L,-1.26718,0.67356,14.03642,16.89576,5.75267,B,T,-2.04047,5.54866,84.87323,2126.434617,233.28156,0.13
1,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,1,0,1,1257460992,T. Grenn,R,FA,L,-0.03581,2.45246,14.2395,18.08942,5.56559,F,T,-2.0296,5.51891,85.327,2105.28631,234.590207,-0.15
2,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,1,1,1,1257460992,T. Grenn,R,FA,L,-0.39469,3.23738,12.60509,14.57146,5.60569,F,T,-2.1546,5.55171,86.74829,2011.120955,231.923481,-0.15
3,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,1,2,1,1257460992,T. Grenn,R,CU,L,0.23557,0.52258,3.08595,6.81414,5.8508,B,T,-2.25278,5.4417,77.24173,1829.675877,260.420958,0.13
4,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,2,2,1,1257460992,T. Grenn,R,FA,L,0.77102,1.76393,16.99997,13.49828,5.79655,B,T,-1.882,5.52272,87.4159,1958.705687,220.633977,0.13
5,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,3,2,1,1257460992,T. Grenn,R,FA,L,0.25283,2.28465,15.77276,16.40635,5.588,IP,T,-2.00312,5.42351,86.20982,1905.447431,228.607952,1.54
6,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,0,0,1,1257460992,T. Grenn,R,FA,R,0.36007,2.51338,14.59843,19.59576,5.79936,SL,HR,-2.01057,5.51247,85.94222,2104.496288,236.236418,-0.15
7,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,0,1,1,1257460992,T. Grenn,R,CU,R,0.1272,2.13483,9.49985,2.93886,5.68145,IP,HR,-2.17779,5.32164,76.16975,1983.511169,201.506415,1.76
8,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,0,0,1,1257460992,T. Grenn,R,FA,L,-0.25881,2.11355,14.43804,17.82603,5.84447,F,S,-2.06216,5.48938,85.70368,2127.090625,233.626108,-0.15
9,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,0,1,1,1257460992,T. Grenn,R,FA,L,-0.13476,2.13045,14.97879,17.64674,5.53602,IP,S,-1.80912,5.54012,86.98127,2122.132952,232.419168,1.0
10,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,0,0,2,1257460992,T. Grenn,R,FA,R,-0.47849,0.1466,11.23638,22.38962,5.94665,B,S,-2.08,5.34808,84.12845,2060.578771,246.585473,0.13
11,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,1,0,1,1257460992,T. Grenn,R,FA,R,1.42862,1.42308,13.26969,21.16021,5.83499,B,S,-1.9494,5.40728,85.57615,2134.730958,240.941443,0.13
12,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,2,0,1,1257460992,T. Grenn,R,FA,R,0.47793,0.878,9.10445,18.3843,5.63726,SS,S,-2.07036,5.38578,84.08408,1883.19955,247.41307,-0.15
13,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,2,1,1,1257460992,T. Grenn,R,FA,R,-0.82939,2.15027,16.70119,17.69383,5.8648,F,S,-2.06359,5.29356,83.36445,2240.334243,229.184345,-0.15
14,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,2,2,1,1257460992,T. Grenn,R,FA,R,-0.96258,0.26122,7.18118,20.02103,5.82508,B,S,-1.98719,5.41795,83.75097,1697.357848,254.051567,0.13
15,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,3,2,1,1257460992,T. Grenn,R,FA,R,0.61356,2.36332,12.65867,20.30918,5.98208,F,S,-2.00454,5.53511,85.43548,2012.629911,241.017645,0.0
16,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,3,2,2,1257460992,T. Grenn,R,FA,R,-0.30684,2.37357,13.61402,15.51883,5.76311,F,S,-1.87323,5.59202,84.52448,1966.092002,231.685318,0.0
17,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,3,2,2,1257460992,T. Grenn,R,FA,R,0.0387,2.77444,11.99284,17.12462,5.68152,IP,S,-1.91933,5.56246,86.07764,2009.219391,237.669576,1.0
18,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,0,0,2,1257460992,T. Grenn,R,FA,L,-0.81539,4.00987,11.18607,17.92458,5.65546,B,IP_OUT,-2.10105,5.44714,85.33621,1826.586792,241.172945,0.13
19,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,1,0,2,1257460992,T. Grenn,R,FA,L,-0.11466,2.71119,5.21788,20.24422,5.66274,F,IP_OUT,-1.95301,5.50255,84.05878,1905.903692,259.525081,-0.15
20,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,1,1,1,2,1257460992,T. Grenn,R,CU,L,-1.5505,2.28293,6.78583,-1.33252,5.73974,B,IP_OUT,-2.30959,5.23231,74.40987,1925.050738,164.961319,0.13
21,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,2,0,0,0,1257460992,T. Grenn,R,FA,R,1.01783,1.42913,9.92138,20.58789,5.66151,B,K,-1.80698,5.58661,84.96734,2017.721408,247.918288,0.13
22,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,2,1,0,0,1257460992,T. Grenn,R,FA,R,1.35255,2.69888,10.60127,19.63359,5.56032,SL,K,-1.88986,5.55271,84.67754,2212.920474,245.080111,-0.15
23,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,2,1,1,0,1257460992,T. Grenn,R,CU,R,0.0276,2.20855,5.50768,3.6554,5.53357,SS,K,-2.03123,5.4034,76.91321,2092.20191,224.204819,-0.15
24,2025,508,NAVY,D1 Patriot League,4744,ARMY,413766372,2025-05-11 16:51:00,2,1,2,0,1257460992,T. Grenn,R,CU,R,1.05693,1.40405,5.33744,-0.08528,5.62623,SS,K,-2.24371,5.43944,76.60644,2095.503516,178.626504,-0.15
