,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,batterHand,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2026,730225408,JVST,D1 Conference USA,730365440,AAMU,311539077,2026-04-14 18:06:00,1,0,0,0,1415086638,J. Wilson,R,SI,R,-0.12331,0.84734,12.96568,19.57442,5.99345,B,HBP,-2.35865,6.01345,92.6235,2385.443501,238.892072,0.13
1,2026,730225408,JVST,D1 Conference USA,730365440,AAMU,311539077,2026-04-14 18:06:00,1,1,0,0,1415086638,J. Wilson,R,SI,R,-1.49208,3.26281,16.32977,16.31406,5.93631,B,HBP,-2.4896,6.0081,91.61945,2420.871909,227.006373,0.13
2,2026,730225408,JVST,D1 Conference USA,730365440,AAMU,311539077,2026-04-14 18:06:00,1,2,0,0,1415086638,J. Wilson,R,SI,R,0.23375,1.45942,15.87702,16.78296,5.8097,SL,HBP,-2.2311,6.10287,91.50729,2365.046836,228.679045,-0.15
3,2026,730225408,JVST,D1 Conference USA,730365440,AAMU,311539077,2026-04-14 18:06:00,1,2,1,0,1415086638,J. Wilson,R,SI,R,-2.45053,3.40153,16.36339,17.06958,6.01368,HBP,HBP,-2.38833,6.08345,91.22291,2320.498636,228.261204,0.8
4,2026,730225408,JVST,D1 Conference USA,730365440,AAMU,311539077,2026-04-14 18:06:00,1,0,0,0,1415086638,J. Wilson,R,SI,R,0.12699,2.1276,13.32359,19.77387,5.9508,SL,IP_OUT,-2.3077,6.16843,91.76339,2537.02375,238.342565,-0.15
5,2026,730225408,JVST,D1 Conference USA,730365440,AAMU,311539077,2026-04-14 18:06:00,1,0,0,1,1415086638,J. Wilson,R,SI,R,0.3967,0.77899,16.41379,13.53213,5.84361,B,S,-2.22814,6.09,91.09424,2485.278433,221.566877,0.13
6,2026,730225408,JVST,D1 Conference USA,730365440,AAMU,311539077,2026-04-14 18:06:00,1,1,0,1,1415086638,J. Wilson,R,SI,R,0.50395,3.09888,14.56257,14.40469,5.85443,SL,S,-2.22716,6.08464,91.23983,2485.709318,227.00344,-0.15
7,2026,730225408,JVST,D1 Conference USA,730365440,AAMU,311539077,2026-04-14 18:06:00,1,1,1,1,1415086638,J. Wilson,R,SI,R,0.43683,2.80349,15.56717,14.96095,6.05941,IP,S,-2.25354,6.04635,91.63379,2503.281484,226.033298,1.0
8,2026,730225408,JVST,D1 Conference USA,730365440,AAMU,311539077,2026-04-14 18:06:00,1,0,0,1,1415086638,J. Wilson,R,SL,R,1.86733,2.74645,2.77319,-0.68287,5.48396,B,S,-2.43758,6.0247,81.98524,2213.647446,146.656035,0.13
9,2026,730225408,JVST,D1 Conference USA,730365440,AAMU,311539077,2026-04-14 18:06:00,1,1,0,1,1415086638,J. Wilson,R,SI,R,0.83366,3.69822,14.79891,14.77229,5.96546,B,S,-2.30482,6.14904,90.35605,2425.783436,227.349371,0.13
