,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,batterHand,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2019,730366720,CIT,D1 Southern Conference,4844,ETSU,144078534,2019-05-12 13:00:00,1,0,0,0,1639013352,J. Flanders,R,FA,L,-1.22706377062,2.83640088176,13.8541936242,3.28371550042,6.413710728,SL,K,-2.82233548951,5.54832873142,87.1535821964,1752.63875149,193.303046197,-0.15
1,2019,730366720,CIT,D1 Southern Conference,4844,ETSU,144078534,2019-05-12 13:00:00,1,0,1,0,1639013352,J. Flanders,R,FA,L,-0.432892488421,3.66005054741,13.6253437278,3.616625145,6.54906304452,SS,K,-2.92728066934,5.47205019491,87.1201811358,1874.60871507,194.830527624,-0.15
2,2019,730366720,CIT,D1 Southern Conference,4844,ETSU,144078534,2019-05-12 13:00:00,1,0,2,0,1639013352,J. Flanders,R,FA,L,-0.844050908919,3.42370198492,14.2621846932,8.0951815126,6.50123213827,SS,K,-2.98856762395,5.49359601428,89.0053239975,1845.63758354,209.523475185,-0.15
3,2019,730366720,CIT,D1 Southern Conference,4844,ETSU,144078534,2019-05-12 13:00:00,1,0,0,1,1639013352,J. Flanders,R,FA,R,-0.885749751816,2.46912545065,9.71507606981,3.46095147773,6.44181392169,B,IP_OUT,-2.67526749272,5.60280036659,87.9803046305,1593.19298089,199.546617781,0.13
4,2019,730366720,CIT,D1 Southern Conference,4844,ETSU,144078534,2019-05-12 13:00:00,1,0,0,2,1639013352,J. Flanders,R,SL,R,1.24727628986,1.41018141902,-0.041905455243,-9.58519250525,6.26879506642,B,IP_OUT,-2.61884205122,5.45806345115,76.2585953475,2021.26376396,90.0113026996,0.13
5,2019,730366720,CIT,D1 Southern Conference,4844,ETSU,144078534,2019-05-12 13:00:00,1,1,0,2,1639013352,J. Flanders,R,FA,R,-1.45992156257,2.71037264526,15.7812675956,6.08635972433,6.45078852744,B,IP_OUT,-2.94632379114,5.5160324942,88.7687935051,1797.17905454,201.050904752,0.13
6,2019,730366720,CIT,D1 Southern Conference,4844,ETSU,144078534,2019-05-12 13:00:00,1,2,0,2,1639013352,J. Flanders,R,FA,R,0.794996463018,3.06331007327,18.2512813221,2.19640980628,6.82942730969,F,IP_OUT,-2.80417203466,5.47693835337,88.1550337556,1798.93164294,186.850009549,-0.15
7,2019,730366720,CIT,D1 Southern Conference,4844,ETSU,144078534,2019-05-12 13:00:00,2,0,0,0,1639013352,J. Flanders,R,FA,R,-0.500214227466,3.45048828375,11.5569699564,3.30220504579,6.66355182839,SS,D,-2.62466376112,5.5373438131,89.5908024406,1875.60027345,195.905618849,-0.15
8,2019,730366720,CIT,D1 Southern Conference,4844,ETSU,144078534,2019-05-12 13:00:00,2,0,1,0,1639013352,J. Flanders,R,FA,R,1.4098189733,3.59883912989,5.35231892113,-2.23189789696,6.59782207055,B,D,-2.95771433977,5.53828339534,85.9957752682,1752.13811022,157.494231978,0.13
9,2019,730366720,CIT,D1 Southern Conference,4844,ETSU,144078534,2019-05-12 13:00:00,2,1,1,0,1639013352,J. Flanders,R,SL,R,-0.286033310364,2.51714893633,-0.874196396312,-5.55081025399,5.93029812758,IP,D,-2.72299763693,5.47687533282,74.1255091937,1875.50727915,81.5278402196,1.26
