,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,batterHand,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2022,730281728,UCRV,D1 Big West Conference,5091,CBU,385142367,2022-05-28 13:00:00,1,0,0,0,1171039232,E. Marrujo,R,CH,L,-0.73669,2.05215,12.41473,18.26572,5.85067,SL,S,-1.5669,5.87911,74.41158,1884.470307,239.497433,-0.15
1,2022,730281728,UCRV,D1 Big West Conference,5091,CBU,385142367,2022-05-28 13:00:00,1,0,1,0,1171039232,E. Marrujo,R,CU,L,-0.75909,1.00831,-8.9152,-13.52335,5.67558,B,S,-1.35753,5.96584,68.86548,2225.49865,51.25953,0.13
2,2022,730281728,UCRV,D1 Big West Conference,5091,CBU,385142367,2022-05-28 13:00:00,1,1,1,0,1171039232,E. Marrujo,R,FA,L,-1.11377,3.40883,13.78642,14.54198,6.05767,IP,S,-1.34341,6.07726,84.86102,1920.3096,229.191362,1.0
3,2022,730281728,UCRV,D1 Big West Conference,5091,CBU,385142367,2022-05-28 13:00:00,1,0,0,0,1171039232,E. Marrujo,R,FA,R,-0.17534,2.58222,16.13036,11.26473,6.17696,IP,S,-1.17847,5.96652,82.41996,1921.04528,217.3118,1.0
4,2022,730281728,UCRV,D1 Big West Conference,5091,CBU,385142367,2022-05-28 13:00:00,1,0,0,0,1171039232,E. Marrujo,R,CH,L,-0.82458,1.35643,6.5476,19.44651,6.28842,IP,FC,-1.63366,5.4693,73.97041,1783.706667,255.905607,-0.21
5,2022,730281728,UCRV,D1 Big West Conference,5091,CBU,385142367,2022-05-28 13:00:00,1,0,0,1,1171039232,E. Marrujo,R,SL,R,0.62805,1.35053,4.51689,-8.59796,6.11398,B,HBP,-1.72033,5.56076,75.87263,2280.156102,110.7823,0.13
6,2022,730281728,UCRV,D1 Big West Conference,5091,CBU,385142367,2022-05-28 13:00:00,1,1,0,1,1171039232,E. Marrujo,R,CH,R,-0.54742,1.98241,7.08981,22.66958,5.96906,F,HBP,-1.59616,5.62118,74.46014,1831.921876,256.391308,-0.15
7,2022,730281728,UCRV,D1 Big West Conference,5091,CBU,385142367,2022-05-28 13:00:00,1,1,1,1,1171039232,E. Marrujo,R,CU,R,0.01451,4.32597,-4.43307,-15.80194,5.73711,B,HBP,-1.21688,5.80913,69.13345,2161.712895,68.591068,0.13
8,2022,730281728,UCRV,D1 Big West Conference,5091,CBU,385142367,2022-05-28 13:00:00,1,2,1,1,1171039232,E. Marrujo,R,CH,R,-1.96145,3.16235,11.15611,21.85895,5.8373,HBP,HBP,-1.55509,5.71664,74.98697,1928.077718,246.367308,0.8
9,2022,730281728,UCRV,D1 Big West Conference,5091,CBU,385142367,2022-05-28 13:00:00,1,0,0,1,1171039232,E. Marrujo,R,FA,R,1.34898,3.57372,21.37296,10.81008,6.3553,B,SF,-1.14223,6.01091,85.5673,2032.743153,208.159653,0.13
