,Pitcher,pitcherId,Team,Total,PitcherThrows,Stf+ FA,Stf+ SL,Stf+ CU,Stf+ FC,Stf+ SI,Stf+ CH,Stf+ FS,Stuff+
0,O. Pierce,1310401280,WM,350,R,106,103,112,106,,,,106
1,R. Interdonato,1078579968,WM,605,R,107,108,,108,120,95,,107
2,A. Markus,1165099008,UVA,343,R,111,108,,96,,,,108
3,Z. Potts,1139081984,WM,59,R,,98,,,107,99,,103
4,M. Hindy,1190090752,DUKE,320,L,95,106,,101,,107,,100
5,C. Lovasz,1162598400,WM,618,R,108,116,,,127,117,,114
6,A. Haugh,1236290816,UNC,1220,R,106,98,94,106,93,114,,105
7,M. Matthijs,1184443136,UNC,311,R,121,107,99,100,,,,109
8,K. Percival,1153716224,UNC,90,L,113,102,,,,114,,110
9,C. Padgett,1310883328,UNC,401,R,103,86,,,,98,,98
10,C. Kane,1162293760,UNCW,101,R,108,101,106,104,,,,105
11,C. Holjes,1148098560,FAU,211,R,106,107,,,,98,,104
12,Z. Taylor,1226682112,UNCW,1128,R,121,89,99,98,,96,,108
13,R. Calvert,1310257921,DUKE,432,R,108,99,,93,94,,,101
14,B. Cox,1245156352,UNCW,403,L,116,111,,65,,,,108
15,T. Baker,1198516224,UNCW,625,R,98,93,,108,102,119,,101
16,C. Marshburn,1100716032,UNCW,832,R,101,117,,101,98,113,,102
17,M. Murdock,1110075648,UNCW,150,R,107,107,97,102,,103,,104
18,B. Dolby,1143053824,LT,101,R,87,96,,,97,101,,93
19,J. Swink,1257447168,LIB,564,L,105,107,,69,119,112,,102
20,C. Bolton,1174876160,UNC,146,R,116,104,112,,,,,111
21,T. Cooper,1237362176,LIB,196,L,116,86,,90,,,,109
22,G. McLaughlin,1142098689,LIB,316,R,90,113,,98,,,,101
23,H. Thomas,1225722368,COFC,727,L,99,105,,,,82,,99
24,D. Aiken,1273046784,COFC,415,R,121,97,,,,,,118
25,A. Hunter,1204031488,COFC,649,R,85,106,106,104,104,100,,102
26,A. Lyon,1094692864,COFC,679,R,83,113,,,74,105,,93
27,J. Brink,1279297536,COFC,1037,R,91,112,96,,,100,,96
