,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,0,0,0,1231729152,J. Callahan,R,FA,-0.08157,2.24417,20.1,11.6,6.9,SL,IP_OUT,1.8,5.8,88.6,2204.0,211.647037,-0.15
1,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,0,1,0,1231729152,J. Callahan,R,FA,1.51157,1.77101,17.9,11.3,7.1,B,IP_OUT,1.8,5.7,87.9,2141.0,214.152352,0.13
2,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,1,1,0,1231729152,J. Callahan,R,FA,1.63373,0.55722,17.8,12.6,7.2,B,IP_OUT,1.7,5.8,88.9,2194.0,217.319184,0.13
3,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,2,1,0,1231729152,J. Callahan,R,FA,-1.12947,2.75577,17.3,14.5,7.0,SL,IP_OUT,1.8,5.8,88.7,2243.0,222.394967,-0.15
4,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,2,2,0,1231729152,J. Callahan,R,FA,0.18388,1.12878,17.9,14.6,7.0,B,IP_OUT,1.7,5.8,91.1,2217.0,221.343055,0.13
5,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,3,2,0,1231729152,J. Callahan,R,FA,-0.62728,2.83946,18.8,15.1,7.0,F,IP_OUT,1.8,5.9,89.1,2174.0,220.86367,0.0
6,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,3,2,0,1231729152,J. Callahan,R,FA,-0.64854,2.26358,23.8,10.4,7.0,F,IP_OUT,1.8,5.8,89.8,2162.0,204.602851,0.0
7,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,3,2,0,1231729152,J. Callahan,R,SL,-0.193,2.34162,-8.6,-7.6,6.6,F,IP_OUT,1.8,5.8,78.9,2383.0,36.849685,0.0
8,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,0,0,1,1231729152,J. Callahan,R,FA,-0.14325,3.70626,17.6,11.5,7.0,B,S,1.8,5.7,88.7,2097.0,214.616519,0.13
9,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,1,0,1,1231729152,J. Callahan,R,FA,-1.00016,3.18294,18.6,13.0,6.9,F,S,1.9,5.8,88.4,2170.0,216.403084,-0.15
10,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,1,1,1,1231729152,J. Callahan,R,SL,0.54267,3.34982,-10.7,-11.5,6.4,B,S,1.7,5.8,77.1,2360.0,43.717025,0.13
11,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,2,1,1,1231729152,J. Callahan,R,SL,-1.33747,3.5712,-5.5,-11.4,6.3,B,S,2.0,5.7,77.6,2347.0,59.043338,0.13
12,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,3,1,1,1231729152,J. Callahan,R,FA,-0.46034,2.87894,13.5,10.3,7.0,SL,S,1.8,5.8,88.8,2153.0,219.59999,-0.15
13,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,3,2,1,1231729152,J. Callahan,R,FA,0.55767,2.35259,22.0,7.9,7.0,IP,S,1.8,5.8,88.5,2257.0,200.873368,1.0
14,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,0,0,1,1231729152,J. Callahan,R,FA,-2.18208,2.18374,19.6,10.5,6.8,B,DP,1.9,5.8,88.1,2243.0,209.623893,0.13
15,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,1,1,0,1,1231729152,J. Callahan,R,CH,-0.3554,2.6864,8.5,11.4,7.0,IP,DP,1.9,5.6,80.6,1688.0,237.74944,-0.21
16,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,2,0,0,0,1231729152,J. Callahan,R,FA,0.6361,2.07175,21.7,10.7,7.1,SL,K,1.7,5.8,87.8,2031.0,207.601356,-0.15
17,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,2,0,1,0,1231729152,J. Callahan,R,FA,1.49924,1.4071,17.5,12.7,7.1,B,K,1.6,5.8,88.2,2000.0,217.874834,0.13
18,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,2,1,1,0,1231729152,J. Callahan,R,CH,0.74146,1.20048,11.9,13.4,7.1,SS,K,1.9,5.5,82.2,1590.0,231.824127,-0.15
19,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,2,1,2,0,1231729152,J. Callahan,R,FA,0.66269,3.88376,20.1,12.4,6.9,B,K,1.7,5.9,90.3,2153.0,213.348558,0.13
20,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,2,2,2,0,1231729152,J. Callahan,R,FA,-0.313,1.41389,23.9,11.7,7.0,SL,K,1.8,5.8,89.0,2213.0,207.274932,-0.15
21,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,2,0,0,1,1231729152,J. Callahan,R,FA,-0.28958,2.11553,17.8,13.0,7.0,SL,IP_OUT,1.8,5.8,88.6,2189.0,217.962198,-0.15
22,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,2,0,1,1,1231729152,J. Callahan,R,FA,0.78797,2.20014,18.6,15.8,7.0,SL,IP_OUT,1.7,5.8,89.9,2161.0,222.023536,-0.15
23,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,2,0,2,1,1231729152,J. Callahan,R,SL,0.16242,1.10495,-4.0,-15.3,6.5,B,IP_OUT,1.8,5.7,77.7,2405.0,70.536342,0.13
24,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,2,0,0,2,1231729152,J. Callahan,R,FA,0.27102,1.4099,21.3,12.0,7.0,SL,K,1.7,5.7,89.2,2204.0,210.770831,-0.15
25,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,2,0,1,2,1231729152,J. Callahan,R,FA,-0.95652,2.16673,18.8,13.7,7.0,F,K,1.8,5.7,89.1,2307.0,217.713591,-0.15
26,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,2,0,2,2,1231729152,J. Callahan,R,SL,1.83582,1.82059,-7.2,-11.6,6.6,B,K,1.5,5.8,78.5,2366.0,53.193932,0.13
27,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,2,1,2,2,1231729152,J. Callahan,R,FA,-0.15508,3.17872,21.8,6.2,7.0,F,K,1.5,5.8,89.2,2156.0,196.830614,0.0
28,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,2,1,2,2,1231729152,J. Callahan,R,FA,-0.99722,2.61333,17.0,11.1,7.0,SS,K,1.6,5.9,89.8,2233.0,214.96189,-0.15
29,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,3,0,0,0,1231729152,J. Callahan,R,FA,1.33454,2.5305,20.2,8.9,7.1,B,IP_OUT,1.7,5.7,86.9,2034.0,205.023169,0.13
30,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,3,1,0,0,1231729152,J. Callahan,R,CH,0.99379,2.04206,12.5,12.2,7.2,SS,IP_OUT,1.9,5.5,79.8,1689.0,227.528647,-0.15
31,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,3,0,0,1,1231729152,J. Callahan,R,FA,0.77281,0.35581,20.7,10.7,7.1,B,K,1.7,5.7,88.7,2206.0,208.699782,0.13
32,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,3,1,0,1,1231729152,J. Callahan,R,CH,-1.10297,3.00334,17.1,12.3,6.9,SL,K,1.8,5.8,87.2,2148.0,217.471056,-0.15
33,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,3,1,1,1,1231729152,J. Callahan,R,CH,-1.20286,1.82296,11.8,13.1,6.9,SL,K,2.1,5.4,81.2,1727.0,231.376662,-0.15
34,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,3,1,2,1,1231729152,J. Callahan,R,FA,-1.34606,3.28753,18.7,11.9,7.0,F,K,1.8,5.8,89.5,2175.0,213.891537,0.0
35,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,3,1,2,1,1231729152,J. Callahan,R,CH,-1.01998,0.8852,9.1,15.5,7.1,SS,K,2.0,5.4,81.9,1774.0,243.64714,-0.15
36,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,3,0,0,2,1231729152,J. Callahan,R,FA,0.09097,1.90114,17.5,8.2,7.1,SL,S,1.7,5.9,87.3,2292.0,206.517693,-0.15
37,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,3,0,1,2,1231729152,J. Callahan,R,SL,0.82028,1.21572,-7.6,-12.4,6.7,B,S,1.9,5.7,77.3,2328.0,53.634946,0.13
38,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,3,1,1,2,1231729152,J. Callahan,R,FA,0.339,2.03278,16.0,12.2,7.3,SL,S,1.7,5.7,88.3,2175.0,219.218074,-0.15
39,2021,730364160,UCSB,D1 Big West Conference,5487,CP,142745093,2021-05-02 13:00:00,3,1,2,2,1231729152,J. Callahan,R,FA,1.31698,3.22092,17.5,9.7,7.1,B,S,1.7,5.8,89.0,2240.0,210.626812,0.13
