,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,1,0,0,0,1478447525,H. Sims,R,FA,-0.20528,0.69624,16.48654,5.73374,5.98595,B,BB,-1.81867,5.58126,90.79882,2388.16291,200.470366,0.13
1,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,1,1,0,0,1478447525,H. Sims,R,FA,-0.56694,3.02743,17.33702,7.17681,5.89425,B,BB,-1.50815,5.6292,90.0655,2347.591152,203.874125,0.13
2,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,1,2,0,0,1478447525,H. Sims,R,FA,-1.10919,0.93167,16.15934,9.89556,6.0857,B,BB,-1.52443,5.65029,89.97759,2344.650114,213.354899,0.13
3,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,1,3,0,0,1478447525,H. Sims,R,FA,0.5236,2.21852,15.84749,7.22296,5.98755,SL,BB,-1.27082,5.62348,90.52648,2273.441503,206.075793,-0.15
4,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,1,3,1,0,1478447525,H. Sims,R,FA,-0.64403,3.28318,14.13095,2.44925,6.04201,B,BB,-1.42639,5.72981,89.11012,2264.625291,190.61302,0.8
5,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,1,0,0,0,1478447525,H. Sims,R,CH,-0.51855,2.29887,12.55768,12.09965,6.47993,SS,S,-1.72693,5.28927,80.34921,1492.080822,227.290747,-0.15
6,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,1,0,1,1,1478447525,H. Sims,R,CH,-0.431,0.67691,7.37229,16.23816,6.19337,IP,S,-1.3153,5.42337,81.68865,1599.095685,249.62047,1.0
7,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,1,0,0,1,1478447525,H. Sims,R,FA,-1.45251,3.60428,18.9445,8.62823,6.03787,B,S,-1.78205,5.76342,90.81776,2319.338542,205.912469,0.13
8,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,1,1,0,1,1478447525,H. Sims,R,FA,-0.82424,2.67223,17.62021,7.11296,5.88199,IP,S,-1.39108,5.73394,89.88498,2234.040683,203.368266,1.0
9,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,1,0,0,1,1478447525,H. Sims,R,CH,0.84085,1.04073,5.35607,11.73461,6.45611,B,S,-1.50799,5.28142,79.70301,1432.816147,251.851858,0.13
10,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,1,2,0,1,1478447525,H. Sims,R,FA,-0.3195,1.75559,16.57981,2.26933,5.89862,SL,S,-1.23603,5.60128,91.23745,2355.3545,188.350836,-0.15
11,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,1,2,1,1,1478447525,H. Sims,R,FA,-0.15859,2.01146,16.7121,4.48154,5.90028,IP,S,-1.44838,5.69844,90.55291,2402.178686,196.041294,1.0
12,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,1,0,0,1,1478447525,H. Sims,R,CH,1.18746,1.18281,12.46327,12.72261,6.54997,B,DP,-1.53879,5.28723,81.99601,1511.136464,229.406351,0.13
13,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,1,1,0,1,1478447525,H. Sims,R,SL,-0.82213,2.13916,0.61181,-3.46244,5.59688,SL,DP,-1.70577,5.57035,79.28896,2203.918097,76.30259,-0.15
14,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,1,1,1,1,1478447525,H. Sims,R,CH,-1.08212,2.02157,7.51319,13.43446,6.16097,IP,DP,-1.65902,5.47496,83.36545,1574.011859,245.343605,-0.21
15,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,2,0,0,0,1478447525,H. Sims,R,FA,-0.77681,2.31085,16.16599,7.1587,6.03438,SL,S,-1.44749,5.38548,89.6641,2218.655302,205.711267,-0.15
16,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,2,2,1,0,1478447525,H. Sims,R,FA,-0.76683,3.8624,19.57351,8.63162,5.89808,B,S,-1.52366,5.57536,90.78235,2346.151716,205.176446,0.13
17,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,2,3,1,0,1478447525,H. Sims,R,CH,0.06071,0.669,12.83316,13.44272,6.1327,SS,S,-1.3162,5.44852,82.56429,1618.528768,229.699996,-0.15
18,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,2,3,2,0,1478447525,H. Sims,R,FA,-0.43059,1.99001,20.87332,12.05784,5.82732,IP,S,-1.43634,5.57469,92.14537,2388.040062,211.51052,1.0
19,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,2,0,0,0,1478447525,H. Sims,R,SL,-0.90886,2.16548,-1.93728,-7.51323,5.75332,F,K,-1.54944,5.51072,80.61803,2329.914353,66.400488,-0.15
20,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,2,0,1,0,1478447525,H. Sims,R,FA,-1.58349,5.3087,16.23422,4.39685,6.04972,B,K,-1.29863,5.78357,90.30724,2297.850542,196.141077,0.13
21,2021,730214400,CHAR,D1 Conference USA,339,FAU,284997463,2021-04-04 13:00:00,2,1,1,0,1478447525,H. Sims,R,CH,0.21435,1.78757,12.3204,11.78965,6.39179,SL,K,-1.42421,5.33825,82.5738,1540.628204,227.074282,-0.15
