,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2023,1551,MSU,D1 Big Ten Conference,730231552,PFW,201690199,2023-04-19 13:00:00,1,0,0,1,1129425152,N. Higgins,R,FA,0.31103,1.84653,18.2,10.6,5.7,F,S,1.8,6.1,90.0,1969.0,211.917001,-0.15
1,2023,1551,MSU,D1 Big Ten Conference,730231552,PFW,201690199,2023-04-19 13:00:00,1,0,1,1,1129425152,N. Higgins,R,SL,1.17196,1.83681,0.6,-3.9,5.8,SS,S,1.7,5.8,80.6,2402.0,80.27092,-0.15
2,2023,1551,MSU,D1 Big Ten Conference,730231552,PFW,201690199,2023-04-19 13:00:00,1,0,2,1,1129425152,N. Higgins,R,SL,0.97887,1.44909,-3.2,-4.8,5.6,F,S,1.8,5.8,79.5,2401.0,46.783833,0.0
3,2023,1551,MSU,D1 Big Ten Conference,730231552,PFW,201690199,2023-04-19 13:00:00,1,0,2,1,1129425152,N. Higgins,R,FA,1.86991,1.43348,15.2,8.0,6.3,B,S,1.5,6.0,90.2,2226.0,209.551744,0.13
4,2023,1551,MSU,D1 Big Ten Conference,730231552,PFW,201690199,2023-04-19 13:00:00,1,1,2,1,1129425152,N. Higgins,R,FA,-0.4012,2.07904,18.2,10.5,6.0,IP,S,1.5,6.1,91.2,2353.0,211.71032,1.0
5,2023,1551,MSU,D1 Big Ten Conference,730231552,PFW,201690199,2023-04-19 13:00:00,1,0,0,1,1129425152,N. Higgins,R,FA,-0.22098,0.82977,18.3,16.7,5.6,B,D,1.7,6.0,90.6,2179.0,224.331966,0.13
6,2023,1551,MSU,D1 Big Ten Conference,730231552,PFW,201690199,2023-04-19 13:00:00,1,1,0,1,1129425152,N. Higgins,R,CH,-0.53713,1.17543,5.3,14.1,5.6,B,D,1.9,5.9,83.2,1394.0,253.909998,0.13
7,2023,1551,MSU,D1 Big Ten Conference,730231552,PFW,201690199,2023-04-19 13:00:00,1,2,0,1,1129425152,N. Higgins,R,CH,0.03268,2.38424,7.1,17.4,5.9,IP,D,2.0,5.9,83.6,1430.0,251.355933,1.26
8,2023,1551,MSU,D1 Big Ten Conference,730231552,PFW,201690199,2023-04-19 13:00:00,1,0,0,1,1129425152,N. Higgins,R,SL,1.62277,2.19142,0.3,-3.7,5.8,B,ROE,1.9,5.8,82.6,2394.0,74.881642,0.13
9,2023,1551,MSU,D1 Big Ten Conference,730231552,PFW,201690199,2023-04-19 13:00:00,1,1,0,1,1129425152,N. Higgins,R,SL,1.41213,1.81783,0.0,-5.1,5.7,B,ROE,1.8,5.7,79.9,2351.0,74.942599,0.13
