,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,plateLocX,plateLocZ,vertApprAngle,inducedVertBreak,horzBreak,horzApprAngle,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,0,0,0,1188195328,C. Lax,L,FA,-0.13842,0.71363,-7.487095,16.31698,-10.09264,1.215637,6.38645,B,D,1.82133,5.8293,87.87985,2286.229162,146.244628,0.13
1,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,1,0,0,1188195328,C. Lax,L,FA,1.14391,4.04779,-4.178638,14.90182,-9.79178,-0.034544,6.34915,B,D,1.92761,5.91706,86.96759,2270.446098,144.47974,0.13
2,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,2,0,0,1188195328,C. Lax,L,SI,-0.46833,2.19092,-6.39524,14.47276,-7.93646,1.92968,6.34018,IP,D,1.97046,5.89684,84.26597,2226.474446,149.085977,1.26
3,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,0,0,1,1188195328,C. Lax,L,CH,-0.40256,1.39226,-8.296998,10.06898,-5.33658,2.414525,6.64604,SL,K,2.25468,5.66658,75.69121,1428.743218,147.885726,-0.15
4,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,0,1,1,1188195328,C. Lax,L,SL,-1.60717,1.52039,-8.526342,3.8352,4.80036,4.483081,5.91968,B,K,2.15981,5.7027,76.92183,2293.350758,242.483387,0.13
5,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,2,1,1,1188195328,C. Lax,L,CH,-0.18431,1.08406,-8.503934,12.79682,-8.55378,1.79234,6.72793,F,K,2.16848,5.69944,75.75555,1449.769465,142.166286,-0.15
6,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,2,2,1,1188195328,C. Lax,L,FA,-0.72832,2.40285,-5.636955,17.43851,-10.60375,2.249881,6.48299,F,K,2.22105,5.81343,87.30765,2312.344017,146.684208,0.0
7,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,2,2,1,1188195328,C. Lax,L,SL,-0.65949,2.01563,-8.192368,1.14221,5.23914,3.770717,6.04832,F,K,2.3981,5.56309,76.11779,2180.33561,272.358962,0.0
8,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,2,2,1,1188195328,C. Lax,L,CH,-0.62308,2.0871,-7.444823,9.87351,-7.62327,2.282352,6.76937,F,K,2.09814,5.65213,77.09034,1488.560809,137.264314,0.0
9,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,2,2,1,1188195328,C. Lax,L,SL,-1.14977,1.03487,-8.929336,3.14658,5.02831,4.118856,6.07327,SS,K,2.24682,5.62833,77.83023,2259.612439,249.988542,-0.15
10,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,0,0,2,1188195328,C. Lax,L,SI,1.07735,3.14516,-4.89892,16.78355,-8.29264,0.557153,6.35953,B,HBP,2.28093,5.74562,86.24053,2184.434635,151.815581,0.13
11,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,2,0,2,1188195328,C. Lax,L,CH,-1.1571,1.49762,-7.690589,13.90198,-6.80288,2.903391,6.53082,B,HBP,2.07614,5.6985,77.81564,1627.251369,151.009525,0.13
12,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,3,0,2,1188195328,C. Lax,L,CH,0.1826,2.28242,-7.256073,5.44107,-10.83182,1.232762,6.73378,SL,HBP,2.21281,5.60576,79.33205,1731.043535,110.748173,-0.15
13,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,3,1,2,1188195328,C. Lax,L,FA,0.60269,2.29616,-5.901624,13.51158,-10.23382,0.893365,6.72868,SS,HBP,2.27202,5.6059,86.31465,2242.328174,140.2695,-0.15
14,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,3,2,2,1188195328,C. Lax,L,FA,0.99825,1.78226,-6.625759,11.2189,-15.3004,-0.30276,6.46123,F,HBP,1.99631,5.66647,88.37599,2371.318449,123.012979,0.0
15,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,3,2,2,1188195328,C. Lax,L,SL,-1.85777,0.68311,-8.82897,3.99937,3.48603,4.696701,6.18208,HBP,HBP,2.19711,5.61006,80.85514,2293.257005,229.907167,0.8
16,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,0,0,2,1188195328,C. Lax,L,FA,0.35852,5.16896,-3.082692,14.30702,-9.65378,1.108845,6.49749,B,IP_OUT,2.17927,5.71982,84.32153,2168.944417,143.263057,0.13
17,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,1,0,2,1188195328,C. Lax,L,FA,-0.71931,3.38507,-4.845296,11.86335,-11.15745,1.948712,6.81279,SL,IP_OUT,1.98788,5.58386,85.70963,2245.46311,133.985527,-0.15
18,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,1,1,1,2,1188195328,C. Lax,L,FA,0.73531,3.54572,-4.651913,14.73761,-13.03705,0.206765,6.2228,SS,IP_OUT,2.01158,5.65719,85.28299,2164.326846,135.751527,-0.15
19,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,2,0,0,0,1188195328,C. Lax,L,FA,0.2304,2.98368,-5.258962,16.75989,-10.14536,1.09792,6.40938,F,K,2.08486,5.8694,85.37943,2268.415389,146.744769,-0.15
20,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,2,0,1,0,1188195328,C. Lax,L,CH,0.41365,2.22404,-7.157483,11.37095,-7.26481,1.095475,6.45391,F,K,2.02632,5.73746,77.17403,1558.036904,143.85761,-0.15
21,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,2,0,2,0,1188195328,C. Lax,L,CH,1.44128,2.13407,-7.760367,5.10488,-12.39804,-0.150237,6.64433,F,K,2.33916,5.63322,77.03272,1548.837554,106.199598,0.0
22,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,2,0,2,0,1188195328,C. Lax,L,SL,-1.01728,1.49997,-8.123049,5.04453,5.25481,3.918446,6.11435,SS,K,2.1717,5.6819,79.56736,2230.698056,233.908273,-0.15
23,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,2,0,0,1,1188195328,C. Lax,L,CH,1.75712,3.05806,-6.3021,10.67552,-11.30875,-0.478234,6.50891,B,S,2.26096,5.61491,76.90704,1544.457269,128.747162,0.13
24,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,2,1,0,1,1188195328,C. Lax,L,FA,0.53031,1.83235,-6.278748,13.43698,-7.56823,1.005213,6.42639,SL,S,2.08549,5.67934,88.15303,2342.552714,148.660887,-0.15
25,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,2,1,1,1,1188195328,C. Lax,L,FA,0.40916,2.06649,-6.569886,9.4843,-11.15284,0.728103,6.62753,IP,S,2.00609,5.6829,87.13828,2306.3828,126.409325,1.0
26,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,2,0,0,1,1188195328,C. Lax,L,FA,0.56079,2.31811,-6.037602,11.83119,-8.73831,0.913698,6.40984,F,FC,2.12953,5.64076,86.09423,2181.857873,140.854494,-0.15
27,2024,5390,WRST,D1 Horizon League,730231552,PFW,4540389,2024-04-28 13:00:00,2,0,1,1,1188195328,C. Lax,L,SL,-1.3683,1.78955,-8.028847,3.2,1.37673,3.996168,6.11405,SL,FC,2.21762,5.64457,79.0458,2181.699749,215.959389,-0.15
