,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2026,730205440,AFA,D1 Mountain West,3111,ORST,370620719,2026-05-16 16:35:00,1,0,0,0,1207853056,B. Brantingham,R,SI,0.88263,1.48814,9.0,19.4,5.5,B,BB,2.8,5.8,87.8,1923.0,248.625015,0.13
1,2026,730205440,AFA,D1 Mountain West,3111,ORST,370620719,2026-05-16 16:35:00,1,1,0,0,1207853056,B. Brantingham,R,SI,-0.92728,3.24908,6.6,19.4,5.6,SL,BB,3.0,5.8,88.1,2155.0,255.111212,-0.15
2,2026,730205440,AFA,D1 Mountain West,3111,ORST,370620719,2026-05-16 16:35:00,1,1,1,0,1207853056,B. Brantingham,R,SI,-0.99949,2.67727,10.2,17.9,5.5,SL,BB,2.9,5.7,88.9,2090.0,243.910704,-0.15
3,2026,730205440,AFA,D1 Mountain West,3111,ORST,370620719,2026-05-16 16:35:00,1,1,2,0,1207853056,B. Brantingham,R,SL,0.6086,1.44957,-5.5,-8.2,5.1,B,BB,2.8,5.8,79.2,2556.0,48.392289,0.13
4,2026,730205440,AFA,D1 Mountain West,3111,ORST,370620719,2026-05-16 16:35:00,1,2,2,0,1207853056,B. Brantingham,R,SL,1.41766,-0.24248,-9.7,-2.8,5.2,B,BB,2.9,5.8,80.3,2596.0,13.732497,0.13
5,2026,730205440,AFA,D1 Mountain West,3111,ORST,370620719,2026-05-16 16:35:00,1,3,2,0,1207853056,B. Brantingham,R,SI,-1.32022,3.9284,8.1,15.9,5.4,B,BB,2.9,5.8,88.7,2020.0,247.697744,0.8
6,2026,730205440,AFA,D1 Mountain West,3111,ORST,370620719,2026-05-16 16:35:00,1,0,0,0,1207853056,B. Brantingham,R,SI,-0.36245,2.51884,10.7,17.7,5.7,F,IP_OUT,2.9,5.7,87.6,2100.0,243.266148,-0.15
7,2026,730205440,AFA,D1 Mountain West,3111,ORST,370620719,2026-05-16 16:35:00,1,0,1,0,1207853056,B. Brantingham,R,SI,1.05099,2.78174,5.6,21.8,5.4,SL,IP_OUT,2.7,5.9,85.2,1958.0,260.322845,-0.15
8,2026,730205440,AFA,D1 Mountain West,3111,ORST,370620719,2026-05-16 16:35:00,1,0,0,1,1207853056,B. Brantingham,R,CH,-2.54765,2.97841,0.2,21.1,5.9,B,K,3.0,5.6,82.3,1575.0,274.303059,0.13
9,2026,730205440,AFA,D1 Mountain West,3111,ORST,370620719,2026-05-16 16:35:00,1,1,0,1,1207853056,B. Brantingham,R,SI,-1.89137,2.63011,6.2,18.9,5.5,B,K,2.9,5.7,86.9,2064.0,257.197675,0.13
10,2026,730205440,AFA,D1 Mountain West,3111,ORST,370620719,2026-05-16 16:35:00,1,2,0,1,1207853056,B. Brantingham,R,SI,-0.79953,2.32953,4.7,20.4,5.8,F,K,2.9,5.8,86.7,2196.0,261.686843,-0.15
11,2026,730205440,AFA,D1 Mountain West,3111,ORST,370620719,2026-05-16 16:35:00,1,2,1,1,1207853056,B. Brantingham,R,SL,1.11604,0.68085,-6.9,-5.6,5.1,SS,K,2.8,5.9,78.0,2625.0,33.317417,-0.15
12,2026,730205440,AFA,D1 Mountain West,3111,ORST,370620719,2026-05-16 16:35:00,1,2,2,1,1207853056,B. Brantingham,R,SI,-0.22377,1.42987,6.3,18.9,5.6,SL,K,3.0,5.8,87.3,2102.0,255.055539,-0.15
