,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,1,0,0,0,1887690038,R. Kouba,R,FA,-0.524103571101,3.31143056065,13.6,6.3,6.5,F,K,1.7,5.5,92.1,1789.0,204.94927539,-0.15
1,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,1,0,1,0,1887690038,R. Kouba,R,FA,-1.01404010582,3.47675725523,20.2,9.6,6.5,SS,K,2.1,5.5,93.2,2220.0,205.400112465,-0.15
2,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,1,0,2,0,1887690038,R. Kouba,R,FA,-0.469160060659,3.65842930691,19.4,7.9,6.4,SS,K,1.9,5.7,93.8,2319.0,202.134422029,-0.15
3,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,1,0,0,2,1887690038,R. Kouba,R,FA,-0.25538464267,2.81047535281,17.0,7.8,6.6,SS,K,1.8,5.5,92.8,2092.0,204.623557329,-0.15
4,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,1,0,1,2,1887690038,R. Kouba,R,FA,0.156725914945,2.68323043834,12.3,11.3,6.6,SL,K,1.9,5.4,93.3,2212.0,222.464189101,-0.15
5,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,1,0,2,2,1887690038,R. Kouba,R,FA,-0.185400831139,2.6900240167,13.9,7.5,6.5,F,K,1.8,5.4,94.1,2346.0,208.150391807,0.0
6,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,1,0,2,2,1887690038,R. Kouba,R,FA,1.49278281141,2.81345854908,16.1,8.3,6.6,B,K,1.6,5.5,93.7,2239.0,207.137242524,0.13
7,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,1,1,2,2,1887690038,R. Kouba,R,FA,-0.667373549015,2.57659014117,18.2,10.0,6.4,F,K,1.7,5.5,93.9,2251.0,208.68498131,0.0
8,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,1,1,2,2,1887690038,R. Kouba,R,FA,0.973510622173,2.40087134391,22.4,7.9,6.6,SS,K,1.7,5.6,93.7,2186.0,199.274884745,-0.15
9,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,0,0,0,1887690038,R. Kouba,R,FA,-0.807047738319,3.59263776015,17.4,7.2,6.6,B,K,2.0,5.6,91.9,1865.0,202.458979606,0.13
10,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,1,0,0,1887690038,R. Kouba,R,SL,-0.185357948397,2.68532117526,4.4,-6.2,6.3,SL,K,2.0,5.4,83.1,2126.0,125.782654137,-0.15
11,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,1,1,0,1887690038,R. Kouba,R,FA,-1.07937789895,3.0867681127,19.3,10.2,6.5,F,K,2.0,5.5,93.2,2148.0,207.854406341,-0.15
12,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,1,2,0,1887690038,R. Kouba,R,FA,-0.571727924192,2.95686144501,17.8,10.4,6.6,SS,K,1.8,5.5,93.2,2141.0,210.14298725,-0.15
13,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,0,0,1,1887690038,R. Kouba,R,FA,-0.834676047762,2.91721968894,19.4,8.8,6.5,F,ROE,2.1,5.4,92.7,2196.0,204.291430011,-0.15
14,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,0,1,1,1887690038,R. Kouba,R,FA,-1.41534069631,3.30958670884,20.8,10.6,6.4,B,ROE,2.0,5.5,93.3,2318.0,207.075119669,0.13
15,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,1,1,1,1887690038,R. Kouba,R,FA,-0.897374279332,2.90732399881,18.0,11.0,6.5,F,ROE,2.0,5.6,93.1,2145.0,211.375746218,-0.15
16,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,1,2,1,1887690038,R. Kouba,R,FA,-0.343762479234,3.22736054751,17.7,10.1,6.7,IP,ROE,1.9,5.5,93.7,2223.0,209.595126367,0.0
17,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,0,0,1,1887690038,R. Kouba,R,FA,0.461645934312,2.11941305755,22.0,10.0,6.5,SL,K,1.9,5.5,91.7,2177.0,204.447002498,-0.15
18,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,0,1,1,1887690038,R. Kouba,R,FA,-0.449042306358,2.96748310278,18.2,10.5,6.6,F,K,1.9,5.5,91.3,2080.0,210.068257435,-0.15
19,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,0,2,1,1887690038,R. Kouba,R,FA,-0.68847652685,3.03041858949,20.0,10.3,6.5,SS,K,1.7,5.5,91.5,2298.0,207.316990045,-0.15
20,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,0,0,2,1887690038,R. Kouba,R,FA,0.0339121276312,1.98811524716,19.2,9.1,6.6,SS,K,1.9,5.4,91.1,2273.0,205.337492809,-0.15
21,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,0,1,2,1887690038,R. Kouba,R,FA,-0.878620171728,3.54024299679,19.1,9.1,6.4,B,K,2.0,5.5,91.7,2171.0,205.409086305,0.13
22,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,1,1,2,1887690038,R. Kouba,R,FA,0.1565334492,1.95309776256,21.9,5.0,6.5,F,K,1.9,5.5,91.5,2259.0,192.825174847,-0.15
23,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,1,2,2,1887690038,R. Kouba,R,FA,-0.791149084609,2.91011529584,18.2,10.4,6.5,F,K,2.0,5.6,91.5,2000.0,209.878918376,0.0
24,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,2,1,2,2,1887690038,R. Kouba,R,FA,-1.06577439729,3.30126854383,25.1,11.1,6.4,SS,K,2.0,5.6,92.1,2286.0,203.909704135,-0.15
25,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,3,0,0,1,1887690038,R. Kouba,R,FA,-0.54928562108,3.37693629366,18.3,5.3,6.6,B,BB,2.0,5.5,91.2,2158.0,196.262752149,0.13
26,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,3,1,0,1,1887690038,R. Kouba,R,FA,0.135416600158,2.32262317513,19.8,9.4,6.5,SL,BB,1.9,5.4,91.0,2219.0,205.426762185,-0.15
27,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,3,1,1,1,1887690038,R. Kouba,R,FA,-0.431942732622,2.82652942472,23.3,12.3,6.5,SS,BB,1.9,5.6,92.4,2180.0,207.783571562,-0.15
28,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,3,1,2,1,1887690038,R. Kouba,R,FA,-0.61718324704,2.32214197465,23.7,11.1,6.6,F,BB,1.9,5.7,93.0,2304.0,204.989252023,0.0
29,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,3,1,2,1,1887690038,R. Kouba,R,FA,-0.784156832571,3.9380761677,20.7,9.0,6.6,B,BB,1.9,5.5,92.2,2309.0,203.53543579,0.13
30,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,3,2,2,1,1887690038,R. Kouba,R,FA,-0.217673695226,3.81479161774,21.8,9.3,6.5,B,BB,2.0,5.6,92.2,2231.0,203.011421072,0.13
31,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,3,3,2,1,1887690038,R. Kouba,R,FA,-0.209203129121,2.95469904602,14.8,8.4,6.7,F,BB,2.0,5.4,91.9,2060.0,209.684938889,0.0
32,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,3,3,2,1,1887690038,R. Kouba,R,FA,-1.64568390382,2.26852550864,16.2,11.2,6.5,B,BB,2.0,5.4,91.7,2151.0,214.599417224,0.8
33,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,3,0,0,1,1887690038,R. Kouba,R,FA,-0.00760863374508,3.58447640377,20.6,8.9,6.6,IP,D,1.8,5.6,91.4,2222.0,203.293825796,1.26
34,2021,730198016,DBU,D1 Missouri Valley Conference,730205440,AFA,455794098,2021-04-18 13:00:00,3,0,0,1,1887690038,R. Kouba,R,FA,-1.2024264225,4.65786768532,16.7,11.8,6.4,B,IP_OUT,1.7,5.6,92.1,2198.0,215.199780796,0.13
