,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,plateLocX,plateLocZ,vertApprAngle,inducedVertBreak,horzBreak,horzApprAngle,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,1,0,0,1,1139713536,L. Helton,R,FA,-0.89564,1.59628,-6.673965,4.83886,19.69387,0.465645,4.39298,SL,K,-2.09358,4.83897,87.28775,2138.216157,260.474646,-0.15
1,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,1,0,1,1,1139713536,L. Helton,R,FA,-0.93238,0.97692,-7.244695,5.04587,22.62922,0.804749,4.50087,B,K,-2.05399,4.76697,87.45069,2124.855422,261.369579,0.13
2,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,1,1,1,1,1139713536,L. Helton,R,CH,0.23864,1.38397,-8.254897,-4.88618,19.43832,-0.564059,4.49949,F,K,-1.92022,4.66854,80.22573,1838.787104,289.095146,-0.15
3,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,1,1,2,1,1139713536,L. Helton,R,SL,1.91889,0.82828,-8.177826,4.38374,-7.61063,-4.779502,4.04101,B,K,-2.0465,4.90834,79.25689,2781.632796,110.996286,0.13
4,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,1,2,2,1,1139713536,L. Helton,R,FA,1.35758,2.06666,-6.182984,4.59796,20.39588,-1.513075,4.70766,B,K,-1.77554,5.03106,89.30497,2226.867087,260.878514,0.13
5,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,1,3,2,1,1139713536,L. Helton,R,FA,-1.2267,2.13961,-6.078974,7.02835,30.00439,2.047687,4.70986,SS,K,-1.78401,4.96835,88.11383,2133.127715,259.966346,-0.15
6,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,1,0,0,2,1139713536,L. Helton,R,FA,-0.19711,1.48404,-6.949939,2.35284,22.11934,0.002508,4.34939,SL,S,-2.03864,4.84193,87.64318,2148.769629,267.676205,-0.15
7,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,1,0,1,2,1139713536,L. Helton,R,FA,0.20186,1.99698,-6.100791,5.04559,21.62127,-0.543268,4.46102,IP,S,-2.11556,4.80719,87.92033,2155.899488,260.385943,1.0
8,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,1,0,0,2,1139713536,L. Helton,R,SL,1.43544,1.66411,-6.682623,8.535,-1.06669,-3.76995,4.24024,B,K,-2.08979,4.82711,81.35538,2837.324942,171.459563,0.13
9,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,1,1,0,2,1139713536,L. Helton,R,FA,-1.27557,1.50368,-7.001229,2.19957,24.11934,1.329869,4.76128,SS,K,-2.02755,4.8422,87.39745,2147.529518,268.419438,-0.15
10,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,1,1,1,2,1139713536,L. Helton,R,CH,-1.18963,1.57624,-7.942729,-4.07579,21.01623,0.892265,4.58591,F,K,-2.09572,4.70627,80.86564,1818.606483,285.570076,-0.15
11,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,1,1,2,2,1139713536,L. Helton,R,CH,0.60241,0.72778,-8.846683,-6.22744,14.54769,-1.335325,4.55179,B,K,-1.8846,4.66294,81.49321,1755.722419,298.408826,0.13
12,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,1,2,2,2,1139713536,L. Helton,R,SL,0.78699,2.01837,-6.920913,4.0567,-6.65004,-3.551214,4.28604,SS,K,-2.05867,4.81894,79.52339,2660.540211,110.536797,-0.15
13,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,2,0,0,0,1139713536,L. Helton,R,SL,-0.03149,1.42611,-7.573866,5.05142,-3.63666,-2.442227,3.96737,SL,K,-2.07865,4.8457,79.07338,2622.553115,132.524504,-0.15
14,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,2,0,1,0,1139713536,L. Helton,R,SL,2.24907,0.32558,-8.438765,6.26126,-5.28,-4.870485,4.36237,B,K,-1.97217,4.85853,79.68187,2506.176569,132.313172,0.13
15,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,2,1,1,0,1139713536,L. Helton,R,FA,1.22561,2.24593,-6.348969,1.38268,22.93379,-1.158432,4.77178,SL,K,-1.78011,5.05946,88.85067,2146.59115,269.91403,-0.15
16,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,2,1,2,0,1139713536,L. Helton,R,CH,-1.02355,0.71149,-9.060156,-8.16886,19.9193,0.722579,4.5149,SS,K,-2.00223,4.70565,81.8017,1665.371975,296.268664,-0.15
17,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,2,0,0,1,1139713536,L. Helton,R,CH,0.34269,0.40867,-9.423699,-8.74418,18.35914,-0.840024,4.67931,SS,S,-1.99085,4.7029,81.45908,1798.052773,299.38765,-0.15
18,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,2,0,1,1,1139713536,L. Helton,R,CH,-1.63671,1.10648,-7.968226,-2.58571,20.38351,1.419708,4.51999,B,S,-1.98811,4.53974,81.58893,1770.13534,281.50132,0.13
19,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,2,1,1,1,1139713536,L. Helton,R,FA,-1.12175,2.1387,-5.809127,7.76449,22.9945,1.201588,4.84075,F,S,-1.90043,4.8714,88.46866,2107.856258,254.831579,-0.15
20,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,2,1,2,1,1139713536,L. Helton,R,FA,-1.66618,1.64117,-6.539733,5.24827,19.5219,1.410461,4.54505,B,S,-1.95284,4.91294,88.04593,2102.791479,258.716511,0.13
21,2022,730158080,MORE,D1 Ohio Valley Conference,730219520,PEAY,246265695,2022-05-18 19:00:00,2,2,2,1,1139713536,L. Helton,R,FA,1.80895,0.83873,-7.278126,4.46177,21.57143,-1.869219,4.74742,B,S,-1.75995,4.82558,88.80814,2144.403221,261.653088,0.13
