,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2022,730214144,BUCK,D1 Patriot League,4744,ARMY,222930906,2022-05-26 13:00:00,1,0,0,0,1294172672,B. Magovern,L,CH,0.6074,3.46857,11.7,-9.7,5.7,B,K,-1.9,6.4,79.9,1812.0,137.152462,0.13
1,2022,730214144,BUCK,D1 Patriot League,4744,ARMY,222930906,2022-05-26 13:00:00,1,1,0,0,1294172672,B. Magovern,L,CU,-1.05057,2.8981,9.9,-9.9,6.2,SL,K,-2.0,6.3,74.6,1650.0,130.494971,-0.15
2,2022,730214144,BUCK,D1 Patriot League,4744,ARMY,222930906,2022-05-26 13:00:00,1,1,1,0,1294172672,B. Magovern,L,CU,0.63954,2.00762,-7.0,10.9,5.3,SL,K,-2.1,6.5,70.6,1898.0,309.012935,-0.15
3,2022,730214144,BUCK,D1 Patriot League,4744,ARMY,222930906,2022-05-26 13:00:00,1,1,2,0,1294172672,B. Magovern,L,CU,-1.31101,0.76522,-6.5,11.7,5.5,B,K,-2.1,6.5,71.4,1899.0,304.543286,0.13
4,2022,730214144,BUCK,D1 Patriot League,4744,ARMY,222930906,2022-05-26 13:00:00,1,2,2,0,1294172672,B. Magovern,L,CU,-0.82342,-0.22577,-5.6,7.0,5.4,B,K,-2.0,6.6,70.5,1851.0,316.397602,0.13
5,2022,730214144,BUCK,D1 Patriot League,4744,ARMY,222930906,2022-05-26 13:00:00,1,3,2,0,1294172672,B. Magovern,L,FA,-0.52348,2.92676,16.5,-11.0,5.8,F,K,-1.8,6.5,82.9,1986.0,144.280802,0.0
6,2022,730214144,BUCK,D1 Patriot League,4744,ARMY,222930906,2022-05-26 13:00:00,1,3,2,0,1294172672,B. Magovern,L,FA,-0.79192,2.65723,14.8,-10.7,5.7,SS,K,-1.8,6.4,84.2,2009.0,142.061175,-0.15
7,2022,730214144,BUCK,D1 Patriot League,4744,ARMY,222930906,2022-05-26 13:00:00,1,0,0,1,1294172672,B. Magovern,L,CH,-0.89169,3.23343,14.4,-6.9,5.9,B,S,-2.0,6.5,80.4,1913.0,152.560224,0.13
8,2022,730214144,BUCK,D1 Patriot League,4744,ARMY,222930906,2022-05-26 13:00:00,1,1,0,1,1294172672,B. Magovern,L,CH,0.15302,1.9904,17.5,-5.5,5.6,IP,S,-2.0,6.4,81.8,1880.0,161.28918,1.0
9,2022,730214144,BUCK,D1 Patriot League,4744,ARMY,222930906,2022-05-26 13:00:00,1,0,0,1,1294172672,B. Magovern,L,CU,-1.13415,1.70179,-6.1,9.0,4.9,SS,S,-2.2,6.5,71.0,1926.0,310.952101,-0.15
