,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,0,0,0,1124207360,S. Washington,R,FA,-1.22286,1.62395,18.8082,8.49248,5.78408,B,IP_OUT,-2.41768,5.68199,92.43877,2151.727824,205.599419,0.13
1,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,1,0,0,1124207360,S. Washington,R,FA,0.23981,2.29779,21.336,10.05162,5.56592,SL,IP_OUT,-2.45294,5.71666,93.61798,2272.386561,206.411841,-0.15
2,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,1,1,0,1124207360,S. Washington,R,FA,-0.21373,2.05255,19.78355,5.85733,5.61009,F,IP_OUT,-2.29863,5.7917,93.43738,2311.557097,197.391973,-0.15
3,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,1,2,0,1124207360,S. Washington,R,FA,0.17499,3.7458,19.15655,9.27552,5.50943,F,IP_OUT,-2.21218,5.71347,94.14566,2266.725214,207.184335,0.0
4,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,1,2,0,1124207360,S. Washington,R,FA,1.73408,2.09143,19.54025,3.55406,5.69042,B,IP_OUT,-2.37916,5.66647,94.64587,2175.15656,190.902372,0.13
5,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,2,2,0,1124207360,S. Washington,R,FA,1.52855,1.29577,17.20493,10.02646,5.70169,B,IP_OUT,-2.17491,5.69349,93.29218,2139.01904,211.835834,0.13
6,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,0,0,1,1124207360,S. Washington,R,FA,-0.25106,1.44927,19.25387,9.97725,5.49189,SL,K,-2.48181,5.62732,94.5544,2210.045821,208.765174,-0.15
7,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,0,1,1,1124207360,S. Washington,R,FA,1.42871,2.82939,15.18662,11.90194,5.75957,B,K,-2.16788,5.64437,94.85389,2205.049895,220.100803,0.13
8,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,1,1,1,1124207360,S. Washington,R,FA,0.18587,3.25946,18.08788,7.9265,5.62913,F,K,-2.25306,5.71735,93.11607,2194.397216,205.098281,-0.15
9,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,1,2,1,1124207360,S. Washington,R,FA,1.13091,3.2581,19.09485,11.43245,5.64706,B,K,-2.32439,5.69267,93.4523,2194.185644,212.331293,0.13
10,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,2,2,1,1124207360,S. Washington,R,FA,-1.39915,3.08536,19.87336,12.34961,5.45234,B,K,-2.43629,5.67753,93.3203,2382.783261,213.292772,0.13
11,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,3,2,1,1124207360,S. Washington,R,FA,-0.53299,2.62717,19.50989,11.06658,5.58669,SS,K,-2.18297,5.67774,93.286,2310.088566,210.957905,-0.15
12,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,0,0,2,1124207360,S. Washington,R,FA,0.65369,3.78143,19.71773,4.23055,5.66459,B,K,-2.32765,5.70991,93.44628,2264.570859,192.78322,0.13
13,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,1,0,2,1124207360,S. Washington,R,FA,-0.53595,2.87624,19.97387,9.10477,5.37836,SS,K,-2.25983,5.72509,92.17283,2285.058267,205.75288,-0.15
14,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,1,1,2,1124207360,S. Washington,R,FA,2.07398,2.25435,19.42033,10.01733,5.5142,B,K,-2.29406,5.72547,92.68951,2251.782267,208.753412,0.13
15,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,2,1,2,1124207360,S. Washington,R,FA,-0.33814,2.30838,20.93111,9.58973,5.56725,F,K,-2.35151,5.76258,92.66095,2269.813255,205.869912,-0.15
16,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,1,2,2,2,1124207360,S. Washington,R,FA,-0.72128,3.38528,20.47131,5.70465,5.6919,SS,K,-2.39989,5.62682,92.97563,2234.482867,196.409147,-0.15
17,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,2,0,0,0,1124207360,S. Washington,R,FA,0.52865,4.01467,21.35147,9.208,5.61837,B,K,-2.26403,5.93897,91.79899,2280.025854,204.633885,0.13
