,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,plateLocX,plateLocZ,inducedVertBreak,horzBreak,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2023,4865,NEB,D1 Big Ten Conference,730343168,NDSU,330709715,2023-05-03 13:00:00,1,0,0,0,1115509248,K. Perry,L,FA,0.92096,3.8955,14.9,-14.6,5.8,B,S,-3.6,5.3,85.8,2188.0,133.201262,0.13
1,2023,4865,NEB,D1 Big Ten Conference,730343168,NDSU,330709715,2023-05-03 13:00:00,1,1,0,0,1115509248,K. Perry,L,FA,1.21786,2.40172,15.4,-13.5,5.5,F,S,-3.5,5.2,85.5,2142.0,136.45673,-0.15
2,2023,4865,NEB,D1 Big Ten Conference,730343168,NDSU,330709715,2023-05-03 13:00:00,1,1,1,0,1115509248,K. Perry,L,SL,-0.72101,2.00872,3.8,-0.6,5.4,IP,S,-3.5,5.5,77.1,1931.0,166.287561,1.0
3,2023,4865,NEB,D1 Big Ten Conference,730343168,NDSU,330709715,2023-05-03 13:00:00,1,0,0,0,1115509248,K. Perry,L,FA,0.25,1.24458,13.7,-16.3,5.6,IP,S,-3.7,5.2,83.9,2129.0,127.366201,1.0
4,2023,4865,NEB,D1 Big Ten Conference,730343168,NDSU,330709715,2023-05-03 13:00:00,1,0,0,0,1115509248,K. Perry,L,FA,1.30246,1.98241,19.5,-14.3,5.6,SL,HR,-3.6,5.4,85.1,2147.0,141.939158,-0.15
5,2023,4865,NEB,D1 Big Ten Conference,730343168,NDSU,330709715,2023-05-03 13:00:00,1,0,1,0,1115509248,K. Perry,L,CH,1.75849,1.51879,3.3,-14.2,5.7,B,HR,-3.7,5.4,79.5,1373.0,97.645934,0.13
6,2023,4865,NEB,D1 Big Ten Conference,730343168,NDSU,330709715,2023-05-03 13:00:00,1,1,1,0,1115509248,K. Perry,L,CH,0.68173,1.11892,3.0,-12.0,5.8,F,HR,-3.6,5.4,79.9,1431.0,98.082952,-0.15
7,2023,4865,NEB,D1 Big Ten Conference,730343168,NDSU,330709715,2023-05-03 13:00:00,1,1,2,0,1115509248,K. Perry,L,FA,0.82138,2.49839,16.0,-15.9,5.7,IP,HR,-3.5,5.4,86.6,2168.0,133.010179,1.76
8,2023,4865,NEB,D1 Big Ten Conference,730343168,NDSU,330709715,2023-05-03 13:00:00,1,0,0,0,1115509248,K. Perry,L,FA,0.61666,2.78673,15.6,-13.7,5.7,IP,S,-3.3,5.4,85.0,2093.0,136.148196,1.0
9,2023,4865,NEB,D1 Big Ten Conference,730343168,NDSU,330709715,2023-05-03 13:00:00,1,0,0,0,1115509248,K. Perry,L,FA,0.39454,2.79956,16.4,-14.7,5.6,IP,FC,-3.4,5.3,85.0,2151.0,135.735409,-0.21
10,2023,4865,NEB,D1 Big Ten Conference,730343168,NDSU,330709715,2023-05-03 13:00:00,1,0,1,0,1115509248,K. Perry,L,FA,1.07438,3.53386,15.1,-14.1,5.8,B,BB,-3.5,5.3,85.9,2162.0,134.414544,0.13
11,2023,4865,NEB,D1 Big Ten Conference,730343168,NDSU,330709715,2023-05-03 13:00:00,1,1,1,0,1115509248,K. Perry,L,FA,0.77592,2.38905,15.0,-17.4,5.8,SL,BB,-3.6,5.2,87.3,2201.0,128.146926,-0.15
12,2023,4865,NEB,D1 Big Ten Conference,730343168,NDSU,330709715,2023-05-03 13:00:00,1,1,2,0,1115509248,K. Perry,L,CH,1.90639,3.11889,2.2,-14.5,5.8,B,BB,-3.5,5.4,82.4,1284.0,93.462529,0.13
