,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,plateLocX,plateLocZ,vertApprAngle,inducedVertBreak,horzBreak,horzApprAngle,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2026,730243840,CREI,D1 Big East Conference,730343168,NDSU,478597716,2026-04-08 18:05:00,1,0,0,0,1538108443,E. Stratton,R,FA,-0.35191,4.75936,-3.528758,14.47753,1.86402,-0.065354,6.29128,B,IP_OUT,-0.56741,6.16753,88.92041,2231.682028,187.896248,0.13
1,2026,730243840,CREI,D1 Big East Conference,730343168,NDSU,478597716,2026-04-08 18:05:00,1,1,0,0,1538108443,E. Stratton,R,FA,-0.14152,2.43109,-5.984132,13.79383,5.90051,0.231325,6.4492,F,IP_OUT,-0.42118,6.12071,89.33271,2309.413681,204.703184,-0.15
2,2026,730243840,CREI,D1 Big East Conference,730343168,NDSU,478597716,2026-04-08 18:05:00,1,1,1,0,1538108443,E. Stratton,R,CU,-0.94134,4.55628,-7.264494,-10.95493,-7.17264,-0.033352,5.22768,B,IP_OUT,-0.37507,6.27781,77.35937,2243.231774,30.068504,0.13
3,2026,730243840,CREI,D1 Big East Conference,730343168,NDSU,478597716,2026-04-08 18:05:00,1,2,1,0,1538108443,E. Stratton,R,CU,0.32744,1.5705,-10.03962,-10.42036,-7.56036,-1.317386,5.57489,F,IP_OUT,-0.26844,6.13613,78.66382,2332.214505,32.71176,-0.15
4,2026,730243840,CREI,D1 Big East Conference,730343168,NDSU,478597716,2026-04-08 18:05:00,1,0,0,1,1538108443,E. Stratton,R,FA,-0.82307,2.4478,-5.673249,17.03997,6.49174,0.948404,6.1505,B,S,-0.48803,6.13475,90.21129,2342.252481,202.106338,0.13
5,2026,730243840,CREI,D1 Big East Conference,730343168,NDSU,478597716,2026-04-08 18:05:00,1,1,0,1,1538108443,E. Stratton,R,FA,1.22991,1.95656,-6.578131,13.51509,3.01547,-1.384328,6.44487,B,S,-0.29387,6.14812,89.4612,2366.372117,193.600739,0.13
6,2026,730243840,CREI,D1 Big East Conference,730343168,NDSU,478597716,2026-04-08 18:05:00,1,2,0,1,1538108443,E. Stratton,R,FA,-0.02955,2.50518,-5.816837,16.37828,6.36634,0.36341,6.32055,IP,S,-0.22572,6.15736,88.33743,2298.456732,202.577017,1.0
7,2026,730243840,CREI,D1 Big East Conference,730343168,NDSU,478597716,2026-04-08 18:05:00,1,0,0,1,1538108443,E. Stratton,R,FA,0.00105,2.24998,-6.352929,14.97359,4.61614,0.131575,6.49209,IP,S,-0.26325,6.22624,86.94458,2299.029145,198.278185,1.0
8,2026,730243840,CREI,D1 Big East Conference,730343168,NDSU,478597716,2026-04-08 18:05:00,1,0,0,1,1538108443,E. Stratton,R,CU,0.79691,0.87347,-10.979839,-11.93595,-5.87485,-1.633166,5.54794,B,BB,-0.23531,6.1371,78.49281,2334.592282,23.623446,0.13
9,2026,730243840,CREI,D1 Big East Conference,730343168,NDSU,478597716,2026-04-08 18:05:00,1,1,0,1,1538108443,E. Stratton,R,FA,1.83083,2.68034,-5.772179,14.77544,1.46327,-2.024603,6.64502,B,BB,-0.14515,6.2197,89.29921,2357.305892,186.084128,0.13
