,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,plateLocX,plateLocZ,vertApprAngle,inducedVertBreak,horzBreak,horzApprAngle,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,1,0,0,0,1337049461,T. Adams,R,FA,-0.02841,1.83881,-6.164455,19.00442,4.78748,-1.642395,5.85621,SL,IP_OUT,-1.95362,6.2273,91.8861,2233.740855,194.971787,-0.15
1,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,1,0,1,0,1337049461,T. Adams,R,SL,1.35702,0.24011,-10.437634,-2.94276,-5.13343,-3.889497,5.02649,B,IP_OUT,-1.88705,6.06566,81.89636,1986.510464,49.026704,0.13
2,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,1,0,0,1,1337049461,T. Adams,R,FA,-1.66591,2.97233,-4.776005,21.84344,2.14457,-0.27394,5.70131,B,IP_OUT,-2.09981,6.23626,91.69151,2257.822933,185.935436,0.13
3,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,1,1,0,1,1337049461,T. Adams,R,FA,-0.74241,1.78337,-6.039389,20.53068,4.95485,-1.058949,5.94219,SL,IP_OUT,-2.13752,6.15946,91.86566,2260.001496,194.342604,-0.15
4,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,1,0,0,2,1337049461,T. Adams,R,FA,-0.48076,1.96375,-6.109204,16.51721,4.4902,-1.353422,5.9609,SL,IP_OUT,-2.11026,6.1445,93.0009,2309.030783,196.249984,-0.15
5,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,1,0,1,2,1337049461,T. Adams,R,FA,-0.54471,1.24898,-6.554592,20.36556,4.57673,-1.155505,5.93848,B,IP_OUT,-1.99804,6.12436,92.75591,2344.750487,193.426974,0.13
6,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,1,1,1,2,1337049461,T. Adams,R,FA,-1.32928,2.36314,-5.288887,22.87989,5.72162,-0.305113,5.71039,SL,IP_OUT,-2.09001,6.21145,92.14056,2312.110683,194.808826,-0.15
7,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,1,1,2,2,1337049461,T. Adams,R,CH,-2.14772,1.37687,-7.768617,11.09729,10.37591,0.494174,5.49445,B,IP_OUT,-2.55234,5.9952,84.0449,1868.098718,227.067893,0.13
8,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,1,2,2,2,1337049461,T. Adams,R,FA,1.33363,2.1077,-5.629575,20.53572,1.42224,-3.550584,6.1526,B,IP_OUT,-2.0695,6.1323,92.19955,2341.353132,184.188376,0.13
9,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,1,3,2,2,1337049461,T. Adams,R,FA,0.03538,1.66055,-5.827339,21.1467,0.84972,-2.308951,6.03946,F,IP_OUT,-2.1744,5.95364,92.91985,2294.870946,182.430827,0.0
10,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,0,0,0,1337049461,T. Adams,R,FA,0.53838,2.4602,-5.263183,22.57911,3.50008,-2.475794,5.68727,SS,S,-2.06201,6.18087,90.87114,2207.162832,189.322193,-0.15
11,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,0,1,0,1337049461,T. Adams,R,FA,0.94403,2.21873,-5.637884,22.238,3.49059,-2.740265,5.42524,SS,S,-1.91515,6.30129,91.43052,2202.767292,189.440375,-0.15
12,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,0,2,0,1337049461,T. Adams,R,FA,1.30645,1.53204,-6.810101,17.15418,7.92182,-2.752545,5.61693,B,S,-1.92416,6.3417,91.92789,2259.115757,206.40326,0.13
13,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,1,2,0,1337049461,T. Adams,R,CH,-0.53403,2.17534,-7.446912,7.34398,16.90773,-0.311754,5.47763,F,S,-2.23614,6.06113,82.41411,1832.277597,250.676505,0.0
14,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,1,2,0,1337049461,T. Adams,R,FA,1.32705,0.92231,-6.984397,19.15033,5.46748,-3.059979,6.15701,B,S,-1.95789,6.09423,92.63094,2271.438948,196.92221,0.13
15,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,2,2,0,1337049461,T. Adams,R,FA,0.3042,2.26912,-5.800614,15.66965,9.87827,-1.644016,5.73362,IP,S,-2.04987,6.08591,93.41129,2307.915331,214.275141,1.0
16,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,0,0,0,1337049461,T. Adams,R,FA,1.44242,2.07013,-5.898712,18.90379,8.42556,-2.940174,6.08038,B,IP_OUT,-1.98132,6.10776,91.41461,2333.167085,205.52146,0.13
17,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,1,0,0,1337049461,T. Adams,R,CH,-1.21527,0.57614,-8.860952,9.36284,24.17753,1.024498,5.55673,B,IP_OUT,-2.27801,5.86009,82.13396,1881.509911,252.312557,0.13
18,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,2,0,0,1337049461,T. Adams,R,FA,-1.00547,2.59258,-5.171796,19.15044,13.36627,-0.168612,5.95165,F,IP_OUT,-2.27472,5.90606,90.62264,2283.469352,216.835011,-0.15
19,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,2,1,0,1337049461,T. Adams,R,FA,0.50659,2.64579,-5.097868,20.49639,5.64185,-2.032335,5.86007,SS,IP_OUT,-1.85201,6.15716,92.46884,2203.588904,196.278704,-0.15
20,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,0,0,1,1337049461,T. Adams,R,FA,2.62918,1.29953,-6.670264,21.29651,5.95386,-4.199708,5.84695,B,IP_OUT,-1.77585,6.25382,91.58956,2279.824976,196.592358,0.13
21,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,1,0,1,1337049461,T. Adams,R,FA,1.6424,2.05659,-5.88413,20.26808,4.28957,-3.356324,6.05733,B,IP_OUT,-1.82488,6.18599,90.63149,2349.583976,192.663905,0.13
22,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,0,0,2,1337049461,T. Adams,R,FA,-0.60051,2.67716,-5.302874,18.90253,7.16307,-1.04265,5.99727,F,IP_OUT,-2.16338,6.15772,91.32234,2282.838097,202.079873,-0.15
23,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,0,1,2,1337049461,T. Adams,R,FA,0.26911,3.31184,-4.496913,20.74344,4.47626,-2.076163,5.72272,F,IP_OUT,-2.03824,6.1796,90.60039,2148.338351,192.878931,-0.15
24,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,0,2,2,1337049461,T. Adams,R,CH,-2.43896,2.59559,-6.662444,9.34536,13.99599,1.142053,5.78071,B,IP_OUT,-2.54459,5.92029,82.94052,1816.644869,240.641331,0.13
25,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,2,1,2,2,1337049461,T. Adams,R,FA,0.54994,3.43305,-4.471366,20.03938,3.28299,-2.505129,5.94651,F,IP_OUT,-2.04851,6.20511,91.02115,2213.863687,189.916782,0.0
26,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,0,0,0,1337049461,T. Adams,R,SL,-1.16423,2.05513,-8.855387,-2.23205,-7.3137,-1.954802,5.57536,SL,K,-2.37804,6.0864,77.30212,2350.303281,64.209393,-0.15
27,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,0,1,0,1337049461,T. Adams,R,FA,-0.45196,2.84764,-5.26986,17.89359,6.90197,-1.242285,5.67764,F,K,-2.18513,6.22862,90.12606,2207.652125,202.271161,-0.15
28,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,0,2,0,1337049461,T. Adams,R,FA,-0.76296,4.70679,-3.136612,16.83493,3.50146,-1.599176,5.66925,B,K,-2.54591,6.05632,91.33085,2263.851469,192.504606,0.13
29,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,1,2,0,1337049461,T. Adams,R,FA,1.05128,2.55049,-5.415937,19.92265,6.67835,-2.671877,5.73293,SL,K,-1.99456,6.27779,90.93935,2222.985638,199.495241,-0.15
30,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,0,0,1,1337049461,T. Adams,R,FA,0.55769,2.53261,-5.44783,21.14355,5.83772,-2.424964,5.90797,IP,S,-2.18045,6.29724,89.67694,2258.520563,196.250549,1.0
31,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,0,0,1,1337049461,T. Adams,R,CH,-2.06462,2.21461,-7.099273,11.44694,17.71891,1.292063,5.61339,B,S,-2.33757,6.05022,81.19616,1849.761559,240.319271,0.13
32,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,1,0,1,1337049461,T. Adams,R,CH,-0.32302,2.77478,-6.322079,10.80308,15.53221,-0.62815,5.3438,F,S,-2.2062,5.97936,83.10894,1892.573008,238.564227,-0.15
33,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,1,1,1,1337049461,T. Adams,R,FA,0.28772,3.29402,-4.617704,18.3067,8.11245,-1.5967,5.80043,IP,S,-1.87303,6.1922,91.19551,2072.994512,205.06057,1.0
34,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,0,0,1,1337049461,T. Adams,R,CH,-0.83412,2.66029,-6.553124,8.71315,13.94005,-0.653346,5.65702,F,K,-2.60538,5.88354,82.29838,1933.738656,241.750036,-0.15
35,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,0,1,1,1337049461,T. Adams,R,FA,-0.69627,1.89751,-5.934377,20.4904,5.35477,-1.159801,5.8644,SL,K,-2.21986,6.12457,91.54383,2234.885308,195.533422,-0.15
36,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,0,2,1,1337049461,T. Adams,R,FA,1.08949,1.91325,-5.840533,21.24426,6.46185,-2.679304,5.82638,SL,K,-1.94083,6.15739,91.5865,2273.290118,197.80939,-0.15
37,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,0,0,2,1337049461,T. Adams,R,CH,-2.17379,3.67146,-5.738441,7.2689,15.61347,0.950226,5.93022,B,IP_OUT,-2.59369,5.95537,82.71882,1876.18288,249.461801,0.13
38,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,1,0,2,1337049461,T. Adams,R,FA,-0.26844,1.88091,-5.97505,19.91808,1.30272,-1.780381,5.78418,F,IP_OUT,-2.0339,6.11005,90.93189,2217.893531,183.964134,-0.15
39,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,1,1,2,1337049461,T. Adams,R,FA,0.95096,1.78998,-6.381682,15.85587,3.25225,-3.021259,5.94281,SL,IP_OUT,-2.1252,6.13913,90.92806,2287.578754,192.287789,-0.15
40,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,1,2,2,1337049461,T. Adams,R,FA,0.70173,2.1431,-5.81028,15.94631,2.50788,-2.892999,6.07519,F,IP_OUT,-2.18637,6.06253,92.13663,2187.587917,189.426358,0.0
41,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,3,2,2,2,1337049461,T. Adams,R,FA,1.48899,1.37216,-6.634432,18.4217,2.73315,-3.613979,6.13118,F,IP_OUT,-2.08354,6.17594,92.21949,2349.870569,188.957272,0.0
42,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,4,0,0,0,1337049461,T. Adams,R,FA,0.17827,1.95776,-6.42908,17.22702,2.29488,-2.185544,5.67716,SL,D,-2.05146,6.29881,89.04832,2066.20856,188.087654,-0.15
43,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,4,0,1,0,1337049461,T. Adams,R,FA,0.06226,3.49563,-4.496188,21.05651,4.73319,-1.894896,5.73946,F,D,-2.09686,6.33949,89.27558,2271.888769,193.343874,-0.15
44,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,4,0,2,0,1337049461,T. Adams,R,CH,-0.3257,1.2782,-8.12729,12.39174,16.73151,-0.299151,6.09599,F,D,-1.99835,6.21948,82.21804,1926.106235,236.675715,0.0
45,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,4,0,2,0,1337049461,T. Adams,R,FA,0.06457,1.93019,-6.611681,14.22229,3.29851,-2.005,5.66171,F,D,-2.08096,6.29779,90.99852,2104.280737,194.101567,0.0
46,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,4,0,2,0,1337049461,T. Adams,R,SL,-1.00028,3.72819,-7.412208,-3.40603,-10.0515,-1.908749,5.06518,B,D,-1.96169,6.08387,75.95703,2290.620173,64.177813,0.13
47,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,4,1,2,0,1337049461,T. Adams,R,FA,0.9889,2.29664,-5.925702,16.99013,2.91563,-2.87108,5.78228,IP,D,-1.92751,6.31432,91.12231,2266.292624,190.301903,1.26
48,2021,730293760,SAC,D1 Western Athletic Conference,5091,CBU,159118373,2021-05-09 13:00:00,4,0,0,0,1337049461,T. Adams,R,FA,-1.04622,3.06118,-4.722675,21.97694,9.52709,-0.27924,5.78134,SL,S,-2.09924,6.22451,89.40185,2194.33287,204.480579,-0.15
