,Pitcher,pitcherId,team,PitchType,Hand,Count,RelSpeed,IVB,HB,SpinRate,RelSide,RelHeight,Extension,xrv,Stuff+
0,J. Espinoza,1000035929,TTU,CH,L,31,79.74580322580645,6.478940967741936,-11.022303225806452,1579.3930039354839,-1.795631612903226,5.701511935483871,6.143541935483872,0.10145955217414727,93
2,J. Espinoza,1000035929,TTU,FA,L,185,90.56084935135137,14.700129513513513,-8.538754270270271,2231.455943027027,-1.5972870270270272,6.012608756756756,6.046875351351351,0.10955877197392076,100
5,J. Espinoza,1000035929,TTU,SL,L,59,79.99070593220338,-2.776865593220339,9.854571355932203,2410.96891879661,-1.8124613559322034,5.719061186440679,5.727666610169491,0.07638757565425199,100
8,J. Ross,1000046406,UCI,FA,R,169,88.0850773964497,21.51971727810651,8.288259053254437,2151.3797494082837,0.4063666272189349,6.294553076923076,5.36252,0.10675670439780399,102
9,J. Ross,1000046406,UCI,FC,R,93,82.92088967741935,10.220783333333333,-1.4989089247311826,2214.23274183871,0.5119550537634409,6.253385913978494,5.283225376344086,0.09430522224543748,93
10,J. Ross,1000046406,UCI,FS,R,58,78.95451482758621,3.809665,8.065882931034484,1250.6519106206897,0.4681956896551724,6.213294827586207,5.130180689655172,0.10630518475757054,97
14,G. Miller,1000245558,UVU,CU,R,124,80.77514072580645,-8.35754443548387,-3.4823617741935484,2193.599307967742,1.7127233870967742,6.065132822580645,5.141305,0.06814926185428923,105
15,G. Miller,1000245558,UVU,FA,R,231,91.51867774891774,13.664716450216451,5.576641558441558,2050.773740835498,1.51473354978355,6.173800692640692,5.649019393939394,0.12594576951461664,92
16,G. Miller,1000245558,UVU,FC,R,71,87.32930943661972,5.813156901408451,-2.576266338028169,2097.2015185070422,1.4684885915492958,6.069728309859155,5.336289718309859,0.08499060839228463,99
20,E. Davis,1000355257,EMU,CH,R,34,83.72289176470588,4.747171470588235,11.047751764705882,1628.233682264706,1.6319188235294118,5.371509117647059,5.974042647058823,0.10047682686682192,94
22,E. Davis,1000355257,EMU,FA,R,120,88.13963016666666,14.946587749999999,13.295392416666665,2069.6683757166666,1.52228925,5.615476166666666,5.968580083333333,0.12726210867082577,91
24,E. Davis,1000355257,EMU,SI,R,88,87.99717670454545,14.720266477272729,14.760831931818181,2098.9474260340908,1.5098722727272729,5.488400113636364,5.923428749999999,0.12367933493716059,92
25,E. Davis,1000355257,EMU,SL,R,80,81.07973375,-3.9055655000000002,-4.432800125,1999.6708749124998,1.577027625,5.424865,5.5837945,0.08236121975125708,95
31,C. Ashby,1000643948,WRST,FA,R,34,78.79896,-9.492274117647058,14.072892647058822,2049.1217949705883,1.6978758823529412,1.9868523529411766,6.406202647058824,0.16926964321829724,69
32,C. Ashby,1000643948,WRST,SI,R,105,78.98517828571428,-10.329355428571429,16.570712095238097,2078.9396315619047,1.672047619047619,1.9471294285714285,6.48070638095238,0.1274177662250581,90
38,S. Jackson,1001146613,UNM,FA,L,65,84.27456984615384,13.783953384615383,-10.63418676923077,1937.672166723077,-2.1397098461538464,5.500173538461539,6.339366923076923,0.1302159749448184,90
42,L. Manning,1001897066,UNLV,CH,L,56,84.83843589285713,3.3054469642857143,-11.062805178571427,1591.0447079642856,-2.4885237499999997,5.9370844642857135,5.412659107142857,0.08342742705887461,107
43,L. Manning,1001897066,UNLV,FA,L,209,90.70929248803827,17.32991028708134,-13.106664258373206,2326.7744453732057,-2.3552882775119617,6.001182631578948,5.375754976076555,0.0858959406265343,113
45,L. Manning,1001897066,UNLV,SL,L,118,82.84333601694915,-2.634053728813559,5.208111271186441,2384.676470313559,-2.696999152542373,5.671521525423729,5.057126949152543,0.07070468190123706,105
48,Z. Johnson,1002145344,SHSU,FA,R,120,89.51692075,17.117318,0.7237070833333333,2190.401331058333,0.4533133333333333,6.623279083333333,5.362080166666667,0.10548750757477644,102
49,Z. Johnson,1002145344,SHSU,FC,R,33,86.16052181818182,10.249220303030302,-2.561610303030303,2247.999491060606,0.8474245454545455,6.426396363636363,5.056174545454545,0.08012905277133932,101
50,Z. Johnson,1002145344,SHSU,SL,R,71,82.59813225352113,4.116098591549296,-4.524642816901409,2326.5868384507044,0.907409014084507,6.432608450704225,5.0269935211267605,0.062196984805340104,112
58,M. Hagler,1002892320,SEA,CH,R,104,79.29339846153847,6.199430288461539,15.205537115384614,1642.7390007211538,1.5876422115384616,5.189437692307692,6.345734903846154,0.09845245819906762,95
60,M. Hagler,1002892320,SEA,FA,R,531,87.28525517890773,10.362218493408664,14.488718888888888,1916.6533813935969,1.2696744821092278,5.469801525423729,6.5065331826742,0.12672531983863042,91
62,M. Hagler,1002892320,SEA,SL,R,222,76.12342193693694,1.4874526126126126,-13.476101576576577,2000.5959625495495,1.3493867117117118,5.440558738738739,5.742832657657658,0.08688850187103868,92
63,R. Ritter,1002961029,KU,CH,R,27,87.33144037037037,3.436217777777778,12.465925185185185,1642.7304714074073,1.8601855555555555,5.360835555555555,6.115374814814815,0.08532399600655992,105
64,R. Ritter,1002961029,KU,CU,R,63,81.92203714285715,-6.455026666666666,-6.21602873015873,2730.135408714286,1.7355014285714285,5.700903174603175,5.4668584126984126,0.07925957458109131,97
65,R. Ritter,1002961029,KU,FA,R,277,93.29135895306858,16.981376101083033,11.40413393501805,2446.710114231047,1.631639855595668,5.75984487364621,6.0562235740072206,0.08611268658993272,112
66,R. Ritter,1002961029,KU,FC,R,50,85.51359959999999,4.254113,-2.8691845999999996,2606.17556036,1.9689009999999998,5.333729399999999,5.6307094,0.07964221944581391,102
68,R. Ritter,1002961029,KU,SI,R,55,93.38506763636363,11.36824690909091,15.150686181818182,2301.393327090909,1.7467252727272728,5.5414567272727275,5.952601818181818,0.1040111963750403,105
69,R. Ritter,1002961029,KU,SL,R,251,84.99934278884463,3.3149882868525897,-3.8256745816733067,2613.5771639601594,1.8773781673306773,5.4312303187251,5.7836013545816725,0.06701447913428245,108
71,P. Dudley,1002961391,SCAR,FA,L,59,89.14900288135594,13.614033389830508,-10.211354576271187,2278.8245403050846,-1.2766283050847458,5.514382033898305,5.9530523728813565,0.1203274128417329,95
73,P. Dudley,1002961391,SCAR,SL,L,29,78.46617724137931,-1.7943541379310346,12.373562068965517,2677.573618,-1.405703103448276,5.3789131034482764,5.15577724137931,0.06884206825437687,106
75,C. Weygandt,1002978021,VCU,FA,R,40,85.31369925,5.90456125,13.93943625,2271.3220861500004,2.98324675,4.058409,6.45957925,0.09640931777080006,107
76,C. Weygandt,1002978021,VCU,SI,R,120,83.33349191666666,2.5700993333333333,17.5304385,2186.1267245,3.274474666666667,3.6222111666666668,6.17287675,0.09856116475691873,108
78,H. Hayashi,1003021622,WICH,CH,L,28,80.73095464285714,7.898074642857144,-11.454689642857144,1563.0474961428572,-1.8347082142857143,5.520730714285714,4.906815714285714,0.11281739104573692,85
79,H. Hayashi,1003021622,WICH,CU,L,39,75.36315897435897,-9.83133205128205,5.950809230769231,1930.5259773846155,-1.9231725641025643,5.349864358974359,4.459817692307692,0.0978872086782291,83
80,H. Hayashi,1003021622,WICH,FA,L,108,86.88266203703704,11.389922407407406,-13.41421064814815,1950.3719449444443,-2.3546072222222225,5.1859056481481485,4.837233981481482,0.12761532243819043,91
81,H. Hayashi,1003021622,WICH,SI,L,92,86.52728445652174,5.888279565217391,-17.33341391304348,2024.8160746195651,-3.290016847826087,4.536813586956521,5.066037934782608,0.14438659140441495,79
82,H. Hayashi,1003021622,WICH,SL,L,65,75.74799984615385,-3.084584153846154,8.192863076923077,1885.573807646154,-2.954229846153846,4.663277538461538,4.719625692307692,0.09903002133123037,82
83,B. Gregory,1003023380,GC,CH,R,92,81.60130085771739,9.25551181178261,17.259888153043477,2390.5537469565215,2.314809323978261,5.442320740380435,6.088502923706522,0.09317921817403875,99
85,B. Gregory,1003023380,GC,FA,R,186,90.30767357268816,16.983760261935483,12.814103496129032,2352.8371135591397,2.11688349244086,5.645623645209677,6.030228219768817,0.10136501998397444,105
86,B. Gregory,1003023380,GC,SL,R,37,81.4150249454054,-7.027793140135135,-5.119113019486487,2248.8551536216214,2.3111446098918917,5.482216108189189,5.551534100405405,0.07928120364218388,98
87,R. McCarroll,1003080390,NE,CH,R,30,81.743205,5.3575523333333335,13.826726333333333,1510.633718,1.963925,5.672093333333334,6.249711666666667,0.09170652033574272,100
89,R. McCarroll,1003080390,NE,FA,R,107,88.50723,16.705016355140188,12.660376822429907,2286.0693867102805,1.8790560747663552,5.678317663551401,6.219160747663551,0.11810860296175596,96
92,R. McCarroll,1003080390,NE,SL,R,59,79.4992620338983,-0.41216932203389833,-3.609135593220339,2222.629678813559,1.9642866101694916,5.614079830508475,5.7175271186440675,0.08138067575007271,96
96,W. Vieira,1003816189,FOR,CH,R,43,74.90524093023257,5.294372325581395,15.727538372093022,1546.6788148139535,1.639887441860465,4.933773488372093,6.80021465116279,0.10389421193956808,91
98,W. Vieira,1003816189,FOR,FA,R,69,83.5786579710145,14.85776347826087,13.33627579710145,1919.647770246377,1.2862795652173913,5.4152214492753625,6.350389130434783,0.14342406080740217,83
105,M. Delvecchio,1004454230,FIU,FA,R,47,91.08527829787234,14.054614468085106,13.664297446808511,2373.7059283829785,1.6464310638297872,5.495135106382978,5.421490425531915,0.11888109874513861,95
106,M. Delvecchio,1004454230,FIU,SI,R,72,90.61337805555556,10.883514027777778,17.60624361111111,2259.0918122361113,1.6014686111111112,5.4776375,5.105769861111111,0.12429069236958873,92
109,C. Horner,1004716071,FAU,FA,R,50,87.849192,14.0298968,16.347112,2206.2470959400002,1.5733304000000001,5.336593000000001,5.0308600000000006,0.12998735634120254,90
110,C. Horner,1004716071,FAU,SL,R,25,78.462844,-3.5110852,-9.2357656,2612.21566692,1.7254852,5.129967199999999,4.5380644,0.08594742853812253,92
111,J. Whritenour,1006240385,FLA,CH,R,57,91.3482803508772,4.171672280701754,5.90663,2574.494780719298,1.4622859649122808,5.878426842105263,5.720113859649123,0.09301281739243197,99
112,J. Whritenour,1006240385,FLA,FA,R,238,97.62670260504201,17.690491512605043,11.847231008403362,2478.283493037815,1.19185243697479,6.111006890756303,5.6687827731092435,0.08594538193861515,113
113,J. Whritenour,1006240385,FLA,FC,R,34,91.92435411764706,3.58072,2.1371194117647057,2546.9124500294115,1.5159364705882352,5.909729705882353,5.774298823529413,0.06997186694566077,107
115,J. Whritenour,1006240385,FLA,SL,R,119,91.46256731092437,3.1890139495798318,2.3517928571428572,2586.5939406134457,1.4972982352941178,5.90300050420168,5.740985882352941,0.06813241278878372,107
117,E. Vandenbosch,1006275479,WIN,CU,L,58,78.32040120689655,-16.372715862068965,5.852981206896552,2421.5476969655174,-0.8127124137931034,6.024897413793104,4.832512241379311,0.06759633895650954,106
118,E. Vandenbosch,1006275479,WIN,FA,L,136,89.0153369117647,12.461150220588236,-11.772051544117646,2182.584209198529,-0.8696630882352941,5.973425,5.696324779411764,0.13286437141546942,88
121,K. Althoff,1006521813,CHSO,CH,R,25,80.5946452,6.5416324,9.0802796,1200.3584447599999,0.374488,6.796817999999999,4.9879216,0.0871068834468927,104
122,K. Althoff,1006521813,CHSO,FA,R,126,85.27947880952381,12.309564523809524,6.24506753968254,2112.464408238095,0.6985647619047619,6.737535873015873,5.321405952380952,0.13825605045512854,85
123,K. Althoff,1006521813,CHSO,FC,R,39,83.40324051282052,8.548495128205127,-0.9372264102564103,2160.8728213333334,0.6067564102564103,6.787338461538462,4.912151025641026,0.051420919414133376,117
124,K. Althoff,1006521813,CHSO,FS,R,40,81.36141725,6.789368999999999,10.770667249999999,1145.421373525,0.51750475,6.85126875,5.22561125,0.06660166449653757,108
131,T. Vargas,1006927826,WAG,FA,R,115,86.62698182608695,7.991208956521739,12.25790452173913,1955.910108,1.7044652173913042,5.649698173913043,6.063386956521739,0.13717617668047147,86
134,T. Vargas,1006927826,WAG,SI,R,32,86.2460821875,6.090975,14.939568125000001,1945.3699265,1.70277125,5.556081875,6.12566375,0.11164390095036272,100
135,T. Vargas,1006927826,WAG,SL,R,52,78.358845,-4.637541346153847,-9.872161346153847,2090.8057473269228,1.68089,5.683824807692308,5.398980384615385,0.08506261449743545,93
136,W. Donnelly,1006937050,UOWG,CH,R,34,77.95143529411764,9.646493235294118,12.818644117647057,1387.380427852941,0.9552620588235294,5.935742647058824,5.3605020588235295,0.09021545657833488,102
137,W. Donnelly,1006937050,UOWG,CU,R,33,73.19500454545454,-5.1858466666666665,-7.336002727272727,2164.3180789393937,0.5408436363636364,6.206456666666667,4.933420606060606,0.08977965407934346,89
138,W. Donnelly,1006937050,UOWG,FA,R,132,87.0699243939394,21.13718833333333,7.753397121212121,2310.4647132348487,0.3001922727272727,6.3487721212121215,5.326641515151515,0.1163922725387892,97
139,W. Donnelly,1006937050,UOWG,FC,R,41,81.56941951219513,7.686753414634146,0.9091382926829268,2292.000821780488,0.6863770731707317,6.117522195121952,5.365179024390244,0.0869646136743554,97
140,W. Donnelly,1006937050,UOWG,SL,R,47,78.5918,2.593740425531915,-3.8330565957446807,2213.8848737659573,0.5850265957446809,6.110954468085106,5.196053404255319,0.07675698681056299,100
141,A. Ciscar,1006945294,MIA,CH,R,120,84.87111366666666,1.8743948333333333,16.080636000000002,1630.1293669666666,2.3854745833333335,4.996587666666667,5.553698916666666,0.10046214846243572,94
142,A. Ciscar,1006945294,MIA,FA,R,32,89.8876565625,2.6640484375,17.0114853125,2239.72637953125,2.15528125,5.3191571875,6.14022875,0.09857044868704729,106
144,A. Ciscar,1006945294,MIA,SI,R,436,90.26267254587155,2.1998375458715596,19.106093761467893,2216.924925479358,2.239610802752294,5.114042844036697,5.847727018348624,0.09691057334435156,109
145,A. Ciscar,1006945294,MIA,SL,R,355,80.99000608450704,-0.4405204788732394,-14.53395695774648,2415.7858044760565,2.501185915492958,4.892331436619719,5.135713859154929,0.06855445945132425,107
146,J. Rodarte,1007182648,FOR,CH,R,26,80.48334769230769,8.943854615384616,14.16005346153846,1191.0208742692307,1.5560476923076922,6.014236923076923,5.672644999999999,0.08519869017287253,105
147,J. Rodarte,1007182648,FOR,FA,R,117,86.60955829059829,19.087419658119657,8.95379247863248,2102.5593905811966,1.6547652136752136,6.021374102564103,5.923616752136753,0.1184160846763352,96
150,H. Hyatt,1007288187,UAB,FA,L,101,90.03588435643564,17.852647623762376,-14.505269306930694,2209.5668265247523,-2.5369424752475243,6.230731485148516,5.993127227722772,0.07377504607344013,119
154,J. Avila,1007454831,UCRV,FA,R,38,90.57016710526315,12.824317105263157,19.688091842105262,2146.9608931842104,2.225871315789474,6.356222894736843,6.1955544736842105,0.10110117503252884,105
158,J. Griffiths,1007638530,CMU,FA,R,316,86.75164819620254,20.160164683544302,11.527711044303798,2263.0210500253165,1.9996047784810125,5.854171392405063,6.303391613924051,0.10489176860330338,103
161,J. Griffiths,1007638530,CMU,SL,R,107,78.65576289719625,4.410359252336448,-0.6943316822429906,1900.916514364486,2.0798715887850467,5.752689719626168,6.289924859813085,0.08030617942251288,97
164,D. Hamilton,1008376863,CARK,CH,R,131,83.47097083969464,10.6176593129771,13.616830839694657,1712.0182471221374,2.335338320610687,5.6887325954198475,5.209645190839694,0.09719495648747452,96
165,D. Hamilton,1008376863,CARK,CU,R,37,79.16267297297297,-7.647837567567567,-7.551509459459459,2327.9153763783784,2.3979618918918915,5.560398108108108,3.9360248648648652,0.0848768939912862,93
166,D. Hamilton,1008376863,CARK,FA,R,223,90.25602170403587,16.968322466367713,17.860350448430495,2406.550464878924,2.4660195515695067,5.652853094170404,5.017204529147983,0.09659490759298207,107
167,D. Hamilton,1008376863,CARK,SI,R,62,90.46810612903225,17.620930645161287,17.544431774193548,2455.711159774193,2.492114032258064,5.122981774193549,5.62224870967742,0.04971312368872379,139
168,D. Hamilton,1008376863,CARK,SL,R,25,77.3066688,-7.642282,-5.783974799999999,2278.7292038,2.3391744,5.9093068,5.372100400000001,0.08418653054291779,94
169,J. Adams,1008441463,CREI,CH,R,28,85.42067,2.6666589285714286,17.53567392857143,1882.3201710714286,2.151465,4.521313571428571,5.957474642857143,0.11337222557507666,84
171,J. Adams,1008441463,CREI,FA,R,97,90.02702597938145,4.543426391752577,19.00402412371134,2159.60752385567,2.0166803092783505,4.62811237113402,5.755897010309278,0.09999311832778665,105
172,J. Adams,1008441463,CREI,SI,R,71,89.63310563380281,4.287632112676056,20.138974788732394,2132.526056802817,2.079209577464789,4.636757605633803,5.836020845070423,0.10462623985542366,104
173,J. Adams,1008441463,CREI,SL,R,57,80.15822333333332,-3.5559480701754387,-6.338214736842105,2289.4153185964915,2.273914736842105,4.899650701754386,5.151758771929825,0.09130342171610491,88
174,M. Schumacher,1008658817,UTM,CH,R,94,81.39668478723405,4.337168936170213,16.702908829787233,1808.377414180851,2.4031055319148935,5.361904893617021,5.139541063829787,0.09256006377784656,100
176,M. Schumacher,1008658817,UTM,FA,R,177,86.23487954802259,11.836338926553672,17.07133802259887,2173.1557981694914,2.2788989265536723,5.498057740112994,5.40114779661017,0.13264039133315922,88
178,M. Schumacher,1008658817,UTM,SL,R,73,75.61088465753424,0.5959193150684932,-9.394311780821917,2292.42142669863,2.4599413698630137,5.300224246575343,5.059450821917808,0.08804084061895022,91
181,D. Duval,1008672888,SBON,FA,R,124,87.84330338709678,16.17936556451613,10.762854193548387,2061.283302419355,0.5646717741935484,5.672187661290322,5.991219032258065,0.13885488089390313,85
183,D. Duval,1008672888,SBON,SL,R,47,77.11658531914894,0.7687221276595746,-11.875276595744682,2254.6774826170213,0.7280197872340425,5.574142765957447,5.324862127659574,0.08521669504976355,93
