,Pitcher,pitcherId,team,Total,Hand,Stf+ FA,Stf+ SL,Stf+ CU,Stf+ FC,Stf+ SI,Stf+ CH,Stf+ FS,Stuff+
0,J. Espinoza,1000035929,TTU,275,L,100,104,,,,98,,101
1,J. Ross,1000046406,UCI,320,R,102,,,96,,,95,99
2,G. Miller,1000245558,UVU,426,R,92,,105,97,,,,97
3,E. Davis,1000355257,EMU,322,R,91,96,,,95,92,,93
4,C. Ashby,1000643948,WRST,139,R,68,,,,74,,,73
5,S. Jackson,1001146613,UNM,65,L,90,,,,,,,90
6,L. Manning,1001897066,UNLV,383,L,113,104,,,,111,,110
7,Z. Johnson,1002145344,SHSU,253,R,101,111,,105,,,,105
8,M. Hagler,1002892320,SEA,857,R,91,92,,,,94,,92
9,R. Ritter,1002961029,KU,723,R,112,107,99,104,105,107,,108
10,P. Dudley,1002961391,SCAR,88,L,96,100,,,,,,97
11,C. Weygandt,1002978021,VCU,160,R,105,,,,106,,,106
12,H. Hayashi,1003021622,WICH,341,L,92,72,72,,97,94,,87
13,B. Gregory,1003023380,GC,315,R,105,98,,,,99,,102
14,R. McCarroll,1003080390,NE,196,R,96,94,,,,101,,96
15,W. Vieira,1003816189,FOR,112,R,83,,,,,95,,88
16,M. Delvecchio,1004454230,FIU,119,R,96,,,,92,,,94
17,C. Horner,1004716071,FAU,75,R,89,90,,,,,,89
18,J. Whritenour,1006240385,FLA,467,R,115,118,,102,,118,,115
19,E. Vandenbosch,1006275479,WIN,194,L,88,,107,,,,,94
20,K. Althoff,1006521813,CHSO,230,R,84,,,123,,115,108,98
21,T. Vargas,1006927826,WAG,199,R,87,94,,,97,,,90
22,W. Donnelly,1006937050,UOWG,287,R,96,101,89,102,,105,,98
23,A. Ciscar,1006945294,MIA,1021,R,105,106,,,109,93,,106
24,J. Rodarte,1007182648,FOR,143,R,95,,,,,105,,97
25,H. Hyatt,1007288187,UAB,101,L,120,,,,,,,120
26,J. Avila,1007454831,UCRV,38,R,104,,,,,,,104
27,J. Griffiths,1007638530,CMU,423,R,103,95,,,,,,101
28,D. Hamilton,1008376863,CARK,478,R,105,92,92,,140,92,,104
29,J. Adams,1008441463,CREI,253,R,103,90,,,104,79,,98
30,M. Schumacher,1008658817,UTM,344,R,88,90,,,,100,,92
31,D. Duval,1008672888,SBON,171,R,86,95,,,,,,88
32,K. Samuels,1008877461,WKU,26,R,106,,,,,,,106
33,A. Frank,1010037300,FAIR,99,R,103,80,,,,,,96
34,K. Anzai,1010065400,UCD,730,R,94,105,105,,,,,99
35,K. Quinn,1010511491,SIND,68,R,97,,,,,,,97
36,M. Seo,1010779892,CSN,25,R,115,,,,,,,115
37,T. Reinburg,1010992779,WKU,385,R,107,98,,,95,,,102
38,C. Doucet,1012104145,TAR,181,R,90,96,,,,,,92
39,B. Jones,1012630736,WCUOP,28,R,90,,,,,,,90
40,E. Blair,1012800492,FLA,136,L,97,122,,,,,,110
41,E. Hoyt,1014033686,LOU,98,R,125,,,102,,,,117
42,X. Carrera,1015744045,IND,64,R,117,,,,,,,117
43,B. Bouchard,1016358398,BING,392,R,107,113,95,,,95,,105
44,J. Dorn,1016558389,MIA,428,L,113,115,94,,,,,111
45,W. Marenghi,1016788343,DAV,549,R,88,75,81,,84,89,,82
46,K. Gonzalez,1016790580,MIZZ,447,R,96,97,94,,94,85,,94
47,N. French,1016869843,CARK,28,R,87,,,,,,,87
48,J. Bell,1016986879,EKY,147,R,104,108,,,,,,105
49,B. Strawmyer,1017235679,BALL,269,L,94,105,,,,97,,99
50,C. Sims,1017377958,BU,139,R,106,,104,,,,,105
51,S. Simmons,1017441894,SELA,37,L,,,110,,,,,110
52,R. Schaffnit,1017499377,BRAD,384,R,95,102,,,97,103,,99
53,Z. Bender,1017748924,LMU,353,R,,110,,,119,96,,110
54,B. Marks,1018357297,GW,206,R,96,82,,,,86,,90
55,S. Estes,1018420735,YSU,83,R,92,112,,,,,,101
56,E. Smith,1018675730,AMCC,353,R,106,115,92,115,,98,,108
57,K. Ishikawa,1018912519,UGA,250,L,117,,101,,,81,,110
58,J. Farrell,1019037549,ORU,326,L,111,111,103,,,,,109
59,T. Penn,1019339054,ASU,590,R,117,101,,,,96,,109
60,J. Summerville,1019364898,KENN,413,L,100,108,110,,,,,102
61,G. Wernsing,1020139938,SIU,115,L,91,104,,,,98,,98
