,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,176837900,2026-05-03 12:01:00,1,0,0,0,IP,S,R,J. Solier,67.62303,22.629052,23.935212,1.0
1,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,176837900,2026-05-03 12:01:00,1,0,1,1,IP,ROE,R,G. Johnson,81.97157,-8.987136,-33.999999999999986,0.0
2,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,176837900,2026-05-03 12:01:00,1,1,0,1,IP,FC,R,L. Gallo,36.50082,-35.89342,-12.135246,0.0
3,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,176837900,2026-05-03 12:01:00,3,0,0,0,IP,S,R,J. Solier,86.87375,1.681604,36.0,1.0
4,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,176837900,2026-05-03 12:01:00,3,0,2,2,IP,S,R,G. Johnson,92.14452,2.419237,-6.999999999999984,1.0
5,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,176837900,2026-05-03 12:01:00,4,2,2,0,IP,S,R,K. Wolff,99.93031,13.78864,12.573358,1.0
6,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,176837900,2026-05-03 12:01:00,4,1,0,1,IP,S,R,B. Williams,107.69632,-1.491208,0.9999999999999998,1.0
7,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,176837900,2026-05-03 12:01:00,5,2,1,2,IP,S,R,L. Gallo,99.55659,1.432565,-36.00000000000002,1.0
8,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,176837900,2026-05-03 12:01:00,5,1,0,2,IP,FC,R,K. Wolff,101.10016,-4.417204,-13.00000000000002,0.0
9,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,176837900,2026-05-03 12:01:00,6,2,0,1,IP,S,R,B. Williams,107.90987,-1.64507,4.000000000000001,1.0
10,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,176837900,2026-05-03 12:01:00,6,0,2,1,IP,S,L,C. Larson,103.24618,-4.247899,29.000000000000004,1.0
11,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,432386623,2026-05-02 13:02:00,2,1,0,1,IP,S,R,L. Gallo,81.84917,-28.781133,1.9999999999999996,1.0
12,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,432386623,2026-05-02 13:02:00,3,2,1,0,IP,D,R,B. Williams,106.41288,20.7754,12.564672,2.0
13,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,432386623,2026-05-02 13:02:00,3,1,1,1,IP,S,R,J. Solier,109.79544,10.309013,-32.981996,1.0
14,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,432386623,2026-05-02 13:02:00,3,2,2,2,IP,S,L,T. Mainolfi,66.04042,23.576895,-18.813046,1.0
15,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,432386623,2026-05-02 13:02:00,3,1,2,2,IP,S,R,G. Johnson,75.47524,29.72282,-17.145265,1.0
16,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,432386623,2026-05-02 13:02:00,5,0,0,1,IP,S,R,J. Solier,71.34751,-67.595761,-15.999999999999988,1.0
17,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,432386623,2026-05-02 13:02:00,5,0,1,1,IP,DP,R,N. Wang,106.55072,-9.571687,-13.00000000000002,0.0
18,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,432386623,2026-05-02 13:02:00,7,1,1,0,IP,D,R,O. DeShazo,95.55305,-16.43645,-32.99999999999999,2.0
19,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,432386623,2026-05-02 13:02:00,7,1,0,1,IP,S,R,J. Solier,97.1606,15.792879,-33.674011,1.0
20,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,354264806,2026-05-01 18:01:00,1,1,0,1,IP,HR,R,N. Wang,102.10633,34.476502,-26.142272,4.0
21,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,354264806,2026-05-01 18:01:00,2,1,0,1,IP,D,L,D. Surowiec,105.49252,16.761538,40.684228,2.0
22,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,354264806,2026-05-01 18:01:00,2,0,1,1,IP,D,R,B. Williams,102.71254,17.488243,38.795408,2.0
23,2026,730358784,CLEM,D1 Atlantic Coast Conference,227,BC,354264806,2026-05-01 18:01:00,2,0,0,2,IP,S,R,J. Solier,98.2347,-12.909412,14.999999999999998,1.0
