,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2026,730171904,RICH,D1 Atlantic 10 Conference,730363136,DAV,362010030,2026-05-03 13:00:00,1,0,1,1,IP,HR,R,A. Torreso,105.83423,33.890915,-14.231685,4.0
1,2026,730171904,RICH,D1 Atlantic 10 Conference,730363136,DAV,362010030,2026-05-03 13:00:00,1,1,2,1,IP,S,R,M. Manjooran,93.39387,-5.193616,21.999999999999996,1.0
2,2026,730171904,RICH,D1 Atlantic 10 Conference,730363136,DAV,362010030,2026-05-03 13:00:00,1,1,1,2,IP,S,R,S. Edwards,81.8805,67.294561,-13.384746,1.0
3,2026,730171904,RICH,D1 Atlantic 10 Conference,730363136,DAV,362010030,2026-05-03 13:00:00,3,0,1,1,IP,S,R,M. Manjooran,90.87038,-3.337311,-1.0000000000000029,1.0
4,2026,730171904,RICH,D1 Atlantic 10 Conference,730363136,DAV,362010030,2026-05-03 13:00:00,3,0,1,2,IP,S,L,T. Loughlin,79.14563,21.757935,12.286128,1.0
5,2026,730171904,RICH,D1 Atlantic 10 Conference,730363136,DAV,362010030,2026-05-03 13:00:00,3,2,2,2,IP,S,R,F. Diaz,77.48972,-35.575196,36.0,1.0
6,2026,730171904,RICH,D1 Atlantic 10 Conference,730363136,DAV,362010030,2026-05-03 13:00:00,4,0,1,0,IP,D,L,J. Daly,87.73724,60.039989,11.700038,2.0
7,2026,730171904,RICH,D1 Atlantic 10 Conference,730363136,DAV,362010030,2026-05-03 13:00:00,4,1,1,0,IP,HR,R,A. Torreso,102.79927,26.638473,-21.953743,4.0
8,2026,730171904,RICH,D1 Atlantic 10 Conference,730363136,DAV,362010030,2026-05-03 13:00:00,4,0,2,1,IP,S,L,F. Lietz,97.51821,8.783028,19.694202,1.0
9,2026,730171904,RICH,D1 Atlantic 10 Conference,730363136,DAV,362010030,2026-05-03 13:00:00,5,1,0,2,IP,S,L,F. Lietz,81.44671,8.25135,-12.559393,1.0
