,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2023,730261504,STET,D1 Atlantic Sun Conference,730219520,PEAY,102283292,2023-05-25 13:00:00,1,0,0,2,IP,S,L,A. Voitik,102.79873,5.670387,33.0,1.0
1,2023,730261504,STET,D1 Atlantic Sun Conference,730219520,PEAY,102283292,2023-05-25 13:00:00,1,3,1,2,IP,D,R,J. Gazdar,95.37248,29.597187,19.593822,2.0
2,2023,730261504,STET,D1 Atlantic Sun Conference,730219520,PEAY,102283292,2023-05-25 13:00:00,2,0,1,0,IP,ROE,R,C. Gore,38.42746,-85.610023,21.0,0.0
3,2023,730261504,STET,D1 Atlantic Sun Conference,730219520,PEAY,102283292,2023-05-25 13:00:00,5,0,0,1,IP,DP,L,C. Gray,105.00442,12.059869,-4.460876,0.0
4,2023,730261504,STET,D1 Atlantic Sun Conference,730219520,PEAY,102283292,2023-05-25 13:00:00,6,0,0,2,IP,S,R,J. Gazdar,101.82352,1.536026,-8.000000000000025,1.0
5,2023,730261504,STET,D1 Atlantic Sun Conference,730219520,PEAY,102283292,2023-05-25 13:00:00,7,0,0,1,IP,HR,L,M. Aribal,98.24324,25.803309,39.196733,4.0
6,2023,730261504,STET,D1 Atlantic Sun Conference,730219520,PEAY,102283292,2023-05-25 13:00:00,7,0,1,2,IP,S,R,N. Barksdale,100.31553,6.700493,21.0,1.0
7,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,445014710,2023-05-14 13:00:00,3,0,1,0,IP,S,R,J. Brown,95.26321,14.650518,35.958372,1.0
8,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,445014710,2023-05-14 13:00:00,4,1,2,1,IP,HR,L,A. Voitik,98.66782,24.418017,40.168911,4.0
9,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,445014710,2023-05-14 13:00:00,5,1,2,0,IP,HR,R,C. Gore,99.36281,28.708248,-30.222862,4.0
10,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,445014710,2023-05-14 13:00:00,6,0,0,2,IP,S,L,A. Voitik,101.91678,6.589479,17.000000000000004,1.0
11,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,445014710,2023-05-14 13:00:00,6,0,2,2,IP,S,R,J. Gazdar,94.82376,8.247042,5.123459,1.0
12,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,445014710,2023-05-14 13:00:00,7,1,2,0,IP,HR,R,C. Gore,95.59681,35.420583,1.0,4.0
13,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,445014710,2023-05-14 13:00:00,7,2,0,0,IP,FC,R,N. Barksdale,34.59586,-88.029722,0.014055,0.0
14,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,445014710,2023-05-14 13:00:00,7,0,0,1,IP,S,L,C. Gray,93.89189,17.501694,18.494784,1.0
15,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,445014710,2023-05-14 13:00:00,7,1,0,1,IP,DP,R,L. Miller-Green,82.35094,-4.378222,-19.999999999999993,0.0
16,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,445014710,2023-05-14 13:00:00,8,0,1,0,IP,S,L,A. Voitik,39.91066,-45.58095,-32.711989,1.0
17,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,445014710,2023-05-14 13:00:00,8,1,1,2,IP,S,R,C. Gore,99.67381,3.667104,3.0000000000000004,1.0
18,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,445014710,2023-05-14 13:00:00,11,3,1,2,IP,D,R,J. Brown,101.56496,16.517446,-14.783041,2.0
19,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,274742497,2023-05-13 13:00:00,1,0,1,0,IP,S,L,C. Gray,96.99784,1.379312,10.999999999999998,1.0
20,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,274742497,2023-05-13 13:00:00,1,2,2,0,IP,S,R,L. Miller-Green,100.08344,-5.86856,-5.000000000000008,1.0
21,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,274742497,2023-05-13 13:00:00,1,0,0,0,IP,FC,L,A. Voitik,46.50287,-62.86552,-4.221756,0.0
22,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,274742497,2023-05-13 13:00:00,2,3,2,2,IP,ROE,R,N. Barksdale,61.74367,-13.755773,-10.000000000000002,0.0
23,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,274742497,2023-05-13 13:00:00,2,0,0,2,IP,D,L,T. Conley,95.03117,13.159094,-16.682002,2.0
24,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,274742497,2023-05-13 13:00:00,6,2,2,1,IP,S,L,A. Voitik,97.49419,11.084345,-19.33441,1.0
25,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,274742497,2023-05-13 13:00:00,6,2,0,1,IP,FC,R,J. Gazdar,85.2871,-10.233343,-26.00000000000003,0.0
26,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,274742497,2023-05-13 13:00:00,6,1,2,2,IP,HR,R,J. Bay,99.01492,27.268134,-21.064651,4.0
27,2023,730307072,LIP,D1 Atlantic Sun Conference,730219520,PEAY,274742497,2023-05-13 13:00:00,7,2,2,2,IP,S,R,L. Miller-Green,106.36463,-13.985592,-23.000000000000007,1.0
