,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2022,730172928,MD,D1 Big Ten Conference,4866,IND,408411341,2022-05-28 13:00:00,1,0,2,0,IP,S,L,P. Glasser,92.38623,9.345048,12.854241,1.0
1,2022,730172928,MD,D1 Big Ten Conference,4866,IND,408411341,2022-05-28 13:00:00,2,1,2,1,IP,S,R,B. Tibbitts,104.19733,15.454958,19.21569,1.0
2,2022,730172928,MD,D1 Big Ten Conference,4866,IND,408411341,2022-05-28 13:00:00,3,1,2,0,IP,ROE,L,P. Glasser,79.31565,-16.366021,-35.00000000000002,0.0
3,2022,730172928,MD,D1 Big Ten Conference,4866,IND,408411341,2022-05-28 13:00:00,3,1,1,0,IP,FC,R,B. Whalen,28.22924,22.031384,-3.043454,0.0
4,2022,730172928,MD,D1 Big Ten Conference,4866,IND,408411341,2022-05-28 13:00:00,3,2,2,1,IP,S,L,H. Jessee,86.30194,13.710101,-3.695825,1.0
5,2022,730172928,MD,D1 Big Ten Conference,4866,IND,408411341,2022-05-28 13:00:00,6,0,0,0,IP,D,R,J. Pyne,103.21788,17.407585,-18.131247,2.0
6,2022,730172928,MD,D1 Big Ten Conference,4866,IND,408411341,2022-05-28 13:00:00,6,0,2,1,IP,D,L,M. Ellis,87.28862,-4.188813,39.00000000000001,2.0
7,2022,730172928,MD,D1 Big Ten Conference,4866,IND,408411341,2022-05-28 13:00:00,6,1,2,2,IP,FC,R,P. Serruto,70.41457,11.323813,-21.92552,0.0
8,2022,730172928,MD,D1 Big Ten Conference,4866,IND,408411341,2022-05-28 13:00:00,7,0,2,2,IP,S,R,J. Pyne,86.6398,13.790325,-21.279394,1.0
9,2022,730172928,MD,D1 Big Ten Conference,4866,IND,408411341,2022-05-28 13:00:00,7,0,0,2,IP,S,L,C. Mathison,96.05155,11.653329,26.519916,1.0
10,2022,730172928,MD,D1 Big Ten Conference,4866,IND,408411341,2022-05-28 13:00:00,9,0,0,0,IP,D,L,P. Glasser,78.98786,-1.277379,42.0,2.0
11,2022,730172928,MD,D1 Big Ten Conference,4866,IND,408411341,2022-05-28 13:00:00,9,1,1,0,IP,S,R,B. Whalen,97.6364,-10.708306,26.999999999999993,1.0
12,2022,730172928,MD,D1 Big Ten Conference,4866,IND,408411341,2022-05-28 13:00:00,9,1,1,0,IP,DP,R,E. Goforth,87.28152,-36.021375,-12.000000000000032,0.0
13,2022,730172928,MD,D1 Big Ten Conference,4866,IND,408411341,2022-05-28 13:00:00,11,0,2,2,IP,S,R,J. Pyne,99.17992,6.14862,-5.999999999999997,1.0
14,2022,730163456,ILL,D1 Big Ten Conference,4866,IND,286316352,2022-05-27 13:00:00,3,0,0,1,IP,S,R,P. Serruto,90.1149,16.095222,-12.688941,1.0
15,2022,730163456,ILL,D1 Big Ten Conference,4866,IND,286316352,2022-05-27 13:00:00,3,2,2,1,IP,S,L,P. Glasser,104.66716,2.762686,19.0,1.0
16,2022,730163456,ILL,D1 Big Ten Conference,4866,IND,286316352,2022-05-27 13:00:00,3,0,0,1,IP,DP,R,B. Whalen,84.33193,-42.920966,-8.000000000000025,0.0
17,2022,730163456,ILL,D1 Big Ten Conference,4866,IND,286316352,2022-05-27 13:00:00,5,3,2,0,IP,S,L,M. Ellis,106.42161,10.736668,-11.540678,1.0
18,2022,730163456,ILL,D1 Big Ten Conference,4866,IND,286316352,2022-05-27 13:00:00,5,2,2,1,IP,ROE,R,T. Doanes,68.6772,12.196729,-10.167476,0.0
19,2022,730163456,ILL,D1 Big Ten Conference,4866,IND,286316352,2022-05-27 13:00:00,6,1,0,0,IP,ROE,R,B. Whalen,94.27525,3.941044,23.0,0.0
20,2022,730163456,ILL,D1 Big Ten Conference,4866,IND,286316352,2022-05-27 13:00:00,8,0,2,0,IP,S,L,H. Jessee,78.97507,14.692367,13.446488,1.0
21,2022,730163456,ILL,D1 Big Ten Conference,4866,IND,286316352,2022-05-27 13:00:00,8,2,0,0,IP,S,R,J. Pyne,82.88922,-39.564117,-1.9999999999999911,1.0
22,2022,730163456,ILL,D1 Big Ten Conference,4866,IND,286316352,2022-05-27 13:00:00,8,2,2,0,IP,D,L,C. Mathison,106.70769,0.962256,40.00000000000001,2.0
23,2022,730163456,ILL,D1 Big Ten Conference,4866,IND,286316352,2022-05-27 13:00:00,8,2,1,1,IP,FC,R,T. Doanes,85.96035,-16.990641,-10.99999999999999,0.0
24,2022,730163456,ILL,D1 Big Ten Conference,4866,IND,286316352,2022-05-27 13:00:00,8,0,1,1,IP,S,L,P. Glasser,100.68302,13.88475,27.753201,1.0
25,2022,730172928,MD,D1 Big Ten Conference,4866,IND,450898210,2022-05-26 13:00:00,1,3,1,2,IP,S,L,H. Jessee,99.04602,6.161708,-18.000000000000014,1.0
26,2022,730172928,MD,D1 Big Ten Conference,4866,IND,450898210,2022-05-26 13:00:00,6,1,0,0,IP,S,R,T. Doanes,106.75944,4.080112,-3.000000000000031,1.0
27,2022,730172928,MD,D1 Big Ten Conference,4866,IND,450898210,2022-05-26 13:00:00,6,1,0,0,IP,S,R,P. Serruto,84.48449,16.651334,9.827069,1.0
28,2022,730172928,MD,D1 Big Ten Conference,4866,IND,450898210,2022-05-26 13:00:00,6,0,0,0,IP,ROE,L,P. Glasser,71.89149,44.209232,-27.221743,0.0
29,2022,730172928,MD,D1 Big Ten Conference,4866,IND,450898210,2022-05-26 13:00:00,7,1,1,0,IP,S,L,M. Ellis,110.2005,-9.50177,-23.000000000000007,1.0
30,2022,730172928,MD,D1 Big Ten Conference,4866,IND,450898210,2022-05-26 13:00:00,7,1,1,2,IP,S,L,P. Glasser,75.48309,26.164386,17.338927,1.0
31,2022,730172928,MD,D1 Big Ten Conference,4866,IND,450898210,2022-05-26 13:00:00,8,0,0,1,IP,DP,L,C. Mathison,70.6903,-4.083043,-3.000000000000031,0.0
32,2022,730172928,MD,D1 Big Ten Conference,4866,IND,450898210,2022-05-26 13:00:00,10,0,0,0,IP,S,L,P. Glasser,94.58524,-4.536505,-1.9999999999999911,1.0
33,2022,730172928,MD,D1 Big Ten Conference,4866,IND,450898210,2022-05-26 13:00:00,10,0,2,1,IP,FC,L,H. Jessee,84.24234,-18.000611,32.99999999999999,0.0
34,2022,730172928,MD,D1 Big Ten Conference,4866,IND,450898210,2022-05-26 13:00:00,10,0,1,1,IP,DP,R,J. Pyne,93.91669,-14.603877,-31.000000000000018,0.0
