,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2023,730194688,DAY,D1 Atlantic 10 Conference,730283520,BUT,270768751,2023-05-10 13:00:00,1,1,0,1,IP,S,L,X. Carter,95.24843,-16.926632,-13.00000000000002,1.0
1,2023,730194688,DAY,D1 Atlantic 10 Conference,730283520,BUT,270768751,2023-05-10 13:00:00,3,0,1,0,IP,T,L,J. DeFries,99.65827,28.491242,22.188882,3.0
2,2023,730194688,DAY,D1 Atlantic 10 Conference,730283520,BUT,270768751,2023-05-10 13:00:00,4,1,0,2,IP,D,L,G. Gray,93.99161,27.621251,-28.699145,2.0
3,2023,730194688,DAY,D1 Atlantic 10 Conference,730283520,BUT,270768751,2023-05-10 13:00:00,4,2,1,2,IP,S,R,R. OHalloran,48.05269,-44.268093,1.0,1.0
4,2023,730194688,DAY,D1 Atlantic 10 Conference,730283520,BUT,270768751,2023-05-10 13:00:00,5,0,1,0,IP,S,L,J. DeFries,74.12822,30.532047,14.787496,1.0
5,2023,730194688,DAY,D1 Atlantic 10 Conference,730283520,BUT,270768751,2023-05-10 13:00:00,5,0,0,1,IP,S,R,J. Urban,85.20472,14.85757,36.311662,1.0
6,2023,730194688,DAY,D1 Atlantic 10 Conference,730283520,BUT,270768751,2023-05-10 13:00:00,5,3,2,2,IP,D,R,S. Jones,57.75859,-16.596462,-30.00000000000003,2.0
7,2023,730194688,DAY,D1 Atlantic 10 Conference,730283520,BUT,270768751,2023-05-10 13:00:00,7,2,2,0,IP,ROE,L,C. Dorighi,90.52103,-6.497248,9.000000000000002,0.0
8,2023,730194688,DAY,D1 Atlantic 10 Conference,730283520,BUT,270768751,2023-05-10 13:00:00,7,0,0,2,IP,S,R,S. Jones,75.7309,-36.766668,-24.999999999999982,1.0
9,2023,730194688,DAY,D1 Atlantic 10 Conference,730283520,BUT,270768751,2023-05-10 13:00:00,8,1,0,0,IP,S,R,R. OHalloran,77.01844,15.302256,-27.449949,1.0
10,2023,730194688,DAY,D1 Atlantic 10 Conference,730283520,BUT,270768751,2023-05-10 13:00:00,8,2,2,1,IP,DP,L,C. Dorighi,85.81485,7.720946,-4.136344,0.0
11,2023,730194688,DAY,D1 Atlantic 10 Conference,730283520,BUT,270768751,2023-05-10 13:00:00,9,1,0,1,IP,S,L,X. Carter,97.77029,2.056585,12.000000000000002,1.0
12,2023,730327808,EVAN,D1 Missouri Valley Conference,730283520,BUT,263360384,2023-05-03 13:00:00,1,2,1,1,IP,S,L,C. Dorighi,85.45014,-12.079677,22.999999999999996,1.0
13,2023,730327808,EVAN,D1 Missouri Valley Conference,730283520,BUT,263360384,2023-05-03 13:00:00,1,0,1,1,IP,FC,R,S. Jones,92.5176,-32.357975,10.0,0.0
14,2023,730327808,EVAN,D1 Missouri Valley Conference,730283520,BUT,263360384,2023-05-03 13:00:00,4,0,2,1,IP,S,R,S. Jones,95.00582,2.719606,2.0,1.0
15,2023,730327808,EVAN,D1 Missouri Valley Conference,730283520,BUT,263360384,2023-05-03 13:00:00,4,0,0,2,IP,ROE,R,R. OHalloran,90.75261,-9.962931,-18.000000000000014,0.0
16,2023,730353152,PUR,D1 Big Ten Conference,730283520,BUT,373797628,2023-04-19 13:00:00,1,1,2,0,IP,S,L,C. Dorighi,74.65204,17.383902,29.391447,1.0
17,2023,730353152,PUR,D1 Big Ten Conference,730283520,BUT,373797628,2023-04-19 13:00:00,1,1,1,0,IP,HR,R,J. Urban,100.66903,27.499334,-13.871897,4.0
18,2023,730353152,PUR,D1 Big Ten Conference,730283520,BUT,373797628,2023-04-19 13:00:00,1,0,1,1,IP,S,R,K. All,57.35896,-56.805352,0.0,1.0
19,2023,730353152,PUR,D1 Big Ten Conference,730283520,BUT,373797628,2023-04-19 13:00:00,2,2,2,0,IP,S,L,G. Gray,91.28172,12.135176,8.032386,1.0
20,2023,730353152,PUR,D1 Big Ten Conference,730283520,BUT,373797628,2023-04-19 13:00:00,3,1,0,0,IP,T,R,K. All,103.85058,17.514947,-6.969456,3.0
21,2023,730353152,PUR,D1 Big Ten Conference,730283520,BUT,373797628,2023-04-19 13:00:00,5,2,1,1,IP,D,L,X. Carter,97.80184,11.751124,13.567185,2.0
22,2023,730353152,PUR,D1 Big Ten Conference,730283520,BUT,373797628,2023-04-19 13:00:00,5,1,1,2,IP,HR,R,S. Jones,99.28194,22.549913,-32.620546,4.0
23,2023,730353152,PUR,D1 Big Ten Conference,730283520,BUT,373797628,2023-04-19 13:00:00,8,0,0,1,IP,S,R,S. Jones,94.95996,4.355825,-24.0,1.0
24,2023,730353152,PUR,D1 Big Ten Conference,730283520,BUT,373797628,2023-04-19 13:00:00,8,0,1,1,IP,S,L,C. Vota,96.17107,-5.159185,17.0,1.0
25,2023,730353152,PUR,D1 Big Ten Conference,730283520,BUT,373797628,2023-04-19 13:00:00,8,1,1,2,IP,S,L,J. DeFries,94.58966,2.93781,-24.999999999999982,1.0
26,2023,730353152,PUR,D1 Big Ten Conference,730283520,BUT,373797628,2023-04-19 13:00:00,9,1,1,0,IP,S,L,D. Milano,92.84088,7.773397,-24.917383,1.0
27,2023,2290,MICH,D1 Big Ten Conference,730283520,BUT,151815082,2023-04-11 13:00:00,3,2,0,0,IP,S,R,J. Urban,94.28772,-16.506702,-19.999999999999993,1.0
28,2023,2290,MICH,D1 Big Ten Conference,730283520,BUT,151815082,2023-04-11 13:00:00,3,0,0,0,IP,FC,L,C. Dorighi,80.31992,-18.817114,-8.000000000000025,0.0
29,2023,2290,MICH,D1 Big Ten Conference,730283520,BUT,151815082,2023-04-11 13:00:00,3,0,0,1,IP,S,R,S. Jones,97.50796,-0.183013,19.999999999999996,1.0
30,2023,2290,MICH,D1 Big Ten Conference,730283520,BUT,151815082,2023-04-11 13:00:00,4,0,0,0,IP,S,R,K. Van Liere,51.67684,24.74732,39.90916,1.0
