,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2026,3031,UCI,D1 Big West Conference,5487,CP,171799661,2026-05-03 13:05:00,2,2,1,1,IP,S,R,C. Murray Jr.,71.06625,25.317492,24.485864,1.0
1,2026,3031,UCI,D1 Big West Conference,5487,CP,171799661,2026-05-03 13:05:00,2,1,1,2,IP,HR,L,D. Vachini,102.8174,33.781152,27.639053,4.0
2,2026,3031,UCI,D1 Big West Conference,5487,CP,171799661,2026-05-03 13:05:00,3,2,1,2,IP,HR,L,D. Kordic,104.69636,26.864981,-13.530078,4.0
3,2026,3031,UCI,D1 Big West Conference,5487,CP,171799661,2026-05-03 13:05:00,3,2,0,2,IP,D,R,R. Tayman,108.08094,15.345047,-38.835679,2.0
4,2026,3031,UCI,D1 Big West Conference,5487,CP,171799661,2026-05-03 13:05:00,4,1,0,1,IP,S,L,C. Hoiland,101.94701,3.108116,-24.0,1.0
5,2026,3031,UCI,D1 Big West Conference,5487,CP,171799661,2026-05-03 13:05:00,5,0,0,0,IP,S,R,G. Spiridonoff,101.31408,3.215477,-8.000000000000025,1.0
6,2026,3031,UCI,D1 Big West Conference,5487,CP,171799661,2026-05-03 13:05:00,5,0,2,1,IP,DP,R,A. Garza,96.21656,-13.603626,14.0,0.0
7,2026,3031,UCI,D1 Big West Conference,5487,CP,171799661,2026-05-03 13:05:00,6,1,0,1,IP,D,R,C. Murray Jr.,100.35251,22.591204,19.131954,2.0
8,2026,3031,UCI,D1 Big West Conference,5487,CP,171799661,2026-05-03 13:05:00,7,1,0,2,IP,HR,R,N. Castellon,103.94478,23.680074,-42.087128,4.0
9,2026,3031,UCI,D1 Big West Conference,5487,CP,171799661,2026-05-03 13:05:00,9,0,1,1,IP,ROE,L,C. Hoiland,86.70547,2.356225,13.0,0.0
10,2026,3031,UCI,D1 Big West Conference,5487,CP,171799661,2026-05-03 13:05:00,9,2,0,1,IP,S,L,D. Vachini,89.36195,13.128048,28.051101,1.0
11,2026,3031,UCI,D1 Big West Conference,5487,CP,171799661,2026-05-03 13:05:00,9,3,2,1,IP,ROE,R,G. Spiridonoff,77.23511,3.67961,2.0,0.0
12,2026,3031,UCI,D1 Big West Conference,5487,CP,171799661,2026-05-03 13:05:00,9,0,2,1,IP,ROE,R,N. Castellon,89.47705,-3.797314,-37.0,0.0
13,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,1,1,0,1,IP,D,R,A. Garza,103.73772,11.404766,-41.615929,2.0
14,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,2,2,1,2,IP,S,R,N. Castellon,75.46059,26.446266,15.055063,1.0
15,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,3,0,0,1,IP,S,R,R. Tayman,104.33298,11.686238,-9.779904,1.0
16,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,3,3,2,1,IP,S,R,C. Murray Jr.,74.39478,-17.501408,-28.99999999999999,1.0
17,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,3,1,0,1,IP,HR,L,D. Kordic,106.39629,28.766232,15.816872,4.0
18,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,4,0,1,1,IP,S,R,N. Castellon,32.1627,-36.427058,2.0,1.0
19,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,5,1,1,0,IP,S,R,R. Tayman,95.66364,1.054917,-10.000000000000002,1.0
20,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,5,1,2,0,IP,S,R,C. Murray Jr.,98.59507,-9.49032,28.0,1.0
21,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,7,1,1,0,IP,D,L,D. Kordic,83.02437,3.908513,-41.99999999999999,2.0
22,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,7,2,0,0,IP,S,L,B. Thomas,95.14629,7.886156,32.395908,1.0
23,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,7,0,0,0,IP,ROE,L,J. Downing,97.62875,34.469717,-4.936231,0.0
24,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,7,0,1,1,IP,FC,R,N. Castellon,35.55405,-71.833155,-4.0000000000000195,0.0
25,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,7,0,1,2,IP,S,R,A. Garza,57.27412,-11.58937,24.000000000000004,1.0
26,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,8,3,2,0,IP,S,R,C. Murray Jr.,89.89667,-1.596991,-26.000000000000025,1.0
27,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,8,1,2,2,IP,D,L,J. Downing,101.19174,16.743054,-13.266739,2.0
28,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,8,1,2,2,IP,D,R,G. Spiridonoff,101.44341,14.444771,-38.839382,2.0
29,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,8,1,2,2,IP,S,R,N. Castellon,85.11218,-15.671372,-21.00000000000003,1.0
30,2026,3031,UCI,D1 Big West Conference,5487,CP,455335683,2026-05-02 13:05:00,8,1,0,2,IP,FC,R,A. Garza,101.34957,4.179066,4.000000000000001,0.0
31,2026,3031,UCI,D1 Big West Conference,5487,CP,144667438,2026-05-01 18:05:00,2,0,2,0,IP,S,R,R. Tayman,98.2815,10.521771,17.916183,1.0
32,2026,3031,UCI,D1 Big West Conference,5487,CP,144667438,2026-05-01 18:05:00,2,0,0,0,IP,S,R,C. Murray Jr.,89.00142,1.541654,-23.000000000000007,1.0
33,2026,3031,UCI,D1 Big West Conference,5487,CP,144667438,2026-05-01 18:05:00,2,1,1,1,IP,D,L,D. Kordic,107.37613,12.49488,10.150477,2.0
34,2026,3031,UCI,D1 Big West Conference,5487,CP,144667438,2026-05-01 18:05:00,4,0,0,0,IP,HR,R,R. Tayman,105.31155,32.539321,-14.994364,4.0
35,2026,3031,UCI,D1 Big West Conference,5487,CP,144667438,2026-05-01 18:05:00,5,2,2,0,IP,S,L,C. Hoiland,92.70287,-2.813413,2.0,1.0
36,2026,3031,UCI,D1 Big West Conference,5487,CP,144667438,2026-05-01 18:05:00,5,1,1,1,IP,S,R,N. Castellon,94.01634,-15.240957,3.0000000000000004,1.0
37,2026,3031,UCI,D1 Big West Conference,5487,CP,144667438,2026-05-01 18:05:00,5,0,1,1,IP,FC,R,A. Garza,70.20559,-44.393368,-19.99999999999999,0.0
38,2026,3031,UCI,D1 Big West Conference,5487,CP,144667438,2026-05-01 18:05:00,8,1,1,0,IP,S,R,N. Castellon,80.91662,15.134402,-23.915738,1.0
39,2026,730297600,SCU,D1 West Coast Conference,5487,CP,304076791,2026-04-28 16:05:00,3,1,2,1,IP,S,L,D. Vachini,59.87792,-18.458112,14.999999999999996,1.0
40,2026,730297600,SCU,D1 West Coast Conference,5487,CP,304076791,2026-04-28 16:05:00,3,1,0,2,IP,S,R,N. Castellon,37.53628,-60.375087,24.000000000000004,1.0
41,2026,730297600,SCU,D1 West Coast Conference,5487,CP,304076791,2026-04-28 16:05:00,4,0,1,1,IP,D,R,R. Tayman,100.39907,16.814303,-17.540404,2.0
42,2026,730297600,SCU,D1 West Coast Conference,5487,CP,304076791,2026-04-28 16:05:00,4,1,1,1,IP,FC,R,C. Murray Jr.,41.81297,-39.800017,3.0000000000000004,0.0
43,2026,730297600,SCU,D1 West Coast Conference,5487,CP,304076791,2026-04-28 16:05:00,4,1,2,2,IP,S,L,D. Kordic,104.8112,8.000456,9.30569,1.0
44,2026,730297600,SCU,D1 West Coast Conference,5487,CP,304076791,2026-04-28 16:05:00,5,2,2,0,IP,D,L,D. Vachini,74.94009,40.045298,22.856087,2.0
45,2026,730297600,SCU,D1 West Coast Conference,5487,CP,304076791,2026-04-28 16:05:00,5,0,0,1,IP,S,R,N. Castellon,93.3987,6.74347,-9.000000000000014,1.0
46,2026,730297600,SCU,D1 West Coast Conference,5487,CP,304076791,2026-04-28 16:05:00,5,1,2,1,IP,D,R,A. Garza,91.33055,26.089759,-27.755855,2.0
47,2026,730297600,SCU,D1 West Coast Conference,5487,CP,304076791,2026-04-28 16:05:00,5,1,0,1,IP,D,L,J. Downing,104.30068,21.364484,1.299575,2.0
48,2026,730297600,SCU,D1 West Coast Conference,5487,CP,304076791,2026-04-28 16:05:00,5,0,1,1,IP,D,R,R. Tayman,107.16606,3.841111,-39.00000000000003,2.0
49,2026,730297600,SCU,D1 West Coast Conference,5487,CP,304076791,2026-04-28 16:05:00,5,0,1,2,IP,S,L,D. Kordic,99.01644,-1.495924,-21.000000000000036,1.0
50,2026,730297600,SCU,D1 West Coast Conference,5487,CP,304076791,2026-04-28 16:05:00,6,1,0,2,IP,HR,R,N. Castellon,98.86555,27.002089,-34.187273,4.0
51,2026,730297600,SCU,D1 West Coast Conference,5487,CP,304076791,2026-04-28 16:05:00,6,1,2,2,IP,S,R,A. Garza,72.8992,-44.725745,6.000000000000001,1.0
52,2026,730380032,CSN,D1 Big West Conference,5487,CP,493147175,2026-04-26 13:06:00,1,1,2,0,IP,S,R,N. Castellon,91.3722,19.973999,-17.600025,1.0
53,2026,730380032,CSN,D1 Big West Conference,5487,CP,493147175,2026-04-26 13:06:00,1,1,0,0,IP,S,R,A. Garza,100.72826,11.704228,1.793278,1.0
54,2026,730380032,CSN,D1 Big West Conference,5487,CP,493147175,2026-04-26 13:06:00,1,0,2,0,IP,DP,L,J. Downing,98.4884,0.523207,-3.000000000000031,0.0
55,2026,730380032,CSN,D1 Big West Conference,5487,CP,493147175,2026-04-26 13:06:00,3,2,0,2,IP,ROE,L,J. Downing,87.56007,-12.473156,24.000000000000004,0.0
56,2026,730380032,CSN,D1 Big West Conference,5487,CP,493147175,2026-04-26 13:06:00,4,0,2,2,IP,D,L,C. Hoiland,105.83939,17.790265,19.747604,2.0
57,2026,730380032,CSN,D1 Big West Conference,5487,CP,493147175,2026-04-26 13:06:00,4,2,1,2,IP,S,L,D. Vachini,86.90456,10.495634,-19.772561,1.0
