,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2023,730214400,CHAR,D1 Conference USA,730198016,DBU,121929897,2023-05-28 13:00:00,1,1,0,0,IP,HR,L,J. Grady,106.90387,20.326289,37.963362,4.0
1,2023,730214400,CHAR,D1 Conference USA,730198016,DBU,121929897,2023-05-28 13:00:00,1,1,2,2,IP,D,R,E. Mann,103.50563,21.286134,18.265924,2.0
2,2023,730214400,CHAR,D1 Conference USA,730198016,DBU,121929897,2023-05-28 13:00:00,3,1,2,1,IP,S,L,N. Humphreys,72.61012,42.167997,1.347223,1.0
3,2023,730214400,CHAR,D1 Conference USA,730198016,DBU,121929897,2023-05-28 13:00:00,3,3,2,1,IP,FC,R,E. Mann,83.02151,-38.215748,-5.000000000000007,0.0
4,2023,730214400,CHAR,D1 Conference USA,730198016,DBU,121929897,2023-05-28 13:00:00,6,0,0,1,IP,S,R,E. Mann,84.71783,18.924693,-1.064566,1.0
5,2023,730214400,CHAR,D1 Conference USA,730198016,DBU,121929897,2023-05-28 13:00:00,7,1,2,1,IP,S,L,L. Heefner,93.84292,0.118275,9.000000000000002,1.0
6,2023,730214400,CHAR,D1 Conference USA,730198016,DBU,121929897,2023-05-28 13:00:00,7,2,2,1,IP,S,R,J. Grady,90.05614,10.957952,-37.911337,1.0
7,2023,730214400,CHAR,D1 Conference USA,730198016,DBU,121929897,2023-05-28 13:00:00,7,2,2,1,IP,DP,R,K. Kolden,85.71316,44.098111,9.436786,0.0
8,2023,730214400,CHAR,D1 Conference USA,730198016,DBU,121929897,2023-05-28 13:00:00,8,2,2,0,IP,S,L,N. Humphreys,99.42519,13.01375,-18.980635,1.0
9,2023,730212096,WKU,D1 Conference USA,730198016,DBU,202140244,2023-05-27 13:00:00,1,0,2,2,IP,FC,R,E. Mann,93.8987,3.564223,-17.00000000000003,0.0
10,2023,730212096,WKU,D1 Conference USA,730198016,DBU,202140244,2023-05-27 13:00:00,2,0,0,0,IP,HR,R,M. Santos,104.72926,26.683365,-24.474746,4.0
11,2023,730212096,WKU,D1 Conference USA,730198016,DBU,202140244,2023-05-27 13:00:00,3,0,1,2,IP,S,L,N. Humphreys,99.74812,10.507958,26.774867,1.0
12,2023,730212096,WKU,D1 Conference USA,730198016,DBU,202140244,2023-05-27 13:00:00,4,1,0,0,IP,HR,R,G. Jay,106.81599,28.784103,23.497535,4.0
13,2023,730212096,WKU,D1 Conference USA,730198016,DBU,202140244,2023-05-27 13:00:00,4,3,1,1,IP,D,R,A. Pendergast,108.90962,7.348611,-13.00000000000002,2.0
14,2023,730212096,WKU,D1 Conference USA,730198016,DBU,202140244,2023-05-27 13:00:00,6,2,1,1,IP,D,R,M. Santos,103.372,22.187015,14.647664,2.0
15,2023,730212096,WKU,D1 Conference USA,730198016,DBU,202140244,2023-05-27 13:00:00,8,1,0,0,IP,HR,R,E. Mann,102.01446,24.655251,1.9999999999999996,4.0
16,2023,730212096,WKU,D1 Conference USA,730198016,DBU,202140244,2023-05-27 13:00:00,8,1,2,2,IP,S,L,T. Poole,100.27398,-2.921799,2.0,1.0
17,2023,730212096,WKU,D1 Conference USA,730198016,DBU,110082717,2023-05-25 13:00:00,1,0,1,0,IP,HR,R,J. Grady,99.29455,30.210689,10.999999999999998,4.0
18,2023,730212096,WKU,D1 Conference USA,730198016,DBU,110082717,2023-05-25 13:00:00,1,1,0,0,IP,S,R,K. Kolden,101.28338,8.964452,-6.989826,1.0
19,2023,730212096,WKU,D1 Conference USA,730198016,DBU,110082717,2023-05-25 13:00:00,1,0,1,0,IP,D,R,E. Mann,78.2484,5.584216,-40.00000000000002,2.0
20,2023,730212096,WKU,D1 Conference USA,730198016,DBU,110082717,2023-05-25 13:00:00,1,0,0,1,IP,S,R,M. Santos,77.48148,26.728525,-3.99154,1.0
21,2023,730212096,WKU,D1 Conference USA,730198016,DBU,110082717,2023-05-25 13:00:00,3,0,0,1,IP,S,R,G. Jay,97.66704,10.526694,2.912964,1.0
22,2023,730212096,WKU,D1 Conference USA,730198016,DBU,110082717,2023-05-25 13:00:00,3,0,0,1,IP,D,R,M. Santos,90.63547,20.141366,40.172293,2.0
23,2023,730212096,WKU,D1 Conference USA,730198016,DBU,110082717,2023-05-25 13:00:00,4,2,1,0,IP,S,L,J. Grady,105.37415,-2.019596,-5.999999999999997,1.0
24,2023,730212096,WKU,D1 Conference USA,730198016,DBU,110082717,2023-05-25 13:00:00,4,1,0,0,IP,DP,L,N. Humphreys,103.84212,-12.136459,-8.000000000000025,0.0
25,2023,730212096,WKU,D1 Conference USA,730198016,DBU,110082717,2023-05-25 13:00:00,5,0,0,0,IP,D,R,M. Santos,98.10228,36.682868,-12.03283,2.0
26,2023,730212096,WKU,D1 Conference USA,730198016,DBU,110082717,2023-05-25 13:00:00,6,0,0,1,IP,D,R,K. Kolden,99.69518,21.08951,8.936525,2.0
27,2023,730212096,WKU,D1 Conference USA,730198016,DBU,110082717,2023-05-25 13:00:00,6,2,0,1,IP,HR,L,N. Humphreys,103.48689,23.791422,10.325223,4.0
28,2023,730212096,WKU,D1 Conference USA,730198016,DBU,110082717,2023-05-25 13:00:00,8,0,2,0,IP,ROE,R,K. Kolden,82.1407,-45.606681,-18.000000000000014,0.0
29,2023,730212096,WKU,D1 Conference USA,730198016,DBU,110082717,2023-05-25 13:00:00,8,2,1,0,IP,D,L,N. Humphreys,93.47984,6.826568,41.0,2.0
