,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2022,730318336,TOWS,D1 Coastal Athletic Association,730177792,COFC,311314670,2022-05-21 13:00:00,4,2,0,0,IP,S,R,L. Wood,76.79551,1.009298,0.0,1.0
1,2022,730318336,TOWS,D1 Coastal Athletic Association,730177792,COFC,311314670,2022-05-21 13:00:00,6,0,1,1,IP,T,L,J. Mershon,95.42136,22.4246,16.638548,3.0
2,2022,730318336,TOWS,D1 Coastal Athletic Association,730177792,COFC,311314670,2022-05-21 13:00:00,6,1,0,2,IP,D,R,J. Kirven,75.68731,29.329061,-42.883002,2.0
3,2022,730318336,TOWS,D1 Coastal Athletic Association,730177792,COFC,311314670,2022-05-21 13:00:00,8,1,2,0,IP,S,R,L. Wood,97.20551,8.487113,-0.80696,1.0
4,2022,730318336,TOWS,D1 Coastal Athletic Association,730177792,COFC,413250386,2022-05-20 13:00:00,4,0,0,1,IP,DP,R,L. Choboy,99.50262,-0.834709,-8.000000000000025,0.0
5,2022,730318336,TOWS,D1 Coastal Athletic Association,730177792,COFC,413250386,2022-05-20 13:00:00,6,1,1,0,IP,S,L,T. Sorrentino,67.94918,-21.384819,-12.000000000000032,1.0
6,2022,730318336,TOWS,D1 Coastal Athletic Association,730177792,COFC,413250386,2022-05-20 13:00:00,6,1,1,1,IP,S,R,T. Harlan,77.63424,23.165382,-26.296572,1.0
7,2022,730318336,TOWS,D1 Coastal Athletic Association,730177792,COFC,413250386,2022-05-20 13:00:00,6,0,2,1,IP,DP,L,J. Marr,78.02823,-9.255869,8.0,0.0
8,2022,730318336,TOWS,D1 Coastal Athletic Association,730177792,COFC,413250386,2022-05-20 13:00:00,8,3,2,2,IP,HR,R,T. Harlan,97.09422,25.302182,-36.86657,4.0
9,2022,730318336,TOWS,D1 Coastal Athletic Association,730177792,COFC,413250386,2022-05-20 13:00:00,9,0,0,2,IP,S,R,L. Wood,84.55046,9.36155,27.749981,1.0
