,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2026,730284544,YSU,D1 Horizon League,730230272,NKU,290596880,2026-05-03 13:04:00,2,0,1,0,IP,D,R,M. Harrison,102.30029,18.451957,13.78873,2.0
1,2026,730284544,YSU,D1 Horizon League,730230272,NKU,290596880,2026-05-03 13:04:00,4,2,1,2,IP,S,R,E. Thomas,107.91268,11.610845,-11.189642,1.0
2,2026,730284544,YSU,D1 Horizon League,730230272,NKU,290596880,2026-05-03 13:04:00,5,2,2,1,IP,HR,R,A. Brazer,106.58868,25.763332,-22.3917,4.0
3,2026,730284544,YSU,D1 Horizon League,730230272,NKU,290596880,2026-05-03 13:04:00,5,0,2,2,IP,S,R,J. Paulick,85.64608,-16.261465,-21.00000000000003,1.0
4,2026,730284544,YSU,D1 Horizon League,730230272,NKU,290596880,2026-05-03 13:04:00,6,3,1,0,IP,S,R,M. Harrison,105.8095,-1.661066,-3.000000000000031,1.0
5,2026,730284544,YSU,D1 Horizon League,730230272,NKU,290596880,2026-05-03 13:04:00,7,0,1,0,IP,T,R,L. Springmeyer,105.96336,19.644762,-4.057938,3.0
6,2026,730284544,YSU,D1 Horizon League,730230272,NKU,290596880,2026-05-03 13:04:00,7,1,2,0,IP,S,L,Z. Pomatto,110.75724,8.585405,18.693819,1.0
7,2026,730284544,YSU,D1 Horizon League,730230272,NKU,290596880,2026-05-03 13:04:00,7,0,1,2,IP,D,R,J. Paulick,90.06609,29.740471,36.463163,2.0
8,2026,730284544,YSU,D1 Horizon League,730230272,NKU,290596880,2026-05-03 13:04:00,7,0,2,2,IP,S,L,J. Williams,87.37188,15.623193,-8.252184,1.0
9,2026,730284544,YSU,D1 Horizon League,730230272,NKU,290596880,2026-05-03 13:04:00,8,2,2,1,IP,S,R,E. Thomas,100.70652,1.629298,-29.955324,1.0
10,2026,730284544,YSU,D1 Horizon League,730230272,NKU,290596880,2026-05-03 13:04:00,9,0,2,2,IP,S,R,P. Bauerle,82.5614,-40.64949,-24.0,1.0
11,2026,730284544,YSU,D1 Horizon League,730230272,NKU,290596880,2026-05-03 13:04:00,9,0,1,2,IP,HR,R,J. Paulick,106.76709,30.79519,11.598388,4.0
12,2026,730284544,YSU,D1 Horizon League,730230272,NKU,298230163,2026-05-02 15:00:00,1,0,0,2,IP,D,R,E. Thomas,97.65984,-13.76636,-44.00000000000002,2.0
13,2026,730284544,YSU,D1 Horizon League,730230272,NKU,298230163,2026-05-02 15:00:00,2,0,1,1,IP,ROE,R,L. Springmeyer,91.65332,73.056273,-24.0,0.0
14,2026,730284544,YSU,D1 Horizon League,730230272,NKU,298230163,2026-05-02 15:00:00,2,0,1,2,IP,ROE,R,A. Brazer,76.54976,-14.943828,-33.999999999999986,0.0
