,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,457308913,2025-06-17 13:00:00,1,0,1,0,IP,S,R,T. Caraway,106.24807,8.99782,25.193078,1.0
1,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,457308913,2025-06-17 13:00:00,3,2,2,2,IP,S,R,G. Turley,106.35503,12.421123,16.544427,1.0
2,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,457308913,2025-06-17 13:00:00,4,2,1,0,IP,HR,R,J. Krieg,107.34036,34.91092,-39.271163,4.0
3,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,457308913,2025-06-17 13:00:00,6,0,0,0,IP,S,R,T. Peterson,39.74421,-54.963694,4.718485,1.0
4,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,457308913,2025-06-17 13:00:00,6,3,1,1,IP,FC,R,C. Reeder,88.5235,-4.7598,-15.999999999999988,0.0
5,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,457308913,2025-06-17 13:00:00,7,2,0,0,IP,S,R,A. Arquette,107.54704,7.497676,-3.000000000000031,1.0
6,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,457308913,2025-06-17 13:00:00,7,0,1,1,IP,S,R,W. Weber,108.41485,4.560432,-23.999999999999996,1.0
7,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,457308913,2025-06-17 13:00:00,9,0,0,0,IP,HR,R,A. Arquette,111.84276,19.836664,-20.114175,4.0
8,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,457308913,2025-06-17 13:00:00,9,1,2,0,IP,S,R,G. Turley,65.86641,27.123455,35.620362,1.0
9,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,457308913,2025-06-17 13:00:00,9,2,2,0,IP,S,R,A. Singer,90.09753,17.610976,35.82659,1.0
10,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,457308913,2025-06-17 13:00:00,9,2,1,0,IP,FC,R,T. Peterson,66.35153,-13.619337,-10.000000000000004,0.0
11,2025,4104,CCAR,D1 Sun Belt Conference,3111,ORST,444769516,2025-06-15 13:00:00,1,3,2,2,IP,S,R,G. Turley,109.27368,14.526163,-21.775073,1.0
12,2025,4104,CCAR,D1 Sun Belt Conference,3111,ORST,444769516,2025-06-15 13:00:00,2,1,2,1,IP,S,R,T. Peterson,104.19674,16.394342,-37.117181,1.0
13,2025,4104,CCAR,D1 Sun Belt Conference,3111,ORST,444769516,2025-06-15 13:00:00,3,2,1,0,IP,HR,L,E. Talt,108.26705,24.071439,24.788239,4.0
14,2025,4104,CCAR,D1 Sun Belt Conference,3111,ORST,444769516,2025-06-15 13:00:00,8,0,0,1,IP,S,R,C. Reeder,71.28444,25.567288,2.630143,1.0
15,2025,4104,CCAR,D1 Sun Belt Conference,3111,ORST,444769516,2025-06-15 13:00:00,8,0,0,2,IP,S,R,T. Caraway,103.13806,10.061612,-1.525384,1.0
16,2025,4104,CCAR,D1 Sun Belt Conference,3111,ORST,444769516,2025-06-15 13:00:00,9,0,1,0,IP,HR,R,G. Turley,110.06623,36.826853,-24.345851,4.0
17,2025,4104,CCAR,D1 Sun Belt Conference,3111,ORST,444769516,2025-06-15 13:00:00,9,0,2,1,IP,S,R,A. Singer,95.50229,16.419297,15.430281,1.0
18,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,109852859,2025-06-13 13:00:00,3,0,2,0,IP,DP,R,C. Reeder,72.49415,-3.784805,9.999999999999998,0.0
19,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,109852859,2025-06-13 13:00:00,4,0,0,0,IP,S,R,T. Caraway,101.06112,5.481147,-28.0,1.0
20,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,109852859,2025-06-13 13:00:00,4,2,1,0,IP,S,R,A. Arquette,48.46267,-72.120901,-13.00000000000002,1.0
21,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,109852859,2025-06-13 13:00:00,4,0,0,1,IP,S,R,W. Weber,107.70248,-4.511299,-10.999999999999991,1.0
22,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,109852859,2025-06-13 13:00:00,4,1,1,2,IP,S,R,T. Peterson,103.10397,7.467425,27.0,1.0
23,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,109852859,2025-06-13 13:00:00,5,0,0,2,IP,S,R,A. Arquette,96.9574,-8.506174,12.000000000000002,1.0
24,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,109852859,2025-06-13 13:00:00,6,1,1,1,IP,S,R,A. Singer,105.10164,13.605731,-28.735275,1.0
25,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,109852859,2025-06-13 13:00:00,6,3,2,1,IP,S,R,T. Peterson,107.90748,-2.817849,10.0,1.0
26,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,109852859,2025-06-13 13:00:00,6,1,2,1,IP,FC,R,C. Reeder,90.90612,0.798331,-10.999999999999991,0.0
27,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,109852859,2025-06-13 13:00:00,7,2,0,1,IP,S,R,G. Turley,107.37426,-12.402146,13.000000000000002,1.0
28,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,109852859,2025-06-13 13:00:00,7,1,2,2,IP,S,R,A. Singer,81.93436,13.812773,28.733802,1.0
29,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,109852859,2025-06-13 13:00:00,9,1,2,1,IP,S,R,A. Arquette,103.52942,11.232563,-7.891829,1.0
30,2025,5467,LOU,D1 Atlantic Coast Conference,3111,ORST,109852859,2025-06-13 13:00:00,9,0,0,1,IP,D,R,G. Turley,114.11251,13.433071,-38.554582,2.0
31,2025,101,FSU,D1 Atlantic Coast Conference,3111,ORST,475250337,2025-06-08 13:00:00,1,2,2,0,IP,S,R,T. Caraway,90.74623,17.730659,-22.4377,1.0
32,2025,101,FSU,D1 Atlantic Coast Conference,3111,ORST,475250337,2025-06-08 13:00:00,1,1,1,1,IP,FC,R,A. Singer,97.92416,-9.186656,-9.000000000000014,0.0
33,2025,101,FSU,D1 Atlantic Coast Conference,3111,ORST,475250337,2025-06-08 13:00:00,1,0,0,2,IP,S,R,T. Peterson,105.52042,-5.852693,25.999999999999996,1.0
34,2025,101,FSU,D1 Atlantic Coast Conference,3111,ORST,475250337,2025-06-08 13:00:00,1,1,2,2,IP,S,R,J. Krieg,108.94413,6.653966,-32.99999999999999,1.0
