,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2025,730353152,PUR,D1 Big Ten Conference,730195456,BALL,403671680,2025-05-06 18:02:00,1,3,1,0,IP,S,L,A. Richter,77.48834,18.350894,5.016444,1.0
1,2025,730353152,PUR,D1 Big Ten Conference,730195456,BALL,403671680,2025-05-06 18:02:00,1,2,2,0,IP,S,L,D. Grego,81.08996,16.367965,-17.738951,1.0
2,2025,730353152,PUR,D1 Big Ten Conference,730195456,BALL,403671680,2025-05-06 18:02:00,1,0,0,2,IP,S,R,B. Bevis,97.35825,-10.976386,-6.999999999999986,1.0
3,2025,730353152,PUR,D1 Big Ten Conference,730195456,BALL,403671680,2025-05-06 18:02:00,4,2,0,1,IP,S,L,K. Griffin,70.31625,19.686223,30.136467,1.0
4,2025,730353152,PUR,D1 Big Ten Conference,730195456,BALL,403671680,2025-05-06 18:02:00,4,3,1,1,IP,HR,L,M. Kalk,94.17465,24.514705,28.889399,4.0
5,2025,730353152,PUR,D1 Big Ten Conference,730195456,BALL,403671680,2025-05-06 18:02:00,6,0,1,0,IP,S,L,T. Davis,95.1895,18.349187,28.33259,1.0
6,2025,730353152,PUR,D1 Big Ten Conference,730195456,BALL,403671680,2025-05-06 18:02:00,6,2,2,1,IP,DP,L,K. Griffin,82.09077,1.568372,40.0,0.0
7,2025,730353152,PUR,D1 Big Ten Conference,730195456,BALL,403671680,2025-05-06 18:02:00,7,0,0,1,IP,S,R,B. Huebner,95.94459,13.421975,-1.680298,1.0
8,2025,730353152,PUR,D1 Big Ten Conference,730195456,BALL,403671680,2025-05-06 18:02:00,7,0,0,1,IP,DP,R,G. Balius,84.45366,2.028915,9.0,0.0
9,2025,5342,CMU,D1 Mid-American Conference,730195456,BALL,339329698,2025-04-27 13:00:00,1,0,0,1,IP,S,L,D. Grego,87.13341,16.388292,33.136967,1.0
10,2025,5342,CMU,D1 Mid-American Conference,730195456,BALL,339329698,2025-04-27 13:00:00,1,0,0,1,IP,DP,R,N. Husovsky,98.42415,2.160635,-14.000000000000009,0.0
11,2025,5342,CMU,D1 Mid-American Conference,730195456,BALL,339329698,2025-04-27 13:00:00,3,0,0,0,IP,S,R,B. Giovannetti,104.47901,16.535971,22.083151,1.0
12,2025,5342,CMU,D1 Mid-American Conference,730195456,BALL,339329698,2025-04-27 13:00:00,3,2,1,1,IP,ROE,R,G. Balius,95.85639,5.950253,-10.000000000000004,0.0
13,2025,5342,CMU,D1 Mid-American Conference,730195456,BALL,339329698,2025-04-27 13:00:00,4,1,0,0,IP,S,R,N. Husovsky,104.85156,9.496313,-27.022458,1.0
14,2025,5342,CMU,D1 Mid-American Conference,730195456,BALL,339329698,2025-04-27 13:00:00,6,1,2,0,IP,S,L,D. Grego,104.15134,11.857973,20.040348,1.0
15,2025,5342,CMU,D1 Mid-American Conference,730195456,BALL,339329698,2025-04-27 13:00:00,9,0,2,2,IP,S,L,T. Davis,75.25408,17.288593,7.424801,1.0
