,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2025,5382,MOSU,D1 Missouri Valley Conference,730190336,BEL,143911864,2025-05-23 15:27:00,1,2,2,2,IP,D,R,L. Godsey,95.18727,32.390069,16.724628,2.0
1,2025,5382,MOSU,D1 Missouri Valley Conference,730190336,BEL,143911864,2025-05-23 15:27:00,2,0,1,2,IP,S,L,J. Maddox,100.52768,6.127575,12.0,1.0
2,2025,5382,MOSU,D1 Missouri Valley Conference,730190336,BEL,143911864,2025-05-23 15:27:00,3,0,0,0,IP,S,R,P. Daniel,99.22066,8.948902,-27.720532,1.0
3,2025,5382,MOSU,D1 Missouri Valley Conference,730190336,BEL,143911864,2025-05-23 15:27:00,3,0,2,0,IP,FC,L,C. Davis,75.46405,-2.31215,6.000000000000001,0.0
4,2025,5382,MOSU,D1 Missouri Valley Conference,730190336,BEL,143911864,2025-05-23 15:27:00,3,0,2,1,IP,S,R,T. Allen,102.11478,5.058516,-28.0,1.0
5,2025,5382,MOSU,D1 Missouri Valley Conference,730190336,BEL,143911864,2025-05-23 15:27:00,3,1,2,1,IP,D,R,L. Godsey,87.95201,24.618667,-39.769124,2.0
6,2025,5382,MOSU,D1 Missouri Valley Conference,730190336,BEL,143911864,2025-05-23 15:27:00,3,2,1,1,IP,D,R,B. Barton,100.58022,17.275393,6.723382,2.0
7,2025,5382,MOSU,D1 Missouri Valley Conference,730190336,BEL,143911864,2025-05-23 15:27:00,4,2,1,0,IP,S,R,T. Allen,96.03091,10.826066,1.673822,1.0
8,2025,5382,MOSU,D1 Missouri Valley Conference,730190336,BEL,143911864,2025-05-23 15:27:00,4,0,0,0,IP,D,R,L. Godsey,84.91713,21.497235,-41.97133,2.0
9,2025,5382,MOSU,D1 Missouri Valley Conference,730190336,BEL,143911864,2025-05-23 15:27:00,4,2,2,0,IP,S,L,M. Sprockett,85.72633,6.185026,34.00000000000001,1.0
10,2025,5382,MOSU,D1 Missouri Valley Conference,730190336,BEL,143911864,2025-05-23 15:27:00,5,0,0,1,IP,S,L,C. Davis,92.7001,-12.128516,29.999999999999993,1.0
11,2025,5382,MOSU,D1 Missouri Valley Conference,730190336,BEL,143911864,2025-05-23 15:27:00,6,1,1,1,IP,HR,L,M. Lareau,100.99289,38.911306,-19.703271,4.0
12,2025,5382,MOSU,D1 Missouri Valley Conference,730190336,BEL,143911864,2025-05-23 15:27:00,6,0,0,2,IP,FC,R,P. Daniel,90.51245,-19.1611,3.0000000000000004,0.0
13,2025,5382,MOSU,D1 Missouri Valley Conference,730190336,BEL,143911864,2025-05-23 15:27:00,7,2,1,1,IP,HR,R,T. Allen,101.0071,30.757485,-13.027942,4.0
14,2025,5382,MOSU,D1 Missouri Valley Conference,730190336,BEL,143911864,2025-05-23 15:27:00,7,1,0,1,IP,S,R,L. Godsey,81.19069,-4.968348,-24.999999999999982,1.0
15,2025,730258944,ILST,D1 Missouri Valley Conference,730190336,BEL,296491549,2025-05-22 15:05:00,1,1,1,0,IP,S,R,P. Daniel,98.71965,-14.471737,-26.000000000000025,1.0
16,2025,730258944,ILST,D1 Missouri Valley Conference,730190336,BEL,296491549,2025-05-22 15:05:00,1,0,0,1,IP,HR,R,T. Allen,95.48924,29.520579,-19.526662,4.0
17,2025,730258944,ILST,D1 Missouri Valley Conference,730190336,BEL,296491549,2025-05-22 15:05:00,2,0,0,1,IP,ROE,L,M. Lareau,100.58609,-5.340966,-4.0000000000000195,0.0
18,2025,730258944,ILST,D1 Missouri Valley Conference,730190336,BEL,296491549,2025-05-22 15:05:00,2,2,1,2,IP,S,R,D. Spoto,69.18609,17.535633,8.158435,1.0
19,2025,730258944,ILST,D1 Missouri Valley Conference,730190336,BEL,296491549,2025-05-22 15:05:00,2,2,2,2,IP,ROE,R,P. Daniel,87.83591,-24.377656,-26.000000000000025,0.0
20,2025,730258944,ILST,D1 Missouri Valley Conference,730190336,BEL,296491549,2025-05-22 15:05:00,4,1,2,0,IP,HR,R,B. Barton,98.48016,31.768593,-17.621281,4.0
21,2025,730258944,ILST,D1 Missouri Valley Conference,730190336,BEL,296491549,2025-05-22 15:05:00,4,0,0,2,IP,S,R,D. Spoto,69.48378,27.108028,-17.252773,1.0
22,2025,730258944,ILST,D1 Missouri Valley Conference,730190336,BEL,296491549,2025-05-22 15:05:00,5,1,1,1,IP,S,R,T. Allen,75.36707,18.969146,-40.266885,1.0
23,2025,730258944,ILST,D1 Missouri Valley Conference,730190336,BEL,296491549,2025-05-22 15:05:00,5,0,0,1,IP,S,R,L. Godsey,89.69923,19.369413,-35.255679,1.0
24,2025,730258944,ILST,D1 Missouri Valley Conference,730190336,BEL,296491549,2025-05-22 15:05:00,5,0,2,1,IP,S,L,M. Sprockett,98.91328,9.351769,3.041153,1.0
25,2025,730258944,ILST,D1 Missouri Valley Conference,730190336,BEL,296491549,2025-05-22 15:05:00,7,2,0,1,IP,S,L,C. Davis,77.28049,12.841532,33.252247,1.0
26,2025,730258944,ILST,D1 Missouri Valley Conference,730190336,BEL,296491549,2025-05-22 15:05:00,8,3,2,2,IP,S,L,M. Lareau,76.59308,6.674594,-24.999999999999982,1.0
27,2025,730253312,BRAD,D1 Missouri Valley Conference,730190336,BEL,344111682,2025-05-21 21:00:00,3,2,2,1,IP,S,R,T. Allen,95.29549,-8.439809,20.0,1.0
