,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2023,5323,LSU,D1 Southeastern Conference,730306816,CCSU,315412490,2023-03-05 13:00:00,1,1,2,2,IP,FC,R,R. Jimenez,82.17526,-21.879373,-12.000000000000032,0.0
1,2023,5323,LSU,D1 Southeastern Conference,730306816,CCSU,315412490,2023-03-05 13:00:00,3,1,1,2,IP,S,R,K. Gordon,99.76522,6.961663,-31.000000000000018,1.0
2,2023,5323,LSU,D1 Southeastern Conference,730306816,CCSU,315412490,2023-03-05 13:00:00,4,0,0,0,IP,S,R,R. Jimenez,71.67718,21.271964,-28.867384,1.0
3,2023,5323,LSU,D1 Southeastern Conference,730306816,CCSU,315412490,2023-03-05 13:00:00,6,2,2,0,IP,S,R,R. Jimenez,90.33985,5.258809,-26.000000000000025,1.0
4,2023,5323,LSU,D1 Southeastern Conference,730306816,CCSU,315412490,2023-03-05 13:00:00,6,1,0,1,IP,DP,R,E. Good,69.75942,14.048672,-14.067876,0.0
5,2023,5323,LSU,D1 Southeastern Conference,730306816,CCSU,315412490,2023-03-05 13:00:00,7,2,2,0,IP,D,L,D. Rogers,93.93073,20.898603,-19.722334,2.0
6,2023,5323,LSU,D1 Southeastern Conference,730306816,CCSU,455588827,2023-03-04 13:00:00,1,0,1,2,IP,HR,R,J. Rios,107.03493,22.884211,30.298702,4.0
7,2023,5323,LSU,D1 Southeastern Conference,730306816,CCSU,455588827,2023-03-04 13:00:00,4,0,1,2,IP,S,R,R. Jimenez,84.65873,0.707565,3.0000000000000004,1.0
8,2023,5323,LSU,D1 Southeastern Conference,730306816,CCSU,455588827,2023-03-04 13:00:00,6,0,1,1,IP,S,R,J. Taylor,85.36914,6.997771,29.000000000000004,1.0
9,2023,5323,LSU,D1 Southeastern Conference,730306816,CCSU,455588827,2023-03-04 13:00:00,7,1,0,0,IP,S,L,D. Rogers,56.55931,5.818538,2.0,1.0
10,2023,5323,LSU,D1 Southeastern Conference,730306816,CCSU,455588827,2023-03-04 13:00:00,7,3,2,0,IP,S,L,A. Redahan,79.4578,19.844708,-38.043274,1.0
11,2023,5323,LSU,D1 Southeastern Conference,730306816,CCSU,455588827,2023-03-04 13:00:00,7,2,0,0,IP,FC,L,B. Short,77.23822,-3.612144,-5.000000000000008,0.0
12,2023,730318336,TOWS,D1 Coastal Athletic Association,730194176,COPP,415261869,2023-03-28 13:00:00,2,1,2,2,IP,ROE,R,J. Hankins,54.29957,-4.893051,-9.000000000000014,0.0
13,2023,730318336,TOWS,D1 Coastal Athletic Association,730194176,COPP,415261869,2023-03-28 13:00:00,3,2,0,0,IP,S,R,S. Sarabia,90.43278,-5.247947,-23.999999999999996,1.0
14,2023,730318336,TOWS,D1 Coastal Athletic Association,730194176,COPP,415261869,2023-03-28 13:00:00,4,0,0,0,IP,S,R,B. Hilton,23.30867,43.409274,28.453577,1.0
15,2023,730318336,TOWS,D1 Coastal Athletic Association,730194176,COPP,415261869,2023-03-28 13:00:00,5,1,0,1,IP,S,R,S. Sarabia,100.9929,11.971226,1.449743,1.0
16,2023,730318336,TOWS,D1 Coastal Athletic Association,730194176,COPP,415261869,2023-03-28 13:00:00,5,2,2,1,IP,DP,R,M. Dorcean,80.1357,4.039925,-14.999999999999996,0.0
17,2023,730318336,TOWS,D1 Coastal Athletic Association,730194176,COPP,415261869,2023-03-28 13:00:00,8,2,0,2,IP,S,L,L. McCallum,94.13066,9.626886,4.979656,1.0
18,2023,730333184,LEH,D1 Patriot League,730194176,COPP,400994794,2023-03-08 13:00:00,1,0,0,2,IP,D,R,S. Sarabia,90.54671,24.820405,45.04707,2.0
19,2023,730333184,LEH,D1 Patriot League,730194176,COPP,400994794,2023-03-08 13:00:00,2,1,2,1,IP,S,R,B. Nicolas,78.98761,19.298163,28.778444,1.0
20,2023,730333184,LEH,D1 Patriot League,730194176,COPP,400994794,2023-03-08 13:00:00,3,2,1,1,IP,D,L,J. Hamberg,94.87499,33.732331,-33.112299,2.0
21,2023,730333184,LEH,D1 Patriot League,730194176,COPP,400994794,2023-03-08 13:00:00,8,1,1,0,IP,D,R,B. Black,103.54637,11.784729,-20.380439,2.0
22,2023,730333184,LEH,D1 Patriot League,730194176,COPP,400994794,2023-03-08 13:00:00,9,0,0,2,IP,FC,R,N. Burdette,92.00464,-15.723276,-5.000000000000009,0.0
23,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,367087855,2023-02-26 13:00:00,1,0,0,1,IP,DP,L,J. Hamberg,102.42785,-5.78314,-6.999999999999985,0.0
24,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,367087855,2023-02-26 13:00:00,2,1,0,2,IP,ROE,R,T. Smith,94.27404,-7.802217,7.999999999999998,0.0
25,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,367087855,2023-02-26 13:00:00,3,0,0,1,IP,T,R,B. Black,101.40077,24.297047,27.900697,3.0
26,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,367087855,2023-02-26 13:00:00,3,1,0,1,IP,S,L,J. Hamberg,80.04736,-24.425076,26.999999999999993,1.0
27,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,367087855,2023-02-26 13:00:00,3,0,1,1,IP,S,R,S. Sarabia,79.4704,14.683118,39.251741,1.0
28,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,367087855,2023-02-26 13:00:00,5,2,2,2,IP,HR,L,J. Hamberg,97.49718,32.611555,-22.618569,4.0
29,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,367087855,2023-02-26 13:00:00,5,0,1,2,IP,HR,R,S. Sarabia,98.18981,31.546854,-42.13463,4.0
30,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,367087855,2023-02-26 13:00:00,5,2,0,2,IP,S,R,B. Nicolas,92.75937,16.236093,5.071922,1.0
31,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,367087855,2023-02-26 13:00:00,6,0,1,1,IP,S,R,J. Hankins,73.73396,-10.28541,-17.00000000000003,1.0
32,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,367087855,2023-02-26 13:00:00,7,2,0,1,IP,S,R,S. Sarabia,95.58802,-0.76817,-6.999999999999986,1.0
33,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,367087855,2023-02-26 13:00:00,7,1,2,1,IP,DP,R,B. Nicolas,66.1114,3.271363,-6.999999999999985,0.0
34,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,367087855,2023-02-26 13:00:00,9,1,1,0,IP,S,R,B. Thompson,96.77366,6.179106,-8.000000000000025,1.0
35,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,469956986,2023-02-25 13:00:00,2,0,0,2,IP,S,R,C. Miley,85.05791,14.173689,-35.42719,1.0
36,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,469956986,2023-02-25 13:00:00,2,0,0,2,IP,S,L,A. Divittorio,98.8004,-6.547278,26.0,1.0
37,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,469956986,2023-02-25 13:00:00,3,1,2,0,IP,S,R,J. Hankins,75.30631,-64.542473,1.0,1.0
38,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,469956986,2023-02-25 13:00:00,3,1,2,0,IP,ROE,R,B. Black,101.92511,23.813397,-36.219122,0.0
39,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,469956986,2023-02-25 13:00:00,3,1,1,2,IP,DP,R,S. Sarabia,84.30211,-2.782065,-6.999999999999986,0.0
40,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,469956986,2023-02-25 13:00:00,9,1,1,2,IP,T,R,B. Nicolas,97.03626,22.562772,20.817325,3.0
41,2023,3111,ORST,D1 Pacific-12 Conference,730194176,COPP,294943202,2023-02-24 13:00:00,2,0,1,2,IP,D,R,C. Miley,88.42944,16.60222,15.989396,2.0
