,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2022,4505,WSU,D1 Pacific-12 Conference,5035,ASU,321757812,2022-05-21 13:00:00,1,2,1,0,IP,S,L,J. Lampe,58.32753,-31.530156,-4.0000000000000195,1.0
1,2022,4505,WSU,D1 Pacific-12 Conference,5035,ASU,321757812,2022-05-21 13:00:00,1,1,1,0,IP,DP,L,R. Campos,65.18557,2.409459,-4.0000000000000195,0.0
2,2022,4505,WSU,D1 Pacific-12 Conference,5035,ASU,321757812,2022-05-21 13:00:00,2,1,0,2,IP,ROE,R,H. Haas,72.95572,-41.136715,-24.999999999999982,0.0
3,2022,4505,WSU,D1 Pacific-12 Conference,5035,ASU,321757812,2022-05-21 13:00:00,2,0,0,2,IP,S,L,J. Lampe,99.6815,11.808359,6.619939,1.0
4,2022,4505,WSU,D1 Pacific-12 Conference,5035,ASU,321757812,2022-05-21 13:00:00,4,0,0,0,IP,S,R,W. Rogers,98.96391,7.064572,7.0,1.0
5,2022,4505,WSU,D1 Pacific-12 Conference,5035,ASU,321757812,2022-05-21 13:00:00,4,0,1,1,IP,FC,L,K. Murphy,68.74593,-14.069956,32.0,0.0
6,2022,4505,WSU,D1 Pacific-12 Conference,5035,ASU,321757812,2022-05-21 13:00:00,5,0,0,1,IP,HR,L,J. Lampe,99.45358,21.882642,37.815563,4.0
7,2022,4505,WSU,D1 Pacific-12 Conference,5035,ASU,321757812,2022-05-21 13:00:00,5,2,2,1,IP,S,R,S. McLain,76.89191,24.113661,-15.174773,1.0
8,2022,4505,WSU,D1 Pacific-12 Conference,5035,ASU,321757812,2022-05-21 13:00:00,6,2,0,1,IP,D,R,W. Rogers,102.06165,17.364394,-16.770392,2.0
9,2022,4505,WSU,D1 Pacific-12 Conference,5035,ASU,321757812,2022-05-21 13:00:00,8,2,1,2,IP,S,L,J. Tobias,77.67058,-13.060687,26.999999999999993,1.0
