,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2024,100,GT,D1 Atlantic Coast Conference,4744,ARMY,5336383,2024-06-01 13:00:00,1,1,1,1,IP,S,L,C. Barr,73.59995,23.872769,3.210049,1.0
1,2024,100,GT,D1 Atlantic Coast Conference,4744,ARMY,5336383,2024-06-01 13:00:00,2,3,2,0,IP,S,L,B. Golinski,99.00923,12.146041,-7.73147,1.0
2,2024,100,GT,D1 Atlantic Coast Conference,4744,ARMY,5336383,2024-06-01 13:00:00,2,0,0,1,IP,DP,R,E. Ellis,66.93364,4.363127,-4.0000000000000195,0.0
3,2024,100,GT,D1 Atlantic Coast Conference,4744,ARMY,5336383,2024-06-01 13:00:00,3,2,1,1,IP,S,L,C. Barr,78.63375,16.678242,9.196161,1.0
4,2024,100,GT,D1 Atlantic Coast Conference,4744,ARMY,5336383,2024-06-01 13:00:00,5,0,2,0,IP,S,R,E. Ellis,99.91714,0.776323,-15.999999999999988,1.0
5,2024,100,GT,D1 Atlantic Coast Conference,4744,ARMY,5336383,2024-06-01 13:00:00,5,0,0,1,IP,DP,R,D. Berg,104.21252,14.765822,7.467611,0.0
6,2024,100,GT,D1 Atlantic Coast Conference,4744,ARMY,5336383,2024-06-01 13:00:00,6,1,2,0,IP,S,L,C. Barr,62.27847,15.016072,9.57769,1.0
7,2024,100,GT,D1 Atlantic Coast Conference,4744,ARMY,5336383,2024-06-01 13:00:00,6,3,2,0,IP,HR,L,S. Ruta,107.483,22.761395,27.071086,4.0
8,2024,100,GT,D1 Atlantic Coast Conference,4744,ARMY,5336383,2024-06-01 13:00:00,6,0,1,2,IP,S,R,C. Titus,100.46631,1.800193,-5.000000000000009,1.0
9,2024,100,GT,D1 Atlantic Coast Conference,4744,ARMY,5336383,2024-06-01 13:00:00,7,0,1,0,IP,S,R,E. Ellis,74.56583,-43.449653,5.0,1.0
10,2024,100,GT,D1 Atlantic Coast Conference,4744,ARMY,5336383,2024-06-01 13:00:00,8,1,2,2,IP,S,L,A. Ainsworth,99.35847,0.301656,32.0,1.0
11,2024,226,UGA,D1 Southeastern Conference,4744,ARMY,5336380,2024-05-31 13:00:00,1,0,2,0,IP,HR,L,C. Barr,93.24608,33.652251,38.0,4.0
12,2024,226,UGA,D1 Southeastern Conference,4744,ARMY,5336380,2024-05-31 13:00:00,1,1,1,2,IP,S,L,B. Golinski,100.38137,13.877786,-12.160334,1.0
13,2024,226,UGA,D1 Southeastern Conference,4744,ARMY,5336380,2024-05-31 13:00:00,3,0,0,2,IP,S,L,B. Golinski,98.9451,10.667648,3.534458,1.0
14,2024,226,UGA,D1 Southeastern Conference,4744,ARMY,5336380,2024-05-31 13:00:00,3,0,1,2,IP,HR,R,C. Titus,101.98859,27.980924,-37.895913,4.0
15,2024,226,UGA,D1 Southeastern Conference,4744,ARMY,5336380,2024-05-31 13:00:00,4,2,2,2,IP,S,L,C. Barr,94.97463,12.329086,26.63526,1.0
16,2024,226,UGA,D1 Southeastern Conference,4744,ARMY,5336380,2024-05-31 13:00:00,5,1,0,0,IP,D,R,W. Parker,97.17032,26.999536,17.339008,2.0
17,2024,226,UGA,D1 Southeastern Conference,4744,ARMY,5336380,2024-05-31 13:00:00,5,2,2,0,IP,DP,R,C. Titus,94.8733,-7.635832,-13.00000000000002,0.0
18,2024,226,UGA,D1 Southeastern Conference,4744,ARMY,5336380,2024-05-31 13:00:00,6,3,2,0,IP,T,L,A. Ainsworth,98.80269,20.706902,26.881772,3.0
19,2024,226,UGA,D1 Southeastern Conference,4744,ARMY,5336380,2024-05-31 13:00:00,8,0,1,1,IP,S,L,J. Lehman,96.31935,11.451609,-34.503807,1.0
20,2024,226,UGA,D1 Southeastern Conference,4744,ARMY,5336380,2024-05-31 13:00:00,9,0,1,1,IP,S,L,J. Lehman,69.24954,15.767617,-28.450679,1.0
21,2024,508,NAVY,D1 Patriot League,4744,ARMY,5335265,2024-05-20 13:00:00,3,2,1,1,IP,S,L,C. Barr,98.32475,0.893441,6.999999999999999,1.0
22,2024,508,NAVY,D1 Patriot League,4744,ARMY,5335265,2024-05-20 13:00:00,3,3,1,1,IP,DP,R,W. Parker,102.62266,26.482628,-15.127212,0.0
23,2024,508,NAVY,D1 Patriot League,4744,ARMY,5335265,2024-05-20 13:00:00,8,0,2,1,IP,D,L,C. Barr,99.23901,22.795211,12.035292,2.0
24,2024,508,NAVY,D1 Patriot League,4744,ARMY,5289548,2024-05-19 13:00:00,1,1,0,1,IP,S,L,C. Barr,99.76264,7.139126,35.0,1.0
25,2024,508,NAVY,D1 Patriot League,4744,ARMY,5289548,2024-05-19 13:00:00,2,0,1,0,IP,D,R,C. Titus,79.35479,2.628873,-44.00000000000002,2.0
26,2024,508,NAVY,D1 Patriot League,4744,ARMY,5289548,2024-05-19 13:00:00,2,1,0,0,IP,S,R,E. Ellis,64.48665,29.780704,-20.334716,1.0
27,2024,508,NAVY,D1 Patriot League,4744,ARMY,5289548,2024-05-19 13:00:00,2,2,2,2,IP,S,R,D. Berg,103.71825,13.022162,-31.068812,1.0
28,2024,508,NAVY,D1 Patriot League,4744,ARMY,5289548,2024-05-19 13:00:00,2,0,0,2,IP,S,L,C. Barr,95.11172,16.519113,24.022073,1.0
29,2024,508,NAVY,D1 Patriot League,4744,ARMY,5289548,2024-05-19 13:00:00,2,0,0,2,IP,HR,R,W. Parker,101.35817,24.678583,11.11848,4.0
30,2024,508,NAVY,D1 Patriot League,4744,ARMY,5289548,2024-05-19 13:00:00,4,0,2,0,IP,D,R,D. Berg,83.15674,20.105375,-40.673224,2.0
