,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,436242231,2019-05-18 13:00:00,2,0,2,1,IP,S,R,M. Scheffler,71.7553965992,27.0356844278,-10.5338513899,1.0
1,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,436242231,2019-05-18 13:00:00,4,3,2,1,IP,S,R,C. Davis,108.72837281,8.95840497114,-32.3061818039,1.0
2,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,436242231,2019-05-18 13:00:00,4,0,0,1,IP,DP,R,W. Holland,100.230146513,2.24105812478,-32.0,0.0
3,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,436242231,2019-05-18 13:00:00,5,0,0,1,IP,S,R,R. Woley,95.777535415,0.982682931921,-27.000000000000018,1.0
4,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,436242231,2019-05-18 13:00:00,5,0,0,1,IP,D,L,S. Williams,96.0796350352,20.7261828945,47.9843705043,2.0
5,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,436242231,2019-05-18 13:00:00,6,1,1,1,IP,HR,R,R. Bliss,91.1505783482,28.1933560539,-46.4777122985,4.0
6,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,436242231,2019-05-18 13:00:00,6,1,2,1,IP,S,R,C. Davis,108.842507012,5.51086923632,-12.00000000000003,1.0
7,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,436242231,2019-05-18 13:00:00,9,0,2,1,IP,HR,R,M. Scheffler,93.5320363723,27.7526902216,-34.2686762261,4.0
8,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,436242231,2019-05-18 13:00:00,11,0,2,0,IP,S,R,R. Bliss,92.4100168213,11.9270632581,-7.48740921042,1.0
9,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,436242231,2019-05-18 13:00:00,11,2,2,1,IP,D,R,W. Holland,93.6498873086,16.6237815967,-41.1223951058,2.0
10,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,436242231,2019-05-18 13:00:00,11,0,2,2,IP,S,R,R. Woley,85.9917410566,19.4556676783,0.146605247446,1.0
11,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,482098999,2019-05-17 13:00:00,1,0,0,0,IP,S,L,J. Ward,88.3673963152,-14.3985467873,-4.0000000000000195,1.0
12,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,482098999,2019-05-17 13:00:00,1,0,0,0,IP,DP,R,R. Bliss,91.7438247817,-21.46884405,-9.000000000000012,0.0
13,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,482098999,2019-05-17 13:00:00,5,0,0,0,IP,HR,R,W. Holland,103.933042873,31.09070586,1.83577702002,4.0
14,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,133024554,2019-05-16 13:00:00,1,1,2,1,IP,ROE,R,R. Bliss,95.9766095068,0.138682698382,-30.00000000000003,0.0
15,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,133024554,2019-05-16 13:00:00,2,2,2,1,IP,T,L,S. Williams,99.5643070637,42.514029908,39.3312142404,3.0
16,2019,5323,LSU,D1 Southeastern Conference,5466,AUB,133024554,2019-05-16 13:00:00,3,2,1,1,IP,S,R,R. Bliss,106.049717575,8.88477364697,-34.0604933585,1.0
17,2019,730266624,UNA,D1 Atlantic Sun Conference,5466,AUB,240981265,2019-05-14 13:00:00,2,0,0,0,IP,ROE,R,M. Scheffler,83.1058786259,58.4027612923,24.1225260288,0.0
18,2019,730266624,UNA,D1 Atlantic Sun Conference,5466,AUB,240981265,2019-05-14 13:00:00,2,2,0,2,IP,HR,L,S. Williams,100.825823271,35.6937053062,16.4956101328,4.0
19,2019,730266624,UNA,D1 Atlantic Sun Conference,5466,AUB,240981265,2019-05-14 13:00:00,4,1,2,1,IP,D,R,R. Woley,92.4086697471,14.2636346827,-41.3337900439,2.0
20,2019,730266624,UNA,D1 Atlantic Sun Conference,5466,AUB,240981265,2019-05-14 13:00:00,4,1,2,2,IP,S,R,B. Moore,90.0634373039,12.3560494029,19.9000376251,1.0
21,2019,730266624,UNA,D1 Atlantic Sun Conference,5466,AUB,240981265,2019-05-14 13:00:00,7,2,1,2,IP,S,R,C. Davis,112.816960393,-3.84217406295,-5.999999999999997,1.0
22,2019,730266624,UNA,D1 Atlantic Sun Conference,5466,AUB,240981265,2019-05-14 13:00:00,8,2,2,2,IP,T,L,S. Williams,99.7593182515,31.4523842578,1.83568436043,3.0
23,2019,730266624,UNA,D1 Atlantic Sun Conference,5466,AUB,240981265,2019-05-14 13:00:00,9,2,2,2,IP,S,R,W. Holland,68.8629108846,28.5834762717,15.7367984394,1.0
24,2019,730266624,UNA,D1 Atlantic Sun Conference,5466,AUB,240981265,2019-05-14 13:00:00,11,0,0,0,IP,S,L,J. Ward,100.836862411,-9.31774956443,-4.0000000000000195,1.0
25,2019,730266624,UNA,D1 Atlantic Sun Conference,5466,AUB,240981265,2019-05-14 13:00:00,11,0,0,1,IP,S,L,E. Lau,65.4333624346,26.0943825776,-42.271422085,1.0
26,2019,226,UGA,D1 Southeastern Conference,5466,AUB,191092541,2019-05-11 19:00:00,2,0,1,1,IP,HR,R,W. Holland,104.496200095,25.2388426092,22.6054423934,4.0
27,2019,226,UGA,D1 Southeastern Conference,5466,AUB,191092541,2019-05-11 19:00:00,4,3,2,0,IP,S,R,R. Bliss,97.8989511786,-3.55366100377,0.0,1.0
28,2019,226,UGA,D1 Southeastern Conference,5466,AUB,191092541,2019-05-11 19:00:00,4,0,2,1,IP,S,R,W. Holland,69.9693423224,19.5157427092,-26.2952057081,1.0
29,2019,226,UGA,D1 Southeastern Conference,5466,AUB,191092541,2019-05-11 19:00:00,4,1,0,1,IP,FC,R,R. Woley,84.0292865539,7.82269747453,-18.3419410505,0.0
30,2019,226,UGA,D1 Southeastern Conference,5466,AUB,191092541,2019-05-11 19:00:00,5,0,0,0,IP,DP,R,B. Moore,97.9591637918,-11.8232231853,-1.999999999999992,0.0
31,2019,226,UGA,D1 Southeastern Conference,5466,AUB,191092541,2019-05-11 19:00:00,9,0,1,2,IP,D,R,R. Woley,91.2203835071,19.3076064082,16.2714245845,2.0
32,2019,226,UGA,D1 Southeastern Conference,5466,AUB,191092541,2019-05-11 19:00:00,10,0,2,1,IP,S,L,J. Ward,105.253363681,-3.08834755902,23.0,1.0
33,2019,226,UGA,D1 Southeastern Conference,5466,AUB,191092541,2019-05-11 19:00:00,10,0,2,1,IP,S,R,R. Bliss,97.439785389,13.1166009718,19.327927925,1.0
34,2019,226,UGA,D1 Southeastern Conference,5466,AUB,191092541,2019-05-11 19:00:00,10,1,1,1,IP,S,R,C. Davis,112.77371851,14.2632938695,-39.1483573847,1.0
35,2019,226,UGA,D1 Southeastern Conference,5466,AUB,291439487,2019-05-10 13:00:00,1,3,2,1,IP,S,R,R. Bliss,101.983773266,9.96496480057,-4.91527411959,1.0
36,2019,226,UGA,D1 Southeastern Conference,5466,AUB,291439487,2019-05-10 13:00:00,2,0,1,0,IP,S,R,R. Woley,106.720729382,-6.63803273815,21.999999999999996,1.0
37,2019,226,UGA,D1 Southeastern Conference,5466,AUB,291439487,2019-05-10 13:00:00,2,2,0,2,IP,D,R,K. Howell,102.52898015,15.9596212144,-7.38418768589,2.0
38,2019,226,UGA,D1 Southeastern Conference,5466,AUB,291439487,2019-05-10 13:00:00,5,0,0,2,IP,HR,L,J. Ward,94.7520339941,26.5382901726,37.0732356098,4.0
39,2019,730345984,UAB,D1 Conference USA,5466,AUB,237262650,2019-05-07 13:00:00,1,3,1,2,IP,S,L,E. Julien,103.009122992,-0.00496644551768,-5.000000000000008,1.0
40,2019,730345984,UAB,D1 Conference USA,5466,AUB,237262650,2019-05-07 13:00:00,2,1,0,1,IP,FC,L,S. Williams,85.2792470936,-6.73452416033,9.000000000000002,0.0
41,2019,730345984,UAB,D1 Conference USA,5466,AUB,237262650,2019-05-07 13:00:00,3,0,0,0,IP,D,R,W. Holland,105.003566462,6.49522436914,-10.999999999999991,2.0
42,2019,730345984,UAB,D1 Conference USA,5466,AUB,237262650,2019-05-07 13:00:00,4,0,2,0,IP,D,R,C. Davis,83.8433288281,30.7730886981,44.8342722177,2.0
43,2019,730345984,UAB,D1 Conference USA,5466,AUB,237262650,2019-05-07 13:00:00,5,0,1,1,IP,S,R,W. Holland,98.5494757833,1.597077101,-19.0,1.0
44,2019,730345984,UAB,D1 Conference USA,5466,AUB,237262650,2019-05-07 13:00:00,6,1,0,0,IP,S,R,C. Davis,97.7419815653,9.92783707071,1.09587144274,1.0
45,2019,730345984,UAB,D1 Conference USA,5466,AUB,237262650,2019-05-07 13:00:00,6,2,2,0,IP,D,R,M. Scheffler,89.658538341,16.4130441473,-38.9085389742,2.0
46,2019,730345984,UAB,D1 Conference USA,5466,AUB,237262650,2019-05-07 13:00:00,7,3,1,2,IP,S,L,E. Julien,105.29940815,4.2055421456,19.0,1.0
47,2019,730345984,UAB,D1 Conference USA,5466,AUB,237262650,2019-05-07 13:00:00,8,2,2,0,IP,S,R,M. Scheffler,95.1527508482,8.51452603558,-21.6492883499,1.0
48,2019,730345984,UAB,D1 Conference USA,5466,AUB,237262650,2019-05-07 13:00:00,8,0,0,0,IP,S,L,S. Williams,88.7288638263,14.0285702991,1.54841357938,1.0
49,2019,730345984,UAB,D1 Conference USA,5466,AUB,237262650,2019-05-07 13:00:00,8,0,0,1,IP,S,R,W. Holland,67.4693937079,32.902845103,2.86668179665,1.0
50,2019,730206976,ALA,D1 Southeastern Conference,5466,AUB,107746739,2019-05-05 13:00:00,2,0,0,1,IP,S,R,W. Holland,86.151861909,-27.4953459618,-21.000000000000032,1.0
51,2019,730206976,ALA,D1 Southeastern Conference,5466,AUB,107746739,2019-05-05 13:00:00,2,2,0,1,IP,S,R,B. Moore,78.3447946817,21.2606342266,7.0865428272,1.0
52,2019,730206976,ALA,D1 Southeastern Conference,5466,AUB,107746739,2019-05-05 13:00:00,2,0,1,2,IP,S,R,R. Bliss,96.1350920554,17.1672998733,-19.8634352875,1.0
53,2019,730206976,ALA,D1 Southeastern Conference,5466,AUB,107746739,2019-05-05 13:00:00,5,1,0,2,IP,D,R,C. Davis,79.8129180281,30.5617064336,43.1443882685,2.0
54,2019,730206976,ALA,D1 Southeastern Conference,5466,AUB,107746739,2019-05-05 13:00:00,6,1,2,0,IP,S,L,S. Williams,102.562222502,-8.94405381564,-5.9999999999999964,1.0
55,2019,730206976,ALA,D1 Southeastern Conference,5466,AUB,107746739,2019-05-05 13:00:00,6,1,1,0,IP,FC,R,K. Howell,83.6478645549,3.74063419519,6.000000000000001,0.0
56,2019,730206976,ALA,D1 Southeastern Conference,5466,AUB,107746739,2019-05-05 13:00:00,6,0,1,2,IP,S,R,B. Moore,93.7029285686,11.6726257372,27.8145838003,1.0
57,2019,730206976,ALA,D1 Southeastern Conference,5466,AUB,107746739,2019-05-05 13:00:00,7,3,2,1,IP,S,L,E. Julien,73.2719502338,-10.4769732365,-41.00000000000001,1.0
58,2019,730206976,ALA,D1 Southeastern Conference,5466,AUB,107746739,2019-05-05 13:00:00,7,1,0,1,IP,S,R,C. Davis,97.9151888034,-17.9744513311,-22.000000000000018,1.0
59,2019,730206976,ALA,D1 Southeastern Conference,5466,AUB,107746739,2019-05-05 13:00:00,7,1,0,2,IP,D,R,K. Howell,98.2159187603,24.7632710337,15.9657266895,2.0
