,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,2,2,1,2,IP,D,R,B. Martin,99.39011,21.104529,19.022744,2.0
1,2024,730219520,PEAY,D1 Atlantic Sun Conference,730365440,AAMU,4540707,2024-04-30 13:00:00,5,0,1,2,IP,HR,R,J. Tribett,92.46182,25.87559,-45.000000000000014,4.0
2,2024,730153728,TENN,D1 Southeastern Conference,730365440,AAMU,4536165,2024-04-09 13:00:00,1,2,1,1,IP,S,R,B. Hammonds,99.46583,5.732233,9.000000000000002,1.0
3,2024,730153728,TENN,D1 Southeastern Conference,730365440,AAMU,4536165,2024-04-09 13:00:00,4,2,0,0,IP,D,R,M. Jackson,101.43039,18.262456,-18.759602,2.0
4,2024,730153728,TENN,D1 Southeastern Conference,730365440,AAMU,4536165,2024-04-09 13:00:00,4,2,1,1,IP,D,R,B. Martin,101.66278,10.668297,37.366149,2.0
5,2024,730153728,TENN,D1 Southeastern Conference,730365440,AAMU,4536165,2024-04-09 13:00:00,5,1,1,1,IP,D,R,B. Hammonds,93.44172,26.006157,26.279934,2.0
6,2024,730345984,UAB,D1 American Athletic Conference,730365440,AAMU,4533314,2024-03-26 13:00:00,3,1,2,1,IP,S,L,A. Diaz,100.19326,8.586484,-4.953822,1.0
7,2024,730345984,UAB,D1 American Athletic Conference,730365440,AAMU,4533314,2024-03-26 13:00:00,4,0,1,0,IP,S,R,J. Rivera,104.49096,6.569029,-24.999999999999982,1.0
8,2024,730345984,UAB,D1 American Athletic Conference,730365440,AAMU,4533314,2024-03-26 13:00:00,4,2,2,1,IP,DP,R,K. Duncan,62.75439,-34.703248,11.0,0.0
9,2024,730345984,UAB,D1 American Athletic Conference,730365440,AAMU,4533314,2024-03-26 13:00:00,6,2,2,1,IP,D,R,J. Tribett,108.89091,19.950282,-34.281481,2.0
10,2024,730345984,UAB,D1 American Athletic Conference,730365440,AAMU,4533314,2024-03-26 13:00:00,6,1,1,1,IP,DP,R,J. Rivera,68.70575,17.951113,-12.237214,0.0
11,2024,730345984,UAB,D1 American Athletic Conference,730365440,AAMU,4533314,2024-03-26 13:00:00,7,2,2,1,IP,S,R,B. Martin,60.14179,-78.324264,11.0,1.0
12,2024,730345984,UAB,D1 American Athletic Conference,730365440,AAMU,4533314,2024-03-26 13:00:00,7,0,0,1,IP,DP,L,K. Stanfield,71.25381,8.365566,-9.791565,0.0
13,2024,730362880,ULM,D1 Sun Belt Conference,730365440,AAMU,4530158,2024-03-10 13:00:00,1,0,0,1,IP,S,L,C. Dorris,32.58826,31.448626,-39.458795,1.0
14,2024,730362880,ULM,D1 Sun Belt Conference,730365440,AAMU,4530158,2024-03-10 13:00:00,2,1,0,2,IP,D,R,J. Rivera,101.83366,19.89448,-36.223338,2.0
15,2024,730362880,ULM,D1 Sun Belt Conference,730365440,AAMU,4530158,2024-03-10 13:00:00,3,2,1,0,IP,S,L,A. Diaz,96.63299,0.903905,21.0,1.0
