,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitchResult,atbatResult,batterHand,Batter,exitVelocity,launchAngle,sprayAngle,slg
0,2021,730298880,USA,D1 Sun Belt Conference,730240256,APP,438370500,2021-05-22 13:00:00,1,0,2,1,IP,S,L,L. Drumheller,95.4550804654,16.1550290334,-1.83821013111,1.0
1,2021,730298880,USA,D1 Sun Belt Conference,730240256,APP,438370500,2021-05-22 13:00:00,1,0,1,1,IP,T,R,K. McGowan,87.7895960743,13.0030030798,41.5800843991,3.0
2,2021,730298880,USA,D1 Sun Belt Conference,730240256,APP,438370500,2021-05-22 13:00:00,5,0,1,0,IP,HR,L,H. Cross,97.4814456813,29.2549160483,19.8874318103,4.0
3,2021,730298880,USA,D1 Sun Belt Conference,730240256,APP,438370500,2021-05-22 13:00:00,6,1,1,0,IP,S,R,B. Welch,84.8587031115,-5.66182526299,-23.00000000000001,1.0
4,2021,730298880,USA,D1 Sun Belt Conference,730240256,APP,100644176,2021-05-20 13:00:00,1,1,2,2,IP,S,R,K. McGowan,81.3560334605,-12.7406658504,4.999999999999999,1.0
5,2021,730298880,USA,D1 Sun Belt Conference,730240256,APP,100644176,2021-05-20 13:00:00,5,3,2,2,IP,S,R,T. Leek,86.1536702459,1.29019680466,-28.99999999999999,1.0
6,2021,730298880,USA,D1 Sun Belt Conference,730240256,APP,100644176,2021-05-20 13:00:00,7,2,0,0,IP,D,R,K. McGowan,94.9188110657,18.7615447065,13.5069708349,2.0
7,2021,730298880,USA,D1 Sun Belt Conference,730240256,APP,100644176,2021-05-20 13:00:00,7,1,0,0,IP,S,L,R. Young,96.430867045,7.62531799961,35.3476493534,1.0
8,2021,730298880,USA,D1 Sun Belt Conference,730240256,APP,100644176,2021-05-20 13:00:00,7,1,0,0,IP,FC,R,A. Terrell,98.6883813944,-2.82653464206,19.0,0.0
9,2021,730298880,USA,D1 Sun Belt Conference,730240256,APP,100644176,2021-05-20 13:00:00,7,0,0,1,IP,D,R,P. Cole,89.6094820307,22.1604786429,-37.8308256758,2.0
10,2021,730298880,USA,D1 Sun Belt Conference,730240256,APP,100644176,2021-05-20 13:00:00,7,1,2,1,IP,S,R,T. Leek,68.5084168253,20.7445083339,-15.4313732751,1.0
11,2021,730298880,USA,D1 Sun Belt Conference,730240256,APP,100644176,2021-05-20 13:00:00,8,3,1,2,IP,D,R,A. Terrell,98.3502437704,26.1755398233,-23.943581108,2.0
12,2021,730298880,USA,D1 Sun Belt Conference,730240256,APP,100644176,2021-05-20 13:00:00,8,1,2,2,IP,D,R,P. Cole,91.4976710635,24.192474539,43.824550551,2.0
13,2021,730348544,SCAR,D1 Southeastern Conference,730240256,APP,408952816,2021-05-18 13:00:00,5,0,1,0,IP,S,R,P. Cole,81.51453,21.701247,-2.334756,1.0
14,2021,730348544,SCAR,D1 Southeastern Conference,730240256,APP,408952816,2021-05-18 13:00:00,5,0,1,1,IP,DP,R,C. Arnold,48.60932,-54.67699,31.999999999999993,0.0
15,2021,730348544,SCAR,D1 Southeastern Conference,730240256,APP,408952816,2021-05-18 13:00:00,6,0,0,0,IP,S,R,A. Leshock,97.43028,8.083486,-1.397134,1.0
16,2021,730348544,SCAR,D1 Southeastern Conference,730240256,APP,408952816,2021-05-18 13:00:00,7,0,0,2,IP,S,R,A. Terrell,72.28813,12.180857,22.987324,1.0
17,2021,730362880,ULM,D1 Sun Belt Conference,730240256,APP,132282461,2021-05-02 13:00:00,1,1,0,0,IP,D,R,A. Leshock,75.130488264,-2.8852793585,-42.999999999999986,2.0
18,2021,730362880,ULM,D1 Sun Belt Conference,730240256,APP,132282461,2021-05-02 13:00:00,2,2,0,0,IP,D,L,L. Drumheller,102.670546922,22.3042881371,15.6088007966,2.0
19,2021,730362880,ULM,D1 Sun Belt Conference,730240256,APP,132282461,2021-05-02 13:00:00,4,2,2,1,IP,DP,L,D. Williams,94.8624915741,-8.16227161682,1.0,0.0
20,2021,730362880,ULM,D1 Sun Belt Conference,730240256,APP,132282461,2021-05-02 13:00:00,6,3,2,1,IP,S,L,L. Drumheller,95.2663007375,10.0224284465,28.9973498191,1.0
21,2021,730362880,ULM,D1 Sun Belt Conference,730240256,APP,132282461,2021-05-02 13:00:00,7,0,1,1,IP,HR,R,B. Welch,98.4934605413,28.2050159924,-29.802932863,4.0
22,2021,730362880,ULM,D1 Sun Belt Conference,730240256,APP,132282461,2021-05-02 13:00:00,7,1,1,1,IP,S,R,A. Leshock,96.2296872064,9.82190345576,25.9854649845,1.0
